,,,,Rushing,,,Rush Location,,,,,,,,,After Contact,,
Name,Team,Pos,G,ATT,YDS,TD,In%,In,Out%,Out,Stuffed,BT,BT%,POS%,TD%,YDS,AVG,%
Dalvin Cook,MIN,RB,1,22,181,1,73.3,11,26.7,4,1,5,22.7,95.5,0.0,82,3.7,45.3
Derrick Henry,TEN,RB,1,26,119,2,92.3,12,7.7,1,3,3,11.5,88.5,0.1,77,3.0,64.7
Sony Michel,NE,RB,1,9,117,0,100.0,3,0.0,0,1,4,44.4,88.9,0.0,61,6.8,52.1
Darrell Henderson,LAR,RB,1,20,114,1,87.5,7,12.5,1,3,3,15.0,85.0,0.1,33,1.7,28.9
James Conner,PIT,RB,1,18,109,1,60.0,6,40.0,4,0,4,22.2,100.0,0.1,24,1.3,22.0
Nick Chubb,CLE,RB,1,19,108,2,8.3,1,91.7,11,3,6,31.6,84.2,0.1,64,3.4,59.3
Miles Sanders,PHI,RB,1,18,95,0,91.7,11,8.3,1,1,5,27.8,94.4,0.0,46,2.6,48.4
Lamar Jackson,BAL,QB,1,9,83,0,25.0,2,75.0,6,1,4,44.4,88.9,0.0,21,2.3,25.3
Todd Gurley,ATL,RB,1,14,80,1,71.4,5,28.6,2,1,2,14.3,92.9,0.1,33,2.4,41.3
Adrian Peterson,DET,RB,1,22,75,0,100.0,12,0.0,0,7,3,13.6,68.2,0.0,73,3.3,97.3
Kenyan Drake,ARI,RB,1,18,73,0,70.6,12,29.4,5,3,2,11.1,83.3,0.0,33,1.8,45.2
Devin Singletary,BUF,RB,1,13,71,0,77.8,7,22.2,2,2,5,38.5,84.6,0.0,23,1.8,32.4
Josh Jacobs,LV,RB,1,16,71,0,87.5,7,12.5,1,2,3,18.8,87.5,0.0,23,1.4,32.4
Aaron Jones,GB,RB,1,16,69,1,81.8,9,18.2,2,2,0,0.0,87.5,0.1,28,1.8,40.6
Myles Gaskin,MIA,RB,1,22,66,0,75.0,3,25.0,1,5,6,27.3,77.3,0.0,55,2.5,83.3
Carson Wentz,PHI,QB,1,9,65,1,37.5,3,62.5,5,0,0,0.0,100.0,0.1,14,1.6,21.5
Chris Carson,SEA,RB,1,14,64,0,40.0,2,60.0,3,3,2,14.3,78.6,0.0,37,2.6,57.8
Clyde Edwards-Helaire,KC,RB,1,20,64,0,71.4,5,28.6,2,3,5,25.0,85.0,0.0,22,1.1,34.4
Jonathan Taylor,IND,RB,1,13,59,1,66.7,6,33.3,3,0,3,23.1,100.0,0.1,25,1.9,42.4
Austin Ekeler,LAC,RB,1,12,59,1,71.4,5,28.6,2,2,7,58.3,83.3,0.1,47,3.9,79.7
Alvin Kamara,NO,RB,1,6,58,0,100.0,5,0.0,0,1,1,16.7,83.3,0.0,14,2.3,24.1
Latavius Murray,NO,RB,1,12,58,0,100.0,5,0.0,0,0,3,25.0,100.0,0.0,35,2.9,60.3
Brian Hill,ATL,RB,1,9,58,1,100.0,4,0.0,0,0,0,0.0,100.0,0.1,8,0.9,13.8
Frank Gore,NYJ,RB,1,15,57,0,80.0,4,20.0,1,2,6,40.0,86.7,0.0,44,2.9,77.2
Ronald Jones,TB,RB,1,13,53,0,100.0,9,0.0,0,2,2,15.4,84.6,0.0,41,3.2,77.4
Daniel Jones,NYG,QB,1,5,49,0,50.0,2,50.0,2,2,1,20.0,60.0,0.0,0,0.0,0.0
Joe Mixon,CIN,RB,1,17,49,0,30.0,3,70.0,7,4,1,5.9,76.5,0.0,33,1.9,67.3
Antonio Gibson,WAS,RB,1,9,49,1,100.0,6,0.0,0,0,2,22.2,100.0,0.1,27,3.0,55.1
Rex Burkhead,NE,RB,1,6,49,2,0.0,0,100.0,3,0,3,50.0,100.0,0.3,15,2.5,30.6
Kareem Hunt,CLE,RB,1,16,46,0,22.2,2,77.8,7,5,0,0.0,68.8,0.0,31,1.9,67.4
Mike Davis,CAR,RB,1,13,46,0,90.0,9,10.0,1,5,9,69.2,61.5,0.0,40,3.1,87.0
James Robinson,JAX,RB,1,11,46,2,50.0,2,50.0,2,0,0,0.0,100.0,0.2,17,1.5,37.0
David Montgomery,CHI,RB,1,14,45,0,50.0,1,50.0,1,5,1,7.1,64.3,0.0,20,1.4,44.4
Mitchell Trubisky,CHI,QB,1,1,45,0,0.0,0,0.0,0,0,0,0.0,100.0,0.0,5,5.0,11.1
J.J. Taylor,NE,RB,1,11,43,0,22.2,2,77.8,7,2,0,0.0,81.8,0.0,13,1.2,30.2
Joshua Kelley,LAC,RB,1,8,43,0,100.0,3,0.0,0,1,2,25.0,87.5,0.0,26,3.3,60.5
Anthony McFarland,PIT,RB,1,6,42,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
Gus Edwards,BAL,RB,1,4,39,0,100.0,2,0.0,0,0,2,50.0,100.0,0.0,24,6.0,61.5
Jordan Wilkins,IND,RB,1,9,39,0,60.0,3,40.0,2,2,2,22.2,77.8,0.0,31,3.4,79.5
Jerick McKinnon,SF,RB,1,14,38,1,22.2,2,77.8,7,5,5,35.7,64.3,0.1,29,2.1,76.3
