,,,,Fantasy,Passing,,,,,Rushing,,,Receiving,,,,Fumbles,
Name,Team,Pos,G,Pts,COMP,ATT,YDS,TD,INT,ATT,YDS,TD,REC,TAR,YDS,TD,TOT,LOST
Travis Homer,SEA,RB,1,1.9,0,0,0,0,0,2,19,0,0,1,0,0,0,0
Malcolm Brown,LAR,RB,1,1.9,0,0,0,0,0,7,19,0,0,2,0,0,0,0
T.J. Yeldon,BUF,RB,1,1.8,0,0,0,0,0,3,18,0,0,0,0,0,0,0
Kerryon Johnson,DET,RB,1,3.0,0,0,0,0,0,3,16,0,1,1,14,0,0,0
Reggie Bonnafon,CAR,RB,1,1.6,0,0,0,0,0,2,16,0,0,0,0,0,0,0
Jeff Wilson,SF,RB,1,18.9,0,0,0,0,0,12,15,1,3,3,54,1,0,0
Leonard Fournette,TB,RB,1,2.2,0,0,0,0,0,7,15,0,2,2,7,0,0,0
Justin Herbert,LAC,QB,1,22.0,35,49,330,1,1,3,15,0,0,0,0,0,2,1
J.D. McKissic,WAS,RB,1,5.2,0,0,0,0,0,5,15,0,3,4,37,0,0,0
Jalen Richard,LV,RB,1,2.2,0,0,0,0,0,1,14,0,3,3,8,0,0,0
Jamaal Williams,GB,RB,1,1.7,0,0,0,0,0,6,14,0,1,1,3,0,0,0
Jeff Driskel,DEN,QB,1,14.2,17,30,176,1,1,3,14,0,0,0,0,0,0,0
Kirk Cousins,MIN,QB,1,26.0,16,27,251,3,2,2,14,0,0,0,0,0,1,0
Cordarrelle Patterson,CHI,WR,1,1.3,0,0,0,0,0,4,13,0,0,0,0,0,0,0
Isaiah Zuber,NE,WR,1,1.3,0,0,0,0,0,1,13,0,0,0,0,0,0,0
Chase Edmonds,ARI,RB,1,3.4,0,0,0,0,0,3,13,0,2,2,21,0,0,0
Teddy Bridgewater,CAR,QB,1,17.0,22,28,235,1,0,2,12,0,0,0,0,0,0,0
Carlos Hyde,SEA,RB,1,2.3,0,0,0,0,0,4,12,0,1,1,11,0,0,0
Aaron Rodgers,GB,QB,1,27.4,21,32,283,3,0,2,12,0,0,0,0,0,0,0
Benny Snell,PIT,RB,1,1.1,0,0,0,0,0,7,11,0,0,0,0,0,0,0
Darwin Thompson,KC,RB,1,1.1,0,0,0,0,0,2,11,0,0,2,0,0,1,1
Derek Carr,LV,QB,1,22.1,24,32,261,2,0,2,10,0,0,0,0,0,2,2
Devonta Freeman,NYG,RB,1,1.0,0,0,0,0,0,5,10,0,0,0,0,0,0,0
Ryan Tannehill,TEN,QB,1,17.0,23,37,321,0,1,4,9,0,1,1,0,0,2,0
Anthony Miller,CHI,WR,1,11.0,0,0,0,0,0,1,9,0,2,5,41,1,1,0
Darrynton Evans,TEN,RB,1,0.9,0,0,0,0,0,3,9,0,0,0,0,0,0,0
JaMycal Hasty,SF,RB,1,1.8,0,0,0,0,0,2,9,0,1,1,9,0,0,0
Diontae Johnson,PIT,WR,1,0.9,0,0,0,0,0,1,9,0,0,2,0,0,0,0
Jalen Hurts,PHI,QB,1,0.8,0,0,0,0,0,2,8,0,0,0,0,0,1,0
Josh Allen,BUF,QB,1,38.4,24,33,311,4,1,4,8,1,0,0,0,0,1,1
Kalen Ballage,NYJ,RB,1,5.2,0,0,0,0,0,2,8,0,5,5,44,0,0,0
Corey Clement,PHI,RB,1,0.8,0,0,0,0,0,3,8,0,0,0,0,0,0,0
Wayne Gallman,NYG,RB,1,1.4,0,0,0,0,0,4,7,0,2,3,7,0,0,0
Calvin Ridley,ATL,WR,1,11.7,0,0,0,0,0,1,7,0,5,13,110,0,0,0
Curtis Samuel,CAR,WR,1,5.2,0,0,0,0,0,4,7,0,4,4,45,0,0,0
Darrel Williams,KC,RB,1,0.7,0,0,0,0,0,2,6,0,2,2,1,0,0,0
Isaiah Wright,WAS,WR,1,3.0,0,0,0,0,0,1,6,0,4,6,24,0,0,0
J.K. Dobbins,BAL,RB,1,4.4,0,0,0,0,0,1,6,0,4,4,38,0,0,0
Peyton Barber,WAS,RB,1,0.6,0,0,0,0,0,3,6,0,0,0,0,0,0,0
Taysom Hill,NO,QB,1,0.7,0,0,0,0,0,2,6,0,1,1,1,0,1,1
Tyler Ervin,GB,RB,1,1.3,0,0,0,0,0,1,5,0,2,2,8,0,0,0
Boston Scott,PHI,RB,1,0.5,0,0,0,0,0,3,5,0,0,1,0,0,0,0
Deshaun Watson,HOU,QB,1,21.7,19,27,264,2,1,1,5,0,0,0,0,0,0,0
Royce Freeman,DEN,RB,1,3.5,0,0,0,0,0,2,4,0,2,2,31,0,0,0
