,,,,Rushing,,,,,,,Big Rushing Games,,,Fumbles,
Name,Team,Pos,G,ATT,YDS,AVG,YDS/G,TD,20+,40+,100+,150+,200+,TOT,LOST
Dalvin Cook,MIN,RB,1,22,181,8.2,181.0,1,2,0,1,1,0,1,1
Derrick Henry,TEN,RB,1,26,119,4.6,119.0,2,0,0,1,0,0,0,0
Sony Michel,NE,RB,1,9,117,13.0,117.0,0,2,1,1,0,0,0,0
Darrell Henderson,LAR,RB,1,20,114,5.7,114.0,1,0,0,1,0,0,0,0
James Conner,PIT,RB,1,18,109,6.1,109.0,1,1,0,1,0,0,0,0
Nick Chubb,CLE,RB,1,19,108,5.7,108.0,2,2,0,1,0,0,0,0
Miles Sanders,PHI,RB,1,18,95,5.3,95.0,0,0,0,0,0,0,0,0
Lamar Jackson,BAL,QB,1,9,83,9.2,83.0,0,1,0,0,0,0,2,1
Todd Gurley,ATL,RB,1,14,80,5.7,80.0,1,0,0,0,0,0,1,0
Adrian Peterson,DET,RB,1,22,75,3.4,75.0,0,1,0,0,0,0,0,0
Kenyan Drake,ARI,RB,1,18,73,4.1,73.0,0,0,0,0,0,0,0,0
Devin Singletary,BUF,RB,1,13,71,5.5,71.0,0,0,0,0,0,0,0,0
Josh Jacobs,LV,RB,1,16,71,4.4,71.0,0,0,0,0,0,0,1,1
Aaron Jones,GB,RB,1,16,69,4.3,69.0,1,0,0,0,0,0,0,0
Myles Gaskin,MIA,RB,1,22,66,3.0,66.0,0,0,0,0,0,0,0,0
Carson Wentz,PHI,QB,1,9,65,7.2,65.0,1,1,0,0,0,0,1,0
Chris Carson,SEA,RB,1,14,64,4.6,64.0,0,1,0,0,0,0,0,0
Clyde Edwards-Helaire,KC,RB,1,20,64,3.2,64.0,0,0,0,0,0,0,0,0
Jonathan Taylor,IND,RB,1,13,59,4.5,59.0,1,0,0,0,0,0,0,0
Austin Ekeler,LAC,RB,1,12,59,4.9,59.0,1,0,0,0,0,0,0,0
Alvin Kamara,NO,RB,1,6,58,9.7,58.0,0,1,1,0,0,0,0,0
Latavius Murray,NO,RB,1,12,58,4.8,58.0,0,0,0,0,0,0,0,0
Brian Hill,ATL,RB,1,9,58,6.4,58.0,1,1,0,0,0,0,0,0
Frank Gore,NYJ,RB,1,15,57,3.8,57.0,0,0,0,0,0,0,0,0
Ronald Jones,TB,RB,1,13,53,4.1,53.0,0,0,0,0,0,0,0,0
Daniel Jones,NYG,QB,1,5,49,9.8,49.0,0,1,0,0,0,0,1,1
Joe Mixon,CIN,RB,1,17,49,2.9,49.0,0,0,0,0,0,0,0,0
Antonio Gibson,WAS,RB,1,9,49,5.4,49.0,1,0,0,0,0,0,1,1
Rex Burkhead,NE,RB,1,6,49,8.2,49.0,2,0,0,0,0,0,0,0
Kareem Hunt,CLE,RB,1,16,46,2.9,46.0,0,0,0,0,0,0,0,0
Mike Davis,CAR,RB,1,13,46,3.5,46.0,0,1,0,0,0,0,0,0
James Robinson,JAX,RB,1,11,46,4.2,46.0,2,0,0,0,0,0,0,0
David Montgomery,CHI,RB,1,14,45,3.2,45.0,0,0,0,0,0,0,0,0
Mitchell Trubisky,CHI,QB,1,1,45,45.0,45.0,0,1,1,0,0,0,0,0
J.J. Taylor,NE,RB,1,11,43,3.9,43.0,0,0,0,0,0,0,0,0
Joshua Kelley,LAC,RB,1,8,43,5.4,43.0,0,0,0,0,0,0,1,1
Anthony McFarland,PIT,RB,1,6,42,7.0,42.0,0,1,0,0,0,0,0,0
Gus Edwards,BAL,RB,1,4,39,9.8,39.0,0,1,0,0,0,0,0,0
Jordan Wilkins,IND,RB,1,9,39,4.3,39.0,0,1,0,0,0,0,0,0
Jerick McKinnon,SF,RB,1,14,38,2.7,38.0,1,0,0,0,0,0,0,0
Ryan Fitzpatrick,MIA,QB,1,7,38,5.4,38.0,1,0,0,0,0,0,0,0
Ezekiel Elliott,DAL,RB,1,14,34,2.4,34.0,1,0,0,0,0,0,0,0
Devontae Booker,LV,RB,1,3,31,10.3,31.0,0,1,0,0,0,0,0,0
Brandon Aiyuk,SF,WR,1,3,31,10.3,31.0,1,0,0,0,0,0,0,0
Mark Ingram,BAL,RB,1,7,30,4.3,30.0,0,0,0,0,0,0,0,0
Robert Woods,LAR,WR,1,3,30,10.0,30.0,0,0,0,0,0,0,1,0
Jakeem Grant,MIA,WR,1,1,29,29.0,29.0,0,1,0,0,0,0,0,0
Kyler Murray,ARI,QB,1,5,29,5.8,29.0,1,0,0,0,0,0,0,0
Alexander Mattison,MIN,RB,1,8,27,3.4,27.0,0,0,0,0,0,0,0,0
Cam Newton,NE,QB,1,9,27,3.0,27.0,0,1,0,0,0,0,0,0
Dak Prescott,DAL,QB,1,6,26,4.3,26.0,0,0,0,0,0,0,1,1
Melvin Gordon,DEN,RB,1,8,26,3.3,26.0,0,0,0,0,0,0,0,0
Patrick Mahomes,KC,QB,1,4,26,6.5,26.0,1,0,0,0,0,0,0,0
Tyreek Hill,KC,WR,1,2,25,12.5,25.0,0,1,0,0,0,0,0,0
La'Mical Perine,NYJ,RB,1,7,24,3.4,24.0,0,0,0,0,0,0,0,0
David Johnson,HOU,RB,1,13,23,1.8,23.0,1,0,0,0,0,0,0,0
Russell Wilson,SEA,QB,1,6,22,3.7,22.0,0,0,0,0,0,0,0,0
Antonio Gandy-Golden,WAS,WR,1,1,22,22.0,22.0,0,1,0,0,0,0,0,0
Gardner Minshew,JAX,QB,1,3,22,7.3,22.0,0,0,0,0,0,0,1,1
Nyheim Hines,IND,RB,1,7,21,3.0,21.0,0,0,0,0,0,0,0,0
Tarik Cohen,CHI,RB,1,2,21,10.5,21.0,0,0,0,0,0,0,0,0
Sam Darnold,NYJ,QB,1,5,20,4.0,20.0,0,0,0,0,0,0,0,0
Travis Homer,SEA,RB,1,2,19,9.5,19.0,0,0,0,0,0,0,0,0
Malcolm Brown,LAR,RB,1,7,19,2.7,19.0,0,0,0,0,0,0,0,0
T.J. Yeldon,BUF,RB,1,3,18,6.0,18.0,0,0,0,0,0,0,0,0
Kerryon Johnson,DET,RB,1,3,16,5.3,16.0,0,0,0,0,0,0,0,0
Reggie Bonnafon,CAR,RB,1,2,16,8.0,16.0,0,0,0,0,0,0,0,0
Jeff Wilson,SF,RB,1,12,15,1.3,15.0,1,0,0,0,0,0,0,0
Leonard Fournette,TB,RB,1,7,15,2.1,15.0,0,0,0,0,0,0,0,0
Justin Herbert,LAC,QB,1,3,15,5.0,15.0,0,0,0,0,0,0,2,1
J.D. McKissic,WAS,RB,1,5,15,3.0,15.0,0,0,0,0,0,0,0,0
Jalen Richard,LV,RB,1,1,14,14.0,14.0,0,0,0,0,0,0,0,0
Jamaal Williams,GB,RB,1,6,14,2.3,14.0,0,0,0,0,0,0,0,0
Jeff Driskel,DEN,QB,1,3,14,4.7,14.0,0,0,0,0,0,0,0,0
Kirk Cousins,MIN,QB,1,2,14,7.0,14.0,0,0,0,0,0,0,1,0
