,,,,Rushing,,,,,,,Big Rushing Games,,,Fumbles,
Name,Team,Pos,G,ATT,YDS,AVG,YDS/G,TD,20+,40+,100+,150+,200+,TOT,LOST
Derrick Henry,TEN,RB,15,303,1540,5.1,102.7,16,9,3,6,3,1,5,3
Nick Chubb,CLE,RB,16,298,1494,5.0,93.4,8,11,4,7,1,0,3,3
Christian McCaffrey,CAR,RB,16,287,1387,4.8,86.7,15,6,4,6,2,0,1,0
Ezekiel Elliott,DAL,RB,16,301,1357,4.5,84.8,12,4,0,7,0,0,3,2
Chris Carson,SEA,RB,15,278,1230,4.4,82.0,7,8,1,6,0,0,7,4
Lamar Jackson,BAL,QB,15,176,1206,6.9,80.4,7,11,1,5,1,0,9,2
Leonard Fournette,JAX,RB,15,265,1152,4.3,76.8,3,7,4,3,1,1,1,1
Josh Jacobs,OAK,RB,13,242,1150,4.8,88.5,7,8,2,5,0,0,1,1
Joe Mixon,CIN,RB,16,278,1137,4.1,71.1,5,6,1,4,1,0,0,0
Dalvin Cook,MIN,RB,14,250,1135,4.5,81.1,13,7,2,5,1,0,4,2
Marlon Mack,IND,RB,14,247,1091,4.4,77.9,8,9,1,3,1,0,0,0
Aaron Jones,GB,RB,16,236,1084,4.6,67.8,16,5,2,5,1,0,3,2
Carlos Hyde,HOU,RB,16,245,1070,4.4,66.9,6,8,3,3,1,0,4,2
Mark Ingram,BAL,RB,15,202,1018,5.0,67.9,10,6,2,4,0,0,2,2
Phillip Lindsay,DEN,RB,16,224,1011,4.5,63.2,7,7,1,2,0,0,0,0
Saquon Barkley,NYG,RB,13,217,1003,4.6,77.2,6,8,3,4,1,0,1,0
Sony Michel,NE,RB,16,247,912,3.7,57.0,7,3,0,0,0,0,2,1
Adrian Peterson,WAS,RB,15,211,898,4.3,59.9,5,6,0,2,0,0,3,2
David Montgomery,CHI,RB,16,242,889,3.7,55.6,6,3,1,2,0,0,2,2
Todd Gurley,LAR,RB,15,223,857,3.8,57.1,12,5,0,0,0,0,3,2
Miles Sanders,PHI,RB,16,179,818,4.6,51.1,3,5,2,1,0,0,2,1
Kenyan Drake,MIA/ARI,RB,14,170,817,4.8,58.4,8,4,1,3,1,0,2,1
Alvin Kamara,NO,RB,14,171,797,4.7,56.9,5,5,1,0,0,0,4,1
Le'Veon Bell,NYJ,RB,15,245,789,3.2,52.6,3,0,0,0,0,0,1,1
Devin Singletary,BUF,RB,12,151,775,5.1,64.6,2,7,0,1,0,0,4,1
Raheem Mostert,SF,RB,16,137,772,5.6,48.3,8,3,2,1,0,0,2,2
Ronald Jones,TB,RB,16,172,724,4.2,45.3,6,6,1,1,0,0,3,2
Gus Edwards,BAL,RB,16,133,711,5.3,44.4,2,5,1,2,0,0,2,1
Devonta Freeman,ATL,RB,14,184,656,3.6,46.9,2,3,0,0,0,0,3,2
Latavius Murray,NO,RB,16,146,637,4.4,39.8,5,3,0,2,0,0,0,0
Matt Breida,SF,RB,13,123,623,5.1,47.9,1,4,1,2,0,0,2,1
Melvin Gordon,LAC,RB,12,162,612,3.8,51.0,8,2,0,1,0,0,4,3
Frank Gore,BUF,RB,16,166,599,3.6,37.4,2,4,1,1,0,0,0,0
Austin Ekeler,LAC,RB,16,132,557,4.2,34.8,3,4,0,1,0,0,3,2
Tevin Coleman,SF,RB,14,137,544,4.0,38.9,6,4,1,1,0,0,0,0
Kyler Murray,ARI,QB,16,93,544,5.8,34.0,4,7,0,0,0,0,5,2
Jordan Howard,PHI,RB,10,119,525,4.4,52.5,6,1,0,0,0,0,0,0
Josh Allen,BUF,QB,16,109,510,4.7,31.9,9,1,0,0,0,0,14,4
Damien Williams,KC,RB,11,111,498,4.5,45.3,5,2,2,2,0,0,1,1
Royce Freeman,DEN,RB,16,132,496,3.8,31.0,3,1,0,0,0,0,0,0
Peyton Barber,TB,RB,16,154,470,3.1,29.4,6,0,0,0,0,0,1,1
LeSean McCoy,KC,RB,13,101,465,4.6,35.8,4,4,0,0,0,0,3,2
James Conner,PIT,RB,10,116,464,4.0,46.4,4,2,0,1,0,0,1,1
Alexander Mattison,MIN,RB,13,100,462,4.6,35.5,1,4,0,0,0,0,1,1
Jamaal Williams,GB,RB,14,107,460,4.3,32.9,1,1,1,1,0,0,0,0
Tony Pollard,DAL,RB,15,86,455,5.3,30.3,2,4,1,2,0,0,1,1
Benny Snell,PIT,RB,13,108,426,3.9,32.8,2,3,0,0,0,0,1,1
Deshaun Watson,HOU,QB,15,82,413,5.0,27.5,7,1,0,0,0,0,10,3
Duke Johnson,HOU,RB,16,83,410,4.9,25.6,2,2,1,0,0,0,1,1
Kerryon Johnson,DET,RB,8,113,403,3.6,50.4,3,1,0,1,0,0,1,1
DeAndre Washington,OAK,RB,16,108,387,3.6,24.2,3,1,0,0,0,0,0,0
Bo Scarbrough,DET,RB,6,89,377,4.2,62.8,1,2,0,0,0,0,1,1
Rashaad Penny,SEA,RB,10,65,370,5.7,37.0,3,4,1,1,0,0,1,1
David Johnson,ARI,RB,13,94,345,3.7,26.5,2,0,0,0,0,0,1,1
Gardner Minshew,JAX,QB,14,67,344,5.1,24.6,0,2,0,0,0,0,13,7
Russell Wilson,SEA,QB,16,75,342,4.6,21.4,3,1,0,0,0,0,8,2
Brian Hill,ATL,RB,12,78,323,4.1,26.9,2,2,0,0,0,0,0,0
Jordan Wilkins,IND,RB,14,51,307,6.0,21.9,2,2,1,0,0,0,0,0
Chase Edmonds,ARI,RB,13,60,303,5.1,23.3,4,4,0,1,0,0,0,0
Rex Burkhead,NE,RB,13,65,302,4.6,23.2,3,1,0,0,0,0,1,1
Daniel Jones,NYG,QB,13,45,279,6.2,21.5,2,1,0,0,0,0,18,11
