,,,,Rushing,,,,Red Zone Rush Att,,,,Red Zone Rush TD,,
Name,Team,Pos,G,ATT,YDS,AVG,TD,In20,In10,In5,%Tm,In20,In10,In5
Derrick Henry,TEN,RB,15,303,1540,5.1,16,45,24,11,76.27,13,10,7
Nick Chubb,CLE,RB,16,298,1494,5.0,8,51,32,16,73.91,6,4,3
Christian McCaffrey,CAR,RB,16,287,1387,4.8,15,56,32,20,80.00,11,10,9
Ezekiel Elliott,DAL,RB,16,301,1357,4.5,12,61,31,18,77.22,11,11,10
Chris Carson,SEA,RB,15,278,1230,4.4,7,41,20,9,56.16,7,6,5
Lamar Jackson,BAL,QB,15,176,1206,6.9,7,28,14,7,25.69,5,5,3
Leonard Fournette,JAX,RB,15,265,1152,4.3,3,46,23,8,68.66,3,3,3
Josh Jacobs,OAK,RB,13,242,1150,4.8,7,42,21,12,63.64,7,5,5
Joe Mixon,CIN,RB,16,278,1137,4.1,5,41,25,18,71.93,5,5,5
Dalvin Cook,MIN,RB,14,250,1135,4.5,13,47,32,21,48.45,12,11,9
Marlon Mack,IND,RB,14,247,1091,4.4,8,37,17,9,46.84,7,6,4
Aaron Jones,GB,RB,16,236,1084,4.6,16,34,19,17,58.62,14,11,10
Carlos Hyde,HOU,RB,16,245,1070,4.4,6,35,16,9,51.47,5,5,4
Mark Ingram,BAL,RB,15,202,1018,5.0,10,40,26,16,36.70,10,9,8
Phillip Lindsay,DEN,RB,16,224,1011,4.5,7,30,12,8,46.88,5,5,5
Saquon Barkley,NYG,RB,13,217,1003,4.6,6,32,16,8,61.54,3,3,1
Sony Michel,NE,RB,16,247,912,3.7,7,44,27,14,52.38,7,6,6
Adrian Peterson,WAS,RB,15,211,898,4.3,5,24,11,7,52.17,5,4,3
David Montgomery,CHI,RB,16,242,889,3.7,6,33,23,18,62.26,6,5,5
Todd Gurley,LAR,RB,15,223,857,3.8,12,56,29,15,62.92,12,11,8
Miles Sanders,PHI,RB,16,179,818,4.6,3,27,14,6,34.18,2,2,2
Alvin Kamara,NO,RB,14,171,797,4.7,5,27,14,8,38.57,4,3,3
Le'Veon Bell,NYJ,RB,15,245,789,3.2,3,20,9,6,60.61,3,3,3
Devin Singletary,BUF,RB,12,151,775,5.1,2,18,3,2,25.35,2,1,1
Raheem Mostert,SF,RB,16,137,772,5.6,8,14,6,5,17.28,6,3,2
Ronald Jones,TB,RB,16,172,724,4.2,6,20,10,4,34.48,6,6,4
Gus Edwards,BAL,RB,16,133,711,5.3,2,23,10,8,21.10,1,0,0
Devonta Freeman,ATL,RB,14,184,656,3.6,2,22,3,1,36.67,2,0,0
Kenyan Drake,ARI,RB,8,123,643,5.2,8,17,11,8,27.42,7,6,6
Latavius Murray,NO,RB,16,146,637,4.4,5,23,14,4,32.86,3,3,2
Matt Breida,SF,RB,13,123,623,5.1,1,5,2,1,6.17,0,0,0
Melvin Gordon,LAC,RB,12,162,612,3.8,8,32,20,15,52.46,8,7,7
Frank Gore,BUF,RB,16,166,599,3.6,2,26,18,11,36.62,2,2,2
Austin Ekeler,LAC,RB,16,132,557,4.2,3,17,11,9,27.87,3,3,2
Kyler Murray,ARI,QB,16,93,544,5.8,4,19,7,3,30.65,3,2,0
Tevin Coleman,SF,RB,14,137,544,4.0,6,28,15,9,34.57,5,3,3
Jordan Howard,PHI,RB,10,119,525,4.4,6,22,12,10,27.85,6,5,5
Josh Allen,BUF,QB,16,109,510,4.7,9,22,11,5,30.99,9,8,5
Damien Williams,KC,RB,11,111,498,4.5,5,16,8,3,23.53,3,3,2
Royce Freeman,DEN,RB,16,132,496,3.8,3,26,13,5,40.63,3,3,3
Peyton Barber,TB,RB,16,154,470,3.1,6,22,13,10,37.93,6,4,4
LeSean McCoy,KC,RB,13,101,465,4.6,4,19,12,7,27.94,4,4,3
James Conner,PIT,RB,10,116,464,4.0,4,14,7,5,22.22,4,3,2
Alexander Mattison,MIN,RB,13,100,462,4.6,1,27,14,3,27.84,1,1,0
Jamaal Williams,GB,RB,14,107,460,4.3,1,13,5,2,22.41,1,1,1
Tony Pollard,DAL,RB,15,86,455,5.3,2,2,0,0,2.53,1,0,0
Benny Snell,PIT,RB,13,108,426,3.9,2,22,10,3,34.92,2,2,2
Deshaun Watson,HOU,QB,15,82,413,5.0,7,17,9,7,25.00,7,7,6
Duke Johnson,HOU,RB,16,83,410,4.9,2,9,2,2,13.24,2,2,2
Kerryon Johnson,DET,RB,8,113,403,3.6,3,21,15,10,40.38,3,3,3
DeAndre Washington,OAK,RB,16,108,387,3.6,3,15,7,4,22.73,3,2,2
Bo Scarbrough,DET,RB,6,89,377,4.2,1,6,4,1,11.54,1,1,1
Rashaad Penny,SEA,RB,10,65,370,5.7,3,8,4,3,10.96,1,1,1
David Johnson,ARI,RB,13,94,345,3.7,2,15,6,6,24.19,3,2,2
Gardner Minshew,JAX,QB,14,67,344,5.1,0,10,4,1,14.93,0,0,0
Russell Wilson,SEA,QB,16,75,342,4.6,3,13,6,4,17.81,3,2,1
Brian Hill,ATL,RB,12,78,323,4.1,2,10,4,2,16.67,1,1,1
Jordan Wilkins,IND,RB,14,51,307,6.0,2,11,6,5,13.92,2,2,2
Chase Edmonds,ARI,RB,13,60,303,5.1,4,7,1,0,11.29,2,0,0
Rex Burkhead,NE,RB,13,65,302,4.6,3,9,5,2,10.71,2,2,2
Daniel Jones,NYG,QB,13,45,279,6.2,2,5,3,1,9.62,2,2,0
Dak Prescott,DAL,QB,16,52,277,5.3,3,14,9,3,17.72,3,3,1
Mike Boone,MIN,RB,16,49,273,5.6,3,12,9,3,12.37,3,3,2
Ty Johnson,DET,RB,16,63,273,4.3,0,7,5,1,13.46,0,0,0
James White,NE,RB,15,67,263,3.9,1,13,6,5,15.48,1,1,1
Malcolm Brown,LAR,RB,14,69,255,3.7,5,16,10,8,17.98,5,5,5
Jameis Winston,TB,QB,16,59,250,4.2,1,8,6,5,13.79,1,1,1
Boston Scott,PHI,RB,11,61,245,4.0,5,12,8,4,15.19,5,5,4
Derrius Guice,WAS,RB,5,42,245,5.8,2,7,3,3,15.22,2,2,2
Carson Wentz,PHI,QB,16,62,243,3.9,1,13,5,4,16.46,1,1,1
Ryan Fitzpatrick,MIA,QB,15,54,243,4.5,4,16,8,4,26.67,4,2,1
Jonathan Williams,IND,RB,9,49,235,4.8,1,8,2,1,10.13,1,0,0
Bilal Powell,NYJ,RB,13,59,229,3.9,0,5,1,0,15.15,0,0,0
Jacoby Brissett,IND,QB,15,56,228,4.1,4,14,7,5,17.72,4,4,4
Justice Hill,BAL,RB,16,58,225,3.9,2,10,2,1,9.17,2,1,0
Patrick Mahomes,KC,QB,14,43,218,5.1,2,6,2,1,8.82,2,0,0
Tarik Cohen,CHI,RB,16,64,213,3.3,0,7,4,1,13.21,0,0,0
Dion Lewis,TEN,RB,16,54,209,3.9,0,3,0,0,5.08,0,0,0
J.D. McKissic,DET,RB,16,38,205,5.4,0,5,3,1,9.62,0,0,0
Mark Walton,MIA,RB,7,53,201,3.8,0,3,2,2,5.00,0,0,0
Justin Jackson,LAC,RB,7,29,200,6.9,0,5,1,0,8.20,0,0,0
Nyheim Hines,IND,RB,16,52,199,3.8,2,8,5,3,10.13,2,2,1
Mitchell Trubisky,CHI,QB,15,48,193,4.0,2,6,3,2,11.32,1,1,1
Ryan Tannehill,TEN,QB,12,43,185,4.3,4,4,3,2,6.78,3,3,2
Aaron Rodgers,GB,QB,16,46,183,4.0,1,10,7,4,17.24,1,1,1
Kareem Hunt,CLE,RB,8,43,179,4.2,2,5,2,1,7.25,2,2,1
Jaylen Samuels,PIT,RB,14,66,175,2.7,1,11,7,3,17.46,1,1,1
Kenyan Drake,MIA,RB,6,47,174,3.7,0,5,2,0,8.33,0,0,0
Giovani Bernard,CIN,RB,16,53,170,3.2,0,9,3,1,15.79,0,0,0
Patrick Laird,MIA,RB,15,62,168,2.7,1,11,5,2,18.33,1,1,1
Deebo Samuel,SF,WR,15,14,159,11.4,3,3,0,0,3.70,2,0,0
Taysom Hill,NO,QB,16,27,156,5.8,1,6,2,0,8.57,0,0,0
