,,,,Rushing,,,,Red Zone Rush Att,,,,Red Zone Rush TD,,
Jeff Driskel,DET,QB,3,22,151,6.9,1,4,3,1,7.69,1,1,1
Matt Ryan,ATL,QB,15,34,147,4.3,1,4,1,1,6.67,1,1,1
Darrell Henderson,LAR,RB,13,39,147,3.8,0,2,2,2,2.25,0,0,0
Jalen Richard,OAK,RB,16,39,145,3.7,0,2,0,0,3.03,0,0,0
Baker Mayfield,CLE,QB,16,28,141,5.0,3,7,6,2,10.14,3,3,1
Darrel Williams,KC,RB,12,41,141,3.4,3,11,7,6,16.18,3,3,2
Chris Thompson,WAS,RB,11,37,138,3.7,0,6,4,2,13.04,0,0,0
Kalen Ballage,MIA,RB,12,74,135,1.8,3,16,12,7,26.67,3,3,3
Myles Gaskin,MIA,RB,7,36,133,3.7,1,5,2,1,8.33,1,1,1
Curtis Samuel,CAR,WR,16,19,130,6.8,1,4,2,1,5.71,1,1,0
Marcus Mariota,TEN,QB,7,24,129,5.4,0,4,2,1,6.78,0,0,0
Darwin Thompson,KC,RB,12,37,128,3.5,1,10,3,1,14.71,1,1,1
Kerrith Whyte,PIT,RB,6,24,122,5.1,0,2,1,0,3.17,0,0,0
Reggie Bonnafon,CAR,RB,16,16,116,7.3,1,0,0,0,0.00,0,0,0
Robert Woods,LAR,WR,15,17,115,6.8,1,4,2,1,4.49,1,1,0
Ameer Abdullah,MIN,RB,16,23,115,5.0,0,3,0,0,3.09,0,0,0
Travis Homer,SEA,RB,16,18,114,6.3,0,4,2,0,5.48,0,0,0
Wayne Gallman,NYG,RB,10,29,110,3.8,2,6,4,4,11.54,2,2,2
Ryquell Armstead,JAX,RB,16,35,108,3.1,0,8,3,1,11.94,0,0,0
Kyle Allen,CAR,QB,13,32,106,3.3,2,5,3,2,7.14,2,1,1
Ito Smith,ATL,RB,7,22,106,4.8,1,9,5,4,15.00,1,1,1
Jeff Wilson,SF,RB,10,27,105,3.9,4,16,10,6,19.75,4,4,4
Ty Montgomery,NYJ,RB,16,32,103,3.2,0,1,0,0,3.03,0,0,0
Cordarrelle Patterson,CHI,WR,16,17,103,6.1,0,4,2,0,7.55,0,0,0
Dwayne Haskins,WAS,QB,9,20,101,5.1,0,2,1,1,4.35,0,0,0
Christian Kirk,ARI,WR,13,10,93,9.3,0,1,0,0,1.61,0,0,0
Trey Edmunds,PIT,RB,11,22,92,4.2,0,4,1,1,6.35,0,0,0
Jon Hilliman,NYG,RB,3,30,91,3.0,0,3,2,1,5.77,0,0,0
Steven Sims,WAS,WR,16,9,85,9.4,1,1,0,0,2.17,0,0,0
Derek Carr,OAK,QB,16,27,82,3.0,2,4,3,3,6.06,2,2,2
Wendell Smallwood,WAS,RB,15,22,81,3.7,0,2,0,0,4.35,0,0,0
Jonnu Smith,TEN,TE,16,4,78,19.5,0,1,0,0,1.69,0,0,0
Ryan Finley,CIN,QB,3,10,77,7.7,0,0,0,0,0.00,0,0,0
Andy Dalton,CIN,QB,13,32,73,2.3,4,7,5,5,12.28,4,4,4
Trevor Davis,OAK,WR,9,4,73,18.3,1,0,0,0,0.00,0,0,0
Drew Lock,DEN,QB,5,18,72,4.0,0,2,0,0,3.13,0,0,0
Sterling Shepard,NYG,WR,10,6,72,12.0,0,1,1,0,1.92,0,0,0
C.J. Prosise,SEA,RB,9,23,72,3.1,1,4,3,2,5.48,1,1,0
Robert Griffin,BAL,QB,7,20,70,3.5,0,6,4,2,5.50,0,0,0
Devlin Hodges,PIT,QB,8,21,68,3.2,0,6,5,2,9.52,0,0,0
Brandon Bolden,NE,RB,15,15,68,4.5,3,5,5,4,5.95,3,3,2
Matthew Stafford,DET,QB,8,20,66,3.3,0,2,1,0,3.85,0,0,0
Darren Sproles,PHI,RB,6,17,66,3.9,0,2,0,0,2.53,0,0,0
Kirk Cousins,MIN,QB,15,31,63,2.0,1,3,3,3,3.09,1,1,1
T.J. Yeldon,BUF,RB,6,17,63,3.7,0,2,1,0,2.82,0,0,0
Jimmy Garoppolo,SF,QB,16,46,62,1.3,1,10,4,1,12.35,1,1,1
Sam Darnold,NYJ,QB,13,33,62,1.9,2,6,3,2,18.18,2,2,2
Stefon Diggs,MIN,WR,15,5,61,12.2,0,0,0,0,0.00,0,0,0
A.J. Brown,TEN,WR,16,3,60,20.0,1,0,0,0,0.00,0,0,0
Dwayne Washington,NO,RB,16,8,60,7.5,0,1,0,0,1.43,0,0,0
Brandin Cooks,LAR,WR,14,6,52,8.7,0,0,0,0,0.00,0,0,0
Vyncint Smith,NYJ,WR,13,3,52,17.3,1,1,0,0,3.03,1,0,0
Spencer Ware,KC,RB,3,17,51,3.0,0,2,1,0,2.94,0,0,0
Qadree Ollison,ATL,RB,8,22,50,2.3,4,13,8,6,21.67,4,4,4
Isaiah McKenzie,BUF,WR,15,8,49,6.1,0,0,0,0,0.00,0,0,0
N'Keal Harry,NE,WR,7,5,49,9.8,0,0,0,0,0.00,0,0,0
Dontrell Hilliard,CLE,RB,14,13,49,3.8,2,5,3,2,7.25,2,2,2
Tavon Austin,DAL,WR,14,6,47,7.8,1,2,0,0,2.53,1,0,0
Albert Wilson,MIA,WR,13,5,45,9.0,0,2,0,0,3.33,0,0,0
C.J. Anderson,DET,RB,2,16,43,2.7,0,2,0,0,3.85,0,0,0
Mason Rudolph,PIT,QB,10,21,42,2.0,0,2,2,0,3.17,0,0,0
Diontae Johnson,PIT,WR,16,4,41,10.3,0,0,0,0,0.00,0,0,0
Brett Hundley,ARI,QB,3,7,41,5.9,0,2,1,0,3.23,0,0,0
Jared Goff,LAR,QB,16,33,40,1.2,2,10,8,5,11.24,2,2,2
D.J. Moore,CAR,WR,15,6,40,6.7,0,2,1,0,2.86,0,0,0
Taiwan Jones,HOU,RB,11,9,40,4.4,0,1,0,0,1.47,0,0,0
Brandon Allen,DEN,QB,3,10,39,3.9,0,1,0,0,1.56,0,0,0
AJ McCarron,HOU,QB,2,5,39,7.8,1,1,1,1,1.47,1,1,1
Elijhaa Penny,NYG,FB,16,15,39,2.6,0,2,2,0,3.85,0,0,0
Javorius Allen,NYG,RB,10,10,36,3.6,1,2,1,1,3.85,1,1,1
Tom Brady,NE,QB,16,26,34,1.3,3,11,10,7,13.10,3,3,3
Calvin Ridley,ATL,WR,13,2,34,17.0,0,0,0,0,0.00,0,0,0
Parris Campbell,IND,WR,7,4,34,8.5,0,0,0,0,0.00,0,0,0
Marshawn Lynch,SEA,RB,1,12,34,2.8,1,3,1,1,4.11,1,1,1
Tra Carson,DET,RB,1,12,34,2.8,0,1,0,0,1.92,0,0,0
Alex Erickson,CIN,WR,16,5,33,6.6,0,0,0,0,0.00,0,0,0
Teddy Bridgewater,NO,QB,9,28,31,1.1,0,9,4,1,12.86,0,0,0
David Blough,DET,QB,5,8,31,3.9,0,1,1,0,1.92,0,0,0
Deonte Harris,NO,WR,14,4,31,7.8,0,0,0,0,0.00,0,0,0
Jay Ajayi,PHI,RB,3,10,30,3.0,0,2,0,0,2.53,0,0,0
Philip Rivers,LAC,QB,16,12,29,2.4,0,1,1,0,1.64,0,0,0
Robert Foster,BUF,WR,13,2,29,14.5,0,0,0,0,0.00,0,0,0
Paul Perkins,DET,RB,4,12,29,2.4,0,0,0,0,0.00,0,0,0
Kenjon Barner,ATL,RB,14,4,28,7.0,0,0,0,0,0.00,0,0,0
Julian Edelman,NE,WR,16,8,27,3.4,0,0,0,0,0.00,0,0,0
Dede Westbrook,JAX,WR,15,5,27,5.4,0,0,0,0,0.00,0,0,0
Derek Carrier,OAK,TE,16,1,27,27.0,0,0,0,0,0.00,0,0,0
Devine Ozigbo,JAX,RB,10,9,27,3.0,0,3,0,0,4.48,0,0,0
Dalyn Dawkins,TEN,RB,2,11,26,2.4,0,2,0,0,3.39,0,0,0
David Moore,SEA,WR,14,3,25,8.3,0,0,0,0,0.00,0,0,0
Mike Davis,CHI,RB,7,11,25,2.3,0,0,0,0,0.00,0,0,0
Tyler Boyd,CIN,WR,16,4,23,5.8,0,0,0,0,0.00,0,0,0
Tyreek Hill,KC,WR,12,8,23,2.9,0,1,0,0,1.47,0,0,0
Nick Foles,JAX,QB,4,4,23,5.8,0,0,0,0,0.00,0,0,0
Josh Reynolds,LAR,WR,16,5,23,4.6,0,0,0,0,0.00,0,0,0
George Kittle,SF,TE,14,5,22,4.4,0,2,1,1,2.47,0,0,0
Will Grier,CAR,QB,2,7,22,3.1,0,1,0,0,1.43,0,0,0
Phillip Dorsett,NE,WR,14,3,21,7.0,0,1,0,0,1.19,0,0,0
Allen Lazard,GB,WR,16,1,21,21.0,0,0,0,0,0.00,0,0,0
Wes Hills,DET,RB,1,10,21,2.1,2,3,3,3,5.77,2,2,2
D'Ernest Johnson,CLE,RB,16,4,21,5.3,0,0,0,0,0.00,0,0,0
DJ Chark,JAX,WR,15,2,20,10.0,0,0,0,0,0.00,0,0,0
Joe Flacco,DEN,QB,8,12,20,1.7,0,2,2,1,3.13,0,0,0
Taylor Gabriel,CHI,WR,9,3,20,6.7,0,2,0,0,3.77,0,0,0
Bennie Fowler,NYG,WR,8,1,20,20.0,0,0,0,0,0.00,0,0,0
Troymaine Pope,LAC,RB,14,10,20,2.0,0,2,0,0,3.28,0,0,0
Zach Line,NO,FB,12,7,20,2.9,0,1,1,1,1.43,0,0,0
DeAndre Hopkins,HOU,WR,15,2,18,9.0,0,2,1,0,2.94,0,0,0
Ted Ginn,NO,WR,16,3,18,6.0,0,1,0,0,1.43,0,0,0
Chester Rogers,IND,WR,12,1,18,18.0,0,0,0,0,0.00,0,0,0
Courtland Sutton,DEN,WR,16,3,17,5.7,0,1,1,0,1.56,0,0,0
Mecole Hardman,KC,WR,16,4,17,4.3,0,0,0,0,0.00,0,0,0
Dare Ogunbowale,TB,RB,16,11,17,1.5,2,7,7,7,12.07,2,2,2
C.J. Ham,MIN,FB,16,7,17,2.4,0,3,2,2,3.09,0,0,0
Alec Ingold,OAK,FB,16,10,17,1.7,0,3,3,3,4.55,0,0,0
Keenan Allen,LAC,WR,16,3,16,5.3,0,0,0,0,0.00,0,0,0
Golden Tate,NYG,WR,11,1,16,16.0,0,0,0,0,0.00,0,0,0
Breshad Perriman,TB,WR,14,2,16,8.0,0,0,0,0,0.00,0,0,0
Zach Pascal,IND,WR,16,2,16,8.0,0,0,0,0,0.00,0,0,0
Scotty Miller,TB,WR,10,2,16,8.0,0,0,0,0,0.00,0,0,0
Samaje Perine,MIA,RB,1,5,16,3.2,0,0,0,0,0.00,0,0,0
Andy Isabella,ARI,WR,15,4,15,3.8,0,1,0,0,1.61,0,0,0
Marquise Goodwin,SF,WR,9,1,15,15.0,0,0,0,0,0.00,0,0,0
Keke Coutee,HOU,WR,9,2,14,7.0,1,1,1,1,1.47,1,1,1
Colt McCoy,WAS,QB,1,2,14,7.0,0,0,0,0,0.00,0,0,0
Tra Carson,GB,RB,2,6,14,2.3,0,0,0,0,0.00,0,0,0
Josh Rosen,MIA,QB,6,3,13,4.3,0,0,0,0,0.00,0,0,0
Case Keenum,WAS,QB,10,9,12,1.3,1,4,2,2,8.70,1,1,1
Sammy Watkins,KC,WR,14,2,12,6.0,0,0,0,0,0.00,0,0,0
Russell Gage,ATL,WR,16,4,12,3.0,0,0,0,0,0.00,0,0,0
Josh Adams,NYJ,RB,3,8,12,1.5,0,0,0,0,0.00,0,0,0
Damien Harris,NE,RB,2,4,12,3.0,0,0,0,0,0.00,0,0,0
DK Metcalf,SEA,WR,16,2,11,5.5,0,0,0,0,0.00,0,0,0
Randall Cobb,DAL,WR,15,3,11,3.7,0,0,0,0,0.00,0,0,0
Isaiah Ford,MIA,WR,8,1,11,11.0,0,0,0,0,0.00,0,0,0
Alex Armah,CAR,FB,16,6,11,1.8,1,2,2,2,2.86,1,1,1
Dexter Williams,GB,RB,4,5,11,2.2,0,0,0,0,0.00,0,0,0
John Franklin,TB,WR,1,1,11,11.0,0,0,0,0,0.00,0,0,0
Jarvis Landry,CLE,WR,16,1,10,10.0,0,0,0,0,0.00,0,0,0
Odell Beckham,CLE,WR,16,3,10,3.3,0,1,0,0,1.45,0,0,0
Derek Watt,LAC,FB,16,7,10,1.4,1,4,3,1,6.56,1,1,1
T.J. Logan,TB,RB,12,3,10,3.3,0,1,1,1,1.72,0,0,0
Tyler Ervin,GB,RB,4,1,10,10.0,0,0,0,0,0.00,0,0,0
Buddy Howell,HOU,RB,16,5,10,2.0,0,2,1,1,2.94,0,0,0
Marquez Valdes-Scantling,GB,WR,16,2,9,4.5,0,0,0,0,0.00,0,0,0
Dawson Knox,BUF,TE,15,1,9,9.0,0,0,0,0,0.00,0,0,0
Devontae Booker,DEN,RB,16,2,9,4.5,0,0,0,0,0.00,0,0,0
Anthony Sherman,KC,FB,16,4,9,2.3,0,1,0,0,1.47,0,0,0
Johnny Holton,PIT,WR,16,1,9,9.0,0,0,0,0,0.00,0,0,0
John Kelly,LAR,RB,4,3,9,3.0,0,0,0,0,0.00,0,0,0
Jordan Scarlett,CAR,RB,9,4,9,2.3,0,0,0,0,0.00,0,0,0
Josh Ferguson,WAS,RB,2,3,9,3.0,0,0,0,0,0.00,0,0,0
Jamal Agnew,DET,WR,13,1,9,9.0,0,0,0,0,0.00,0,0,0
Chris Godwin,TB,WR,14,1,8,8.0,0,0,0,0,0.00,0,0,0
Mohamed Sanu,NE,WR,8,1,8,8.0,0,0,0,0,0.00,0,0,0
Keith Smith,ATL,FB,16,5,8,1.6,0,2,0,0,3.33,0,0,0
Ryan Nall,CHI,RB,8,2,8,4.0,0,0,0,0,0.00,0,0,0
John Brown,BUF,WR,15,2,7,3.5,0,1,0,0,1.41,0,0,0
Eli Manning,NYG,QB,4,4,7,1.8,0,1,1,0,1.92,0,0,0
Evan Engram,NYG,TE,8,3,7,2.3,0,0,0,0,0.00,0,0,0
Nelson Agholor,PHI,WR,11,2,7,3.5,0,0,0,0,0.00,0,0,0
Will Dissly,SEA,TE,6,1,7,7.0,0,0,0,0,0.00,0,0,0
Geronimo Allison,GB,WR,16,1,7,7.0,0,0,0,0,0.00,0,0,0
Marvin Hall,DET,WR,9,1,7,7.0,0,0,0,0,0.00,0,0,0
Kyle Juszczyk,SF,FB,12,3,7,2.3,0,1,1,1,1.23,0,0,0
Ben Roethlisberger,PIT,QB,2,1,7,7.0,0,1,0,0,1.59,0,0,0
Tyrod Taylor,LAC,QB,8,10,7,0.7,0,0,0,0,0.00,0,0,0
Patrick DiMarco,BUF,FB,16,3,7,2.3,0,0,0,0,0.00,0,0,0
Andre Roberts,BUF,WR,13,1,7,7.0,0,1,0,0,1.41,0,0,0
Tony Brooks-James,PIT,RB,3,8,7,0.9,0,1,0,0,1.59,0,0,0
Amari Cooper,DAL,WR,16,1,6,6.0,0,0,0,0,0.00,0,0,0
Adam Thielen,MIN,WR,10,4,6,1.5,1,1,1,1,1.03,1,1,1
Keelan Cole,JAX,WR,16,1,6,6.0,0,0,0,0,0.00,0,0,0
Bisi Johnson,MIN,WR,16,1,6,6.0,0,0,0,0,0.00,0,0,0
Chase Daniel,CHI,QB,3,6,6,1.0,0,1,1,0,1.89,0,0,0
Diontae Spencer,DEN,WR,16,3,6,2.0,0,1,0,0,1.56,0,0,0
De'Lance Turner,MIA,RB,8,4,6,1.5,0,0,0,0,0.00,0,0,0
Darren Waller,OAK,TE,16,2,5,2.5,0,0,0,0,0.00,0,0,0
Greg Ward,PHI,WR,7,1,5,5.0,0,0,0,0,0.00,0,0,0
Jakeem Grant,MIA,WR,10,4,5,1.3,1,2,2,0,3.33,1,1,0
Antonio Brown,NE,WR,1,1,5,5.0,0,0,0,0,0.00,0,0,0
Da'Mari Scott,NYG,WR,5,1,5,5.0,0,0,0,0,0.00,0,0,0
Cooper Kupp,LAR,WR,16,2,4,2.0,0,0,0,0,0.00,0,0,0
Travis Kelce,KC,TE,16,1,4,4.0,1,1,1,1,1.47,1,1,1
Jamison Crowder,NYJ,WR,16,1,4,4.0,0,0,0,0,0.00,0,0,0
Robby Anderson,NYJ,WR,16,1,4,4.0,0,0,0,0,0.00,0,0,0
John Ross,CIN,WR,8,3,4,1.3,0,0,0,0,0.00,0,0,0
De'Anthony Thomas,KC,WR,6,1,4,4.0,0,0,0,0,0.00,0,0,0
Alfred Morris,ARI,RB,1,1,4,4.0,0,0,0,0,0.00,0,0,0
Mohamed Sanu,ATL,WR,7,2,3,1.5,0,0,0,0,0.00,0,0,0
KeeSean Johnson,ARI,WR,10,1,3,3.0,0,0,0,0,0.00,0,0,0
Andrew Beck,DEN,TE,16,1,3,3.0,0,0,0,0,0.00,0,0,0
Zay Jones,OAK,WR,10,1,3,3.0,0,0,0,0,0.00,0,0,0
Danny Vitale,GB,FB,15,1,3,3.0,0,1,0,0,1.72,0,0,0
Senorise Perry,BUF,RB,11,3,3,1.0,0,1,0,0,1.41,0,0,0
James Develin,NE,FB,2,2,3,1.5,0,1,1,1,1.19,0,0,0
Allen Robinson,CHI,WR,16,1,2,2.0,0,0,0,0,0.00,0,0,0
Mike Williams,LAC,WR,15,1,2,2.0,0,0,0,0,0.00,0,0,0
Alshon Jeffery,PHI,WR,10,1,2,2.0,1,1,1,1,1.27,1,1,1
Willie Snead,BAL,WR,16,2,2,1.0,0,1,0,0,0.92,0,0,0
Vance McDonald,PIT,TE,14,1,2,2.0,0,0,0,0,0.00,0,0,0
Brian Hoyer,IND,QB,4,8,2,0.3,0,1,1,0,1.27,0,0,0
Pharoh Cooper,ARI,WR,12,1,2,2.0,0,0,0,0,0.00,0,0,0
Trevon Wesco,NYJ,TE,16,1,2,2.0,0,0,0,0,0.00,0,0,0
Mike Davis,CAR,RB,5,2,2,1.0,0,0,0,0,0.00,0,0,0
Adam Humphries,TEN,WR,12,1,1,1.0,0,0,0,0,0.00,0,0,0
Josh Gordon,NE,WR,6,1,1,1.0,0,0,0,0,0.00,0,0,0
Andy Janovich,DEN,FB,7,1,1,1.0,1,1,1,1,1.56,1,1,1
Marqise Lee,JAX,WR,6,1,1,1.0,0,0,0,0,0.00,0,0,0
Zach Zenner,NO,RB,1,1,1,1.0,0,1,0,0,1.43,0,0,0
Trace McSorley,BAL,QB,1,1,1,1.0,0,0,0,0,0.00,0,0,0
De'Anthony Thomas,BAL,WR,8,1,1,1.0,0,0,0,0,0.00,0,0,0
Marvin Jones,DET,WR,13,2,0,0.0,0,0,0,0,0.00,0,0,0
Gerald Everett,LAR,TE,13,1,0,0.0,0,1,1,0,1.12,0,0,0
Paul Richardson,WAS,WR,10,1,0,0.0,0,0,0,0,0.00,0,0,0
Mike Glennon,OAK,QB,2,2,0,0.0,0,0,0,0,0.00,0,0,0
Chris Moore,BAL,WR,14,1,0,0.0,0,1,1,1,0.92,0,0,0
Anthony Miller,CHI,WR,16,1,-1,-1.0,0,0,0,0,0.00,0,0,0
Matt Moore,KC,QB,6,5,-1,-0.2,0,1,0,0,1.47,0,0,0
Richie James,SF,WR,16,2,-1,-0.5,0,2,1,1,2.47,0,0,0
Ryan Griffin,TB,QB,2,4,-1,-0.3,0,0,0,0,0.00,0,0,0
Cam Newton,CAR,QB,2,5,-2,-0.4,0,0,0,0,0.00,0,0,0
Josh McCown,PHI,QB,3,2,-2,-1.0,0,0,0,0,0.00,0,0,0
Jarrett Stidham,NE,QB,3,2,-2,-1.0,0,0,0,0,0.00,0,0,0
Julio Jones,ATL,WR,15,2,-3,-1.5,0,0,0,0,0.00,0,0,0
Matt Schaub,ATL,QB,6,3,-3,-1.0,0,0,0,0,0.00,0,0,0
Zach Zenner,ARI,RB,3,2,-3,-1.5,0,0,0,0,0.00,0,0,0
Nick Mullens,SF,QB,1,3,-3,-1.0,0,0,0,0,0.00,0,0,0
