,,,,Rushing,,,Rush Location,,,,,,,,,After Contact,,
Name,Team,Pos,G,ATT,YDS,TD,In%,In,Out%,Out,Stuffed,BT,BT%,POS%,TD%,YDS,AVG,%
Derrick Henry,TEN,RB,15,303,1540,16,65.0,91,35.0,49,53,65,21.5,82.5,0.1,968,3.2,62.9
Nick Chubb,CLE,RB,16,298,1494,8,59.7,92,40.3,62,54,64,21.5,81.9,0.0,1055,3.5,70.6
Christian McCaffrey,CAR,RB,16,287,1387,15,66.9,99,33.1,49,50,43,15.0,82.6,0.1,583,2.0,42.0
Ezekiel Elliott,DAL,RB,16,301,1357,12,74.6,126,25.4,43,34,44,14.6,88.7,0.0,785,2.6,57.8
Chris Carson,SEA,RB,15,278,1230,7,82.2,125,17.8,27,50,67,24.1,82.0,0.0,905,3.3,73.6
Lamar Jackson,BAL,QB,15,176,1206,7,29.5,41,70.5,98,34,54,30.7,80.7,0.0,521,3.0,43.2
Leonard Fournette,JAX,RB,15,265,1152,3,85.4,105,14.6,18,54,34,12.8,79.6,0.0,757,2.9,65.7
Josh Jacobs,OAK,RB,13,242,1150,7,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Joe Mixon,CIN,RB,16,278,1137,5,70.0,119,30.0,51,55,61,21.9,80.2,0.0,776,2.8,68.2
Dalvin Cook,MIN,RB,14,250,1135,13,43.3,52,56.7,68,37,42,16.8,85.2,0.1,682,2.7,60.1
Marlon Mack,IND,RB,14,247,1091,8,69.6,112,30.4,49,55,38,15.4,77.7,0.0,566,2.3,51.9
Aaron Jones,GB,RB,16,236,1084,16,68.2,107,31.8,50,40,44,18.6,83.1,0.1,621,2.6,57.3
Carlos Hyde,HOU,RB,16,245,1070,6,87.3,137,12.7,20,49,31,12.7,80.0,0.0,562,2.3,52.5
Mark Ingram,BAL,RB,15,202,1018,10,72.4,76,27.6,29,27,41,20.3,86.6,0.0,545,2.7,53.5
Phillip Lindsay,DEN,RB,16,224,1011,7,63.4,64,36.6,37,36,39,17.4,83.9,0.0,540,2.4,53.4
Saquon Barkley,NYG,RB,13,217,1003,6,87.6,113,12.4,16,46,40,18.4,78.8,0.0,680,3.1,67.8
Sony Michel,NE,RB,16,247,912,7,63.2,72,36.8,42,56,27,10.9,77.3,0.0,592,2.4,64.9
Adrian Peterson,WAS,RB,15,211,898,5,85.8,109,14.2,18,38,36,17.1,82.0,0.0,527,2.5,58.7
David Montgomery,CHI,RB,16,242,889,6,80.7,117,19.3,28,42,45,18.6,82.6,0.0,465,1.9,52.3
Todd Gurley,LAR,RB,15,223,857,12,74.3,75,25.7,26,46,38,17.0,79.4,0.1,562,2.5,65.6
Miles Sanders,PHI,RB,16,179,818,3,73.8,76,26.2,27,36,25,14.0,79.9,0.0,504,2.8,61.6
Kenyan Drake,MIA/ARI,RB,14,170,817,8,70.7,70,29.3,29,30,24,14.1,82.4,0.0,384,2.3,47.0
Alvin Kamara,NO,RB,14,171,797,5,61.5,56,38.5,35,27,38,22.2,84.2,0.0,443,2.6,55.6
Le'Veon Bell,NYJ,RB,15,245,789,3,88.4,107,11.6,14,48,34,13.9,80.4,0.0,550,2.2,69.7
Devin Singletary,BUF,RB,12,151,775,2,70.1,54,29.9,23,30,36,23.8,80.1,0.0,356,2.4,45.9
Raheem Mostert,SF,RB,16,137,772,8,50.0,36,50.0,36,16,28,20.4,88.3,0.1,402,2.9,52.1
Ronald Jones,TB,RB,16,172,724,6,89.7,78,10.3,9,40,34,19.8,76.7,0.0,538,3.1,74.3
Gus Edwards,BAL,RB,16,133,711,2,91.9,68,8.1,6,16,22,16.5,88.0,0.0,412,3.1,57.9
Devonta Freeman,ATL,RB,14,184,656,2,66.7,60,33.3,30,41,29,15.8,77.7,0.0,360,2.0,54.9
Latavius Murray,NO,RB,16,146,637,5,78.7,37,21.3,10,23,22,15.1,84.2,0.0,369,2.5,57.9
Matt Breida,SF,RB,13,123,623,1,46.7,28,53.3,32,30,14,11.4,75.6,0.0,286,2.3,45.9
Melvin Gordon,LAC,RB,12,162,612,8,73.1,68,26.9,25,32,21,13.0,80.2,0.0,336,2.1,54.9
Frank Gore,BUF,RB,16,166,599,2,80.7,71,19.3,17,40,14,8.4,75.9,0.0,379,2.3,63.3
Austin Ekeler,LAC,RB,16,132,557,3,46.3,31,53.7,36,24,34,25.8,81.8,0.0,365,2.8,65.5
Tevin Coleman,SF,RB,14,137,544,6,48.6,34,51.4,36,32,17,12.4,76.6,0.0,294,2.1,54.0
Kyler Murray,ARI,QB,16,93,544,4,32.0,24,68.0,51,20,15,16.1,78.5,0.0,126,1.4,23.2
Jordan Howard,PHI,RB,10,119,525,6,80.8,59,19.2,14,21,13,10.9,82.4,0.1,317,2.7,60.4
Josh Allen,BUF,QB,16,109,510,9,66.7,56,33.3,28,22,24,22.0,79.8,0.1,273,2.5,53.5
Damien Williams,KC,RB,11,111,498,5,49.1,28,50.9,29,20,23,20.7,82.0,0.0,357,3.2,71.7
Royce Freeman,DEN,RB,16,132,496,3,70.1,47,29.9,20,19,16,12.1,85.6,0.0,271,2.1,54.6
Peyton Barber,TB,RB,16,154,470,6,89.7,78,10.3,9,32,14,9.1,79.2,0.0,314,2.0,66.8
LeSean McCoy,KC,RB,13,101,465,4,65.5,36,34.5,19,18,10,9.9,82.2,0.0,182,1.8,39.1
James Conner,PIT,RB,10,116,464,4,70.3,45,29.7,19,30,15,12.9,74.1,0.0,261,2.3,56.3
Alexander Mattison,MIN,RB,13,100,462,1,45.9,17,54.1,20,20,15,15.0,80.0,0.0,272,2.7,58.9
Jamaal Williams,GB,RB,14,107,460,1,77.3,68,22.7,20,18,12,11.2,83.2,0.0,270,2.5,58.7
Tony Pollard,DAL,RB,15,86,455,2,58.2,32,41.8,23,15,23,26.7,82.6,0.0,343,4.0,75.4
Benny Snell,PIT,RB,13,108,426,2,81.8,54,18.2,12,19,17,15.7,82.4,0.0,308,2.9,72.3
Deshaun Watson,HOU,QB,15,82,413,7,32.9,24,67.1,49,17,9,11.0,79.3,0.1,89,1.1,21.5
Duke Johnson,HOU,RB,16,83,410,2,68.8,33,31.3,15,11,20,24.1,86.7,0.0,260,3.1,63.4
Kerryon Johnson,DET,RB,8,113,403,3,89.7,52,10.3,6,23,15,13.3,79.6,0.0,263,2.3,65.3
DeAndre Washington,OAK,RB,16,108,387,3,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Bo Scarbrough,DET,RB,6,89,377,1,78.0,39,22.0,11,14,10,11.2,84.3,0.0,234,2.6,62.1
Rashaad Penny,SEA,RB,10,65,370,3,75.0,30,25.0,10,8,5,7.7,87.7,0.0,166,2.6,44.9
David Johnson,ARI,RB,13,94,345,2,60.3,41,39.7,27,17,6,6.4,81.9,0.0,186,2.0,53.9
Gardner Minshew,JAX,QB,14,67,344,0,62.3,33,37.7,20,14,8,11.9,79.1,0.0,110,1.6,32.0
Russell Wilson,SEA,QB,16,75,342,3,51.6,32,48.4,30,22,5,6.7,70.7,0.0,66,0.9,19.3
Brian Hill,ATL,RB,12,78,323,2,78.3,36,21.7,10,16,7,9.0,79.5,0.0,228,2.9,70.6
Jordan Wilkins,IND,RB,14,51,307,2,62.9,22,37.1,13,9,12,23.5,82.4,0.0,162,3.2,52.8
Chase Edmonds,ARI,RB,13,60,303,4,53.8,21,46.2,18,10,7,11.7,83.3,0.1,161,2.7,53.1
Rex Burkhead,NE,RB,13,65,302,3,64.7,22,35.3,12,9,11,16.9,86.2,0.0,204,3.1,67.5
Daniel Jones,NYG,QB,13,45,279,2,52.9,18,47.1,16,9,4,8.9,80.0,0.0,101,2.2,36.2
Dak Prescott,DAL,QB,16,52,277,3,52.5,21,47.5,19,14,14,26.9,73.1,0.1,134,2.6,48.4
Mike Boone,MIN,RB,16,49,273,3,81.8,18,18.2,4,8,7,14.3,83.7,0.1,154,3.1,56.4
Ty Johnson,DET,RB,16,63,273,0,64.9,24,35.1,13,10,6,9.5,84.1,0.0,158,2.5,57.9
James White,NE,RB,15,67,263,1,56.4,22,43.6,17,14,9,13.4,79.1,0.0,141,2.1,53.6
Malcolm Brown,LAR,RB,14,69,255,5,58.6,17,41.4,12,16,16,23.2,76.8,0.1,150,2.2,58.8
Jameis Winston,TB,QB,16,59,250,1,71.7,38,28.3,15,18,11,18.6,69.5,0.0,109,1.8,43.6
Boston Scott,PHI,RB,11,61,245,5,87.2,34,12.8,5,10,9,14.8,83.6,0.1,117,1.9,47.8
Derrius Guice,WAS,RB,5,42,245,2,66.7,14,33.3,7,8,12,28.6,81.0,0.0,193,4.6,78.8
Carson Wentz,PHI,QB,16,62,243,1,67.9,36,32.1,17,14,9,14.5,77.4,0.0,103,1.7,42.4
