,,,,Receiving,,,,,,,,,Big Receiving Games,,,Fumbles,
Name,Team,Pos,G,REC,YDS,YPC,YDS/G,TD,TAR,YPT,20+,40+,100+,150+,200+,TOT,LOST
Nelson Agholor,LV,WR,1,4,44,11.0,44.0,1,4,11.0,0,0,0,0,0,0,0
Chris Conley,JAX,WR,1,3,44,14.0,44.0,0,4,11.0,1,0,0,0,0,0,0
Sammy Watkins,KC,WR,1,4,43,10.0,43.0,0,7,6.0,1,0,0,0,0,1,1
Jerick McKinnon,SF,RB,1,7,43,6.0,43.0,0,8,5.0,0,0,0,0,0,0,0
Noah Brown,DAL,WR,1,4,43,10.0,43.0,0,4,10.0,0,0,0,0,0,0,0
John Brown,BUF,WR,1,4,42,10.0,42.0,0,5,8.0,0,0,0,0,0,0,0
DeAndre Hopkins,ARI,WR,1,7,41,5.0,41.0,0,9,4.0,0,0,0,0,0,0,0
J.D. McKissic,WAS,RB,1,7,40,5.0,40.0,0,8,5.0,0,0,0,0,0,1,1
Aaron Jones,GB,RB,1,5,40,8.0,40.0,1,5,8.0,1,0,0,0,0,0,0
Justin Watson,TB,WR,1,4,40,10.0,40.0,0,6,6.0,0,0,0,0,0,0,0
Dan Arnold,ARI,TE,1,4,39,9.0,39.0,0,4,9.0,1,0,0,0,0,0,0
Hunter Henry,LAC,TE,1,2,39,19.0,39.0,0,4,9.0,1,0,0,0,0,0,0
Matt Breida,MIA,RB,1,3,39,13.0,39.0,0,3,13.0,1,0,0,0,0,0,0
Kenny Stills,HOU,WR,1,2,39,19.0,39.0,1,4,9.0,1,0,0,0,0,0,0
Tyler Lockett,SEA,WR,1,2,39,19.0,39.0,0,4,9.0,1,0,0,0,0,0,0
James White,NE,RB,1,7,38,5.0,38.0,0,8,4.0,0,0,0,0,0,0,0
Greg Ward,PHI,WR,1,4,38,9.0,38.0,0,7,5.0,1,0,0,0,0,0,0
Harrison Bryant,CLE,TE,1,4,37,9.0,37.0,0,4,9.0,0,0,0,0,0,0,0
Alvin Kamara,NO,RB,1,3,36,12.0,36.0,0,4,9.0,1,0,0,0,0,0,0
Jakeem Grant,MIA,WR,1,3,36,12.0,36.0,0,5,7.0,0,0,0,0,0,0,0
Robert Woods,LAR,WR,1,6,36,6.0,36.0,0,7,5.0,0,0,0,0,0,0,0
Randall Cobb,HOU,WR,1,2,36,18.0,36.0,0,5,7.0,1,0,0,0,0,0,0
Greg Olsen,SEA,TE,1,5,35,7.0,35.0,0,7,5.0,0,0,0,0,0,0,0
Julian Edelman,NE,WR,1,3,35,11.0,35.0,0,6,5.0,0,0,0,0,0,0,0
Devonta Freeman,NYG,RB,1,4,35,8.0,35.0,0,4,8.0,0,0,0,0,0,0,0
Evan Engram,NYG,TE,1,6,35,5.0,35.0,0,10,3.0,0,0,0,0,0,0,0
Richard Rodgers,PHI,TE,1,3,35,11.0,35.0,0,4,8.0,1,0,0,0,0,0,0
Noah Fant,DEN,TE,1,5,35,7.0,35.0,0,6,5.0,0,0,0,0,0,0,0
Deebo Samuel,SF,WR,1,3,35,11.0,35.0,0,3,11.0,0,0,0,0,0,0,0
Damion Ratley,NYG,WR,1,3,34,11.0,34.0,0,4,8.0,0,0,0,0,0,0,0
Cedrick Wilson,DAL,WR,1,3,34,11.0,34.0,0,6,5.0,0,0,0,0,0,0,0
Austin Hooper,CLE,TE,1,5,34,6.0,34.0,1,7,4.0,0,0,0,0,0,0,0
