,,,,Receiving,,,Air Yards (AY) / Depth of Target ,,,,,,Team %,,After Catch,,,PASS Int(PI),
Name,Team,Pos,G,TAR,REC,YDS,AY,aDOT,AY/Snap,Cmp AY,Catch %,Drop %,AY,TAR,YDS,AVG,%,Drawn,On
David Johnson,HOU,RB,1,3,2,29,17,5.7,0.5,14,66.7,0.0,6.3,10.0,15,7.5,51.7,0,0
Miles Boykin,BAL,WR,1,4,2,28,50,12.5,1.6,14,50.0,0.0,14.2,17.4,14,7.0,50.0,0,0
Mecole Hardman,KC,WR,1,4,4,27,0,0.0,0.0,0,100.0,0.0,0.0,13.8,27,6.8,100.0,0,0
Clyde Edwards-Helaire,KC,RB,1,3,3,27,-5,-1.7,-0.1,-5,100.0,0.0,-2.3,10.3,32,10.7,118.5,0,0
Kyle Rudolph,MIN,TE,1,2,2,27,19,9.5,0.4,19,100.0,0.0,6.8,9.1,8,4.0,29.6,0,0
Marcus Johnson,IND,WR,1,1,1,27,24,24.0,0.7,24,100.0,0.0,10.2,3.6,3,3.0,11.1,0,0
Mike Davis,CAR,RB,1,6,5,27,-9,-1.5,-0.2,-17,83.3,0.0,-3.9,16.7,44,8.8,163.0,0,0
James O'Shaughnessy,JAX,TE,1,2,1,26,24,12.0,0.7,18,50.0,0.0,7.6,4.9,8,8.0,30.8,0,0
Gabriel Davis,BUF,WR,1,1,1,26,26,26.0,0.7,26,100.0,0.0,12.7,3.1,0,0.0,0.0,0,0
Joshua Kelley,LAC,RB,1,3,3,26,-1,-0.3,0.0,-1,100.0,0.0,-0.5,12.0,27,9.0,103.8,0,0
Josh Reynolds,LAR,WR,1,4,3,25,43,10.8,1.4,22,75.0,0.0,23.4,12.5,3,1.0,12.0,0,0
Josh Jacobs,LV,RB,1,4,3,25,16,4.0,0.3,3,75.0,0.0,6.2,9.3,22,7.3,88.0,0,0
Chase Edmonds,ARI,RB,1,6,5,24,12,2.0,0.6,9,83.3,16.7,6.0,19.4,15,3.0,62.5,0,0
Ito Smith,ATL,RB,1,3,3,24,0,0.0,0.0,0,100.0,0.0,0.0,7.7,24,8.0,100.0,0,0
Blake Bell,DAL,TE,1,2,2,24,16,8.0,0.6,16,100.0,0.0,3.1,3.4,8,4.0,33.3,0,0
Cethan Carter,CIN,TE,1,1,1,24,18,18.0,0.9,18,100.0,0.0,4.7,2.9,6,6.0,25.0,0,0
Chris Hogan,NYJ,WR,1,8,4,23,75,9.4,1.1,23,50.0,0.0,18.3,18.6,0,0.0,0.0,0,0
Tyler Eifert,JAX,TE,1,6,2,22,38,6.3,0.8,9,40.0,0.0,12.0,12.2,13,6.5,59.1,1,0
Russell Gage,ATL,WR,1,3,2,22,25,8.3,0.5,20,66.7,0.0,6.6,7.7,2,1.0,9.1,0,0
Ke'Shawn Vaughn,TB,RB,1,3,2,22,6,2.0,0.3,4,66.7,33.3,1.4,6.7,18,9.0,81.8,0,0
Myles Gaskin,MIA,RB,1,4,3,22,-7,-1.8,-0.2,-4,75.0,0.0,-2.2,8.9,26,8.7,118.2,0,0
John Hightower,PHI,WR,1,2,2,22,16,8.0,0.3,16,100.0,0.0,11.1,8.0,6,3.0,27.3,0,0
Devin Singletary,BUF,RB,1,6,5,21,-4,-0.7,-0.1,-1,83.3,16.7,-2.0,18.8,22,4.4,104.8,0,0
N'Keal Harry,NE,WR,1,6,3,21,32,5.3,0.6,12,50.0,0.0,11.7,17.1,9,3.0,42.9,1,0
Darrius Shepherd,GB,WR,1,3,2,21,60,20.0,1.7,20,66.7,0.0,22.1,9.1,1,0.5,4.8,0,0
Darren Fells,HOU,TE,1,2,2,21,18,9.0,0.3,18,100.0,50.0,6.7,6.7,3,1.5,14.3,0,0
Duke Johnson,HOU,RB,1,4,3,21,7,1.8,0.3,1,75.0,0.0,2.6,13.3,20,6.7,95.2,0,0
