,,,,Receiving,,,Air Yards (AY) / Depth of Target ,,,,,,Team %,,After Catch,,,PASS Int(PI),
Name,Team,Pos,G,TAR,REC,YDS,AY,aDOT,AY/Snap,Cmp AY,Catch %,Drop %,AY,TAR,YDS,AVG,%,Drawn,On
A.J. Green,CIN,WR,1,5,1,3,102,20.4,1.9,3,20.0,0.0,26.7,14.3,0,0.0,0.0,0,0
Austin Ekeler,LAC,RB,1,1,1,2,-2,-2.0,-0.7,-2,100.0,0.0,-1.1,4.0,4,4.0,200.0,0,0
Dontrell Hilliard,CLE,RB,1,1,1,2,2,2.0,0.1,2,100.0,0.0,0.8,3.8,0,0.0,0.0,0,0
Adrian Killins,PHI,RB,1,1,1,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
J.K. Dobbins,BAL,RB,1,2,1,1,-8,-4.0,-0.4,-3,50.0,50.0,-2.3,8.7,4,4.0,400.0,0,0
Jamal Agnew,DET,WR,1,2,1,1,38,19.0,3.5,-3,50.0,0.0,11.4,6.7,4,4.0,400.0,0,0
Braxton Berrios,NYJ,WR,1,3,0,0,26,8.7,3.3,0,0.0,0.0,6.3,7.0,0,0.0,0.0,0,0
Trent Taylor,SF,WR,1,1,0,0,8,8.0,0.2,0,0.0,0.0,3.2,2.4,0,0.0,0.0,0,0
Peyton Barber,WAS,RB,1,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,2.3,0,0.0,0.0,0,0
Cordarrelle Patterson,CHI,WR,1,2,1,0,31,15.5,2.8,-4,50.0,50.0,8.7,4.8,4,4.0,0.0,0,0
Jake Butt,DEN,TE,1,1,0,0,7,7.0,0.2,0,0.0,0.0,2.5,3.6,0,0.0,0.0,0,0
C.J. Board,NYG,WR,1,1,0,0,11,11.0,0.3,0,0.0,100.0,5.5,2.8,0,0.0,0.0,0,0
Brandin Cooks,HOU,WR,1,3,0,0,30,10.0,0.5,0,0.0,33.3,11.2,10.0,0,0.0,0.0,0,0
Marvin Hall,DET,WR,1,1,0,0,43,43.0,8.6,0,0.0,0.0,12.9,3.3,0,0.0,0.0,0,0
T.J. Yeldon,BUF,RB,1,1,0,0,-4,-4.0,-0.5,0,0.0,0.0,-2.0,3.1,0,0.0,0.0,0,0
Kenjon Barner,TB,RB,1,1,0,0,4,4.0,1.0,0,0.0,100.0,1.0,2.2,0,0.0,0.0,0,0
Adrian Peterson,DET,RB,1,2,0,0,-4,-2.0,-0.1,0,0.0,100.0,-1.2,3.3,0,0.0,0.0,0,0
Irv Smith,MIN,TE,1,1,0,0,20,20.0,0.5,0,0.0,0.0,7.2,4.5,0,0.0,0.0,0,0
Cole Kmet,CHI,TE,1,1,0,0,11,11.0,0.7,0,0.0,0.0,3.1,2.4,0,0.0,0.0,0,0
Adam Shaheen,MIA,TE,1,1,0,0,2,2.0,0.1,0,0.0,0.0,0.6,2.2,0,0.0,0.0,0,0
C.J. Ham,MIN,FB,1,1,0,0,-4,-4.0,-0.1,0,0.0,0.0,-1.4,4.5,0,0.0,0.0,0,0
Nick Keizer,KC,TE,1,1,0,0,4,4.0,0.2,0,0.0,0.0,1.8,3.4,0,0.0,0.0,0,0
Bisi Johnson,MIN,WR,1,1,0,0,30,30.0,2.7,0,0.0,0.0,10.8,4.5,0,0.0,0.0,0,0
Lawrence Cager,NYJ,WR,1,2,0,0,49,24.5,4.9,0,0.0,0.0,12.0,4.7,0,0.0,0.0,0,0
Calvin Ridley,ATL,WR,1,5,0,0,108,21.6,2.4,0,0.0,0.0,28.3,12.8,0,0.0,0.0,0,0
Van Jefferson,LAR,WR,1,1,0,0,33,33.0,11.0,0,0.0,0.0,17.9,3.1,0,0.0,0.0,0,0
Daurice Fountain,IND,WR,1,1,0,0,15,15.0,1.0,0,0.0,0.0,6.4,3.6,0,0.0,0.0,0,0
Ryan Izzo,NE,TE,1,3,0,0,49,16.3,0.8,0,0.0,33.3,17.9,8.6,0,0.0,0.0,0,0
Darrel Williams,KC,RB,1,1,0,0,9,9.0,0.6,0,0.0,100.0,4.1,3.4,0,0.0,0.0,0,0
Jordan Howard,MIA,RB,1,1,1,-3,-4,-4.0,-0.5,-4,100.0,0.0,-1.3,2.2,1,1.0,-33.3,0,0
