,,,,Receiving,,,,Red Zone Targets,,,
Name,Team,Pos,G,REC,YDS,TD,TAR,In20,In10,In5,%Tm
George Kittle,SF,TE,1,15,183,1,15,2,2,1,33.33
Amari Cooper,DAL,WR,1,12,134,1,16,2,1,0,28.57
Mike Evans,TB,WR,1,7,122,1,8,1,1,0,14.29
Terry McLaurin,WAS,WR,1,10,118,0,14,0,0,0,0.00
Stefon Diggs,BUF,WR,1,6,115,0,7,0,0,0,0.00
Adam Thielen,MIN,WR,1,8,114,1,10,2,1,0,66.67
Tim Patrick,DEN,WR,1,6,113,1,7,1,1,0,25.00
DeVante Parker,MIA,WR,1,10,110,0,12,0,0,0,0.00
Will Fuller,HOU,WR,1,6,108,1,7,1,1,1,25.00
DK Metcalf,SEA,WR,1,4,106,0,6,1,1,0,12.50
Jamison Crowder,NYJ,WR,1,7,104,0,10,0,0,0,0.00
Justin Jefferson,MIN,WR,1,4,103,0,5,0,0,0,0.00
Allen Robinson,CHI,WR,1,7,101,1,10,1,0,0,33.33
Robby Anderson,CAR,WR,1,8,99,0,11,1,1,1,16.67
Robert Tonyan,GB,TE,1,6,98,3,6,2,1,0,40.00
DJ Chark,JAX,WR,1,8,95,2,9,2,1,1,40.00
David Moore,SEA,WR,1,3,95,1,4,1,0,0,12.50
Jamaal Williams,GB,RB,1,8,95,0,8,0,0,0,0.00
Emmanuel Sanders,NO,WR,1,6,93,0,9,0,0,0,0.00
Tyler Boyd,CIN,WR,1,7,90,0,8,0,0,0,0.00
Darren Waller,LV,TE,1,9,88,0,12,3,1,0,33.33
Laviska Shenault,JAX,WR,1,5,86,0,6,1,0,0,20.00
Marquise Brown,BAL,WR,1,4,86,0,8,0,0,0,0.00
Olamide Zaccheaus,ATL,WR,1,8,86,0,9,0,0,0,0.00
Scotty Miller,TB,WR,1,5,83,1,7,1,0,0,14.29
Antonio Gibson,WAS,RB,1,4,82,0,5,0,0,0,0.00
Odell Beckham,CLE,WR,1,5,81,2,8,1,1,1,33.33
Jeff Smith,NYJ,WR,1,7,81,0,9,0,0,0,0.00
Damiere Byrd,NE,WR,1,5,80,0,10,0,0,0,0.00
CeeDee Lamb,DAL,WR,1,5,79,2,7,3,3,3,42.86
Tee Higgins,CIN,WR,1,4,77,0,7,0,0,0,0.00
Dalton Schultz,DAL,TE,1,4,72,1,8,1,0,0,14.29
Jalen Guyton,LAC,WR,1,1,72,1,1,0,0,0,0.00
Ezekiel Elliott,DAL,RB,1,8,71,0,8,0,0,0,0.00
Travis Kelce,KC,TE,1,3,70,0,7,2,2,0,33.33
Cooper Kupp,LAR,WR,1,5,69,1,7,0,0,0,0.00
Tyreek Hill,KC,WR,1,4,64,1,6,1,1,0,16.67
