,,Route Data,,,,,
Name,Team,Route %,Blocking %,Routes,Plays,Snaps,Targets
Hayden Hurst,ATL,95.9,4.1,47,49,62,5
Evan Engram,NYG,93.3,6.7,42,45,64,7
Zach Ertz,PHI,79.5,20.5,35,44,58,7
Jack Doyle,IND,94.3,5.7,33,35,54,4
Dallas Goedert,PHI,81.6,18.4,31,38,54,9
George Kittle,SF,83.3,16.7,30,36,61,5
Travis Kelce,KC,85.7,14.3,30,35,61,6
Jimmy Graham,CHI,87.9,12.1,29,33,52,7
Austin Hooper,CLE,76.3,23.7,29,38,56,2
C.J. Uzomah,CIN,93.3,6.7,28,30,49,5
Darren Waller,LV,96.4,3.6,27,28,56,8
Logan Thomas,WAS,87.1,12.9,27,31,52,8
Jordan Akins,HOU,90.0,10.0,27,30,48,2
Mike Gesicki,MIA,93.1,6.9,27,29,45,5
T.J. Hockenson,DET,90.0,10.0,27,30,50,5
Hunter Henry,LAC,81.3,18.8,26,32,59,8
Jonnu Smith,TEN,86.7,13.3,26,30,59,7
Mark Andrews,BAL,100.0,0.0,25,25,42,6
Dan Arnold,ARI,100.0,0.0,25,25,45,2
Anthony Firkser,TEN,100.0,0.0,24,24,32,2
Dalton Schultz,DAL,92.3,7.7,24,26,50,4
Eric Ebron,PIT,96.0,4.0,24,25,40,2
Greg Olsen,SEA,88.5,11.5,23,26,41,4
Jared Cook,NO,95.8,4.2,23,24,44,7
Noah Fant,DEN,92.0,8.0,23,25,43,6
Dawson Knox,BUF,67.6,32.4,23,34,56,3
Ian Thomas,CAR,91.7,8.3,22,24,44,2
Rob Gronkowski,TB,75.9,24.1,22,29,54,3
Robert Tonyan,GB,88.0,12.0,22,25,48,0
Chris Herndon,NYJ,70.0,30.0,21,30,40,7
Tyler Higbee,LAR,77.8,22.2,21,27,65,4
O.J. Howard,TB,95.2,4.8,20,21,37,6
Mo Alie-Cox,IND,95.2,4.8,20,21,29,2
Harrison Bryant,CLE,94.4,5.6,17,18,31,2
Ryan Izzo,NE,71.4,28.6,15,21,63,2
Tyler Eifert,JAX,76.5,23.5,13,17,28,1
Maxx Williams,ARI,76.5,23.5,13,17,43,2
Nick Boyle,BAL,81.3,18.8,13,16,39,3
Kaden Smith,NYG,86.7,13.3,13,15,29,2
Irv Smith,MIN,86.7,13.3,13,15,31,1
Jesse James,DET,60.0,40.0,12,20,39,0
Vance McDonald,PIT,80.0,20.0,12,15,38,2
Kyle Rudolph,MIN,85.7,14.3,12,14,32,2
Blake Jarwin,DAL,66.7,33.3,12,18,25,1
Josh Hill,NO,73.3,26.7,11,15,36,1
Marcedes Lewis,GB,58.8,41.2,10,17,32,0
David Njoku,CLE,90.9,9.1,10,11,17,3
Gerald Everett,LAR,90.0,10.0,9,10,24,2
Levine Toilolo,NYG,75.0,25.0,9,12,24,1
Josiah Deguara,GB,69.2,30.8,9,13,24,2
Cole Kmet,CHI,72.7,27.3,8,11,20,1
Chris Manhertz,CAR,61.5,38.5,8,13,36,1
Darren Fells,HOU,66.7,33.3,8,12,25,2
James O'Shaughnessy,JAX,77.8,22.2,7,9,20,1
Ryan Griffin,NYJ,70.0,30.0,7,10,18,0
Jason Witten,LV,63.6,36.4,7,11,28,1
Nick Vannett,DEN,100.0,0.0,7,7,16,2
Jake Butt,DEN,85.7,14.3,6,7,16,2
Will Dissly,SEA,46.2,53.8,6,13,25,2
Luke Stocker,ATL,60.0,40.0,6,10,25,1
Nick Keizer,KC,60.0,40.0,6,10,30,0
Jaeden Graham,ATL,100.0,0.0,6,6,8,0
Drew Sample,CIN,66.7,33.3,6,9,24,1
Jace Sternberger,GB,100.0,0.0,5,5,12,1
Virgil Green,LAC,71.4,28.6,5,7,24,2
Jordan Reed,SF,100.0,0.0,5,5,10,2
Jacob Hollister,SEA,83.3,16.7,5,6,11,1
Cethan Carter,CIN,100.0,0.0,4,4,1,0
MyCole Pruitt,TEN,40.0,60.0,4,10,31,1
Blake Bell,DAL,80.0,20.0,4,5,8,0
Demetrius Harris,CHI,44.4,55.6,4,9,26,1
Cameron Brate,TB,75.0,25.0,3,4,7,1
Stephen Anderson,LAC,75.0,25.0,3,4,11,0
Ross Dwelley,SF,75.0,25.0,3,4,7,0
Tyler Conklin,MIN,100.0,0.0,3,3,8,0
Stephen Carlson,CLE,75.0,25.0,3,4,12,1
Foster Moreau,LV,40.0,60.0,2,5,12,0
Marcus Baugh,WAS,40.0,60.0,2,5,27,0
Darrell Daniels,ARI,66.7,33.3,2,3,14,0
Adam Shaheen,MIA,50.0,50.0,2,4,12,0
Jeremy Sprinkle,WAS,50.0,50.0,2,4,28,0
J.P. Holtz,CHI,100.0,0.0,1,1,5,0
Durham Smythe,MIA,25.0,75.0,1,4,13,0
Richard Rodgers,PHI,100.0,0.0,1,1,2,0
Tyler Kroft,BUF,100.0,0.0,1,1,4,0
Trevon Wesco,NYJ,100.0,0.0,1,1,8,0
Devin Asiasi,NE,33.3,66.7,1,3,10,0
Adam Trautman,NO,100.0,0.0,1,1,7,0
Ben Ellefson,JAX,33.3,66.7,1,3,13,0
Eric Tomlinson,NYG,0.0,100.0,0,1,2,0
Johnny Mundt,LAR,0.0,100.0,0,3,10,0
