,,Route Data,,,,,
Name,Team,Route %,Blocking %,Routes,Plays,Snaps,Targets
Zach Ertz,PHI,89.4,10.6,573,641,1000,156
Travis Kelce,KC,89.5,10.5,561,627,994,150
Jimmy Graham,GB,93.0,7.0,535,575,771,89
Kyle Rudolph,MIN,85.5,14.5,531,621,925,82
George Kittle,SF,86.7,13.3,497,573,928,136
Austin Hooper,ATL,87.9,12.1,494,562,809,88
Jared Cook,LV,91.7,8.3,489,533,,
Trey Burton,CHI,93.3,6.7,486,521,859,76
David Njoku,CLE,86.7,13.3,482,556,873,88
Eric Ebron,IND,96.2,3.8,458,476,634,110
C.J. Uzomah,CIN,84.1,15.9,435,517,841,64
Vance McDonald,PIT,91.1,8.9,400,439,564,72
Rob Gronkowski,NE,83.3,16.7,395,474,839,72
Ricky Seals-Jones,ARI,94.6,5.4,368,389,538,69
Cameron Brate,TB,97.8,2.2,364,372,534,49
Ryan Griffin,HOU,84.9,15.1,361,425,743,43
Jordan Reed,WAS,96.6,3.4,336,348,511,84
Evan Engram,NYG,93.0,7.0,321,345,475,64
Ian Thomas,CAR,90.5,9.5,304,336,526,49
Chris Herndon,NYJ,82.9,17.1,300,362,624,56
Jeff Heuerman,DEN,85.6,14.4,286,334,555,48
Jesse James,PIT,83.7,16.3,277,331,563,39
Mark Andrews,BAL,97.2,2.8,276,284,414,50
Antonio Gates,LAC,93.8,6.2,256,273,366,45
James O'Shaughnessy,JAX,86.6,13.4,253,292,531,38
Gerald Everett,LAR,94.1,5.9,253,269,380,50
Ben Watson,NO,84.0,16.0,252,300,504,46
Dallas Goedert,PHI,81.6,18.4,235,288,525,44
Geoff Swaim,DAL,82.5,17.5,231,280,514,32
Virgil Green,LAC,75.2,24.8,230,306,673,27
O.J. Howard,TB,87.0,13.0,228,262,436,48
Nick Vannett,SEA,89.4,10.6,227,254,530,43
Charles Clay,BUF,85.6,14.4,225,263,504,36
Rhett Ellison,NYG,70.3,29.7,223,317,558,34
Greg Olsen,CAR,86.0,14.0,222,258,429,38
Tyler Higbee,LAR,58.7,41.3,222,378,788,34
Jonnu Smith,TEN,77.4,22.6,222,287,610,31
Blake Jarwin,DAL,89.4,10.6,220,246,388,36
Matt LaCosse,DEN,85.2,14.8,213,250,418,37
Mike Gesicki,MIA,76.5,23.5,205,268,399,32
Josh Hill,NO,69.3,30.7,196,283,652,24
Luke Willson,DET,84.0,16.0,194,231,425,19
Vernon Davis,WAS,84.3,15.7,188,223,447,36
Jordan Akins,HOU,94.5,5.5,188,199,388,25
Levine Toilolo,DET,70.2,29.8,181,258,527,24
Jordan Thomas,HOU,81.7,18.3,178,218,470,27
Jason Croom,BUF,86.9,13.1,172,198,388,35
Nick Boyle,BAL,62.9,37.1,161,256,652,37
Jack Doyle,IND,86.7,13.3,156,180,330,33
Demetrius Harris,KC,71.4,28.6,150,210,372,25
Ed Dickson,SEA,77.8,22.2,144,185,365,13
Jordan Leggett,NYJ,84.1,15.9,138,164,326,25
Lance Kendricks,GB,69.6,30.4,128,184,315,25
Anthony Firkser,TEN,93.2,6.8,124,133,182,20
Jermaine Gresham,ARI,62.9,37.1,122,194,416,12
Logan Thomas,BUF,74.7,25.3,115,154,284,17
Hayden Hurst,BAL,96.6,3.4,115,119,275,23
Dalton Schultz,DAL,77.4,22.6,106,137,299,17
Jeremy Sprinkle,WAS,71.3,28.7,102,143,363,9
Austin Seferian-Jenkins,JAX,77.7,22.3,101,130,221,19
Eric Tomlinson,NYJ,66.7,33.3,100,150,354,14
Dwayne Allen,NE,64.9,35.1,100,154,362,4
Blake Bell,JAX,85.3,14.7,99,116,221,11
Tyler Eifert,CIN,94.2,5.8,98,104,132,19
Michael Roberts,DET,96.9,3.1,94,97,159,20
Luke Stocker,TEN,55.7,44.3,93,167,476,21
Derek Carrier,LV,85.2,14.8,92,108,,
Nick O'Leary,MIA,50.3,49.7,91,181,372,10
Scott Simonson,NYG,69.3,30.7,88,127,289,14
Dan Arnold,NO,98.9,1.1,86,87,139,19
Maxx Williams,BAL,60.7,39.3,82,135,375,17
Darren Fells,CLE,51.9,48.1,81,156,419,12
Logan Paulsen,ATL,46.1,53.9,77,167,362,9
Antony Auclair,TB,52.9,47.1,74,140,339,8
Brian Parker,DEN,85.7,14.3,72,84,146,10
Eric Saubert,ATL,75.6,24.4,65,86,178,9
Will Dissly,SEA,90.3,9.7,65,72,127,14
Niles Paul,JAX,92.5,7.5,62,67,103,13
Neal Sterling,NYJ,81.3,18.7,61,75,129,8
Dion Sims,CHI,68.2,31.8,60,88,195,4
Garrett Celek,SF,54.5,45.5,54,99,276,8
Jake Butt,DEN,91.5,8.5,54,59,97,13
Xavier Grimble,PIT,91.4,8.6,53,58,175,8
A.J. Derby,MIA,74.3,25.7,52,70,124,5
Erik Swoope,IND,91.1,8.9,51,56,78,10
Hakeem Valles,DET/NYG,100.0,0.0,50,50,29,3
Adam Shaheen,CHI,80.3,19.7,49,61,160,6
Darrell Daniels,ARI/SEA,96.0,4.0,48,50,88,2
Joshua Perkins,PHI,90.4,9.6,47,52,95,11
Tyler Conklin,MIN,66.2,33.8,47,71,147,7
Mo Alie-Cox,IND,60.3,39.7,47,78,241,13
Seth DeValve,CLE,86.3,13.7,44,51,98,7
MyCole Pruitt,TEN,71.7,28.3,43,60,191,11
Lee Smith,LV,40.6,59.4,43,106,,
Robert Tonyan,GB,91.3,8.7,42,46,87,6
Sean Culkin,LAC,58.6,41.4,41,70,192,1
Rico Gathers,DAL,83.7,16.3,41,49,146,7
Chris Manhertz,CAR,36.4,63.6,40,110,343,5
Ben Braunecker,CHI,80.9,19.1,38,47,127,5
Durham Smythe,MIA,46.8,53.2,37,79,176,11
Tyler Kroft,CIN,67.3,32.7,35,52,116,6
David Grinnage,JAX,89.5,10.5,34,38,74,8
David Morgan,MIN,37.1,62.9,33,89,230,6
Marcedes Lewis,GB,45.8,54.2,33,72,218,4
John Phillips,ARI,66.0,34.0,33,50,129,3
Ryan Hewitt,IND,48.4,51.6,31,64,181,2
Matthew Lengel,CIN,67.4,32.6,31,46,130,8
Alan Cross,TB,88.6,11.4,31,35,102,5
Darren Waller,LV,96.8,3.2,30,31,,
Jacob Hollister,NE,81.8,18.2,27,33,59,5
Delanie Walker,TEN,96.3,3.7,26,27,39,7
Gabe Holmes,ARI,65.4,34.6,17,26,81,0
Garrett Griffin,NO,65.4,34.6,17,26,,
Tyrone Swoopes,SEA,100.0,0.0,14,14,26,1
Ben Koyack,JAX,58.3,41.7,14,24,111,0
Jerome Cunningham,DET,77.8,22.2,14,18,53,1
Ross Dwelley,SF,81.3,18.8,13,16,39,2
Matt Flanagan,WAS,54.5,45.5,12,22,61,1
Richard Rodgers,PHI,64.7,35.3,11,17,42,1
Jordan Franks,CIN,90.9,9.1,10,11,17,3
Hunter Henry,LAC,87.5,12.5,7,8,,
Khari Lee,BUF,38.9,61.1,7,18,46,1
Mason Schreck,CIN,75.0,25.0,6,8,21,0
Garrett Dickerson,NYG,71.4,28.6,5,7,14,0
Johnny Mundt,LAR,80.0,20.0,4,5,40,1
Cole Wick,SF /TEN,66.7,33.3,4,6,11,1
Alex Ellis,KC,50.0,50.0,3,6,11,0
Temarrick Hemingway,DEN,100.0,0.0,2,2,4,0
Clive Walford,IND,100.0,0.0,2,2,,
Daniel Brown,CHI,100.0,0.0,1,1,23,0
Donnie Ernsberger,TB,100.0,0.0,1,1,0,0
Jake Fisher,CIN,0.0,100.0,0,1,45,0
Bradley Sowell,CHI,0.0,100.0,0,3,57,2
