,,Route Data,,,,,
Name,Team,Route %,Blocking %,Routes,Plays,Snaps,Targets
George Kittle,SF,84.3,15.7,43,51,72,15
Mark Andrews,BAL,93.5,6.5,43,46,37,3
Dalton Schultz,DAL,93.3,6.7,42,45,63,8
Darren Waller,LV,87.5,12.5,42,48,70,12
Logan Thomas,WAS,80.9,19.1,38,47,66,4
Evan Engram,NYG,94.9,5.1,37,39,57,10
Travis Kelce,KC,92.1,7.9,35,38,43,7
Mike Gesicki,MIA,100.0,0.0,33,33,45,3
Zach Ertz,PHI,97.0,3.0,32,33,59,5
Rob Gronkowski,TB,77.5,22.5,31,40,65,3
Jimmy Graham,CHI,93.8,6.3,30,32,41,5
Tyler Eifert,JAX,88.2,11.8,30,34,46,6
Chris Herndon,NYJ,81.1,18.9,30,37,55,3
Drew Sample,CIN,84.4,15.6,27,32,64,5
T.J. Hockenson,DET,86.7,13.3,26,30,46,4
Ian Thomas,CAR,96.0,4.0,24,25,45,5
Darren Fells,HOU,85.7,14.3,24,28,52,2
Austin Hooper,CLE,74.2,25.8,23,31,63,7
Hunter Henry,LAC,81.5,18.5,22,27,45,4
Greg Olsen,SEA,95.5,4.5,21,22,35,7
Nick Boyle,BAL,80.0,20.0,20,25,38,1
Tyler Higbee,LAR,73.1,26.9,19,26,48,4
Trey Burton,IND,100.0,0.0,19,19,36,5
James O'Shaughnessy,JAX,90.0,10.0,18,20,35,2
Noah Fant,DEN,94.7,5.3,18,19,35,6
Dan Arnold,ARI,94.4,5.6,17,18,31,4
Chris Manhertz,CAR,65.4,34.6,17,26,59,1
O.J. Howard,TB,94.1,5.9,16,17,28,6
Harrison Bryant,CLE,80.0,20.0,16,20,52,4
Gerald Everett,LAR,83.3,16.7,15,18,33,1
Blake Bell,DAL,73.7,26.3,14,19,28,2
Jack Doyle,IND,93.3,6.7,14,15,45,1
Demetrius Harris,CHI,76.5,23.5,13,17,23,2
Jake Butt,DEN,76.5,23.5,13,17,34,1
Irv Smith,MIN,86.7,13.3,13,15,41,1
Durham Smythe,MIA,81.3,18.8,13,16,29,2
Adam Trautman,NO,86.7,13.3,13,15,19,0
Dawson Knox,BUF,80.0,20.0,12,15,29,3
Jordan Akins,HOU,100.0,0.0,12,12,19,3
Richard Rodgers,PHI,91.7,8.3,11,12,22,4
Kyle Rudolph,MIN,55.0,45.0,11,20,48,2
Cethan Carter,CIN,83.3,16.7,10,12,20,1
Kaden Smith,NYG,83.3,16.7,10,12,24,1
Adam Shaheen,MIA,69.2,30.8,9,13,20,1
Ryan Griffin,NYJ,81.8,18.2,9,11,21,3
Tyler Kroft,BUF,90.0,10.0,9,10,20,3
Jesse James,DET,53.3,46.7,8,15,30,2
Mo Alie-Cox,IND,88.9,11.1,8,9,33,2
Will Dissly,SEA,53.3,46.7,8,15,27,2
Jason Witten,LV,63.6,36.4,7,11,19,2
Josh Hill,NO,50.0,50.0,6,12,40,1
Jacob Hollister,SEA,75.0,25.0,6,8,14,0
Darrell Daniels,ARI,50.0,50.0,5,10,27,0
Nick Vannett,DEN,45.5,54.5,5,11,28,2
Cole Kmet,CHI,83.3,16.7,5,6,15,1
Foster Moreau,LV,66.7,33.3,4,6,10,1
Stephen Carlson,CLE,100.0,0.0,4,4,16,0
Tyler Davis,JAX,80.0,20.0,4,5,7,0
Colin Thompson,CAR,100.0,0.0,4,4,18,0
Deon Yelder,KC,100.0,0.0,4,4,12,1
Cameron Brate,TB,100.0,0.0,3,3,16,1
Virgil Green,LAC,23.1,76.9,3,13,25,0
Ross Dwelley,SF,28.6,71.4,2,7,13,0
Nick Keizer,KC,28.6,71.4,2,7,19,1
Tyler Conklin,MIN,66.7,33.3,2,3,8,0
Johnny Mundt,LAR,66.7,33.3,2,3,11,1
Jordan Thomas,ARI,100.0,0.0,1,1,1,1
Mason Schreck,CIN,100.0,0.0,1,1,3,0
Donald Parham,LAC,100.0,0.0,1,1,1,1
J.P. Holtz,CHI,50.0,50.0,1,2,5,0
Stephen Anderson,LAC,50.0,50.0,1,2,3,0
Levine Toilolo,NYG,33.3,66.7,1,3,11,0
Trevon Wesco,NYJ,33.3,66.7,1,3,8,0
Devin Asiasi,NE,0.0,0.0,0,0,8,0
Charlie Woerner,SF,0.0,100.0,0,1,2,0
Josiah Deguara,GB,0.0,0.0,0,0,7,0
Luke Willson,SEA,0.0,100.0,0,1,6,0
Derek Carrier,LV,0.0,0.0,0,0,0,0
Luke Stocker,ATL,0.0,0.0,0,0,33,0
Garrett Griffin,NO,0.0,100.0,0,3,22,0
Jace Sternberger,GB,0.0,0.0,0,0,14,0
Marcus Baugh,WAS,0.0,100.0,0,3,9,0
Jaeden Graham,ATL,0.0,0.0,0,0,6,0
Jeremy Sprinkle,WAS,0.0,100.0,0,2,8,0
Pharaoh Brown,HOU,0.0,100.0,0,1,7,0
Ryan Izzo,NE,0.0,0.0,0,0,64,3
Robert Tonyan,GB,0.0,0.0,0,0,42,6
Hayden Hurst,ATL,0.0,0.0,0,0,45,6
