,,,,Defensive Stats,,,,,,,,,
Name,Team,Pos,G,DEF SNAPS,SOLO,AST,TOT TCKL,SACK,FUM Forced,FUM Rec,INT,TD,PASS DEF
Preston Brown,BUF,LB,16,1098,84.0,60,144,0.0,0,0,0,0,3
Joe Schobert,CLE,LB,16,1072,87.0,57,144,3.0,3,0,1,0,4
Blake Martinez,GB,LB,16,982,96.0,48,144,1.0,1,2,1,0,8
Deion Jones,ATL,LB,16,1021,91.0,47,138,1.0,0,0,3,0,10
Christian Kirksey,CLE,LB,16,1072,86.0,52,138,3.5,2,1,0,0,5
Demario Davis,NYJ,LB,16,1118,97.0,38,135,5.0,0,1,0,0,3
Bobby Wagner,SEA,LB,16,1026,97.0,36,133,1.5,0,1,2,1,6
C.J. Mosley,BAL,LB,16,1078,96.0,36,132,1.0,3,3,2,1,7
Zach Brown,WAS,LB,13,834,84.0,43,127,2.5,0,0,0,0,2
NaVorro Bowman,SF/OAK,LB,15,999,80.0,47,127,1.5,0,1,1,0,3
Luke Kuechly,CAR,LB,15,920,74.0,51,125,1.5,1,2,3,1,6
Wesley Woodyard,TEN,LB,16,1018,84.0,40,124,5.0,0,2,0,1,5
Reshad Jones,MIA,S,16,1022,94.0,28,122,1.5,0,3,2,2,5
Keanu Neal,ATL,S,16,1045,83.0,33,116,0.0,3,2,1,0,6
Kiko Alonso,MIA,LB,16,1016,79.0,36,115,1.0,2,0,0,0,1
Eric Kendricks,MIN,LB,16,970,67.0,46,113,1.0,0,0,1,1,6
Tahir Whitehead,DET,LB,16,950,78.0,32,110,1.0,0,4,1,0,2
Antonio Morrison,IND,LB,15,812,64.0,45,109,0.0,0,0,0,0,1
K.J. Wright,SEA,LB,15,958,71.0,37,108,0.0,0,1,1,0,6
Brandon Marshall,DEN,LB,16,912,75.0,31,106,3.0,1,1,0,1,4
Landon Collins,NYG,S,15,908,78.0,26,104,0.0,1,2,2,0,6
Telvin Smith,JAX,LB,14,851,76.0,26,102,1.0,1,2,3,2,5
Lavonte David,TB,LB,13,817,76.0,25,101,0.0,5,5,0,1,1
Sean Lee,DAL,LB,11,625,70.0,31,101,0.0,0,0,1,0,1
Matthias Farley,IND,S,16,928,60.0,38,98,0.0,1,1,2,0,7
Devin McCourty,NE,S,16,1032,80.0,17,97,1.0,0,1,1,0,5
Jon Bostic,IND,LB,14,915,57.0,40,97,1.0,0,1,0,0,3
Kwon Alexander,TB,LB,12,723,70.0,27,97,0.0,1,0,3,0,4
Jahleel Addae,LAC,S,16,1032,66.0,30,96,0.5,0,0,0,0,7
Jarrad Davis,DET,LB,14,830,65.0,31,96,2.0,1,1,1,0,3
Alec Ogletree,LAR,LB,15,926,63.0,32,95,2.0,1,1,1,1,10
Benardrick McKinney,HOU,LB,16,963,62.0,33,95,3.0,1,0,0,0,1
Karlos Dansby,ARI,LB,16,923,74.0,21,95,1.0,0,1,1,0,4
Jordan Poyer,BUF,S,15,1038,63.0,32,95,2.0,0,1,5,1,13
Darron Lee,NYJ,LB,15,1028,67.0,27,94,3.0,2,0,0,0,3
Sean Davis,PIT,S,16,950,71.0,21,92,1.0,1,0,3,0,8
De'Vondre Campbell,ATL,LB,16,948,61.0,31,92,2.0,1,0,0,0,4
Avery Williamson,TEN,LB,16,654,52.0,40,92,3.0,2,0,0,0,2
Christian Jones,CHI,LB,16,624,60.0,30,90,2.0,1,1,0,0,2
Myles Jack,JAX,LB,16,1018,66.0,24,90,2.0,0,1,0,1,3
Patrick Onwuasor,BAL,LB,16,648,67.0,23,90,1.0,1,1,0,0,2
Zach Cunningham,HOU,LB,16,816,48.0,42,90,1.5,1,0,0,0,6
Ryan Shazier,PIT,LB,12,672,68.0,21,89,0.0,2,1,3,0,11
Daniel Sorensen,KC,S,15,993,67.0,22,89,1.5,0,0,1,0,6
Vince Williams,PIT,LB,16,738,69.0,20,89,8.0,0,0,1,0,1
Danny Trevathan,CHI,LB,12,714,60.0,29,89,2.0,1,1,1,0,5
Reggie Nelson,OAK,S,16,1027,60.0,29,89,0.0,2,0,1,0,5
Ramon Humber,BUF,LB,13,568,60.0,29,89,1.0,1,0,0,0,1
Earl Thomas,SEA,S,14,925,56.0,32,88,0.0,1,0,2,1,7
Nigel Bradham,PHI,LB,15,923,61.0,27,88,1.0,1,1,0,1,8
Kevin Byard,TEN,S,16,1087,62.0,25,87,0.0,0,2,8,0,16
Mark Barron,LAR,LB,14,826,73.0,13,86,1.0,0,0,3,0,4
Vincent Rey,CIN,LB,14,611,52.0,33,85,0.0,0,0,1,0,1
Darqueze Dennard,CIN,CB,16,901,61.0,24,85,2.0,0,0,2,1,6
James Bradberry,CAR,CB,16,990,66.0,19,85,1.0,1,0,2,0,10
TJ Carrie,OAK,CB,16,1024,70.0,14,84,0.0,0,2,0,0,9
Anthony Hitchens,DAL,LB,12,547,55.0,29,84,0.0,1,0,0,0,2
Lawrence Timmons,MIA,LB,14,801,58.0,26,84,0.0,0,0,0,0,3
Patrick Chung,NE,S,16,930,71.0,13,84,0.0,0,2,1,0,9
Glover Quin,DET,S,16,1055,60.0,24,84,0.0,4,1,3,1,6
Jamal Adams,NYJ,S,16,1103,63.0,20,83,2.0,1,2,0,0,6
Vonn Bell,NO,S,16,787,62.0,21,83,4.5,2,0,0,0,2
Deone Bucannon,ARI,LB,12,707,58.0,24,82,1.0,2,0,1,0,3
Micah Hyde,BUF,S,16,1065,65.0,17,82,0.0,0,0,5,0,13
Todd Davis,DEN,LB,14,522,48.0,34,82,1.0,0,0,0,0,0
Byron Jones,DAL,CB,16,910,57.0,25,82,0.0,1,0,1,1,5
Jaylon Smith,DAL,LB,16,578,50.0,31,81,1.0,2,0,0,0,2
Jake Ryan,GB,LB,15,507,52.0,29,81,1.0,1,1,0,0,0
Andrew Sendejo,MIN,S,13,780,54.0,26,80,0.0,0,0,2,0,7
George Iloka,CIN,S,16,992,54.0,26,80,0.0,0,0,1,0,5
Craig Robertson,NO,LB,16,793,53.0,27,80,2.0,1,2,2,0,6
D.J. Swearinger,WAS,S,16,1095,61.0,18,79,0.5,1,0,4,0,10
Tony Jefferson,BAL,S,16,1085,56.0,23,79,2.5,1,0,1,0,2
Ha Ha Clinton-Dix,GB,S,16,1048,65.0,14,79,0.0,0,0,3,0,6
Tre Boston,LAC,S,16,1041,56.0,23,79,0.0,0,0,5,0,8
Nick Vigil,CIN,LB,11,757,45.0,34,79,1.0,0,0,1,0,5
Jatavis Brown,LAC,LB,16,506,54.0,25,79,0.0,0,1,0,0,1
Karl Joseph,OAK,S,15,867,58.0,21,79,1.0,1,1,1,0,4
Marcus Maye,NYJ,S,16,1066,57.0,22,79,0.0,1,0,2,0,2
Khalil Mack,OAK,LB,16,931,61.0,17,78,10.5,1,1,0,0,3
Tyrann Mathieu,ARI,S,16,1056,70.0,8,78,1.0,1,0,2,0,7
Harrison Smith,MIN,S,16,973,61.0,17,78,1.5,0,0,5,0,12
Mychal Kendricks,PHI,LB,15,612,55.0,22,77,2.0,0,0,0,0,6
Chris Conte,TB,S,16,775,62.0,15,77,0.0,3,0,1,0,8
Dontae Johnson,SF,CB,16,1029,69.0,8,77,0.0,0,0,1,1,7
Damon Harrison,NYG,DT,16,645,51.0,25,76,1.5,0,0,1,0,3
Kurt Coleman,CAR,S,12,721,51.0,25,76,0.0,0,1,0,0,3
Malcolm Jenkins,PHI,S,16,948,63.0,13,76,1.0,1,1,2,0,8
Thomas Davis,CAR,LB,15,793,52.0,24,76,2.5,0,1,0,0,0
Desmond King,LAC,CB,16,716,66.0,10,76,4.0,0,0,1,1,5
John Johnson,LAR,S,16,718,56.0,19,75,0.0,0,0,1,0,11
James Burgess,CLE,LB,14,650,49.0,26,75,4.0,1,0,0,0,3
Darian Thompson,NYG,S,16,1065,61.0,14,75,0.0,0,0,1,0,6
Anthony Barr,MIN,LB,16,925,52.0,23,75,1.0,0,0,0,0,6
Bradley McDougald,SEA,S,16,681,51.0,24,75,0.0,0,0,0,0,4
Martrell Spaight,WAS,LB,15,414,45.0,30,75,0.0,0,1,0,0,2
Hayes Pullard,LAC,LB,13,476,49.0,25,74,0.0,0,1,1,0,1
Lorenzo Alexander,BUF,LB,16,671,59.0,15,74,3.0,3,0,0,0,1
Barry Church,JAX,S,16,990,58.0,16,74,1.5,0,0,4,1,8
Budda Baker,ARI,S,16,517,58.0,16,74,1.0,2,1,0,0,7
Kendell Beckwith,TB,LB,16,850,60.0,13,73,1.0,1,0,0,0,2
Eddie Jackson,CHI,S,16,1055,55.0,18,73,0.0,1,3,2,2,6
Marcus Williams,NO,S,15,132,59.0,14,73,0.0,0,0,4,0,7
Kareem Jackson,HOU,S,16,872,54.0,19,73,1.0,1,0,1,0,10
Kyle Van Noy,NE,LB,13,711,58.0,15,73,5.5,0,0,0,0,2
Reuben Foster,SF,LB,10,554,59.0,13,72,0.0,0,0,0,0,1
Josh Jones,GB,S,16,735,60.0,11,71,2.0,0,0,1,0,5
Jeff Heath,DAL,S,15,881,63.0,8,71,0.0,2,0,3,0,5
Andre Hal,HOU,S,16,943,47.0,24,71,0.0,2,0,3,0,5
Derrick Johnson,KC,LB,15,848,48.0,23,71,0.0,1,1,0,0,7
Adoree' Jackson,TEN,CB,16,1022,61.0,9,70,0.0,3,0,0,0,17
Joey Bosa,LAC,DE,16,852,54.0,16,70,12.5,4,1,0,0,1
Justin Simmons,DEN,S,13,737,50.0,19,69,1.0,0,0,2,1,5
Tre'Davious White,BUF,CB,16,1092,53.0,16,69,0.0,1,2,4,1,18
Mike Adams,CAR,S,16,967,48.0,21,69,0.0,2,2,2,0,10
Tyvon Branch,ARI,S,9,578,54.0,15,69,0.0,1,0,0,0,6
Vontaze Burfict,CIN,LB,10,587,48.0,21,69,1.5,1,0,0,0,2
Adrian Amos,CHI,S,13,670,62.0,7,69,0.0,2,1,1,1,3
Kyle Fuller,CHI,CB,16,1015,61.0,8,69,0.0,0,0,2,0,22
Robert Alford,ATL,CB,16,1043,60.0,8,68,0.0,0,0,1,0,20
Morgan Burnett,GB,S,12,728,48.0,20,68,0.0,1,0,0,0,3
Jason Pierre-Paul,NYG,LB,16,1011,48.0,20,68,8.5,2,0,0,0,5
Linval Joseph,MIN,DT,16,664,40.0,28,68,3.5,0,1,0,0,0
Calais Campbell,JAX,DE,16,807,47.0,20,67,14.5,3,1,0,1,3
Ron Parker,KC,S,15,1034,58.0,9,67,0.0,0,2,2,0,4
Eric Reid,SF,S,13,740,53.0,14,67,0.0,0,1,2,0,4
Elandon Roberts,NE,LB,15,560,45.0,22,67,2.0,0,1,0,0,1
Trae Waynes,MIN,CB,16,918,57.0,8,65,1.0,0,0,2,0,11
Trumaine Johnson,LAR,CB,16,938,57.0,8,65,0.0,1,1,2,1,14
Jason McCourty,CLE,CB,14,903,54.0,11,65,0.0,2,0,3,1,14
Josh Norman,WAS,CB,14,904,47.0,17,64,0.0,2,1,0,0,9
Tashaun Gipson,JAX,S,16,1020,53.0,11,64,0.0,0,1,4,0,7
Brock Coyle,SF,LB,16,649,38.0,26,64,0.5,1,0,0,0,1
Ray-Ray Armstrong,NYG/SF,LB,15,478,44.0,20,64,1.0,2,0,2,0,2
Jalen Mills,PHI,S,15,932,51.0,13,64,0.0,0,0,3,1,14
Daryl Worley,CAR,CB,15,729,50.0,14,64,1.0,0,0,2,0,10
Mike Hilton,PIT,CB,16,579,48.0,16,64,4.0,1,0,2,0,6
Jalen Ramsey,JAX,CB,16,998,52.0,11,63,0.0,0,0,4,0,17
Brian Poole,ATL,CB,15,635,49.0,14,63,1.0,0,0,0,0,4
Adrian Phillips,LAC,S,15,519,50.0,13,63,0.0,1,0,2,0,5
Buster Skrine,NYJ,CB,15,1013,56.0,7,63,1.0,2,2,1,0,9
Darian Stewart,DEN,S,16,891,52.0,11,63,0.0,0,0,3,0,5
Eric Weddle,BAL,S,16,1085,49.0,14,63,1.0,2,1,6,1,8
Cameron Jordan,NO,DE,16,990,48.0,14,62,13.0,2,0,1,1,11
Jamar Taylor,CLE,CB,16,967,48.0,14,62,0.5,1,0,0,0,10
Logan Ryan,TEN,S,15,921,50.0,12,62,0.0,1,0,0,0,11
Trey Flowers,NE,DE,14,804,45.0,17,62,6.5,2,0,0,0,3
Deshazor Everett,WAS,S,14,591,41.0,21,62,0.0,1,0,0,0,5
Manti Te'o,NO,LB,16,503,42.0,20,62,0.0,0,1,0,0,3
Shaq Thompson,CAR,LB,14,644,41.0,20,61,2.0,1,0,0,0,1
Paul Posluszny,JAX,LB,16,481,43.0,18,61,1.5,0,0,0,0,2
Matt Judon,BAL,LB,16,789,51.0,10,61,8.0,2,1,0,0,3
DeForest Buckner,SF,DT,16,868,45.0,16,61,3.0,1,0,0,0,5
Calvin Munson,NYG,LB,14,388,36.0,24,60,2.0,1,0,0,0,0
Nicholas Morrow,OAK,LB,16,554,40.0,20,60,0.0,0,0,0,0,4
Darius Slay,DET,CB,16,1065,54.0,6,60,0.0,0,1,8,0,26
Jurrell Casey,TEN,DE,16,867,41.0,19,60,6.0,1,0,0,0,1
Malcolm Butler,NE,CB,16,1040,55.0,5,60,1.0,3,0,2,0,12
Kenny Vaccaro,NO,S,12,618,48.0,12,60,1.5,0,1,3,1,7
Jadeveon Clowney,HOU,DE,16,898,41.0,18,59,9.5,2,2,0,1,2
E.J. Gaines,BUF,CB,11,654,48.0,11,59,0.0,3,0,1,0,9
Zach Vigil,WAS,LB,7,396,41.0,18,59,0.0,0,1,0,0,2
Justin Houston,KC,DE,15,952,46.0,13,59,9.5,0,1,0,1,5
Chandler Jones,ARI,LB,16,1046,52.0,7,59,17.0,2,0,0,0,3
Shaquill Griffin,SEA,CB,15,877,50.0,9,59,1.0,0,0,1,0,15
Jabrill Peppers,CLE,S,13,809,45.0,13,58,0.0,0,0,1,0,3
Lawrence Guy,NE,DT,16,582,34.0,24,58,1.0,0,0,0,0,1
Bruce Irvin,OAK,LB,16,880,38.0,20,58,8.0,4,0,0,0,3
DeMarcus Lawrence,DAL,DE,16,704,35.0,23,58,14.5,4,2,0,0,1
Johnathan Cyprien,TEN,S,10,605,38.0,19,57,1.0,0,0,0,0,1
Von Miller,DEN,LB,16,850,51.0,6,57,10.0,2,1,0,0,3
Antoine Bethea,ARI,S,15,743,47.0,10,57,1.0,1,0,5,0,9
Derrick Kindred,CLE,S,14,691,43.0,14,57,0.0,0,0,1,0,6
Clayton Fejedelem,CIN,S,16,378,34.0,23,57,0.0,0,0,1,0,2
Cory James,OAK,LB,10,455,42.0,14,56,0.0,1,0,0,0,1
Anthony Brown,DAL,CB,16,845,47.0,9,56,1.0,1,0,2,0,11
Trevor Williams,LAC,CB,16,1006,48.0,8,56,0.0,0,0,2,0,13
Brandon Carr,BAL,CB,16,1024,50.0,6,56,0.0,0,0,4,0,12
Marcus Gilchrist,HOU,S,16,817,45.0,11,56,1.0,1,0,1,0,6
Melvin Ingram,LAC,DE,16,891,43.0,13,56,10.5,1,2,0,1,1
Xavier Rhodes,MIN,CB,16,906,44.0,12,56,0.0,0,0,2,0,10
A.J. Bouye,JAX,CB,16,1015,53.0,3,56,0.0,0,0,6,0,18
Quandre Diggs,DET,S,16,788,45.0,10,55,1.0,1,0,3,0,9
Jaquiski Tartt,SF,S,9,596,38.0,17,55,0.5,0,0,1,0,3
Grady Jarrett,ATL,DT,16,794,34.0,21,55,4.0,0,0,0,0,0
Tavon Wilson,DET,S,10,545,42.0,13,55,2.0,1,0,1,0,2
Dre Kirkpatrick,CIN,CB,14,871,47.0,8,55,1.0,1,0,1,0,14
Michael Brockers,LAR,DE,16,730,39.0,16,55,4.5,0,0,0,0,4
Kenny Clark,GB,DT,15,688,32.0,23,55,4.5,2,0,0,0,1
Kendall Fuller,WAS,CB,16,725,43.0,12,55,0.0,1,0,4,0,10
Ken Crawley,NO,CB,13,822,47.0,7,54,0.0,0,0,1,0,17
Artie Burns,PIT,CB,16,976,47.0,7,54,0.0,0,2,1,0,13
Jourdan Lewis,DAL,CB,15,748,48.0,6,54,0.0,0,0,1,0,10
T.J. Watt,PIT,LB,15,752,40.0,14,54,7.0,1,0,1,0,7
Akiem Hicks,CHI,DE,16,899,39.0,15,54,8.5,0,2,0,0,0
Rodney McLeod,PHI,S,14,846,39.0,15,54,0.0,1,1,3,0,6
K'Waun Williams,SF,CB,14,637,42.0,12,54,1.0,2,1,1,0,5
A.J. Klein,NO,LB,12,664,37.0,17,54,2.0,1,0,0,0,4
Ricardo Allen,ATL,S,15,957,38.0,16,54,0.0,0,0,1,0,2
Terrance Mitchell,KC,CB,15,706,48.0,5,53,0.0,0,0,4,0,18
Leonard Johnson,BUF,CB,15,673,41.0,12,53,0.0,1,1,0,0,7
Mike Mitchell,PIT,S,13,682,35.0,18,53,0.0,0,1,0,0,2
B.J. Goodson,NYG,LB,7,374,37.0,16,53,0.0,1,0,0,0,2
A'Shawn Robinson,DET,DT,16,737,32.0,21,53,0.5,1,0,1,1,6
Jayon Brown,TEN,LB,16,490,38.0,14,52,1.5,0,1,0,0,4
Marshon Lattimore,NO,CB,13,754,43.0,9,52,0.0,1,0,5,1,18
Jabaal Sheard,IND,DE,16,898,37.0,15,52,5.5,2,0,0,0,3
Bennie Logan,KC,DT,15,574,35.0,17,52,1.5,0,0,0,0,1
Will Parks,DEN,S,16,597,36.0,15,51,0.0,0,0,1,0,4
Dalvin Tomlinson,NYG,DT,16,589,30.0,20,50,1.0,0,0,0,0,1
Bashaud Breeland,WAS,CB,15,856,37.0,13,50,0.0,0,0,1,1,19
Ross Cockrell,NYG,CB,16,681,37.0,13,50,0.0,0,0,3,0,11
Stephon Gilmore,NE,CB,13,819,47.0,3,50,0.0,0,0,2,0,9
Robert McClain,TB,CB,14,695,41.0,9,50,0.0,0,0,3,1,5
Kam Chancellor,SEA,S,9,598,34.0,15,49,0.0,1,0,0,0,2
Michael Johnson,CIN,DE,15,690,35.0,14,49,5.0,0,0,0,0,1
Brent Grimes,TB,CB,13,850,44.0,5,49,0.0,0,1,3,0,11
Terrell Suggs,BAL,DE,16,845,37.0,12,49,11.0,4,0,0,0,4
Mike Daniels,GB,DT,14,630,34.0,15,49,5.0,1,0,0,0,0
Nickell Robey-Coleman,LAR,CB,15,658,39.0,10,49,0.0,1,1,2,0,9
Kawann Short,CAR,DT,16,704,27.0,22,49,7.5,2,1,0,0,1
Kelvin Sheppard,NYG,LB,7,388,32.0,17,49,0.0,0,0,2,0,4
Lamarcus Joyner,LAR,S,12,688,39.0,10,49,0.0,1,0,3,1,9
Shawn Williams,CIN,S,11,580,34.0,15,49,0.0,0,2,1,0,3
Malcom Brown,NE,DT,13,539,29.0,20,49,2.5,0,0,0,0,0
Matt Milano,BUF,LB,16,452,32.0,17,49,0.0,1,1,1,1,2
Michael Pierce,BAL,DT,16,595,32.0,17,49,1.0,0,2,0,0,0
Nick Kwiatkoski,CHI,LB,11,382,37.0,12,49,2.0,1,0,0,0,2
