,,,,Fantasy,Defensive Stats,,,,,,,
Name,Team,Pos,G,Pts,SOLO,AST,TOT TCKL,SACK,FUM Forced,FUM Rec,INT,TD
Jatavis Brown,LAC,LB,16,81.0,54.0,25,79,0.0,0,1,0,0
Karl Joseph,OAK,S,15,87.0,58.0,21,79,1.0,1,1,1,0
Marcus Maye,NYJ,S,16,85.0,57.0,22,79,0.0,1,0,2,0
Khalil Mack,OAK,LB,16,103.0,61.0,17,78,10.5,1,1,0,0
Tyrann Mathieu,ARI,S,16,86.0,70.0,8,78,1.0,1,0,2,0
Harrison Smith,MIN,S,16,91.0,61.0,17,78,1.5,0,0,5,0
Mychal Kendricks,PHI,LB,15,81.0,55.0,22,77,2.0,0,0,0,0
Chris Conte,TB,S,16,85.0,62.0,15,77,0.0,3,0,1,0
Dontae Johnson,SF,CB,16,85.0,69.0,8,77,0.0,0,0,1,1
Damon Harrison,NYG,DT,16,81.0,51.0,25,76,1.5,0,0,1,0
Kurt Coleman,CAR,S,12,78.0,51.0,25,76,0.0,0,1,0,0
Malcolm Jenkins,PHI,S,16,86.0,63.0,13,76,1.0,1,1,2,0
Thomas Davis,CAR,LB,15,83.0,52.0,24,76,2.5,0,1,0,0
Desmond King,LAC,CB,16,92.0,66.0,10,76,4.0,0,0,1,1
John Johnson,LAR,S,16,77.0,56.0,19,75,0.0,0,0,1,0
James Burgess,CLE,LB,14,85.0,49.0,26,75,4.0,1,0,0,0
Darian Thompson,NYG,S,16,77.0,61.0,14,75,0.0,0,0,1,0
Anthony Barr,MIN,LB,16,77.0,52.0,23,75,1.0,0,0,0,0
Bradley McDougald,SEA,S,16,75.0,51.0,24,75,0.0,0,0,0,0
Martrell Spaight,WAS,LB,15,77.0,45.0,30,75,0.0,0,1,0,0
Hayes Pullard,LAC,LB,13,78.0,49.0,25,74,0.0,0,1,1,0
Lorenzo Alexander,BUF,LB,16,86.0,59.0,15,74,3.0,3,0,0,0
Barry Church,JAX,S,16,91.0,58.0,16,74,1.5,0,0,4,1
Budda Baker,ARI,S,16,82.0,58.0,16,74,1.0,2,1,0,0
Kendell Beckwith,TB,LB,16,77.0,60.0,13,73,1.0,1,0,0,0
Eddie Jackson,CHI,S,16,97.0,55.0,18,73,0.0,1,3,2,2
Marcus Williams,NO,S,15,81.0,59.0,14,73,0.0,0,0,4,0
