,,,,Passing,,,,,,Red Zone Passes,,
Name,Team,Pos,G,QBR,COMP,ATT,YDS,TD,INT,In20,In10,In5
Mohamed Sanu,ATL,WR,16,220.8,1,2,5,1,0,1,1,1
Kenny Stills,MIA,WR,15,431.3,1,1,3,1,0,1,1,1
Chris Boswell,PIT,K,15,427.1,1,1,2,1,0,1,1,1
Jacoby Brissett,IND,QB,4,45.8,2,4,2,0,0,0,0,0
Tarik Cohen,CHI,RB,16,422.9,1,1,1,1,0,1,1,1
DeAndre Hopkins,HOU,WR,16,2.1,0,1,0,0,0,0,0,0
Antonio Brown,PIT,WR,15,2.1,0,1,0,0,0,0,0,0
Eric Ebron,IND,TE,16,2.1,0,1,0,0,0,1,1,1
Tyler Boyd,CIN,WR,14,2.1,0,1,0,0,0,0,0,0
Dede Westbrook,JAX,WR,16,2.1,0,1,0,0,0,1,0,0
Zay Jones,BUF,WR,16,2.1,0,1,0,0,0,1,0,0
Cole Beasley,DAL,WR,16,2.1,0,1,0,0,0,1,0,0
Bruce Ellington,DET,WR,4,2.1,0,1,0,0,0,0,0,0
Dontrell Hilliard,CLE,RB,11,-414.6,0,1,0,0,1,0,0,0
Kyle Lauletta,NYG,QB,2,-81.3,0,5,0,0,1,0,0,0
