,,,,Fantasy,Passing,,,,,Rushing,,,Receiving,,,,Fumbles,
Name,Team,Pos,G,Pts,COMP,ATT,YDS,TD,INT,ATT,YDS,TD,REC,TAR,YDS,TD,TOT,LOST
Drew Brees,NO,QB,16,422.4,471,673,5208,37,15,23,20,2,0,0,0,0,5,4
Matt Ryan,ATL,QB,16,410.9,373,534,4944,38,7,35,117,0,0,0,0,0,4,2
Kirk Cousins,WAS,QB,16,379.5,406,606,4917,25,12,34,96,4,0,0,0,0,9,3
Aaron Rodgers,GB,QB,16,442.3,401,610,4428,40,7,67,369,4,0,0,0,0,8,4
Philip Rivers,SD,QB,16,354.8,349,578,4386,33,21,14,35,0,0,0,0,0,9,5
Matthew Stafford,DET,QB,16,345.1,388,594,4327,24,10,37,207,2,0,0,0,0,3,2
Joe Flacco,BAL,QB,16,313.7,436,672,4317,20,15,21,58,2,0,0,0,0,5,3
Andrew Luck,IND,QB,15,382.1,346,545,4240,31,13,64,341,2,0,0,0,0,6,5
Carson Palmer,ARI,QB,15,319.5,364,597,4233,26,14,14,38,0,0,0,0,0,14,4
Russell Wilson,SEA,QB,16,334.3,353,546,4219,21,11,72,259,1,2,2,14,1,8,2
Andy Dalton,CIN,QB,16,324.7,364,563,4206,18,8,46,184,4,0,0,0,0,9,3
Jameis Winston,TB,QB,16,339.0,345,567,4090,28,18,53,165,1,0,0,0,0,10,6
Eli Manning,NYG,QB,16,304.5,377,598,4027,26,16,21,-9,0,0,0,0,0,7,4
Derek Carr,OAK,QB,15,315.9,357,560,3937,28,6,39,70,0,0,0,0,0,5,3
Blake Bortles,JAX,QB,16,349.2,368,625,3905,23,16,58,359,3,1,1,20,1,8,6
Sam Bradford,MIN,QB,15,279.7,395,552,3877,20,5,20,53,0,1,1,5,0,10,5
Ben Roethlisberger,PIT,QB,14,314.4,328,509,3819,29,13,16,14,1,0,0,0,0,8,2
Carson Wentz,PHI,QB,16,280.8,379,607,3782,16,14,46,150,2,1,1,7,0,14,3
Dak Prescott,DAL,QB,16,339.6,311,459,3667,23,4,57,282,6,0,0,0,0,9,4
Tom Brady,NE,QB,12,296.1,291,432,3554,28,2,28,64,0,0,0,0,0,5,0
Cam Newton,CAR,QB,15,317.4,270,510,3509,19,14,90,359,5,0,0,0,0,3,2
Alex Smith,KC,QB,15,278.8,328,489,3502,15,8,48,134,5,1,1,3,0,7,4
Marcus Mariota,TEN,QB,15,322.2,276,451,3426,26,9,60,349,2,0,1,0,0,9,5
Trevor Siemian,DEN,QB,14,247.8,289,486,3401,18,10,28,57,0,0,0,0,0,4,2
Tyrod Taylor,BUF,QB,15,313.2,269,436,3023,17,6,95,580,6,0,0,0,0,4,2
Ryan Tannehill,MIA,QB,13,248.2,261,389,2995,19,12,39,164,1,0,0,0,0,9,3
Brock Osweiler,HOU,QB,15,231.6,301,510,2957,15,16,30,131,2,1,1,-14,0,5,1
Ryan Fitzpatrick,NYJ,QB,14,196.5,228,403,2710,12,17,33,130,0,0,0,0,0,9,1
Colin Kaepernick,SF,QB,12,234.9,196,331,2241,16,4,69,468,2,0,0,0,0,9,3
Case Keenum,LAR,QB,10,157.2,196,322,2201,9,11,20,51,1,0,0,0,0,5,1
Matt Barkley,CHI,QB,7,119.0,129,216,1611,8,14,7,2,0,1,1,2,1,4,2
Brian Hoyer,CHI,QB,6,96.1,134,200,1445,6,0,7,-2,0,0,0,0,0,3,1
Cody Kessler,CLE,QB,9,94.8,128,195,1380,6,2,11,18,0,0,0,0,0,4,1
Josh McCown,CLE,QB,5,81.1,90,165,1100,6,6,7,21,0,0,0,0,0,7,4
Jared Goff,LAR,QB,7,82.1,112,205,1089,5,7,8,16,1,0,0,0,0,5,2
Jay Cutler,CHI,QB,5,71.4,81,137,1059,4,5,5,24,0,0,0,0,0,6,2
Blaine Gabbert,SF,QB,6,94.0,91,160,925,5,6,40,173,2,1,1,-16,0,0,0
Robert Griffin,CLE,QB,5,83.3,87,147,886,2,3,31,190,2,0,0,0,0,4,1
Bryce Petty,NYJ,QB,6,54.4,75,133,809,3,7,5,19,0,0,0,0,0,1,1
Matt Moore,MIA,QB,4,68.0,55,87,721,8,3,1,-1,0,0,0,0,0,1,0
Landry Jones,PIT,QB,8,43.5,53,86,558,4,2,6,-4,0,0,0,0,0,0,0
Jimmy Garoppolo,NE,QB,6,42.0,43,63,502,4,0,10,6,0,1,1,3,0,2,1
Paxton Lynch,DEN,QB,3,35.4,49,83,497,2,1,11,25,0,0,0,0,0,2,0
Tom Savage,HOU,QB,3,24.3,46,73,461,0,0,6,12,0,0,0,0,0,1,1
Derek Anderson,CAR,QB,5,31.1,36,53,453,2,5,1,4,0,0,0,0,0,1,1
Nick Foles,KC,QB,3,32.1,36,55,410,3,0,4,-4,0,0,0,0,0,0,0
Jacoby Brissett,NE,QB,3,34.3,34,55,400,0,0,16,83,1,0,0,0,0,3,1
Matt Cassel,TEN,QB,4,22.5,30,51,284,2,2,4,3,0,0,0,0,0,1,0
Shaun Hill,MIN,QB,3,12.6,19,35,242,0,0,5,5,0,0,0,0,0,0,0
Scott Tolzien,IND,QB,3,15.1,23,37,216,1,2,6,3,0,0,0,0,0,1,0
Drew Stanton,ARI,QB,5,17.3,19,48,192,2,3,3,-3,0,0,0,0,0,0,0
Charlie Whitehurst,CLE,QB,1,13.2,14,24,182,1,1,2,1,0,0,0,0,0,0,0
Connor Cook,OAK,QB,1,11.5,14,21,150,1,1,0,0,0,0,0,0,0,2,1
Trevone Boykin,SEA,QB,5,11.4,13,18,145,1,1,8,1,0,0,0,0,0,1,0
EJ Manuel,BUF,QB,6,8.8,11,26,131,0,0,8,22,0,0,0,0,0,2,1
Geno Smith,NYJ,QB,2,11.2,8,14,126,1,1,2,9,0,0,0,0,0,1,0
Kevin Hogan,CLE,QB,4,21.7,14,26,104,0,2,8,105,1,0,0,0,0,0,0
Cardale Jones,BUF,QB,1,4.7,6,11,96,0,1,1,-1,0,0,0,0,0,0,0
Mark Sanchez,DAL,QB,2,4.5,10,18,93,0,2,4,-2,0,0,0,0,0,0,0
Mike Glennon,TB,QB,2,7.8,10,11,75,1,0,0,0,0,0,0,0,0,0,0
Matt McGloin,OAK,QB,3,2.2,8,15,50,0,0,3,-3,0,0,0,0,0,0,0
Willie Snead,NO,WR,15,120.0,1,1,50,1,0,0,0,0,72,104,895,4,2,0
Tanner McEvoy,SEA,WR,14,28.2,1,1,43,0,0,0,0,0,9,11,140,2,0,0
Terrelle Pryor,CLE,WR,16,134.9,5,9,41,0,0,8,21,1,77,140,1007,4,1,0
Pat McAfee,IND,P,16,1.8,1,1,35,0,0,1,0,0,0,1,0,0,0,0
Tress Way,WAS,P,16,1.6,1,1,31,0,0,0,0,0,0,0,0,0,0,0
Tony Romo,DAL,QB,1,5.5,3,4,29,1,0,0,0,0,0,0,0,0,0,0
Ryan Mallett,BAL,QB,4,0.7,3,6,26,0,1,5,-6,0,0,0,0,0,0,0
David Fales,CHI,QB,1,1.1,2,5,22,0,0,1,0,0,0,0,0,0,1,0
Marqise Lee,JAX,WR,16,111.6,1,1,20,1,0,6,35,0,63,105,851,3,1,1
Sean Mannion,LAR,QB,1,0.9,3,6,19,0,1,1,-1,0,0,0,0,0,1,0
Brett Hundley,GB,QB,4,0.7,2,10,17,0,1,3,-2,0,0,0,0,0,1,0
Chase Daniel,PHI,QB,1,0.8,1,1,16,0,0,0,0,0,0,0,0,0,0,0
Matt Schaub,ATL,QB,4,0.6,1,3,16,0,0,2,-2,0,0,0,0,0,0,0
Riley Dixon,DEN,P,16,0.8,1,1,16,0,0,0,0,0,0,0,0,0,0,0
Doug Baldwin,SEA,WR,16,159.8,1,1,15,1,0,3,2,0,94,125,1128,7,1,0
Dez Bryant,DAL,WR,13,132.1,1,1,10,1,0,0,0,0,50,96,796,8,1,1
DeMarco Murray,TEN,RB,16,242.9,1,2,10,1,0,293,1287,9,53,67,377,3,3,1
Johnny Hekker,LAR,P,16,0.2,1,2,4,0,0,0,0,0,0,0,0,0,0,0
Dontari Poe,KC,DT,16,10.2,1,1,2,1,0,1,1,1,0,0,0,0,0,0
Cameron Meredith,CHI,WR,14,117.5,1,1,2,1,0,1,6,0,66,97,888,4,3,2
Pharoh Cooper,LAR,WR,10,10.6,0,1,0,0,1,0,0,0,14,20,106,0,0,0
Jonathan Williams,BUF,RB,11,15.4,0,1,0,0,0,27,94,1,1,2,0,0,2,2
Antonio Morrison,IND,LB,16,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Cole Beasley,DAL,WR,16,114.0,0,1,0,0,0,1,7,0,75,98,833,5,0,0
Justin Tucker,BAL,K,16,141.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Le'Veon Bell,PIT,RB,12,242.4,0,1,0,0,0,261,1268,7,75,94,616,2,4,1
Travis Benjamin,SD,WR,14,91.4,0,1,0,0,0,2,-3,0,47,75,677,4,5,3
Jon Ryan,SEA,P,16,2.6,0,1,0,0,0,2,26,0,0,0,0,0,3,0
Duke Johnson,CLE,RB,16,93.2,0,1,0,0,0,73,358,1,53,74,514,0,2,1
Jarvis Landry,MIA,WR,16,139.3,0,1,0,0,0,5,17,0,94,131,1136,4,2,2
Josh Huff,PHI,WR,7,14.2,0,1,0,0,0,3,10,0,13,17,72,1,0,0
Jerick McKinnon,MIN,RB,15,103.4,0,1,0,0,0,159,539,2,43,53,255,2,0,0
Jeremy Maclin,KC,WR,12,65.5,0,1,0,0,0,1,-1,0,44,76,536,2,0,0
Larry Fitzgerald,ARI,WR,16,138.8,0,1,0,0,0,2,5,0,107,150,1023,6,2,1
Kellen Clemens,SD,QB,12,-0.1,0,1,0,0,0,2,-1,0,0,0,0,0,0,0
