,,,,Passing,,,,,,Red Zone Passes,,
Name,Team,Pos,G,QBR,COMP,ATT,YDS,TD,INT,In20,In10,In5
Drew Brees,NO,QB,16,101.7,471,673,5208,37,15,112,62,33
Matt Ryan,ATL,QB,16,117.1,373,534,4944,38,7,96,51,28
Kirk Cousins,WAS,QB,16,97.2,406,606,4917,25,12,87,40,22
Aaron Rodgers,GB,QB,16,104.2,401,610,4428,40,7,115,49,26
Philip Rivers,SD,QB,16,87.9,349,578,4386,33,21,102,39,23
Matthew Stafford,DET,QB,16,93.3,388,594,4327,24,10,87,37,20
Joe Flacco,BAL,QB,16,83.5,436,672,4317,20,15,73,28,15
Andrew Luck,IND,QB,15,96.4,346,545,4240,31,13,68,40,24
Carson Palmer,ARI,QB,15,87.2,364,597,4233,26,14,83,41,25
Russell Wilson,SEA,QB,16,92.6,353,546,4219,21,11,75,30,14
Andy Dalton,CIN,QB,16,91.8,364,563,4206,18,8,72,33,16
Jameis Winston,TB,QB,16,86.1,345,567,4090,28,18,69,27,14
Eli Manning,NYG,QB,16,86.0,377,598,4027,26,16,66,27,15
Derek Carr,OAK,QB,15,96.7,357,560,3937,28,6,92,45,29
Blake Bortles,JAX,QB,16,78.8,368,625,3905,23,16,72,26,12
Sam Bradford,MIN,QB,15,99.3,395,552,3877,20,5,77,32,18
Ben Roethlisberger,PIT,QB,14,95.4,328,509,3819,29,13,62,29,17
Carson Wentz,PHI,QB,16,79.3,379,607,3782,16,14,91,25,13
Dak Prescott,DAL,QB,16,104.9,311,459,3667,23,4,56,27,16
Tom Brady,NE,QB,12,112.2,291,432,3554,28,2,65,32,18
Cam Newton,CAR,QB,15,75.8,270,510,3509,19,14,59,18,8
Alex Smith,KC,QB,15,91.2,328,489,3502,15,8,70,27,14
Marcus Mariota,TEN,QB,15,95.6,276,451,3426,26,9,59,26,11
Trevor Siemian,DEN,QB,14,84.6,289,486,3401,18,10,64,34,21
Tyrod Taylor,BUF,QB,15,89.7,269,436,3023,17,6,53,22,10
Ryan Tannehill,MIA,QB,13,93.5,261,389,2995,19,12,46,18,5
Brock Osweiler,HOU,QB,15,72.2,301,510,2957,15,16,65,29,14
Ryan Fitzpatrick,NYJ,QB,14,69.6,228,403,2710,12,17,65,27,16
Colin Kaepernick,SF,QB,12,90.7,196,331,2241,16,4,35,13,3
Case Keenum,LAR,QB,10,76.4,196,322,2201,9,11,42,16,4
Matt Barkley,CHI,QB,7,68.3,129,216,1611,8,14,32,19,6
Brian Hoyer,CHI,QB,6,98.0,134,200,1445,6,0,29,10,4
Cody Kessler,CLE,QB,9,92.3,128,195,1380,6,2,17,5,2
Josh McCown,CLE,QB,5,72.3,90,165,1100,6,6,18,7,4
Jared Goff,LAR,QB,7,63.6,112,205,1089,5,7,15,6,5
Jay Cutler,CHI,QB,5,78.1,81,137,1059,4,5,13,4,0
Blaine Gabbert,SF,QB,6,68.4,91,160,925,5,6,16,6,0
Robert Griffin,CLE,QB,5,72.5,87,147,886,2,3,21,8,4
Bryce Petty,NYJ,QB,6,60.0,75,133,809,3,7,8,3,2
Matt Moore,MIA,QB,4,105.6,55,87,721,8,3,8,5,2
Landry Jones,PIT,QB,8,86.3,53,86,558,4,2,9,1,0
Jimmy Garoppolo,NE,QB,6,113.3,43,63,502,4,0,7,2,0
Paxton Lynch,DEN,QB,3,79.2,49,83,497,2,1,10,3,2
Tom Savage,HOU,QB,3,80.9,46,73,461,0,0,10,6,2
Derek Anderson,CAR,QB,5,67.6,36,53,453,2,5,9,3,3
Nick Foles,KC,QB,3,105.9,36,55,410,3,0,14,5,2
Jacoby Brissett,NE,QB,3,83.9,34,55,400,0,0,6,4,1
Matt Cassel,TEN,QB,4,71.0,30,51,284,2,2,15,4,3
Shaun Hill,MIN,QB,3,76.1,19,35,242,0,0,0,0,0
Scott Tolzien,IND,QB,3,64.7,23,37,216,1,2,5,3,3
Drew Stanton,ARI,QB,5,39.6,19,48,192,2,3,1,0,0
Charlie Whitehurst,CLE,QB,1,78.8,14,24,182,1,1,1,0,0
Connor Cook,OAK,QB,1,83.4,14,21,150,1,1,0,0,0
Trevone Boykin,SEA,QB,5,91.2,13,18,145,1,1,5,3,1
EJ Manuel,BUF,QB,6,58.3,11,26,131,0,0,3,1,0
Geno Smith,NYJ,QB,2,81.3,8,14,126,1,1,0,0,0
Kevin Hogan,CLE,QB,4,31.6,14,26,104,0,2,1,0,0
Cardale Jones,BUF,QB,1,46.0,6,11,96,0,1,1,0,0
Mark Sanchez,DAL,QB,2,23.6,10,18,93,0,2,2,1,1
Mike Glennon,TB,QB,2,136.6,10,11,75,1,0,3,1,1
Willie Snead,NO,WR,15,627.1,1,1,50,1,0,0,0,0
Matt McGloin,OAK,QB,3,60.4,8,15,50,0,0,0,0,0
Tanner McEvoy,SEA,WR,14,264.6,1,1,43,0,0,0,0,0
Terrelle Pryor,CLE,WR,16,67.4,5,9,41,0,0,1,0,0
Tony Romo,DAL,QB,1,178.1,3,4,29,1,0,1,1,1
Ryan Mallett,BAL,QB,4,-7.6,3,6,26,0,1,0,0,0
David Fales,CHI,QB,1,53.8,2,5,22,0,0,0,0,0
Marqise Lee,JAX,WR,16,502.1,1,1,20,1,0,1,0,0
Sean Mannion,LAR,QB,1,-12.5,3,6,19,0,1,0,0,0
Brett Hundley,GB,QB,4,-15.8,2,10,17,0,1,2,0,0
Chase Daniel,PHI,QB,1,152.1,1,1,16,0,0,0,0,0
Matt Schaub,ATL,QB,4,52.1,1,3,16,0,0,0,0,0
Doug Baldwin,SEA,WR,16,481.3,1,1,15,1,0,1,0,0
DeMarco Murray,TEN,RB,16,231.3,1,2,10,1,0,1,1,0
Dez Bryant,DAL,WR,13,460.4,1,1,10,1,0,1,1,0
Cameron Meredith,CHI,WR,14,427.1,1,1,2,1,0,1,1,1
Le'Veon Bell,PIT,RB,12,2.1,0,1,0,0,0,0,0,0
Justin Tucker,BAL,K,16,2.1,0,1,0,0,0,1,0,0
Jarvis Landry,MIA,WR,16,2.1,0,1,0,0,0,0,0,0
Larry Fitzgerald,ARI,WR,16,2.1,0,1,0,0,0,0,0,0
Cole Beasley,DAL,WR,16,2.1,0,1,0,0,0,0,0,0
Jerick McKinnon,MIN,RB,15,2.1,0,1,0,0,0,0,0,0
Duke Johnson,CLE,RB,16,2.1,0,1,0,0,0,0,0,0
Travis Benjamin,SD,WR,14,2.1,0,1,0,0,0,0,0,0
Jeremy Maclin,KC,WR,12,2.1,0,1,0,0,0,1,1,1
Jonathan Williams,BUF,RB,11,2.1,0,1,0,0,0,0,0,0
Josh Huff,PHI,WR,7,2.1,0,1,0,0,0,0,0,0
Pharoh Cooper,LAR,WR,10,-414.6,0,1,0,0,1,0,0,0
Kellen Clemens,SD,QB,12,2.1,0,1,0,0,0,0,0,0
