,,,,Passing,,,,,Distance,,Big Passing Games,,,,,,Receivers,,
Mark Sanchez,DAL,QB,2,23.6,10,18,0,2,1,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
Mike Glennon,TB,QB,2,136.6,10,11,1,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
Matt McGloin,OAK,QB,3,60.4,8,15,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
Willie Snead,NO,WR,15,627.1,1,1,1,0,1,1,0,0,0,0.0,0.0,0.0,0,0.0,0.0
Tanner McEvoy,SEA,WR,14,264.6,1,1,0,0,1,1,0,0,0,0.0,0.0,0.0,0,0.0,0.0
Terrelle Pryor,CLE,WR,16,67.4,5,9,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
Pat McAfee,IND,P,16,231.3,1,1,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
Tress Way,WAS,P,16,214.6,1,1,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
Tony Romo,DAL,QB,1,178.1,3,4,1,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
Ryan Mallett,BAL,QB,4,-7.6,3,6,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
David Fales,CHI,QB,1,53.8,2,5,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
Marqise Lee,JAX,WR,16,502.1,1,1,1,0,1,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
Sean Mannion,LAR,QB,1,-12.5,3,6,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
Brett Hundley,GB,QB,4,-15.8,2,10,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
Chase Daniel,PHI,QB,1,152.1,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
Matt Schaub,ATL,QB,4,52.1,1,3,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
Riley Dixon,DEN,P,16,152.1,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
Doug Baldwin,SEA,WR,16,481.3,1,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
Dez Bryant,DAL,WR,13,460.4,1,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
DeMarco Murray,TEN,RB,16,231.3,1,2,1,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
Johnny Hekker,LAR,P,16,52.1,1,2,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
Dontari Poe,KC,DT,16,427.1,1,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
Cameron Meredith,CHI,WR,14,427.1,1,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
Pharoh Cooper,LAR,WR,10,-414.6,0,1,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
Jonathan Williams,BUF,RB,11,2.1,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
Antonio Morrison,IND,LB,16,2.1,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
Cole Beasley,DAL,WR,16,2.1,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
Justin Tucker,BAL,K,16,2.1,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
Le'Veon Bell,PIT,RB,12,2.1,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
Travis Benjamin,SD,WR,14,2.1,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
Jon Ryan,SEA,P,16,2.1,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
Duke Johnson,CLE,RB,16,2.1,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
Jarvis Landry,MIA,WR,16,2.1,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
Josh Huff,PHI,WR,7,2.1,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
Jerick McKinnon,MIN,RB,15,2.1,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
Jeremy Maclin,KC,WR,12,2.1,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
Larry Fitzgerald,ARI,WR,16,2.1,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
Kellen Clemens,SD,QB,12,2.1,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
