,,,,Passing,,,,,Distance,,Big Passing Games,,,,,,Receivers,,
Name,Team,Pos,G,QBR,COMP,ATT,TD,INT,20+,40+,300+,350+,400+,Bad Pass %,Avg Target Depth,Sack %,Drops,Drop %,Avg YAC
Drew Brees,NO,QB,16,101.7,471,673,37,15,70,10,10,6,2,0.0,0.0,0.0,0,0.0,0.0
Matt Ryan,ATL,QB,16,117.1,373,534,38,7,69,17,6,2,1,0.0,0.0,0.0,0,0.0,0.0
Kirk Cousins,WAS,QB,16,97.2,406,606,25,12,69,13,7,4,2,0.0,0.0,0.0,0,0.0,0.0
Aaron Rodgers,GB,QB,16,104.2,401,610,40,7,57,10,6,2,0,0.0,0.0,0.0,0,0.0,0.0
Philip Rivers,SD,QB,16,87.9,349,578,33,21,57,16,6,2,0,0.0,0.0,0.0,0,0.0,0.0
Matthew Stafford,DET,QB,16,93.3,388,594,24,10,52,10,4,1,0,0.0,0.0,0.0,0,0.0,0.0
Joe Flacco,BAL,QB,16,83.5,436,672,20,15,40,11,4,1,0,0.0,0.0,0.0,0,0.0,0.0
Andrew Luck,IND,QB,15,96.4,346,545,31,13,61,8,5,2,0,0.0,0.0,0.0,0,0.0,0.0
Carson Palmer,ARI,QB,15,87.2,364,597,26,14,48,6,6,2,0,0.0,0.0,0.0,0,0.0,0.0
Russell Wilson,SEA,QB,16,92.6,353,546,21,11,51,11,3,1,0,0.0,0.0,0.0,0,0.0,0.0
Andy Dalton,CIN,QB,16,91.8,364,563,18,8,53,13,4,2,0,0.0,0.0,0.0,0,0.0,0.0
Jameis Winston,TB,QB,16,86.1,345,567,28,18,43,4,3,1,1,0.0,0.0,0.0,0,0.0,0.0
Eli Manning,NYG,QB,16,86.0,377,598,26,16,46,11,4,4,1,0.0,0.0,0.0,0,0.0,0.0
Derek Carr,OAK,QB,15,96.7,357,560,28,6,50,8,4,1,1,0.0,0.0,0.0,0,0.0,0.0
Blake Bortles,JAX,QB,16,78.8,368,625,23,16,43,4,5,0,0,0.0,0.0,0.0,0,0.0,0.0
Sam Bradford,MIN,QB,15,99.3,395,552,20,5,49,8,2,1,0,0.0,0.0,0.0,0,0.0,0.0
Ben Roethlisberger,PIT,QB,14,95.4,328,509,29,13,59,8,4,2,1,0.0,0.0,0.0,0,0.0,0.0
Carson Wentz,PHI,QB,16,79.3,379,607,16,14,39,6,4,1,0,0.0,0.0,0.0,0,0.0,0.0
Dak Prescott,DAL,QB,16,104.9,311,459,23,4,38,8,2,0,0,0.0,0.0,0.0,0,0.0,0.0
Tom Brady,NE,QB,12,112.2,291,432,28,2,45,8,5,3,2,0.0,0.0,0.0,0,0.0,0.0
Cam Newton,CAR,QB,15,75.8,270,510,19,14,42,8,3,1,0,0.0,0.0,0.0,0,0.0,0.0
Alex Smith,KC,QB,15,91.2,328,489,15,8,39,8,1,1,0,0.0,0.0,0.0,0,0.0,0.0
Marcus Mariota,TEN,QB,15,95.6,276,451,26,9,50,7,1,0,0,0.0,0.0,0.0,0,0.0,0.0
Trevor Siemian,DEN,QB,14,84.6,289,486,18,10,37,8,3,1,0,0.0,0.0,0.0,0,0.0,0.0
Tyrod Taylor,BUF,QB,15,89.7,269,436,17,6,33,7,1,0,0,0.0,0.0,0.0,0,0.0,0.0
Ryan Tannehill,MIA,QB,13,93.5,261,389,19,12,37,11,2,1,0,0.0,0.0,0.0,0,0.0,0.0
Brock Osweiler,HOU,QB,15,72.2,301,510,15,16,29,4,0,0,0,0.0,0.0,0.0,0,0.0,0.0
Ryan Fitzpatrick,NYJ,QB,14,69.6,228,403,12,17,38,5,1,1,0,0.0,0.0,0.0,0,0.0,0.0
Colin Kaepernick,SF,QB,12,90.7,196,331,16,4,25,5,1,1,0,0.0,0.0,0.0,0,0.0,0.0
Case Keenum,LAR,QB,10,76.4,196,322,9,11,31,8,1,0,0,0.0,0.0,0.0,0,0.0,0.0
Matt Barkley,CHI,QB,7,68.3,129,216,8,14,21,0,3,1,0,0.0,0.0,0.0,0,0.0,0.0
Brian Hoyer,CHI,QB,6,98.0,134,200,6,0,13,1,4,1,0,0.0,0.0,0.0,0,0.0,0.0
Cody Kessler,CLE,QB,9,92.3,128,195,6,2,17,4,1,0,0,0.0,0.0,0.0,0,0.0,0.0
Josh McCown,CLE,QB,5,72.3,90,165,6,6,14,2,2,0,0,0.0,0.0,0.0,0,0.0,0.0
Jared Goff,LAR,QB,7,63.6,112,205,5,7,12,1,0,0,0,0.0,0.0,0.0,0,0.0,0.0
Jay Cutler,CHI,QB,5,78.1,81,137,4,5,15,3,0,0,0,0.0,0.0,0.0,0,0.0,0.0
Blaine Gabbert,SF,QB,6,68.4,91,160,5,6,10,1,0,0,0,0.0,0.0,0.0,0,0.0,0.0
Robert Griffin,CLE,QB,5,72.5,87,147,2,3,9,3,0,0,0,0.0,0.0,0.0,0,0.0,0.0
Bryce Petty,NYJ,QB,6,60.0,75,133,3,7,9,4,0,0,0,0.0,0.0,0.0,0,0.0,0.0
Matt Moore,MIA,QB,4,105.6,55,87,8,3,9,4,0,0,0,0.0,0.0,0.0,0,0.0,0.0
Landry Jones,PIT,QB,8,86.3,53,86,4,2,5,2,0,0,0,0.0,0.0,0.0,0,0.0,0.0
Jimmy Garoppolo,NE,QB,6,113.3,43,63,4,0,7,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
Paxton Lynch,DEN,QB,3,79.2,49,83,2,1,3,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
Tom Savage,HOU,QB,3,80.9,46,73,0,0,5,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
Derek Anderson,CAR,QB,5,67.6,36,53,2,5,7,1,0,0,0,0.0,0.0,0.0,0,0.0,0.0
Nick Foles,KC,QB,3,105.9,36,55,3,0,7,1,0,0,0,0.0,0.0,0.0,0,0.0,0.0
Jacoby Brissett,NE,QB,3,83.9,34,55,0,0,4,1,0,0,0,0.0,0.0,0.0,0,0.0,0.0
Matt Cassel,TEN,QB,4,71.0,30,51,2,2,3,1,0,0,0,0.0,0.0,0.0,0,0.0,0.0
Shaun Hill,MIN,QB,3,76.1,19,35,0,0,3,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
Scott Tolzien,IND,QB,3,64.7,23,37,1,2,1,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
Drew Stanton,ARI,QB,5,39.6,19,48,2,3,3,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
Charlie Whitehurst,CLE,QB,1,78.8,14,24,1,1,3,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
Connor Cook,OAK,QB,1,83.4,14,21,1,1,1,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
Trevone Boykin,SEA,QB,5,91.2,13,18,1,1,2,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
EJ Manuel,BUF,QB,6,58.3,11,26,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
Geno Smith,NYJ,QB,2,81.3,8,14,1,1,1,1,0,0,0,0.0,0.0,0.0,0,0.0,0.0
Kevin Hogan,CLE,QB,4,31.6,14,26,0,2,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
Cardale Jones,BUF,QB,1,46.0,6,11,0,1,1,1,0,0,0,0.0,0.0,0.0,0,0.0,0.0
