,,,Fantasy,,Rushing,,,,Receiving,,,,,,This Week,
,Name,Games,Points,Pts/G,ATT,YDS,TD,YPC,REC,YDS,TD,TAR,YPT,Catch %,Opp,Opp RBs This Week
32,Raiders,1,59.70,59.7,26,209,2,8.04,10,78,1,14,5.57,71.4,@KC,"Clyde Edwards-Helaire, Darrel Williams, Darwin Thompson"
31,Packers,1,55.20,55.2,18,116,0,6.44,14,146,2,15,9.73,93.3,-,Bye Week
30,Football Team,1,43.70,43.7,35,154,2,4.40,4,33,1,5,6.60,80.0,LAR,"Malcolm Brown, Darrell Henderson, Cam Akers"
29,Giants,1,43.10,43.1,28,62,2,2.21,8,109,1,9,12.11,88.9,@DAL,"Ezekiel Elliott, Tony Pollard, Rico Dowdle"
28,Dolphins,1,39.70,39.7,13,49,2,3.77,11,118,0,12,9.83,91.7,@SF,"Raheem Mostert, Jerick McKinnon, Jeff Wilson"
27,Panthers,1,37.50,37.5,20,102,1,5.10,13,93,0,13,7.15,100.0,@ATL,"Todd Gurley, Brian Hill, Ito Smith"
26,Texans,1,35.00,35.0,32,163,1,5.09,5,47,0,7,6.71,71.4,JAX,"James Robinson, Chris Thompson, Dare Ogunbowale"
25,Titans,1,34.70,34.7,30,208,1,6.93,3,29,0,7,4.14,42.9,BUF,"Devin Singletary, Zack Moss, T.J. Yeldon"
24,Vikings,1,32.40,32.4,29,128,2,4.41,3,16,0,4,4.00,75.0,@SEA,"Chris Carson, Carlos Hyde, Travis Homer"
23,Bears,1,31.50,31.5,23,138,2,6.00,3,27,0,8,3.38,37.5,TB,"Ronald Jones, Leonard Fournette, Ke'Shawn Vaughn"
22,Jets,1,28.80,28.8,29,119,1,4.10,6,49,0,7,7.00,85.7,ARI,"Kenyan Drake, Chase Edmonds, Eno Benjamin"
21,Ravens,1,28.70,28.7,25,81,0,3.24,8,76,1,11,6.91,72.7,CIN,"Joe Mixon, Giovani Bernard, Samaje Perine"
20,Chargers,1,24.70,24.7,15,62,0,4.13,8,45,1,9,5.00,88.9,@NO,"Alvin Kamara, Latavius Murray, Dwayne Washington"
19,Bills,1,23.90,23.9,27,133,1,4.93,1,6,0,5,1.20,20.0,@TEN,"Derrick Henry, Darrynton Evans, Jeremy McNichols"
18,Browns,1,22.80,22.8,17,70,1,4.12,6,48,0,7,6.86,85.7,IND,"Jonathan Taylor, Nyheim Hines, Jordan Wilkins"
17,Saints,1,22.60,22.6,23,88,1,3.83,5,28,0,7,4.00,71.4,LAC,"Joshua Kelley, Justin Jackson"
16,Colts,1,21.70,21.7,24,89,0,3.71,8,48,0,8,6.00,100.0,@CLE,"Kareem Hunt, D'Ernest Johnson, Dontrell Hilliard"
15,Jaguars,1,21.00,21.0,28,71,1,2.54,5,29,0,5,5.80,100.0,@HOU,"David Johnson, Duke Johnson, C.J. Prosise"
14,Patriots,1,20.70,20.7,20,116,0,5.80,7,31,0,8,3.88,87.5,DEN,"Melvin Gordon, Phillip Lindsay, Royce Freeman"
13,Seahawks,1,18.30,18.3,14,34,1,2.43,7,19,0,12,1.58,58.3,MIN,"Dalvin Cook, Alexander Mattison, Ameer Abdullah"
T11,Broncos,1,17.90,17.9,20,68,0,3.40,6,51,0,10,5.10,60.0,@NE,"Damien Harris, James White, Rex Burkhead"
T11,Rams,1,17.90,17.9,16,89,0,5.56,4,50,0,5,10.00,80.0,@WAS,"Antonio Gibson, J.D. McKissic, Peyton Barber"
10,Eagles,1,17.00,17.0,17,49,0,2.88,5,71,0,6,11.83,83.3,@PIT,"James Conner, Benny Snell, Anthony McFarland"
9,Cardinals,1,16.40,16.4,25,91,0,3.64,3,43,0,4,10.75,75.0,@NYJ,"Le'Veon Bell, Frank Gore, La'Mical Perine"
8,Bengals,1,16.00,16.0,24,108,0,4.50,4,12,0,9,1.33,44.4,@BAL,"Mark Ingram, J.K. Dobbins, Gus Edwards"
7,Cowboys,1,15.80,15.8,20,95,0,4.75,4,23,0,5,4.60,80.0,NYG,"Devonta Freeman, Wayne Gallman, Dion Lewis"
6,Chiefs,1,15.30,15.3,12,75,0,6.25,4,38,0,5,7.60,80.0,LV,"Josh Jacobs, Jalen Richard, Devontae Booker"
5,Falcons,1,14.50,14.5,16,66,0,4.13,5,29,0,9,3.22,55.6,CAR,"Mike Davis, Trenton Cannon"
T3,Lions,1,14.30,14.3,21,86,0,4.10,3,27,0,3,9.00,100.0,-,Bye Week
T3,Steelers,1,14.30,14.3,14,24,1,1.71,3,29,0,4,7.25,75.0,PHI,"Miles Sanders, Boston Scott, Corey Clement"
2,Buccaneers,1,13.30,13.3,10,30,0,3.00,6,43,0,8,5.38,75.0,@CHI,"David Montgomery, Cordarrelle Patterson, Ryan Nall"
1,49ers,1,6.40,6.4,10,17,0,1.70,3,17,0,6,2.83,50.0,MIA,"Myles Gaskin, Matt Breida, Jordan Howard"
