,,,Fantasy,,Receiving,,,,,,Rushing,,,,This Week,
,Name,Games,Points,Pts/G,REC,YDS,TD,TAR,YPT,Catch %,ATT,YDS,TD,YPC,Opp,Opp WRs This Week
32,Saints,1,31.40,31.4,9,104,2,10,10.40,90.0,0,0,0,0.00,LAC,"Hunter Henry, Virgil Green"
31,Falcons,1,28.50,28.5,9,75,2,13,5.77,69.2,0,0,0,0.00,CAR,"Ian Thomas, Chris Manhertz"
30,Rams,1,25.50,25.5,5,25,3,6,4.17,83.3,0,0,0,0.00,@WAS,"Logan Thomas, Jeremy Sprinkle"
29,Texans,1,22.70,22.7,8,87,1,10,8.70,80.0,0,0,0,0.00,JAX,"Tyler Eifert, James O'Shaughnessy"
28,Cardinals,1,21.10,21.1,7,81,1,11,7.36,63.6,0,0,0,0.00,@NYJ,"Chris Herndon, Ryan Griffin"
27,Cowboys,1,20.70,20.7,8,67,1,10,6.70,80.0,0,0,0,0.00,NYG,"Evan Engram, Kaden Smith"
26,Bengals,1,19.20,19.2,10,92,0,13,7.08,76.9,0,0,0,0.00,@BAL,"Mark Andrews, Nick Boyle"
25,Broncos,1,18.70,18.7,9,97,0,11,8.82,81.8,0,0,0,0.00,@NE,"Ryan Izzo, Devin Asiasi"
T23,Ravens,1,14.70,14.7,6,87,0,8,10.88,75.0,0,0,0,0.00,CIN,"Drew Sample, Cethan Carter"
T23,Vikings,1,14.70,14.7,7,77,0,10,7.70,70.0,0,0,0,0.00,@SEA,"Greg Olsen, Will Dissly"
22,Jets,1,14.00,14.0,3,50,1,4,12.50,75.0,0,0,0,0.00,ARI,"Dan Arnold, Darrell Daniels"
21,Patriots,1,13.40,13.4,4,34,1,6,5.67,66.7,0,0,0,0.00,DEN,"Jake Butt, Nick Vannett"
20,Giants,1,13.20,13.2,6,72,0,10,7.20,60.0,0,0,0,0.00,@DAL,"Dalton Schultz, Blake Bell"
19,Football Team,1,12.80,12.8,4,28,1,6,4.67,66.7,0,0,0,0.00,LAR,"Tyler Higbee, Gerald Everett"
18,Chiefs,1,12.70,12.7,4,27,1,9,3.00,44.4,0,0,0,0.00,LV,"Darren Waller, Jason Witten"
17,Bills,1,11.40,11.4,4,74,0,4,18.50,100.0,0,0,0,0.00,@TEN,"Jonnu Smith, Anthony Firkser"
16,Buccaneers,1,11.10,11.1,6,51,0,11,4.64,54.5,0,0,0,0.00,@CHI,"Jimmy Graham, Cole Kmet"
15,Jaguars,1,10.20,10.2,2,22,1,4,5.50,50.0,0,0,0,0.00,@HOU,"Jordan Akins, Darren Fells"
14,Panthers,1,10.00,10.0,5,50,0,8,6.25,62.5,0,0,0,0.00,@ATL,"Hayden Hurst, Luke Stocker"
13,Titans,1,9.10,9.1,2,11,1,3,3.67,66.7,0,0,0,0.00,BUF,"Dawson Knox, Tyler Kroft"
12,Dolphins,1,9.00,9.0,5,40,0,7,5.71,71.4,0,0,0,0.00,@SF,"George Kittle, Ross Dwelley"
11,Seahawks,1,8.80,8.8,4,48,0,7,6.86,57.1,0,0,0,0.00,MIN,"Kyle Rudolph, Irv Smith"
10,Bears,1,8.70,8.7,2,7,1,4,1.75,50.0,0,0,0,0.00,TB,"Rob Gronkowski, Cameron Brate"
9,Packers,1,7.80,7.8,4,38,0,5,7.60,80.0,0,0,0,0.00,-,Bye Week
8,49ers,1,7.50,7.5,4,35,0,7,5.00,57.1,0,0,0,0.00,MIA,"Mike Gesicki, Adam Shaheen"
7,Browns,1,7.10,7.1,4,31,0,7,4.43,57.1,0,0,0,0.00,IND,"Jack Doyle, Trey Burton"
6,Lions,1,6.50,6.5,3,35,0,4,8.75,75.0,0,0,0,0.00,-,Bye Week
5,Colts,1,5.10,5.1,3,21,0,7,3.00,42.9,0,0,0,0.00,@CLE,"Austin Hooper, David Njoku"
4,Steelers,1,4.80,4.8,2,28,0,5,5.60,40.0,0,0,0,0.00,PHI,"Zach Ertz, Richard Rodgers"
3,Eagles,1,2.20,2.2,2,2,0,2,1.00,100.0,0,0,0,0.00,@PIT,"Eric Ebron, Vance McDonald"
2,Chargers,1,1.90,1.9,1,9,0,2,4.50,50.0,0,0,0,0.00,@NO,"Jared Cook, Adam Trautman"
1,Raiders,1,.00,0.0,0,0,0,1,0.00,0.0,0,0,0,0.00,@KC,"Travis Kelce, Nick Keizer"
