,,,Fantasy,,Passing,,,,,,Rushing,,,,This Week,
,Name,Games,Points,Pts/G,COMP,ATT,YDS,TD,INT,YPA,ATT,YDS,TD,YPC,Opp,Opp QB This Week
32,Ravens,1,43.00,43.0,31,42,385,4,0,9.17,4,26,1,6.50,CIN,Joe Burrow
31,Cowboys,1,39.80,39.8,27,40,315,5,0,7.88,6,22,0,3.67,NYG,Daniel Jones
30,Rams,1,36.24,36.2,24,33,311,4,1,9.42,4,8,1,2.00,@WAS,Kyle Allen
29,Seahawks,1,33.48,33.5,37,57,472,3,2,8.28,6,26,0,4.33,MIN,Kirk Cousins
28,Bills,1,31.24,31.2,23,32,321,2,1,10.03,2,4,1,2.00,@TEN,Ryan Tannehill
27,Falcons,1,30.84,30.8,29,51,316,4,2,6.20,4,42,0,10.50,CAR,Teddy Bridgewater
26,Jaguars,1,25.20,25.2,18,20,160,2,0,8.00,7,38,1,5.43,@HOU,Deshaun Watson
25,Lions,1,24.70,24.7,23,35,270,2,3,7.71,5,29,1,5.80,-,Bye Week
24,Saints,1,24.52,24.5,21,32,283,3,0,8.84,2,12,0,6.00,LAC,Justin Herbert
23,Bengals,1,24.30,24.3,29,47,225,1,2,4.79,11,73,1,6.64,@BAL,Lamar Jackson
22,Packers,1,24.22,24.2,29,36,288,3,0,8.00,2,6,0,3.00,-,Bye Week
21,Broncos,1,23.88,23.9,25,38,297,3,0,7.82,5,0,0,0.00,@NE,Jarrett Stidham
20,Eagles,1,23.38,23.4,31,44,312,2,0,7.09,1,-1,0,-1.00,@PIT,Ben Roethlisberger
19,Titans,1,21.44,21.4,16,27,251,3,2,9.30,2,14,0,7.00,BUF,Josh Allen
18,Giants,1,20.72,20.7,25,36,343,1,0,9.53,4,0,0,0.00,@DAL,Dak Prescott
17,Panthers,1,19.70,19.7,35,49,330,1,1,6.73,3,15,0,5.00,@ATL,Matt Ryan
16,Texans,1,19.18,19.2,23,36,237,2,0,6.58,5,-3,0,-0.60,JAX,Gardner Minshew
15,Cardinals,1,18.50,18.5,22,31,270,2,0,8.71,1,-3,0,-3.00,@NYJ,Joe Flacco
14,Steelers,1,18.06,18.1,19,27,264,2,1,9.78,1,5,0,5.00,PHI,Carson Wentz
13,Patriots,1,17.44,17.4,24,32,261,2,0,8.16,2,10,0,5.00,DEN,Drew Lock
12,Vikings,1,16.74,16.7,23,37,321,0,1,8.68,4,9,0,2.25,@SEA,Russell Wilson
11,Chiefs,1,15.18,15.2,15,28,97,1,0,3.46,9,83,0,9.22,LV,Derek Carr
10,Chargers,1,14.60,14.6,22,28,235,1,0,8.39,2,12,0,6.00,@NO,Drew Brees
9,Football Team,1,14.34,14.3,16,23,156,2,0,6.78,1,1,0,1.00,LAR,Jared Goff
8,Jets,1,13.36,13.4,19,25,234,1,0,9.36,2,0,0,0.00,ARI,Kyler Murray
7,Browns,1,13.16,13.2,21,37,224,2,3,6.05,2,2,0,1.00,IND,Philip Rivers
6,Buccaneers,1,12.56,12.6,25,39,229,1,2,5.87,3,14,0,4.67,@CHI,Nick Foles
5,Bears,1,12.42,12.4,19,38,238,1,1,6.26,1,-1,0,-1.00,TB,Tom Brady
4,Raiders,1,12.18,12.2,17,28,162,1,1,5.79,9,27,0,3.00,@KC,Patrick Mahomes
3,Dolphins,1,11.20,11.2,30,42,275,0,1,6.55,3,22,0,7.33,@SF,Jimmy Garoppolo
2,49ers,1,10.06,10.1,17,32,179,0,1,5.59,5,49,0,9.80,MIA,Ryan Fitzpatrick
1,Colts,1,9.72,9.7,17,29,168,1,3,5.79,5,20,0,4.00,@CLE,Baker Mayfield
