,,,,Week 2 Game,,,,Fantasy,Passing,,,Rushing,,,Receiving,,
Rank,Name,Team,Pos,OPP,Fav,Spread,O/U,Points,YDS,TD,INT,ATT,YDS,TD,REC,YDS,TD
1,Lamar Jackson,BAL,QB,HOU,BAL,-7.0,49.5,27.97,230.55,1.81,0.57,10.00,71.29,0.44,0.00,0.00,0.00
2,Patrick Mahomes,KC,QB,LAC,KC,-8.5,47.0,26.78,299.10,2.45,0.61,3.30,17.93,0.14,0.00,0.00,0.00
3,Dak Prescott,DAL,QB,ATL,DAL,-3.0,53.5,26.28,298.60,2.09,0.58,4.00,19.50,0.27,0.00,0.00,0.00
4,Kyler Murray,ARI,QB,WAS,ARI,-7.0,46.5,25.57,261.73,1.85,0.79,6.50,38.90,0.33,0.00,0.00,0.00
5,Russell Wilson,SEA,QB,NE,SEA,-4.5,45.0,25.28,280.09,2.13,0.49,4.00,21.10,0.19,0.00,0.00,0.00
6,Josh Allen,BUF,QB,MIA,BUF,-5.5,42.5,23.78,237.98,1.58,0.75,5.70,34.87,0.47,0.00,0.00,0.00
7,Deshaun Watson,HOU,QB,BAL,BAL,7,49.5,23.63,257.86,1.78,0.83,5.70,28.25,0.27,0.00,0.00,0.00
8,Aaron Rodgers,GB,QB,DET,GB,-7.0,51.0,23.53,292.39,2.02,0.46,2.00,9.27,0.06,0.00,0.00,0.00
9,Matt Ryan,ATL,QB,DAL,DAL,3,53.5,23.31,298.60,2.09,0.81,1.40,3.46,0.08,0.00,0.00,0.00
10,Tom Brady,TB,QB,CAR,TB,-7.5,47.0,23.24,297.63,2.06,0.65,0.80,2.32,0.09,0.00,0.00,0.00
11,Drew Brees,NO,QB,LV,NO,-4.0,47.5,22.70,296.46,2.10,0.52,0.00,0.00,0.00,0.00,0.00,0.00
12,Cam Newton,NE,QB,SEA,SEA,4.5,45.0,22.36,217.42,1.29,0.63,8.60,39.61,0.50,0.00,0.00,0.00
13,Joe Burrow,CIN,QB,CLE,CLE,6,44.5,21.67,236.92,1.56,0.86,6.20,27.06,0.29,0.00,0.00,0.00
14,Jared Goff,LAR,QB,PHI,PHI,2,46.0,21.58,286.62,1.91,0.87,1.00,2.35,0.04,0.00,0.00,0.00
15,Matthew Stafford,DET,QB,GB,GB,7,51.0,21.28,277.40,1.83,0.74,2.00,4.69,0.06,0.00,0.00,0.00
16,Ben Roethlisberger,PIT,QB,DEN,PIT,-6.5,41.0,21.18,280.74,1.92,0.81,1.00,2.71,0.00,0.00,0.00,0.00
17,Baker Mayfield,CLE,QB,CIN,CLE,-6.0,44.5,21.16,265.46,1.91,0.86,1.70,7.42,0.06,0.00,0.00,0.00
18,Carson Wentz,PHI,QB,LAR,PHI,-2.0,46.0,21.13,254.93,1.75,0.55,3.10,12.74,0.11,0.00,0.00,0.00
19,Ryan Tannehill,TEN,QB,JAX,TEN,-7.0,44.5,20.92,242.78,1.68,0.57,2.70,15.51,0.18,0.00,0.00,0.00
20,Philip Rivers,IND,QB,MIN,IND,-3.5,49.0,20.69,276.10,1.88,0.91,0.00,1.50,0.02,0.00,0.00,0.00
21,Gardner Minshew,JAX,QB,TEN,TEN,7,44.5,20.60,241.01,1.75,0.67,4.00,16.79,0.09,0.00,0.00,0.00
22,Mitchell Trubisky,CHI,QB,NYG,CHI,-4.5,42.5,20.46,262.84,1.23,0.69,5.10,20.72,0.17,0.00,0.00,0.00
23,Daniel Jones,NYG,QB,CHI,CHI,4.5,42.5,20.33,238.99,1.59,0.93,4.40,19.33,0.17,0.00,0.00,0.00
24,Kirk Cousins,MIN,QB,IND,IND,3.5,49.0,20.12,254.34,1.88,0.60,1.00,2.39,0.04,0.00,0.00,0.00
25,Jimmy Garoppolo,SF,QB,NYJ,SF,-7.0,41.5,20.11,253.47,1.90,0.72,1.00,2.52,0.05,0.00,0.00,0.00
26,Teddy Bridgewater,CAR,QB,TB,TB,7.5,47.0,19.68,238.58,1.51,0.89,4.10,19.38,0.11,0.00,0.00,0.00
27,Derek Carr,LV,QB,NO,NO,4,47.5,19.58,261.53,1.63,0.62,1.20,3.01,0.05,0.00,0.00,0.00
28,Tyrod Taylor,LAC,QB,KC,KC,8.5,47.0,18.85,202.12,1.47,0.17,4.80,21.91,0.14,0.00,0.00,0.00
29,Dwayne Haskins,WAS,QB,ARI,ARI,7,46.5,18.31,225.76,1.40,0.88,4.30,15.17,0.13,0.00,0.00,0.00
30,Ezekiel Elliott,DAL,RB,ATL,DAL,-3.0,53.5,17.77,0.00,0.00,0.00,19.30,99.57,0.72,3.40,25.96,0.15
31,Christian McCaffrey,CAR,RB,TB,TB,7.5,47.0,17.56,0.00,0.00,0.00,18.20,75.40,0.79,4.98,43.17,0.16
32,Derrick Henry,TEN,RB,JAX,TEN,-7.0,44.5,17.22,0.00,0.00,0.00,18.30,98.90,0.87,2.05,16.89,0.07
33,Sam Darnold,NYJ,QB,SF,SF,7,41.5,16.70,228.07,1.30,0.80,1.60,3.59,0.09,0.00,0.00,0.00
34,Ryan Fitzpatrick,MIA,QB,BUF,BUF,5.5,42.5,16.68,235.08,1.35,1.08,1.00,3.65,0.04,0.00,0.00,0.00
35,Drew Lock,DEN,QB,PIT,PIT,6.5,41.0,16.42,217.48,1.40,1.10,2.00,6.90,0.06,0.00,0.00,0.00
36,Clyde Edwards-Helaire,KC,RB,LAC,KC,-8.5,47.0,15.67,0.00,0.00,0.00,15.20,73.48,0.70,3.33,30.43,0.18
37,Alvin Kamara,NO,RB,LV,NO,-4.0,47.5,15.46,0.00,0.00,0.00,11.30,57.86,0.63,6.30,48.10,0.18
38,Saquon Barkley,NYG,RB,CHI,CHI,4.5,42.5,15.37,0.00,0.00,0.00,16.40,66.81,0.57,4.59,41.88,0.18
39,Dalvin Cook,MIN,RB,IND,IND,3.5,49.0,15.30,0.00,0.00,0.00,17.20,77.39,0.68,3.25,31.16,0.06
40,Josh Jacobs,LV,RB,NO,NO,4,47.5,15.19,0.00,0.00,0.00,18.80,85.11,0.66,2.75,23.57,0.06
41,Kenyan Drake,ARI,RB,WAS,ARI,-7.0,46.5,14.67,0.00,0.00,0.00,14.50,74.01,0.48,4.43,35.49,0.14
42,Aaron Jones,GB,RB,DET,GB,-7.0,51.0,14.49,0.00,0.00,0.00,14.30,76.23,0.54,3.35,29.10,0.12
43,Jonathan Taylor,IND,RB,MIN,IND,-3.5,49.0,14.45,0.00,0.00,0.00,16.20,81.53,0.60,2.72,22.16,0.08
44,Joe Mixon,CIN,RB,CLE,CLE,6,44.5,14.17,0.00,0.00,0.00,19.30,76.69,0.55,2.51,24.81,0.12
45,David Johnson,HOU,RB,BAL,BAL,7,49.5,13.97,0.00,0.00,0.00,15.30,64.31,0.50,3.79,35.78,0.16
46,Davante Adams,GB,WR,DET,GB,-7.0,51.0,13.53,0.00,0.00,0.00,0.00,0.00,0.00,7.40,93.30,0.70
47,Nick Chubb,CLE,RB,CIN,CLE,-6.0,44.5,13.46,0.00,0.00,0.00,14.20,72.86,0.60,2.71,21.50,0.07
48,Miles Sanders,PHI,RB,LAR,PHI,-2.0,46.0,13.27,0.00,0.00,0.00,11.00,53.04,0.41,4.14,39.43,0.26
49,Julio Jones,ATL,WR,DAL,DAL,3,53.5,13.26,0.00,0.00,0.00,0.15,0.83,0.00,7.11,99.96,0.53
50,Austin Ekeler,LAC,RB,KC,KC,8.5,47.0,12.87,0.00,0.00,0.00,13.90,55.03,0.33,4.25,41.22,0.21
51,Todd Gurley,ATL,RB,DAL,DAL,3,53.5,12.70,0.00,0.00,0.00,14.40,61.93,0.71,2.57,18.22,0.07
52,Raheem Mostert,SF,RB,NYJ,SF,-7.0,41.5,12.62,0.00,0.00,0.00,14.90,74.25,0.53,1.69,15.91,0.07
53,Ronald Jones,TB,RB,CAR,TB,-7.5,47.0,12.53,0.00,0.00,0.00,13.40,71.38,0.51,2.01,19.09,0.07
54,DeAndre Hopkins,ARI,WR,WAS,ARI,-7.0,46.5,12.44,0.00,0.00,0.00,0.31,1.80,0.00,7.28,87.82,0.58
55,Tyreek Hill,KC,WR,LAC,KC,-8.5,47.0,12.31,0.00,0.00,0.00,1.04,5.75,0.07,5.23,81.90,0.52
56,Mike Evans,TB,WR,CAR,TB,-7.5,47.0,12.06,0.00,0.00,0.00,0.00,0.00,0.00,6.14,84.03,0.61
57,Melvin Gordon,DEN,RB,PIT,PIT,6.5,41.0,11.93,0.00,0.00,0.00,16.90,58.59,0.54,3.23,22.88,0.09
58,James Conner,PIT,RB,DEN,PIT,-6.5,41.0,11.71,0.00,0.00,0.00,12.10,56.80,0.45,3.30,28.46,0.08
59,Amari Cooper,DAL,WR,ATL,DAL,-3.0,53.5,11.61,0.00,0.00,0.00,0.14,0.90,0.00,5.67,81.62,0.56
