,,,,Passing,,,,,,Red Zone Passes,,
Name,Team,Pos,G,QBR,COMP,ATT,YDS,TD,INT,In20,In10,In5
Dak Prescott,DAL,QB,1,109.4,34,47,450,1,0,6,3,1
Josh Allen,BUF,QB,1,146.7,24,35,415,4,0,5,4,1
Cam Newton,NE,QB,1,94.6,30,44,397,1,1,6,3,1
Teddy Bridgewater,CAR,QB,1,84.1,33,42,367,0,2,6,3,0
Gardner Minshew,JAX,QB,1,92.7,30,45,339,3,2,12,3,1
Ryan Fitzpatrick,MIA,QB,1,100.3,31,47,328,2,0,6,6,4
Joe Burrow,CIN,QB,1,90.6,37,61,316,3,0,12,7,2
Drew Brees,NO,QB,1,91.1,26,38,312,1,1,5,2,0
Justin Herbert,LAC,QB,1,94.4,22,33,311,1,1,4,0,0
Ben Roethlisberger,PIT,QB,1,98.7,29,41,311,2,1,4,0,0
Patrick Mahomes,KC,QB,1,90.9,27,47,302,2,0,1,1,0
Russell Wilson,SEA,QB,1,152.1,21,28,288,5,1,3,1,1
Kyler Murray,ARI,QB,1,88.3,26,38,286,1,1,5,2,1
Derek Carr,LV,QB,1,120.9,28,38,284,3,0,7,3,2
Deshaun Watson,HOU,QB,1,89.5,25,36,275,1,1,3,2,0
Matt Ryan,ATL,QB,1,126.3,24,36,273,4,0,6,5,1
Jared Goff,LAR,QB,1,142.1,20,27,267,3,0,4,2,2
Jeff Driskel,DEN,QB,1,84.9,18,34,256,2,1,5,2,0
Matthew Stafford,DET,QB,1,91.0,20,33,244,2,1,3,2,1
Carson Wentz,PHI,QB,1,56.5,26,43,242,0,2,3,0,0
Daniel Jones,NYG,QB,1,68.9,25,40,241,0,1,10,3,2
Aaron Rodgers,GB,QB,1,107.6,18,30,240,2,0,6,1,0
Ryan Tannehill,TEN,QB,1,161.6,18,24,239,4,0,4,2,1
Dwayne Haskins,WAS,QB,1,88.3,19,33,223,1,0,3,1,0
Baker Mayfield,CLE,QB,1,110.6,16,23,219,2,1,4,4,2
Tom Brady,TB,QB,1,80.3,23,35,217,1,1,5,0,0
Philip Rivers,IND,QB,1,97.8,19,25,214,1,1,5,2,1
Lamar Jackson,BAL,QB,1,113.9,18,24,204,1,0,5,1,1
Mitchell Trubisky,CHI,QB,1,78.0,18,28,190,2,2,3,0,0
Sam Darnold,NYJ,QB,1,90.5,21,32,179,1,0,2,2,0
Jimmy Garoppolo,SF,QB,1,150.8,14,16,131,2,0,5,2,2
Kirk Cousins,MIN,QB,1,7.4,11,26,113,0,3,2,2,1
Nick Mullens,SF,QB,1,51.7,8,11,71,0,1,0,0,0
Drew Lock,DEN,QB,1,35.4,1,5,20,0,0,0,0,0
Russell Gage,ATL,WR,1,2.1,0,1,0,0,0,0,0,0
Andy Dalton,DAL,QB,1,2.1,0,1,0,0,0,1,1,1
