,,,,Passing,,,,,Distance,,Big Passing Games,,,,,,Receivers,,
Name,Team,Pos,G,QBR,COMP,ATT,TD,INT,20+,40+,300+,350+,400+,Bad Pass %,Avg Target Depth,Sack %,Drops,Drop %,Avg YAC
Dak Prescott,DAL,QB,1,109.4,34,47,1,0,7,1,1,1,1,21.3,7.9,2.1,1,2.1,6.9
Josh Allen,BUF,QB,1,146.7,24,35,4,0,9,3,1,1,1,17.1,10.3,2.8,1,2.9,6.5
Cam Newton,NE,QB,1,94.6,30,44,1,1,4,1,1,1,0,11.4,8.3,2.2,3,6.8,4.6
Teddy Bridgewater,CAR,QB,1,84.1,33,42,0,2,3,0,1,1,0,16.7,6.8,10.6,1,2.4,4.8
Gardner Minshew,JAX,QB,1,92.7,30,45,3,2,3,1,1,0,0,22.2,8.4,4.3,3,6.7,3.3
Ryan Fitzpatrick,MIA,QB,1,100.3,31,47,2,0,4,0,1,0,0,25.5,6.5,6.0,1,2.1,4.5
Joe Burrow,CIN,QB,1,90.6,37,61,3,0,1,0,1,0,0,23.0,7.7,4.7,3,4.9,3.5
Drew Brees,NO,QB,1,91.1,26,38,1,1,3,0,1,0,0,7.9,5.2,0.0,5,13.2,8.3
Ben Roethlisberger,PIT,QB,1,98.7,29,41,2,1,3,1,1,0,0,9.8,6.2,2.4,5,12.2,5.4
Justin Herbert,LAC,QB,1,94.4,22,33,1,1,5,0,1,0,0,6.1,9.8,5.7,1,3.0,8.4
Patrick Mahomes,KC,QB,1,90.9,27,47,2,0,3,1,1,0,0,17.0,9.9,2.1,4,8.5,4.5
Russell Wilson,SEA,QB,1,152.1,21,28,5,1,3,1,0,0,0,10.7,8.6,6.7,0,0.0,6.4
Kyler Murray,ARI,QB,1,88.3,26,38,1,1,4,2,0,0,0,18.4,8.8,7.3,1,2.6,4.6
Derek Carr,LV,QB,1,120.9,28,38,3,0,3,0,0,0,0,7.9,8.7,7.3,1,2.6,5.6
Deshaun Watson,HOU,QB,1,89.5,25,36,1,1,3,0,0,0,0,22.2,7.9,10.0,0,0.0,4.8
Matt Ryan,ATL,QB,1,126.3,24,36,4,0,5,1,0,0,0,25.0,9.9,2.7,2,5.6,4.4
Jared Goff,LAR,QB,1,142.1,20,27,3,0,6,0,0,0,0,25.9,7.7,3.6,0,0.0,6.0
Jeff Driskel,DEN,QB,1,84.9,18,34,2,1,4,1,0,0,0,14.7,12.9,15.0,7,20.6,3.5
Matthew Stafford,DET,QB,1,91.0,20,33,2,1,3,0,0,0,0,20.6,7.6,10.5,5,14.7,7.0
Carson Wentz,PHI,QB,1,56.5,26,43,0,2,2,0,0,0,0,23.3,5.7,0.0,6,14.0,4.5
Daniel Jones,NYG,QB,1,68.9,25,40,0,1,3,0,0,0,0,17.5,6.8,9.1,3,7.5,3.2
Aaron Rodgers,GB,QB,1,107.6,18,30,2,0,4,1,0,0,0,26.7,12.3,3.2,5,16.7,5.1
Ryan Tannehill,TEN,QB,1,161.6,18,24,4,0,1,1,0,0,0,20.8,9.7,4.0,1,4.2,5.1
Dwayne Haskins,WAS,QB,1,88.3,19,33,1,0,4,0,0,0,0,24.2,9.3,10.8,2,6.1,7.2
Baker Mayfield,CLE,QB,1,110.6,16,23,2,1,3,1,0,0,0,17.4,8.9,0.0,1,4.3,4.8
Tom Brady,TB,QB,1,80.3,23,35,1,1,3,1,0,0,0,8.6,8.1,0.0,6,17.1,5.5
Philip Rivers,IND,QB,1,97.8,19,25,1,1,4,0,0,0,0,16.0,9.6,7.4,1,4.0,5.9
Lamar Jackson,BAL,QB,1,113.9,18,24,1,0,3,0,0,0,0,8.3,7.3,14.3,0,0.0,5.8
Mitchell Trubisky,CHI,QB,1,78.0,18,28,2,2,1,0,0,0,0,17.9,8.3,12.5,2,7.1,4.4
Sam Darnold,NYJ,QB,1,90.5,21,32,1,0,2,0,0,0,0,18.8,6.7,3.0,2,6.3,4.8
Jimmy Garoppolo,SF,QB,1,150.8,14,16,2,0,0,0,0,0,0,6.3,6.1,5.9,1,6.3,5.5
Kirk Cousins,MIN,QB,1,7.4,11,26,0,3,2,0,0,0,0,26.9,13.5,10.3,2,7.7,1.9
Nick Mullens,SF,QB,1,51.7,8,11,0,1,1,0,0,0,0,18.2,3.9,15.4,0,0.0,5.5
Drew Lock,DEN,QB,1,35.4,1,5,0,0,1,0,0,0,0,60.0,22.4,16.7,1,20.0,0.0
Russell Gage,ATL,WR,1,2.1,0,1,0,0,0,0,0,0,0,0.0,38.0,0.0,1,100.0,0.0
Chris Jones,DAL,P,1,2.1,0,1,0,0,0,0,0,0,0,100.0,10.0,0.0,0,0.0,0.0
Andy Dalton,DAL,QB,1,2.1,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
