,,,,Passing,,,,,,,,,,Rushing,,
Name,Team,Pos,G,QBR,COMP,ATT,COMP%,YDS,YPA,TD,INT,SCK,FUM,ATT,YDS,TD
Dak Prescott,DAL,QB,1,109.4,34,47,0.0,450,9.0,1,0,1,1,5,18,3
Josh Allen,BUF,QB,1,146.7,24,35,0.0,415,11.0,4,0,1,0,4,19,0
Cam Newton,NE,QB,1,94.6,30,44,0.0,397,9.0,1,1,1,0,11,47,2
Teddy Bridgewater,CAR,QB,1,84.1,33,42,0.0,367,8.0,0,2,5,1,0,0,0
Gardner Minshew,JAX,QB,1,92.7,30,45,0.0,339,7.0,3,2,2,1,4,19,0
Ryan Fitzpatrick,MIA,QB,1,100.3,31,47,0.0,328,6.0,2,0,3,0,3,12,0
Joe Burrow,CIN,QB,1,90.6,37,61,0.0,316,5.0,3,0,3,2,7,19,0
Drew Brees,NO,QB,1,91.1,26,38,0.0,312,8.0,1,1,0,0,0,0,0
Ben Roethlisberger,PIT,QB,1,98.7,29,41,0.0,311,7.0,2,1,1,1,3,-2,0
Justin Herbert,LAC,QB,1,94.4,22,33,0.0,311,9.0,1,1,2,0,4,18,1
Patrick Mahomes,KC,QB,1,90.9,27,47,0.0,302,6.0,2,0,1,0,6,54,0
Russell Wilson,SEA,QB,1,152.1,21,28,0.0,288,10.0,5,1,2,0,5,39,0
Kyler Murray,ARI,QB,1,88.3,26,38,0.0,286,7.0,1,1,3,0,8,67,2
Derek Carr,LV,QB,1,120.9,28,38,0.0,284,7.0,3,0,3,2,3,3,0
Deshaun Watson,HOU,QB,1,89.5,25,36,0.0,275,7.0,1,1,4,0,5,17,0
Matt Ryan,ATL,QB,1,126.3,24,36,0.0,273,7.0,4,0,1,0,4,16,0
Jared Goff,LAR,QB,1,142.1,20,27,0.0,267,9.0,3,0,1,0,7,13,0
Jeff Driskel,DEN,QB,1,84.9,18,34,0.0,256,7.0,2,1,6,0,2,5,0
Matthew Stafford,DET,QB,1,91.0,20,33,0.0,244,7.0,2,1,4,0,1,4,0
Carson Wentz,PHI,QB,1,56.5,26,43,0.0,242,5.0,0,2,0,0,2,7,1
Daniel Jones,NYG,QB,1,68.9,25,40,0.0,241,6.0,0,1,4,1,3,21,0
Aaron Rodgers,GB,QB,1,107.6,18,30,0.0,240,8.0,2,0,1,0,2,12,0
Ryan Tannehill,TEN,QB,1,161.6,18,24,0.0,239,9.0,4,0,1,0,4,12,0
Dwayne Haskins,WAS,QB,1,88.3,19,33,0.0,223,6.0,1,0,4,1,1,8,0
Baker Mayfield,CLE,QB,1,110.6,16,23,0.0,219,9.0,2,1,0,0,3,5,0
Tom Brady,TB,QB,1,80.3,23,35,0.0,217,6.0,1,1,0,1,1,0,0
Philip Rivers,IND,QB,1,97.8,19,25,0.0,214,8.0,1,1,2,1,4,3,0
Lamar Jackson,BAL,QB,1,113.9,18,24,0.0,204,8.0,1,0,4,0,16,54,0
Mitchell Trubisky,CHI,QB,1,78.0,18,28,0.0,190,6.0,2,2,4,0,4,16,0
Sam Darnold,NYJ,QB,1,90.5,21,32,0.0,179,5.0,1,0,1,0,2,7,0
Jimmy Garoppolo,SF,QB,1,150.8,14,16,0.0,131,8.0,2,0,1,0,0,0,0
Kirk Cousins,MIN,QB,1,7.4,11,26,0.0,113,4.0,0,3,3,0,0,0,0
Nick Mullens,SF,QB,1,51.7,8,11,0.0,71,6.0,0,1,2,2,2,-2,0
Drew Lock,DEN,QB,1,35.4,1,5,0.0,20,4.0,0,0,1,1,0,0,0
Russell Gage,ATL,WR,1,2.1,0,1,0.0,0,0.0,0,0,0,0,0,0,0
Chris Jones,DAL,P,1,2.1,0,1,0.0,0,0.0,0,0,0,0,0,0,0
Andy Dalton,DAL,QB,1,2.1,0,1,0.0,0,0.0,0,0,0,0,0,0,0
