,,,Extra Points,,,Field Goals,,,0-29,,30-39,,40-49,,50+,
Name,Team,G,XPM,XPA,XP%,FGM,FGA,FG%,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA
Sam Ficken,NYJ,1,1,1,100.0,5,5,100.0,1,1,3,3,0,0,1,1
Jason Sanders,MIA,1,0,0,0.0,5,5,100.0,2,2,0,0,3,3,0,0
Rodrigo Blankenship,IND,1,1,1,100.0,4,4,100.0,1,1,2,2,1,1,0,0
Aldrick Rosas,JAX,1,1,1,100.0,4,5,80.0,1,1,2,2,0,1,1,1
Randy Bullock,CIN,1,3,3,100.0,4,4,100.0,0,0,2,2,2,2,0,0
Graham Gano,NYG,1,0,0,0.0,3,3,100.0,1,1,2,2,0,0,0,0
Ka'imi Fairbairn,HOU,1,2,2,100.0,3,3,100.0,2,2,0,0,0,0,1,1
Brandon McManus,DEN,1,4,4,100.0,3,3,100.0,0,0,0,0,1,1,2,2
Daniel Carlson,LV,1,2,2,100.0,3,3,100.0,1,1,1,1,0,0,1,1
Harrison Butker,KC,1,2,3,66.7,2,2,100.0,1,1,1,1,0,0,0,0
Cody Parkey,CLE,1,5,5,100.0,2,2,100.0,0,0,1,1,1,1,0,0
Jason Myers,SEA,1,4,4,100.0,1,1,100.0,0,0,0,0,0,0,1,1
Cairo Santos,CHI,1,0,0,0.0,1,1,100.0,1,1,0,0,0,0,0,0
Ryan Succop,TB,1,5,5,100.0,1,2,50.0,1,1,0,0,0,1,0,0
Dan Bailey,MIN,1,4,4,100.0,1,2,50.0,0,0,1,1,0,0,0,1
Justin Tucker,BAL,1,4,4,100.0,1,1,100.0,0,0,0,0,1,1,0,0
Dustin Hopkins,WAS,1,2,2,100.0,1,2,50.0,0,0,0,0,1,1,0,1
Nick Folk,NE,1,1,1,100.0,1,1,100.0,0,0,0,0,1,1,0,0
Mason Crosby,GB,1,3,4,75.0,1,1,100.0,0,0,0,0,1,1,0,0
Elliott Fry,ATL,1,1,2,50.0,1,1,100.0,1,1,0,0,0,0,0,0
Jake Elliott,PHI,1,2,2,100.0,1,1,100.0,0,0,1,1,0,0,0,0
Tyler Bass,BUF,1,3,4,75.0,1,1,100.0,0,0,1,1,0,0,0,0
Samuel Sloman,LAR,1,2,2,100.0,1,1,100.0,0,0,1,1,0,0,0,0
Michael Badgley,LAC,1,4,4,100.0,1,2,50.0,0,0,0,0,0,1,1,1
Joey Slye,CAR,1,4,4,100.0,1,2,50.0,1,1,0,0,0,1,0,0
Robbie Gould,SF,1,2,2,100.0,0,0,0.0,0,0,0,0,0,0,0,0
Matt Prater,DET,1,3,3,100.0,0,0,0.0,0,0,0,0,0,0,0,0
Greg Zuerlein,DAL,1,2,2,100.0,0,0,0.0,0,0,0,0,0,0,0,0
Wil Lutz,NO,1,5,5,100.0,0,0,0.0,0,0,0,0,0,0,0,0
Zane Gonzalez,ARI,1,3,3,100.0,0,0,0.0,0,0,0,0,0,0,0,0
