,,,Fantasy,,Rushing,,,,Receiving,,,,,,This Week,
,Name,Games,Points,Pts/G,ATT,YDS,TD,YPC,REC,YDS,TD,TAR,YPT,Catch %,Opp,Opp RBs This Week
32,Lions,1,58.00,58.0,31,248,2,8.00,5,72,1,9,8.00,55.6,-,Bye Week
31,Bengals,1,54.40,54.4,32,210,3,6.56,4,24,1,4,6.00,100.0,@BAL,"Mark Ingram, J.K. Dobbins, Gus Edwards"
30,Panthers,1,48.40,48.4,20,121,3,6.05,11,43,0,14,3.07,78.6,@ATL,"Todd Gurley, Brian Hill, Ito Smith"
29,Raiders,1,48.20,48.2,16,93,2,5.81,13,139,0,14,9.93,92.9,@KC,"Clyde Edwards-Helaire, Darrel Williams, Darwin Thompson"
28,Buccaneers,1,42.70,42.7,19,60,2,3.16,13,117,0,14,8.36,92.9,@CHI,"David Montgomery, Cordarrelle Patterson, Ryan Nall"
27,Jets,1,41.30,41.3,27,184,2,6.81,6,49,0,7,7.00,85.7,ARI,"Kenyan Drake, Chase Edmonds, Eno Benjamin"
26,Texans,1,37.20,37.2,21,176,1,8.38,4,36,1,5,7.20,80.0,JAX,"James Robinson, Chris Thompson, Dare Ogunbowale"
25,Titans,1,35.70,35.7,18,109,1,6.06,6,38,1,9,4.22,66.7,BUF,"Devin Singletary, Zack Moss, T.J. Yeldon"
T23,Chiefs,1,32.10,32.1,39,157,0,4.03,6,104,0,6,17.33,100.0,LV,"Josh Jacobs, Jalen Richard, Devontae Booker"
T23,Saints,1,32.10,32.1,32,113,1,3.53,6,28,1,6,4.67,100.0,LAC,"Joshua Kelley, Justin Jackson"
22,Rams,1,28.40,28.4,24,114,1,4.75,6,60,0,10,6.00,60.0,@WAS,"Antonio Gibson, J.D. McKissic, Peyton Barber"
21,Patriots,1,27.60,27.6,25,115,0,4.60,5,51,1,5,10.20,100.0,DEN,"Melvin Gordon, Phillip Lindsay, Royce Freeman"
20,Vikings,1,27.40,27.4,35,141,1,4.03,3,13,0,3,4.33,100.0,@SEA,"Chris Carson, Carlos Hyde, Travis Homer"
19,Giants,1,26.60,26.6,21,94,0,4.48,5,62,1,5,12.40,100.0,@DAL,"Ezekiel Elliott, Tony Pollard, Rico Dowdle"
18,Eagles,1,26.10,26.1,26,141,1,5.42,2,40,0,3,13.33,66.7,@PIT,"James Conner, Benny Snell, Anthony McFarland"
T16,Bills,1,25.50,25.5,19,87,1,4.58,7,38,0,9,4.22,77.8,@TEN,"Derrick Henry, Darrynton Evans, Jeremy McNichols"
T16,Packers,1,25.50,25.5,20,85,1,4.25,5,60,0,7,8.57,71.4,-,Bye Week
15,Falcons,1,25.10,25.1,24,95,1,3.96,7,36,0,8,4.50,87.5,CAR,"Mike Davis, Trenton Cannon"
14,Broncos,1,24.60,24.6,19,111,1,5.84,4,15,0,5,3.00,80.0,@NE,"Damien Harris, James White, Rex Burkhead"
13,Dolphins,1,20.40,20.4,18,93,0,5.17,3,21,1,4,5.25,75.0,@SF,"Raheem Mostert, Jerick McKinnon, Jeff Wilson"
12,Browns,1,20.10,20.1,17,49,0,2.88,9,62,0,11,5.64,81.8,IND,"Jonathan Taylor, Nyheim Hines, Jordan Wilkins"
T10,Bears,1,18.40,18.4,14,48,1,3.43,4,36,0,5,7.20,80.0,TB,"Ronald Jones, Leonard Fournette, Ke'Shawn Vaughn"
T10,Steelers,1,18.40,18.4,22,90,0,4.09,2,14,1,3,4.67,66.7,PHI,"Miles Sanders, Boston Scott, Corey Clement"
9,Colts,1,18.10,18.1,18,80,1,4.44,3,11,0,4,2.75,75.0,@CLE,"Kareem Hunt, D'Ernest Johnson, Dontrell Hilliard"
8,Seahawks,1,17.80,17.8,14,20,0,1.43,5,48,1,8,6.00,62.5,MIN,"Dalvin Cook, Alexander Mattison, Ameer Abdullah"
7,Cardinals,1,17.60,17.6,22,109,1,4.95,1,-3,0,2,-1.50,50.0,@NYJ,"Le'Veon Bell, Frank Gore, La'Mical Perine"
6,Chargers,1,17.30,17.3,14,59,0,4.21,7,44,0,10,4.40,70.0,@NO,"Alvin Kamara, Latavius Murray, Dwayne Washington"
5,Football Team,1,15.80,15.8,23,90,0,3.91,5,18,0,6,3.00,83.3,LAR,"Malcolm Brown, Darrell Henderson, Cam Akers"
4,Cowboys,1,13.90,13.9,30,97,0,3.23,3,12,0,4,3.00,75.0,NYG,"Devonta Freeman, Wayne Gallman, Dion Lewis"
3,49ers,1,11.70,11.7,26,85,0,3.27,2,12,0,4,3.00,50.0,MIA,"Myles Gaskin, Matt Breida, Jordan Howard"
2,Jaguars,1,10.00,10.0,29,100,0,3.45,0,0,0,2,0.00,0.0,@HOU,"David Johnson, Duke Johnson, C.J. Prosise"
1,Ravens,1,7.00,7.0,11,34,0,3.09,2,16,0,4,4.00,50.0,CIN,"Joe Mixon, Giovani Bernard, Samaje Perine"
