,,,Fantasy,,Passing,,,,,,Rushing,,,,This Week,
,Name,Games,Points,Pts/G,COMP,ATT,YDS,TD,INT,YPA,ATT,YDS,TD,YPC,Opp,Opp QB This Week
32,Falcons,1,43.80,43.8,34,48,450,1,0,9.38,5,18,3,3.60,CAR,Teddy Bridgewater
31,Seahawks,1,38.58,38.6,30,44,397,1,1,9.02,11,47,2,4.27,MIN,Kirk Cousins
30,Dolphins,1,37.50,37.5,24,35,415,4,0,11.86,4,19,0,4.75,@SF,Jimmy Garoppolo
29,Patriots,1,34.42,34.4,21,28,288,5,1,10.29,5,39,0,7.80,DEN,Drew Lock
28,Football Team,1,33.14,33.1,26,38,286,1,1,7.53,8,67,2,8.38,LAR,Jared Goff
27,Chargers,1,30.48,30.5,27,47,302,2,0,6.43,6,54,0,9.00,@NO,Drew Brees
T24,Browns,1,28.54,28.5,37,61,316,3,0,5.18,7,19,0,2.71,IND,Philip Rivers
T24,Cowboys,1,28.52,28.5,24,36,273,4,0,7.58,4,16,0,4.00,NYG,Daniel Jones
T24,Titans,1,28.46,28.5,30,45,339,3,2,7.53,4,19,0,4.75,BUF,Josh Allen
23,Bills,1,27.32,27.3,31,47,328,2,0,6.98,3,12,0,4.00,@TEN,Ryan Tannehill
22,Jaguars,1,26.76,26.8,18,24,239,4,0,9.96,4,12,0,3.00,@HOU,Deshaun Watson
21,Chiefs,1,26.24,26.2,22,33,311,1,1,9.42,4,18,1,4.50,LV,Derek Carr
20,Eagles,1,23.98,24.0,20,27,267,3,0,9.89,7,13,0,1.86,@PIT,Ben Roethlisberger
19,Saints,1,22.66,22.7,28,38,284,3,0,7.47,3,3,0,1.00,LAC,Justin Herbert
18,Broncos,1,22.24,22.2,29,41,311,2,1,7.59,3,-2,0,-0.67,@NE,Jarrett Stidham
17,Steelers,1,19.54,19.5,19,39,276,2,1,7.08,2,5,0,2.50,PHI,Carson Wentz
16,Raiders,1,19.28,19.3,26,38,312,1,1,8.21,2,8,0,4.00,@KC,Patrick Mahomes
15,Lions,1,19.10,19.1,18,30,240,2,0,8.00,4,11,0,2.75,-,Bye Week
14,Texans,1,17.56,17.6,18,24,204,1,0,8.50,16,54,0,3.38,JAX,Gardner Minshew
13,Packers,1,17.16,17.2,20,33,244,2,1,7.39,1,4,0,4.00,-,Bye Week
12,Bengals,1,16.26,16.3,16,23,219,2,1,9.52,3,5,0,1.67,@BAL,Lamar Jackson
11,Ravens,1,15.70,15.7,25,36,275,1,1,7.64,5,17,0,3.40,CIN,Joe Burrow
10,Giants,1,15.20,15.2,18,28,190,2,2,6.79,4,16,0,4.00,@DAL,Dak Prescott
9,Jets,1,14.88,14.9,22,27,202,2,1,7.48,2,-2,0,-1.00,ARI,Kyler Murray
8,Buccaneers,1,14.68,14.7,33,42,367,0,2,8.74,0,0,0,0.00,@CHI,Nick Foles
7,Rams,1,14.38,14.4,26,43,242,0,2,5.63,2,7,1,3.50,@WAS,Kyle Allen
6,Cardinals,1,12.72,12.7,19,33,223,1,0,6.76,1,8,0,8.00,@NYJ,Joe Flacco
T4,Vikings,1,11.86,11.9,19,25,214,1,1,8.56,4,3,0,0.75,@SEA,Russell Wilson
T4,49ers,1,11.86,11.9,21,32,179,1,0,5.59,2,7,0,3.50,MIA,Ryan Fitzpatrick
3,Panthers,1,10.68,10.7,23,35,217,1,1,6.20,1,0,0,0.00,@ATL,Matt Ryan
2,Bears,1,9.74,9.7,25,40,241,0,1,6.03,3,21,0,7.00,TB,Tom Brady
1,Colts,1,1.52,1.5,11,26,113,0,3,4.35,0,0,0,0.00,@CLE,Baker Mayfield
