,,,Fantasy,,Receiving,,,,,,Rushing,,,,This Week,
,Name,Games,Points,Pts/G,REC,YDS,TD,TAR,YPT,Catch %,ATT,YDS,TD,YPC,Opp,Opp WRs This Week
32,Saints,1,36.90,36.9,14,139,1,18,7.72,77.8,0,0,0,0.00,LAC,"Hunter Henry, Virgil Green"
31,Jaguars,1,32.90,32.9,8,129,2,9,14.33,88.9,0,0,0,0.00,@HOU,"Jordan Akins, Darren Fells"
30,Bills,1,31.40,31.4,9,134,1,13,10.31,69.2,0,0,0,0.00,@TEN,"Jonnu Smith, Anthony Firkser"
29,Eagles,1,28.40,28.4,5,54,3,5,10.80,100.0,0,0,0,0.00,@PIT,"Eric Ebron, Vance McDonald"
28,Falcons,1,28.20,28.2,11,122,1,13,9.38,84.6,0,0,0,0.00,CAR,"Ian Thomas, Chris Manhertz"
27,Browns,1,25.70,25.7,11,87,1,15,5.80,73.3,0,0,0,0.00,IND,"Jack Doyle, Trey Burton"
26,Jets,1,25.50,25.5,8,55,2,9,6.11,88.9,0,0,0,0.00,ARI,"Dan Arnold, Darrell Daniels"
25,Chargers,1,24.00,24.0,9,90,1,14,6.43,64.3,0,0,0,0.00,@NO,"Jared Cook, Adam Trautman"
24,Ravens,1,22.80,22.8,9,78,1,11,7.09,81.8,0,0,0,0.00,CIN,"Drew Sample, Cethan Carter"
23,Titans,1,20.60,20.6,7,76,1,10,7.60,70.0,0,0,0,0.00,BUF,"Dawson Knox, Tyler Kroft"
22,Vikings,1,19.10,19.1,5,111,0,6,18.50,83.3,0,0,0,0.00,@SEA,"Greg Olsen, Will Dissly"
21,Cowboys,1,18.20,18.2,5,72,1,8,9.00,62.5,0,0,0,0.00,NYG,"Evan Engram, Kaden Smith"
20,Rams,1,16.20,16.2,9,72,0,15,4.80,60.0,0,0,0,0.00,@WAS,"Logan Thomas, Jeremy Sprinkle"
19,Steelers,1,15.70,15.7,4,57,1,7,8.14,57.1,0,0,0,0.00,PHI,"Zach Ertz, Richard Rodgers"
18,Raiders,1,14.60,14.6,4,46,1,8,5.75,50.0,0,0,0,0.00,@KC,"Travis Kelce, Nick Keizer"
17,Bears,1,14.40,14.4,8,64,0,11,5.82,72.7,0,0,0,0.00,TB,"Rob Gronkowski, Cameron Brate"
16,Chiefs,1,14.30,14.3,6,83,0,8,10.38,75.0,0,0,0,0.00,LV,"Darren Waller, Jason Witten"
15,Lions,1,11.90,11.9,3,29,1,5,5.80,60.0,0,0,0,0.00,-,Bye Week
14,Packers,1,10.20,10.2,4,62,0,4,15.50,100.0,0,0,0,0.00,-,Bye Week
13,Broncos,1,8.60,8.6,4,46,0,7,6.57,57.1,0,0,0,0.00,@NE,"Ryan Izzo, Devin Asiasi"
12,Cardinals,1,7.80,7.8,5,28,0,10,2.80,50.0,0,0,0,0.00,@NYJ,"Chris Herndon, Ryan Griffin"
11,Bengals,1,6.60,6.6,3,36,0,6,6.00,50.0,0,0,0,0.00,@BAL,"Mark Andrews, Nick Boyle"
10,Texans,1,6.00,6.0,2,40,0,4,10.00,50.0,0,0,0,0.00,JAX,"Tyler Eifert, James O'Shaughnessy"
9,Giants,1,5.00,5.0,2,30,0,3,10.00,66.7,0,0,0,0.00,@DAL,"Dalton Schultz, Blake Bell"
8,Football Team,1,4.60,4.6,2,26,0,5,5.20,40.0,0,0,0,0.00,LAR,"Tyler Higbee, Gerald Everett"
7,Seahawks,1,3.90,3.9,2,19,0,2,9.50,100.0,0,0,0,0.00,MIN,"Kyle Rudolph, Irv Smith"
6,Dolphins,1,3.60,3.6,1,36,0,3,12.00,33.3,0,0,0,0.00,@SF,"George Kittle, Ross Dwelley"
5,Panthers,1,2.10,2.1,1,11,0,4,2.75,25.0,0,0,0,0.00,@ATL,"Hayden Hurst, Luke Stocker"
4,Patriots,1,1.90,1.9,1,9,0,2,4.50,50.0,0,0,0,0.00,DEN,"Jake Butt, Nick Vannett"
3,Buccaneers,1,1.80,1.8,1,8,0,1,8.00,100.0,0,0,0,0.00,@CHI,"Jimmy Graham, Cole Kmet"
2,49ers,1,1.50,1.5,1,5,0,4,1.25,25.0,0,0,0,0.00,MIA,"Mike Gesicki, Adam Shaheen"
1,Colts,1,1.30,1.3,1,3,0,5,0.60,20.0,0,0,0,0.00,@CLE,"Austin Hooper, David Njoku"
