,,,Fantasy,,Receiving,,,,,,Rushing,,,,This Week,
,Name,Games,Points,Pts/G,REC,YDS,TD,TAR,YPT,Catch %,ATT,YDS,TD,YPC,Opp,Opp WRs This Week
32,Dolphins,1,76.80,76.8,20,358,3,28,12.79,71.4,1,0,0,0.00,@SF,"Deebo Samuel, Kendrick Bourne, Brandon Aiyuk"
31,Patriots,1,61.80,61.8,15,228,4,18,12.67,83.3,0,0,0,0.00,DEN,"Jerry Jeudy, Tim Patrick, DaeSean Hamilton"
30,Seahawks,1,59.00,59.0,23,330,0,33,10.00,69.7,0,0,0,0.00,MIN,"Adam Thielen, Justin Jefferson, Chad Beebe"
29,Broncos,1,58.00,58.0,21,250,2,29,8.62,72.4,0,0,0,0.00,@NE,"Julian Edelman, N'Keal Harry, Damiere Byrd"
28,Cowboys,1,55.90,55.9,16,189,3,24,7.88,66.7,0,0,0,0.00,NYG,"Darius Slayton, Golden Tate, C.J. Board"
27,Falcons,1,52.10,52.1,16,292,0,25,11.68,64.0,1,9,0,9.00,CAR,"D.J. Moore, Robby Anderson, Curtis Samuel"
26,Buccaneers,1,50.80,50.8,19,242,0,25,9.68,76.0,4,26,0,6.50,@CHI,"Allen Robinson, Darnell Mooney, Anthony Miller"
25,Football Team,1,49.50,49.5,19,242,1,22,11.00,86.4,1,3,0,3.00,LAR,"Cooper Kupp, Robert Woods, Josh Reynolds"
24,Titans,1,49.20,49.2,17,225,1,25,9.00,68.0,5,37,0,7.40,BUF,"Stefon Diggs, John Brown, Cole Beasley"
23,Browns,1,45.70,45.7,17,167,2,33,5.06,51.5,0,0,0,0.00,IND,"T.Y. Hilton, Zach Pascal, Daurice Fountain"
22,49ers,1,41.40,41.4,18,162,1,24,6.75,75.0,1,12,0,12.00,MIA,"DeVante Parker, Preston Williams, Isaiah Ford"
21,Cardinals,1,40.80,40.8,13,198,1,21,9.43,61.9,0,0,0,0.00,@NYJ,"Jamison Crowder, Breshad Perriman, Chris Hogan"
20,Eagles,1,39.00,39.0,13,173,0,18,9.61,72.2,6,37,1,6.17,@PIT,"JuJu Smith-Schuster, Diontae Johnson, James Washington"
19,Bills,1,36.60,36.6,15,156,1,24,6.50,62.5,0,0,0,0.00,@TEN,"A.J. Brown, Kalif Raymond, Nick Westbrook-Ikhine"
18,Panthers,1,36.40,36.4,11,163,1,17,9.59,64.7,1,1,0,1.00,@ATL,"Julio Jones, Calvin Ridley, Russell Gage"
17,Packers,1,35.20,35.2,11,122,2,19,6.42,57.9,0,0,0,0.00,-,Bye Week
16,Chargers,1,35.00,35.0,11,168,1,21,8.00,52.4,2,12,0,6.00,@NO,"Michael Thomas, Emmanuel Sanders, Tre'Quan Smith"
15,Steelers,1,34.40,34.4,13,205,0,28,7.32,46.4,1,9,0,9.00,PHI,"Greg Ward, John Hightower, J.J. Arcega-Whiteside"
14,Jaguars,1,34.10,34.1,10,110,2,13,8.46,76.9,1,11,0,11.00,@HOU,"Will Fuller, Brandin Cooks, Randall Cobb"
13,Ravens,1,31.10,31.1,14,181,0,19,9.53,73.7,1,0,0,0.00,CIN,"A.J. Green, Tyler Boyd, Tee Higgins"
12,Bengals,1,30.90,30.9,9,159,1,11,14.45,81.8,0,0,0,0.00,@BAL,"Marquise Brown, Willie Snead, Miles Boykin"
11,Chiefs,1,29.20,29.2,10,124,1,16,7.75,62.5,1,8,0,8.00,LV,"Henry Ruggs, Hunter Renfrow, Nelson Agholor"
10,Giants,1,27.90,27.9,10,94,1,19,4.95,52.6,7,25,0,3.57,@DAL,"Amari Cooper, Michael Gallup, CeeDee Lamb"
9,Bears,1,27.70,27.7,13,141,0,20,7.05,65.0,1,6,0,6.00,TB,"Mike Evans, Scotty Miller, Tyler Johnson"
8,Vikings,1,26.70,26.7,11,90,1,16,5.63,68.8,1,7,0,7.00,@SEA,"Tyler Lockett, DK Metcalf, David Moore"
7,Saints,1,25.70,25.7,8,117,1,10,11.70,80.0,0,0,0,0.00,LAC,"Keenan Allen, Mike Williams, Jalen Guyton"
6,Texans,1,24.80,24.8,12,128,0,14,9.14,85.7,0,0,0,0.00,JAX,"DJ Chark, Laviska Shenault, Keelan Cole"
5,Lions,1,23.50,23.5,9,145,0,15,9.67,60.0,0,0,0,0.00,-,Bye Week
4,Raiders,1,22.80,22.8,9,127,0,15,8.47,60.0,1,11,0,11.00,@KC,"Tyreek Hill, Sammy Watkins, Mecole Hardman"
3,Rams,1,22.00,22.0,11,110,0,16,6.88,68.8,0,0,0,0.00,@WAS,"Terry McLaurin, Dontrelle Inman, Isaiah Wright"
2,Jets,1,17.80,17.8,8,98,0,11,8.91,72.7,0,0,0,0.00,ARI,"DeAndre Hopkins, Christian Kirk, Larry Fitzgerald"
1,Colts,1,16.90,16.9,7,99,0,14,7.07,50.0,0,0,0,0.00,@CLE,"Odell Beckham, Jarvis Landry, Donovan Peoples-Jones"
