,,,,Pass Defense Stats,,,,,,,,,,
Name,Team,Pos,G,DEF SNAPS,Depth Chart,QB Rating Against,Comp,Att,Comp %,Yards,TD,INT,PassDef,INT Drops
TJ Carrie,IND,CB,1,40,#2 LCB,0.0,1,4,25.0,5,0,1,1,0
James Bradberry,NYG,CB,1,65,#1 LCB,0.0,1,6,16.7,14,0,1,1,0
Chandon Sullivan,GB,CB,1,43,#2 LCB,0.0,1,5,20.0,13,0,1,2,0
Blidi Wreh-Wilson,ATL,CB,1,0,#3 LCB,2.8,1,3,33.3,5,0,1,1,0
Justin Simmons,DEN,S,1,65,#1 FS,2.8,1,3,33.3,7,0,1,0,0
Marcus Peters,BAL,CB,1,59,#1 RCB,11.1,1,3,33.3,15,0,1,0,0
Carlton Davis,TB,CB,1,72,#1 LCB,24.2,2,5,40.0,34,0,1,1,0
Darious Williams,LAR,CB,1,66,#2 LCB,25.0,1,3,33.3,25,0,1,0,0
Joe Haden,PIT,CB,1,77,#1 LCB,25.0,2,7,28.6,63,0,1,1,0
Desmond King,LAC,CB,1,44,#1 LCB,26.0,2,4,50.0,21,0,1,0,0
Desmond King,LAC,CB,1,44,#3 FS,26.0,2,4,50.0,21,0,1,0,0
Nicholas Morrow,LV,LB,1,60,#1 SLB,26.7,2,5,40.0,37,0,1,0,0
Deon Bush,CHI,S,1,25,#2 SS,33.3,2,4,50.0,28,0,1,0,0
Quinton Dunbar,SEA,CB,1,54,#1 RCB,38.9,5,9,55.6,65,0,1,1,1
Terrance Mitchell,CLE,CB,1,91,#2 RCB,39.6,2,10,20.0,16,0,0,3,0
Mike Hilton,PIT,CB,1,55,#2 LCB,39.6,1,5,20.0,13,0,0,0,0
Jalen Ramsey,LAR,CB,1,71,#1 RCB,39.6,0,4,0.0,0,0,0,0,0
Patrick Queen,BAL,LB,1,42,#1 RILB,39.6,1,4,25.0,3,0,0,0,0
Jeremy Chinn,CAR,S,1,60,#2 FS,39.6,1,4,25.0,12,0,0,0,0
Jeremy Chinn,CAR,S,1,60,#1 SLB,39.6,1,4,25.0,12,0,0,0,0
Emmanuel Moseley,SF,CB,1,63,#1 RCB,39.6,1,4,25.0,7,0,0,2,0
Rasul Douglas,CAR,CB,1,53,#1 RCB,42.4,1,3,33.3,6,0,0,0,0
Roquan Smith,CHI,LB,1,65,#1 LILB,42.4,1,3,33.3,5,0,0,0,0
Landon Collins,WAS,S,1,77,#1 SS,42.4,2,6,33.3,17,1,1,0,0
Jason Verrett,FA,CB,1,,#2 LCB,42.4,1,3,33.3,9,0,0,1,0
Juan Thornhill,KC,S,1,82,#2 FS,43.8,1,4,25.0,16,0,0,0,0
LeShaun Sims,FA,CB,1,,#2 LCB,45.8,3,4,75.0,20,0,1,0,0
Darnay Holmes,NYG,CB,1,25,#2 LCB,46.5,1,3,33.3,12,0,0,1,0
Kwon Alexander,SF,LB,1,65,#1 WLB,47.9,2,5,40.0,13,0,0,0,0
Janoris Jenkins,NO,CB,1,76,#1 LCB,48.4,3,8,37.5,29,0,0,1,0
Buster Skrine,CHI,CB,1,43,#2 RCB,48.8,2,5,40.0,16,0,0,0,0
Vernon Hargreaves,HOU,CB,1,50,#1 RCB,49.3,1,3,33.3,14,0,0,1,0
Steven Nelson,PIT,CB,1,77,#1 RCB,53.5,2,6,33.3,34,0,0,1,0
Dre Kirkpatrick,ARI,CB,1,52,#2 RCB,55.4,2,5,40.0,24,0,0,0,0
John Johnson,LAR,S,1,71,#1 FS,55.7,3,7,42.9,30,0,0,1,1
Karl Joseph,CLE,S,1,86,#1 SS,56.3,2,4,50.0,9,0,0,0,0
Logan Ryan,NYG,S,1,55,#2 FS,56.3,2,4,50.0,7,0,0,0,0
Tyrann Mathieu,KC,S,1,83,#1 SS,56.3,1,4,25.0,28,0,0,1,0
Cory Littleton,LV,LB,1,60,#1 WLB,58.3,2,4,50.0,14,0,0,0,0
Trevon Diggs,DAL,CB,1,75,#1 RCB,59.4,3,8,37.5,50,0,0,0,1
Nasir Adderley,LAC,S,1,76,#1 FS,60.4,1,3,33.3,22,0,0,1,0
Ugo Amadi,SEA,S,1,47,#2 FS,60.4,2,4,50.0,16,0,0,0,0
Troy Hill,LAR,CB,1,71,#1 LCB,61.0,6,7,85.7,57,0,1,0,0
Darius Slay,PHI,CB,1,67,#1 LCB,61.8,3,6,50.0,26,0,0,0,0
De'Vondre Campbell,ARI,LB,1,65,#1 RILB,65.0,6,11,54.5,46,0,0,2,0
Terrell Edmunds,PIT,S,1,71,#1 SS,65.4,2,5,40.0,36,0,0,0,0
Kyle Fuller,CHI,CB,1,63,#1 RCB,66.1,4,8,50.0,43,0,0,1,0
Kyzir White,LAC,LB,1,77,#1 LOLB,66.7,5,8,62.5,22,0,0,0,0
Byron Murphy,ARI,CB,1,65,#1 RCB,67.1,2,5,40.0,38,0,0,0,0
Amani Oruwariye,DET,CB,1,73,#1 RCB,67.4,3,6,50.0,34,0,0,0,0
Preston Smith,GB,LB,1,55,#1 LOLB,67.7,2,4,50.0,23,0,0,0,0
Jonathan Jones,NE,CB,1,59,#1 RCB,69.6,3,5,60.0,21,0,0,0,0
Denzel Ward,CLE,CB,1,91,#1 LCB,70.1,4,12,33.3,36,1,0,4,0
Kareem Jackson,DEN,S,1,65,#1 SS,70.1,2,3,66.7,9,0,0,0,0
