,,,,Fantasy,Defensive Stats,,,,,,,
Name,Team,Pos,G,Pts,SOLO,AST,TOT TCKL,SACK,FUM Forced,FUM Rec,INT,TD
Devin Bush,PIT,LB,1,7.0,6,1,7,0.0,0,0,0,0
Jeff Okudah,DET,CB,1,7.0,7,0,7,0.0,0,0,0,0
Jeremy Chinn,CAR,S,1,7.0,1,6,7,0.0,0,0,0,0
Quinnen Williams,NYJ,DE,1,13.0,4,3,7,2.0,1,0,0,0
Nicholas Morrow,LV,LB,1,9.0,7,0,7,0.0,0,0,1,0
Mykal Walker,ATL,LB,1,6.0,3,3,6,0.0,0,0,0,0
Kyle Dugger,NE,S,1,6.0,4,2,6,0.0,0,0,0,0
Trevon Diggs,DAL,CB,1,6.0,6,0,6,0.0,0,0,0,0
CJ Henderson,JAX,CB,1,6.0,4,2,6,0.0,0,0,0,0
Chris Jackson,TEN,S,1,6.0,3,3,6,0.0,0,0,0,0
Minkah Fitzpatrick,PIT,S,1,6.0,4,2,6,0.0,0,0,0,0
Michael Ojemudia,DEN,CB,1,6.0,5,1,6,0.0,0,0,0,0
Jerome Baker,MIA,LB,1,6.0,1,5,6,0.0,0,0,0,0
Jamel Dean,TB,CB,1,6.0,5,1,6,0.0,0,0,0,0
Jeff Gladney,MIN,CB,1,6.0,6,0,6,0.0,0,0,0,0
T.J. Edwards,PHI,LB,1,8.0,4,2,6,0.0,1,0,0,0
Jahlani Tavai,DET,LB,1,6.0,3,3,6,0.0,0,0,0,0
Davon Godchaux,MIA,DT,1,6.0,3,3,6,0.0,0,0,0,0
Jimmy Moreland,WAS,CB,1,6.0,6,0,6,0.0,0,0,0,0
Desmond King,LAC,CB,1,6.0,6,0,6,0.0,0,0,0,0
Chuck Clark,BAL,S,1,7.0,4,2,6,0.5,0,0,0,0
Michael Davis,LAC,CB,1,6.0,4,2,6,0.0,0,0,0,0
Neville Hewitt,NYJ,LB,1,6.0,6,0,6,0.0,0,0,0,0
Darius Leonard,IND,LB,1,6.0,5,1,6,0.0,0,0,0,0
Foyesade Oluokun,ATL,LB,1,12.0,5,1,6,0.0,3,0,0,0
Tahir Whitehead,CAR,LB,1,6.0,4,2,6,0.0,0,0,0,0
Buster Skrine,CHI,CB,1,6.0,5,1,6,0.0,0,0,0,0
Adrian Phillips,NE,S,1,6.0,3,3,6,0.0,0,0,0,0
Lamarcus Joyner,LV,S,1,6.0,6,0,6,0.0,0,0,0,0
Brandon Copeland,NE,LB,1,6.0,4,2,6,0.0,0,0,0,0
Sheldon Richardson,CLE,DT,1,8.0,4,2,6,1.0,0,0,0,0
Anthony Harris,MIN,S,1,6.0,3,3,6,0.0,0,0,0,0
Karl Joseph,CLE,S,1,6.0,3,3,6,0.0,0,0,0,0
D.J. Reader,CIN,DT,1,6.0,3,3,6,0.0,0,0,0,0
Xavier Woods,DAL,S,1,6.0,4,2,6,0.0,0,0,0,0
Jaleel Johnson,MIN,DT,1,6.0,4,2,6,0.0,0,0,0,0
Brian Poole,NYJ,CB,1,6.0,6,0,6,0.0,0,0,0,0
Landon Collins,WAS,S,1,9.0,5,0,5,1.0,0,0,1,0
Dalvin Tomlinson,NYG,DT,1,5.0,3,2,5,0.0,0,0,0,0
Erik Harris,LV,S,1,5.0,5,0,5,0.0,0,0,0,0
Trey Hendrickson,NO,DE,1,7.0,5,0,5,1.0,0,0,0,0
Alex Anzalone,NO,LB,1,5.0,0,5,5,0.0,0,0,0,0
Kwon Alexander,SF,LB,1,5.0,3,2,5,0.0,0,0,0,0
DeMarcus Lawrence,DAL,DE,1,5.0,3,2,5,0.0,0,0,0,0
William Jackson,CIN,CB,1,7.0,4,1,5,0.0,0,0,1,0
Danny Shelton,DET,DT,1,5.0,2,3,5,0.0,0,0,0,0
Grady Jarrett,ATL,DT,1,7.0,2,3,5,0.0,0,1,0,0
Shaquil Barrett,TB,LB,1,5.0,3,2,5,0.0,0,0,0,0
Darius Slay,PHI,CB,1,5.0,4,1,5,0.0,0,0,0,0
Bradley McDougald,NYJ,S,1,5.0,4,1,5,0.0,0,0,0,0
Jamie Collins,DET,LB,1,7.0,4,1,5,1.0,0,0,0,0
Tyrann Mathieu,KC,S,1,5.0,1,4,5,0.0,0,0,0,0
A.J. Klein,BUF,LB,1,5.0,4,1,5,0.0,0,0,0,0
Christian Jones,DET,LB,1,5.0,4,1,5,0.0,0,0,0,0
Kyle Fuller,CHI,CB,1,5.0,5,0,5,0.0,0,0,0,0
Tre Boston,CAR,S,1,5.0,3,2,5,0.0,0,0,0,0
Bryce Callahan,DEN,CB,1,5.0,4,1,5,0.0,0,0,0,0
Jaquiski Tartt,SF,S,1,5.0,4,1,5,0.0,0,0,0,0
Quinton Dunbar,SEA,CB,1,7.0,5,0,5,0.0,0,0,1,0
Everson Griffen,DAL,DE,1,7.0,2,3,5,1.0,0,0,0,0
Harrison Smith,MIN,S,1,5.0,4,1,5,0.0,0,0,0,0
Calais Campbell,BAL,DE,1,7.0,2,3,5,1.0,0,0,0,0
