,,,,Receiving,,,Air Yards (AY) / Depth of Target ,,,,,,Team %,,After Catch,,,PASS Int(PI),
Name,Team,Pos,G,TAR,REC,YDS,AY,aDOT,AY/Snap,Cmp AY,Catch %,Drop %,AY,TAR,YDS,AVG,%,Drawn,On
Julio Jones,ATL,WR,1,12,9,157,195,16.3,3.0,131,75.0,8.3,36.9,23.5,26,2.9,16.6,0,0
Davante Adams,GB,WR,1,17,14,156,166,9.8,2.4,119,82.4,0.0,48.5,42.5,37,2.6,23.7,0,0
DeAndre Hopkins,ARI,WR,1,16,14,151,98,6.1,1.3,82,87.5,6.3,50.5,44.4,69,4.9,45.7,0,0
Calvin Ridley,ATL,WR,1,12,9,130,147,12.3,2.2,110,81.8,0.0,27.8,21.6,20,2.2,15.4,0,0
Jamison Crowder,NYJ,WR,1,13,7,115,98,7.5,2.0,23,53.8,15.4,41.5,39.4,92,13.1,80.0,0,0
Robby Anderson,CAR,WR,1,8,6,114,86,10.8,1.6,50,75.0,0.0,32.2,23.5,64,10.7,56.1,0,0
Russell Gage,ATL,WR,1,12,9,114,86,7.2,1.6,68,75.0,8.3,16.3,23.5,46,5.1,40.4,0,0
Will Fuller,HOU,WR,1,10,8,112,128,12.8,2.7,84,80.0,10.0,50.6,32.3,28,3.5,25.0,0,0
Adam Thielen,MIN,WR,1,8,6,110,140,17.5,2.8,108,75.0,0.0,53.6,32.0,2,0.3,1.8,0,0
Robert Woods,LAR,WR,1,8,6,105,28,3.5,0.5,17,75.0,0.0,22.2,28.6,88,14.7,83.8,0,0
Darius Slayton,NYG,WR,1,9,6,102,102,11.3,1.8,89,66.7,0.0,46.4,24.3,13,2.2,12.7,0,0
Marquise Brown,BAL,WR,1,6,5,101,113,18.8,3.1,86,83.3,0.0,47.3,24.0,15,3.0,14.9,0,0
Dallas Goedert,PHI,TE,1,9,8,101,55,6.1,1.0,48,88.9,11.1,10.5,21.4,53,6.6,52.5,0,0
Corey Davis,TEN,WR,1,8,7,101,93,11.6,1.4,79,87.5,0.0,40.3,20.0,22,3.1,21.8,0,0
Marquez Valdes-Scantling,GB,WR,1,6,4,96,123,20.5,2.9,72,66.7,33.3,36.0,15.0,24,6.0,25.0,0,0
Raheem Mostert,SF,RB,1,5,4,95,12,2.4,0.3,13,80.0,0.0,5.4,15.2,82,20.5,86.3,0,0
DK Metcalf,SEA,WR,1,8,4,95,119,14.9,2.0,80,50.0,37.5,61.7,22.9,15,3.8,15.8,0,0
Tyler Lockett,SEA,WR,1,8,8,92,72,9.0,1.2,72,100.0,0.0,37.3,22.9,20,2.5,21.7,1,0
Stefon Diggs,BUF,WR,1,9,8,86,89,9.9,1.1,76,88.9,0.0,31.9,20.0,10,1.3,11.6,1,0
Sammy Watkins,KC,WR,1,9,7,82,59,6.6,1.1,47,77.8,0.0,42.4,28.1,35,5.0,42.7,0,0
Danny Amendola,DET,WR,1,7,5,81,66,9.4,1.5,58,71.4,0.0,18.2,17.5,23,4.6,28.4,0,0
Amari Cooper,DAL,WR,1,14,10,81,113,8.1,1.7,63,71.4,0.0,45.9,37.8,18,1.8,22.2,1,0
Noah Fant,DEN,TE,1,6,5,81,47,7.8,1.1,22,83.3,0.0,16.8,18.8,59,11.8,72.8,0,0
Jared Cook,NO,TE,1,7,5,80,76,10.9,1.7,61,71.4,14.3,50.7,23.3,19,3.8,23.8,0,0
Chris Godwin,TB,WR,1,7,6,79,71,10.1,1.1,54,85.7,0.0,25.6,21.2,25,4.2,31.6,0,0
Anthony Miller,CHI,WR,1,6,4,76,112,18.7,4.1,73,66.7,0.0,30.9,17.1,3,0.8,3.9,0,0
Allen Robinson,CHI,WR,1,9,5,74,150,16.7,2.8,56,55.6,0.0,41.3,25.7,18,3.6,24.3,0,0
Hunter Henry,LAC,TE,1,8,5,73,66,8.3,1.1,37,62.5,0.0,21.2,27.6,36,7.2,49.3,0,1
Scotty Miller,TB,WR,1,6,5,73,59,9.8,1.4,54,83.3,0.0,21.3,18.2,19,3.8,26.0,1,0
Parris Campbell,IND,WR,1,9,6,71,103,11.4,1.7,51,66.7,0.0,37.7,19.6,20,3.3,28.2,0,0
John Brown,BUF,WR,1,10,6,70,100,10.0,1.2,42,60.0,0.0,35.8,22.2,28,4.7,40.0,1,0
