,,,,Receiving,,,,,,,,,Big Receiving Games,,,Fumbles,
Name,Team,Pos,G,REC,YDS,YPC,YDS/G,TD,TAR,YPT,20+,40+,100+,150+,200+,TOT,LOST
Julio Jones,ATL,WR,1,9,157,17.0,157.0,0,12,13.0,2,1,1,1,0,0,0
Davante Adams,GB,WR,1,14,156,11.0,156.0,2,17,9.0,2,1,1,1,0,0,0
DeAndre Hopkins,ARI,WR,1,14,151,10.0,151.0,0,16,9.0,1,0,1,1,0,0,0
Calvin Ridley,ATL,WR,1,9,130,14.0,130.0,2,12,10.0,1,0,1,0,0,0,0
Jamison Crowder,NYJ,WR,1,7,115,16.0,115.0,1,13,8.0,2,1,1,0,0,0,0
Robby Anderson,CAR,WR,1,6,114,19.0,114.0,1,8,14.0,1,1,1,0,0,0,0
Russell Gage,ATL,WR,1,9,114,12.0,114.0,0,12,9.0,1,0,1,0,0,0,0
Will Fuller,HOU,WR,1,8,112,14.0,112.0,0,10,11.0,2,0,1,0,0,0,0
Adam Thielen,MIN,WR,1,6,110,18.0,110.0,2,8,13.0,2,0,1,0,0,0,0
Robert Woods,LAR,WR,1,6,105,17.0,105.0,0,8,13.0,3,0,1,0,0,0,0
Darius Slayton,NYG,WR,1,6,102,17.0,102.0,2,9,11.0,1,1,1,0,0,0,0
Marquise Brown,BAL,WR,1,5,101,20.0,101.0,0,6,16.0,2,1,1,0,0,0,0
Dallas Goedert,PHI,TE,1,8,101,12.0,101.0,1,9,11.0,2,0,1,0,0,0,0
Corey Davis,TEN,WR,1,7,101,14.0,101.0,0,8,12.0,2,0,1,0,0,0,0
Marquez Valdes-Scantling,GB,WR,1,4,96,24.0,96.0,1,6,16.0,2,1,0,0,0,0,0
Raheem Mostert,SF,RB,1,4,95,23.0,95.0,1,5,19.0,1,1,0,0,0,0,0
DK Metcalf,SEA,WR,1,4,95,23.0,95.0,1,8,11.0,2,0,0,0,0,0,0
Tyler Lockett,SEA,WR,1,8,92,11.0,92.0,0,8,11.0,1,0,0,0,0,0,0
Stefon Diggs,BUF,WR,1,8,86,10.0,86.0,0,9,9.0,1,0,0,0,0,0,0
Sammy Watkins,KC,WR,1,7,82,11.0,82.0,1,9,9.0,0,0,0,0,0,0,0
Danny Amendola,DET,WR,1,5,81,16.0,81.0,0,7,11.0,1,0,0,0,0,0,0
Amari Cooper,DAL,WR,1,10,81,8.0,81.0,0,14,5.0,0,0,0,0,0,0,0
Noah Fant,DEN,TE,1,5,81,16.0,81.0,1,6,13.0,1,0,0,0,0,0,0
Jared Cook,NO,TE,1,5,80,16.0,80.0,0,7,11.0,1,1,0,0,0,0,0
Chris Godwin,TB,WR,1,6,79,13.0,79.0,0,7,11.0,2,0,0,0,0,0,0
Anthony Miller,CHI,WR,1,4,76,19.0,76.0,1,6,12.0,1,0,0,0,0,0,0
Allen Robinson,CHI,WR,1,5,74,14.0,74.0,0,9,8.0,2,0,0,0,0,0,0
Hunter Henry,LAC,TE,1,5,73,14.0,73.0,0,8,9.0,2,0,0,0,0,0,0
Scotty Miller,TB,WR,1,5,73,14.0,73.0,0,6,12.0,1,0,0,0,0,0,0
Parris Campbell,IND,WR,1,6,71,11.0,71.0,0,9,7.0,1,0,0,0,0,0,0
John Brown,BUF,WR,1,6,70,11.0,70.0,1,10,7.0,1,0,0,0,0,0,0
Mike Williams,LAC,WR,1,4,69,17.0,69.0,0,9,7.0,1,0,0,0,0,0,0
JuJu Smith-Schuster,PIT,WR,1,6,69,11.0,69.0,2,6,11.0,0,0,0,0,0,0,0
Jonathan Taylor,IND,RB,1,6,67,11.0,67.0,0,6,11.0,1,0,0,0,0,0,0
Willie Snead,BAL,WR,1,4,64,16.0,64.0,1,4,16.0,1,0,0,0,0,0,0
Allen Lazard,GB,WR,1,4,63,15.0,63.0,1,4,15.0,1,0,0,0,0,0,0
