,,,,Receiving,,,,Red Zone Targets,,,
Name,Team,Pos,G,REC,YDS,TD,TAR,In20,In10,In5,%Tm
Julio Jones,ATL,WR,1,9,157,0,12,1,0,0,12.50
Davante Adams,GB,WR,1,14,156,2,17,3,2,2,33.33
DeAndre Hopkins,ARI,WR,1,14,151,0,16,0,0,0,0.00
Calvin Ridley,ATL,WR,1,9,130,2,12,3,1,0,37.50
Jamison Crowder,NYJ,WR,1,7,115,1,13,1,0,0,50.00
Robby Anderson,CAR,WR,1,6,114,1,8,1,0,0,50.00
Russell Gage,ATL,WR,1,9,114,0,12,2,1,0,25.00
Will Fuller,HOU,WR,1,8,112,0,10,0,0,0,0.00
Adam Thielen,MIN,WR,1,6,110,2,8,1,0,0,100.00
Robert Woods,LAR,WR,1,6,105,0,8,2,0,0,40.00
Darius Slayton,NYG,WR,1,6,102,2,9,3,3,2,37.50
Dallas Goedert,PHI,TE,1,8,101,1,9,1,0,0,33.33
Corey Davis,TEN,WR,1,7,101,0,8,0,0,0,0.00
Marquise Brown,BAL,WR,1,5,101,0,6,0,0,0,0.00
Marquez Valdes-Scantling,GB,WR,1,4,96,1,6,0,0,0,0.00
Raheem Mostert,SF,RB,1,4,95,1,5,0,0,0,0.00
DK Metcalf,SEA,WR,1,4,95,1,8,0,0,0,0.00
Tyler Lockett,SEA,WR,1,8,92,0,8,0,0,0,0.00
Stefon Diggs,BUF,WR,1,8,86,0,9,2,0,0,15.38
Sammy Watkins,KC,WR,1,7,82,1,9,3,3,1,37.50
Noah Fant,DEN,TE,1,5,81,1,6,1,1,0,20.00
Danny Amendola,DET,WR,1,5,81,0,7,0,0,0,0.00
Amari Cooper,DAL,WR,1,10,81,0,14,2,0,0,33.33
Jared Cook,NO,TE,1,5,80,0,7,1,0,0,10.00
Chris Godwin,TB,WR,1,6,79,0,7,1,0,0,20.00
Anthony Miller,CHI,WR,1,4,76,1,6,1,0,0,9.09
Allen Robinson,CHI,WR,1,5,74,0,9,2,1,0,18.18
Scotty Miller,TB,WR,1,5,73,0,6,0,0,0,0.00
Hunter Henry,LAC,TE,1,5,73,0,8,2,2,1,50.00
Parris Campbell,IND,WR,1,6,71,0,9,0,0,0,0.00
John Brown,BUF,WR,1,6,70,1,10,3,2,1,23.08
JuJu Smith-Schuster,PIT,WR,1,6,69,2,6,2,2,0,40.00
Mike Williams,LAC,WR,1,4,69,0,9,1,1,1,25.00
Jonathan Taylor,IND,RB,1,6,67,0,6,2,0,0,28.57
Willie Snead,BAL,WR,1,4,64,1,4,2,0,0,25.00
Allen Lazard,GB,WR,1,4,63,1,4,1,1,1,11.11
Terry McLaurin,WAS,WR,1,5,61,0,7,1,0,0,20.00
Jarvis Landry,CLE,WR,1,5,61,0,6,0,0,0,0.00
Saquon Barkley,NYG,RB,1,6,60,0,9,2,1,0,25.00
CeeDee Lamb,DAL,WR,1,5,59,0,6,1,0,0,16.67
Mark Andrews,BAL,TE,1,5,58,2,6,4,3,1,50.00
Cole Beasley,BUF,WR,1,4,58,0,7,1,1,1,7.69
Julian Edelman,NE,WR,1,5,57,0,7,1,0,0,50.00
Diontae Johnson,PIT,WR,1,6,57,0,10,1,0,0,20.00
T.J. Hockenson,DET,TE,1,5,56,1,5,1,1,1,16.67
Bisi Johnson,MIN,WR,1,3,56,0,4,0,0,0,0.00
Jerry Jeudy,DEN,WR,1,4,56,0,8,0,0,0,0.00
Henry Ruggs,LV,WR,1,3,55,0,5,0,0,0,0.00
Marvin Jones,DET,WR,1,4,55,0,8,1,0,0,16.67
Jalen Reagor,PHI,WR,1,1,55,0,4,0,0,0,0.00
D.J. Moore,CAR,WR,1,4,54,0,9,1,1,1,50.00
T.Y. Hilton,IND,WR,1,4,53,0,9,1,0,0,14.29
Alvin Kamara,NO,RB,1,5,51,1,8,2,0,0,20.00
A.J. Green,CIN,WR,1,5,51,0,9,0,0,0,0.00
Travis Kelce,KC,TE,1,6,50,1,6,2,2,0,25.00
David Njoku,CLE,TE,1,3,50,1,3,1,1,1,100.00
