,,,,Fantasy,Passing,,,,,Rushing,,,Receiving,,,,Fumbles,
Name,Team,Pos,G,Pts,COMP,ATT,YDS,TD,INT,ATT,YDS,TD,REC,TAR,YDS,TD,TOT,LOST
Sterling Shepard,NYG,WR,1,4.7,0,0,0,0,0,0,0,0,6,6,47,0,0,0
DeSean Jackson,PHI,WR,1,4.6,0,0,0,0,0,0,0,0,2,7,46,0,0,0
Josh Jacobs,LV,RB,1,31.9,0,0,0,0,0,25,93,3,4,6,46,0,0,0
Tyreek Hill,KC,WR,1,10.6,0,0,0,0,0,0,0,0,5,6,46,1,0,0
Nyheim Hines,IND,RB,1,19.3,0,0,0,0,0,7,28,1,8,8,45,1,0,0
Chris Carson,SEA,RB,1,18.6,0,0,0,0,0,6,21,0,6,6,45,2,0,0
Darren Waller,LV,TE,1,4.5,0,0,0,0,0,0,0,0,6,8,45,0,0,0
C.J. Uzomah,CIN,TE,1,4.5,0,0,0,0,0,0,0,0,4,5,45,0,0,0
George Kittle,SF,TE,1,5.3,0,0,0,0,0,1,9,0,4,5,44,0,0,0
Quintez Cephus,DET,WR,1,4.3,0,0,0,0,0,0,0,0,3,10,43,0,0,0
Preston Williams,MIA,WR,1,4.1,0,0,0,0,0,0,0,0,2,7,41,0,0,0
Kyle Juszczyk,SF,FB,1,4.8,0,0,0,0,0,1,7,0,1,2,41,0,0,0
Tyler Higbee,LAR,TE,1,4.0,0,0,0,0,0,0,0,0,3,4,40,0,0,0
Cooper Kupp,LAR,WR,1,4.0,0,0,0,0,0,0,0,0,4,5,40,0,0,0
Jordan Akins,HOU,TE,1,9.9,0,0,0,0,0,0,0,0,2,2,39,1,0,0
N'Keal Harry,NE,WR,1,3.9,0,0,0,0,0,0,0,0,5,6,39,0,1,1
Chase Claypool,PIT,WR,1,4.7,0,0,0,0,0,1,8,0,2,2,39,0,0,0
A.J. Brown,TEN,WR,1,3.9,0,0,0,0,0,0,0,0,5,8,39,0,0,0
Darnell Mooney,CHI,WR,1,3.8,0,0,0,0,0,0,0,0,3,3,38,0,0,0
Hayden Hurst,ATL,TE,1,3.8,0,0,0,0,0,0,0,0,3,5,38,0,0,0
Curtis Samuel,CAR,WR,1,4.3,0,0,0,0,0,1,5,0,5,8,38,0,0,0
Christian McCaffrey,CAR,RB,1,25.5,0,0,0,0,0,23,97,2,3,4,38,0,0,0
Chris Herndon,NYJ,TE,1,3.7,0,0,0,0,0,0,0,0,6,7,37,0,1,1
Miles Boykin,BAL,WR,1,3.7,0,0,0,0,0,0,0,0,3,4,37,0,0,0
Laviska Shenault,JAX,WR,1,10.7,0,0,0,0,0,2,10,0,3,4,37,1,0,0
Keenan Allen,LAC,WR,1,3.7,0,0,0,0,0,0,0,0,4,8,37,0,0,0
Logan Thomas,WAS,TE,1,9.7,0,0,0,0,0,0,0,0,4,8,37,1,0,0
O.J. Howard,TB,TE,1,9.6,0,0,0,0,0,0,0,0,4,6,36,1,0,0
Jonnu Smith,TEN,TE,1,9.6,0,0,0,0,0,0,0,0,4,7,36,1,0,0
Kendrick Bourne,SF,WR,1,3.4,0,0,0,0,0,0,0,0,2,5,34,0,0,0
