,,Week 1 Game,,,,Fantasy,Defensive Stats,,,,,,Touchdowns,,,
Rank,Team,OPP,Fav,Spread,O/U,Points,Points Against,Yards Against,Sacks,Int,Fum Rec,Safeties,Int TD,Fum TD,Kick TD,Punt TD
1,BUF,NYJ,BUF,-6.5,39.0,8.31,13.25,299.74,2.87,1.07,0.72,0.07,0.21,0.07,0.00,0.00
2,NE,MIA,NE,-7.0,41.5,8.12,14.00,330.07,2.96,1.14,0.68,0.08,0.08,0.08,0.00,0.08
3,IND,JAX,IND,-7.0,44.5,7.92,18.50,326.46,3.17,1.01,0.72,0.00,0.14,0.07,0.00,0.00
4,BAL,CLE,BAL,-7.0,47.5,7.77,15.75,359.96,2.77,0.99,0.66,0.07,0.13,0.07,0.00,0.07
5,PHI,WAS,PHI,-5.5,41.5,7.75,18.25,312.97,3.02,0.96,0.66,0.07,0.07,0.15,0.00,0.00
6,SF,ARI,SF,-6.5,49.0,7.64,16.25,348.33,2.78,0.87,0.64,0.06,0.12,0.12,0.06,0.00
7,PIT,NYG,PIT,-6.0,44.0,7.53,19.50,344.48,2.93,0.87,0.62,0.06,0.12,0.12,0.00,0.00
8,DET,CHI,DET,-2.5,42.5,7.18,18.75,337.30,2.68,0.94,0.65,0.00,0.07,0.07,0.00,0.07
9,LAC,CIN,LAC,-2.5,41.5,7.06,19.00,342.47,2.80,0.87,0.67,0.00,0.07,0.07,0.00,0.07
10,KC,HOU,KC,-9.5,53.5,6.99,17.00,391.62,2.77,0.92,0.59,0.00,0.07,0.07,0.00,0.07
11,TEN,DEN,TEN,-3.0,41.5,6.98,19.00,346.94,2.97,0.90,0.69,0.00,0.07,0.07,0.00,0.00
12,DEN,TEN,TEN,3,41.5,6.85,22.00,347.31,2.55,0.94,0.60,0.00,0.07,0.07,0.00,0.07
13,NO,TB,NO,-4.0,48.5,6.41,19.75,405.19,2.29,0.78,0.56,0.06,0.11,0.06,0.00,0.06
14,DAL,LAR,-,-,,6.28,23.50,395.34,2.51,0.75,0.56,0.00,0.06,0.13,0.00,0.00
15,CHI,DET,DET,2.5,42.5,6.28,23.75,400.00,2.50,0.79,0.55,0.00,0.06,0.06,0.06,0.00
16,LAR,DAL,-,-,,6.27,26.00,407.41,2.67,0.81,0.62,0.00,0.06,0.06,0.00,0.00
17,MIN,GB,MIN,-1.5,44.5,6.14,19.50,387.65,2.51,0.76,0.53,0.00,0.06,0.12,0.00,0.00
18,CIN,LAC,LAC,2.5,41.5,6.10,22.00,316.82,2.50,0.83,0.58,0.00,0.06,0.06,0.00,0.00
19,GB,MIN,MIN,1.5,44.5,6.07,25.00,373.87,2.53,0.82,0.59,0.00,0.12,0.00,0.00,0.00
20,LV,CAR,LV,-3.0,48.0,5.96,22.50,388.36,2.42,0.79,0.59,0.00,0.07,0.07,0.00,0.00
21,ARI,SF,SF,6.5,49.0,5.92,31.75,401.30,2.37,0.71,0.53,0.00,0.06,0.06,0.06,0.00
22,ATL,SEA,ATL,-1.0,49.5,5.88,24.50,401.51,2.62,0.85,0.57,0.00,0.07,0.00,0.00,0.00
23,WAS,PHI,PHI,5.5,41.5,5.81,24.25,361.37,2.43,0.68,0.51,0.00,0.06,0.06,0.06,0.00
24,SEA,ATL,ATL,1,49.5,5.80,24.50,402.73,2.29,0.70,0.53,0.00,0.06,0.12,0.00,0.00
25,NYJ,BUF,BUF,6.5,39.0,5.72,26.25,364.19,2.29,0.76,0.51,0.06,0.06,0.06,0.00,0.00
26,TB,NO,NO,4,48.5,5.68,27.75,404.18,2.14,0.73,0.52,0.05,0.10,0.05,0.00,0.00
27,NYG,PIT,PIT,6,44.0,5.01,25.50,407.04,2.04,0.74,0.56,0.00,0.06,0.00,0.00,0.00
28,JAX,IND,IND,7,44.5,5.01,26.00,428.43,2.29,0.68,0.50,0.00,0.06,0.00,0.00,0.00
29,CAR,LV,LV,3,48.0,5.00,25.50,382.66,2.26,0.68,0.48,0.00,0.07,0.00,0.00,0.00
30,CLE,BAL,BAL,7,47.5,4.98,31.75,435.40,2.15,0.68,0.44,0.00,0.05,0.05,0.00,0.00
31,MIA,NE,NE,7,41.5,4.90,27.50,376.62,2.04,0.66,0.44,0.00,0.06,0.00,0.00,0.06
32,HOU,KC,KC,9.5,53.5,4.75,36.50,453.49,2.12,0.66,0.51,0.00,0.00,0.05,0.00,0.00
