,,,,Week 1 Game,,,,Fantasy,Passing,,,Rushing,,,Receiving,,
Rank,Name,Team,Pos,OPP,Fav,Spread,O/U,Points,YDS,TD,INT,ATT,YDS,TD,REC,YDS,TD
1,Patrick Mahomes,KC,QB,HOU,KC,-9.5,53.5,28.14,327.41,2.42,0.54,2.90,17.91,0.14,0.00,0.00,0.00
2,Lamar Jackson,BAL,QB,CLE,BAL,-7.0,47.5,27.34,255.66,2.01,0.60,6.90,51.95,0.32,0.00,0.00,0.00
3,Deshaun Watson,HOU,QB,KC,KC,9.5,53.5,25.06,276.10,1.91,0.99,6.50,29.21,0.28,0.00,0.00,0.00
4,Dak Prescott,DAL,QB,LAR,-,-,,24.42,273.11,1.87,0.57,4.80,25.37,0.22,0.00,0.00,0.00
5,Russell Wilson,SEA,QB,ATL,ATL,1,49.5,23.99,269.47,2.06,0.48,3.50,17.93,0.16,0.00,0.00,0.00
6,Tom Brady,TB,QB,NO,NO,4,48.5,22.99,294.63,1.94,0.78,1.60,3.79,0.15,0.00,0.00,0.00
7,Matt Ryan,ATL,QB,SEA,ATL,-1.0,49.5,22.63,304.01,1.86,0.81,1.70,4.41,0.06,0.00,0.00,0.00
8,Ben Roethlisberger,PIT,QB,NYG,PIT,-6.0,44.0,22.46,298.04,2.04,0.87,1.00,2.66,0.00,0.00,0.00,0.00
9,Josh Allen,BUF,QB,NYJ,BUF,-6.5,39.0,22.43,229.51,1.53,0.69,4.80,30.63,0.41,0.00,0.00,0.00
10,Drew Brees,NO,QB,TB,NO,-4.0,48.5,22.06,286.16,2.03,0.50,0.60,1.31,0.00,0.00,0.00,0.00
11,Teddy Bridgewater,CAR,QB,LV,LV,3,48.0,21.66,269.73,1.81,0.91,3.50,11.83,0.11,0.00,0.00,0.00
12,Cam Newton,NE,QB,MIA,NE,-7.0,41.5,21.52,244.69,1.45,0.61,4.50,24.16,0.28,0.00,0.00,0.00
13,Kyler Murray,ARI,QB,SF,SF,6.5,49.0,21.41,221.91,1.52,0.83,6.60,35.01,0.26,0.00,0.00,0.00
14,Matthew Stafford,DET,QB,CHI,DET,-2.5,42.5,21.36,288.93,1.76,0.64,2.00,5.09,0.00,0.00,0.00,0.00
15,Jimmy Garoppolo,SF,QB,ARI,SF,-6.5,49.0,21.20,273.73,1.91,0.71,1.00,2.84,0.05,0.00,0.00,0.00
16,Jared Goff,LAR,QB,DAL,-,-,,21.16,279.56,1.76,0.90,2.00,4.97,0.09,0.00,0.00,0.00
17,Philip Rivers,IND,QB,JAX,IND,-7.0,44.5,20.98,285.16,1.90,0.97,0.30,0.95,0.00,0.00,0.00,0.00
18,Derek Carr,LV,QB,CAR,LV,-3.0,48.0,20.95,277.84,1.73,0.62,1.50,3.99,0.06,0.00,0.00,0.00
19,Ryan Tannehill,TEN,QB,DEN,TEN,-3.0,41.5,20.86,236.78,1.64,0.64,3.70,18.40,0.21,0.00,0.00,0.00
20,Carson Wentz,PHI,QB,WAS,PHI,-5.5,41.5,20.74,246.62,1.70,0.51,3.30,13.98,0.12,0.00,0.00,0.00
21,Aaron Rodgers,GB,QB,MIN,MIN,1.5,44.5,20.73,260.06,1.79,0.49,2.00,7.54,0.05,0.00,0.00,0.00
22,Joe Burrow,CIN,QB,LAC,LAC,2.5,41.5,20.23,237.31,1.56,0.80,3.80,17.84,0.19,0.00,0.00,0.00
23,Baker Mayfield,CLE,QB,BAL,BAL,7,47.5,19.99,248.06,1.78,1.02,2.90,10.09,0.08,0.00,0.00,0.00
24,Kirk Cousins,MIN,QB,GB,MIN,-1.5,44.5,19.95,256.98,1.78,0.57,1.00,2.55,0.05,0.00,0.00,0.00
25,Daniel Jones,NYG,QB,PIT,PIT,6,44.0,19.78,234.97,1.61,0.89,3.50,16.45,0.14,0.00,0.00,0.00
26,Gardner Minshew,JAX,QB,IND,IND,7,44.5,19.62,228.52,1.59,0.62,4.00,18.56,0.10,0.00,0.00,0.00
27,Tyrod Taylor,LAC,QB,CIN,LAC,-2.5,41.5,19.18,198.84,1.45,0.16,5.40,25.79,0.17,0.00,0.00,0.00
28,Christian McCaffrey,CAR,RB,LV,LV,3,48.0,19.03,0.00,0.00,0.00,18.30,85.10,0.72,5.90,51.20,0.18
29,Drew Lock,DEN,QB,TEN,TEN,3,41.5,18.39,229.75,1.41,0.85,3.70,13.94,0.12,0.00,0.00,0.00
30,Sam Darnold,NYJ,QB,BUF,BUF,6.5,39.0,16.96,217.56,1.34,0.84,2.90,6.00,0.16,0.00,0.00,0.00
31,Mitchell Trubisky,CHI,QB,DET,DET,2.5,42.5,16.89,220.20,1.03,0.66,4.60,16.44,0.13,0.00,0.00,0.00
32,Ryan Fitzpatrick,MIA,QB,NE,NE,7,41.5,16.63,234.77,1.21,1.04,2.00,6.70,0.07,0.00,0.00,0.00
33,Derrick Henry,TEN,RB,DEN,TEN,-3.0,41.5,16.59,0.00,0.00,0.00,19.10,87.16,0.89,2.42,19.92,0.09
34,Ezekiel Elliott,DAL,RB,LAR,-,-,,16.33,0.00,0.00,0.00,17.80,83.49,0.79,3.49,25.25,0.12
35,Dwayne Haskins,WAS,QB,PHI,PHI,5.5,41.5,16.14,217.11,1.11,0.83,3.60,13.14,0.06,0.00,0.00,0.00
36,Alvin Kamara,NO,RB,TB,NO,-4.0,48.5,16.09,0.00,0.00,0.00,12.60,64.51,0.70,5.41,45.94,0.14
37,Saquon Barkley,NYG,RB,PIT,PIT,6,44.0,16.01,0.00,0.00,0.00,17.30,75.40,0.65,3.95,36.06,0.16
38,Dalvin Cook,MIN,RB,GB,MIN,-1.5,44.5,15.75,0.00,0.00,0.00,16.30,78.66,0.69,3.47,33.27,0.07
39,Josh Jacobs,LV,RB,CAR,LV,-3.0,48.0,15.45,0.00,0.00,0.00,18.20,87.92,0.69,2.52,21.56,0.06
40,Clyde Edwards-Helaire,KC,RB,HOU,KC,-9.5,53.5,14.59,0.00,0.00,0.00,12.00,66.18,0.40,4.67,43.72,0.20
