,,,,Fantasy,Extra Points,,Field Goals,,Field Goals Made,,,
Name,Team,Pos,G,Pts,XPM,XPA,FGM,FGA,0-29,30-39,40-49,50+
Justin Tucker,BAL,K,1,15.0,3,3,4,4,1,2,1,0
Younghoe Koo,ATL,K,1,15.0,3,3,4,4,1,1,2,0
Rodrigo Blankenship,IND,K,1,14.0,2,2,4,4,1,2,1,0
Harrison Butker,KC,K,1,9.0,0,1,3,3,0,1,0,2
Ka'imi Fairbairn,HOU,K,1,10.0,1,1,3,3,0,1,2,0
Zane Gonzalez,ARI,K,1,12.0,3,3,3,3,1,1,1,0
Randy Bullock,CIN,K,1,12.0,3,3,3,3,1,1,1,0
Stephen Gostkowski,TEN,K,1,9.0,3,4,2,2,0,0,1,1
Mason Crosby,GB,K,1,10.0,4,4,2,2,0,1,1,0
Graham Gano,NYG,K,1,7.0,1,1,2,3,0,2,0,0
Brandon McManus,DEN,K,1,7.0,1,1,2,3,1,0,1,0
Greg Zuerlein,DAL,K,1,10.0,4,4,2,2,0,1,1,0
Sam Ficken,NYJ,K,1,7.0,1,1,2,2,1,0,1,0
Daniel Carlson,LV,K,1,10.0,4,4,2,2,1,0,0,1
Jake Elliott,PHI,K,1,7.0,1,1,2,2,0,2,0,0
Jason Sanders,MIA,K,1,8.0,2,2,2,2,0,0,1,1
Michael Badgley,LAC,K,1,8.0,2,2,2,2,1,0,1,0
Joey Slye,CAR,K,1,5.0,2,2,1,1,1,0,0,0
Wil Lutz,NO,K,1,6.0,3,3,1,1,0,1,0,0
Josh Lambo,JAX,K,1,6.0,3,4,1,1,0,1,0,0
Robbie Gould,SF,K,1,7.0,4,4,1,1,0,0,1,0
Tyler Bass,BUF,K,1,7.0,4,4,1,1,0,1,0,0
Samuel Sloman,LAR,K,1,7.0,4,5,1,1,0,1,0,0
Cairo Santos,CHI,K,1,5.0,2,2,1,2,0,1,0,0
Ryan Succop,TB,K,1,7.0,4,4,1,1,0,1,0,0
Dan Bailey,MIN,K,1,3.0,0,0,1,1,1,0,0,0
Nick Folk,NE,K,1,6.0,3,3,1,2,1,0,0,0
Chris Boswell,PIT,K,1,6.0,3,3,1,1,1,0,0,0
Dustin Hopkins,WAS,K,1,3.0,0,0,1,1,1,0,0,0
Matt Prater,DET,K,1,3.0,3,3,0,1,0,0,0,0
Jason Myers,SEA,K,1,5.0,5,5,0,0,0,0,0,0
Cody Parkey,CLE,K,1,5.0,5,5,0,0,0,0,0,0
