,,,,Receiving,,,Air Yards (AY) / Depth of Target ,,,,,,Team %,,After Catch,,,PASS Int(PI),
Name,Team,Pos,G,TAR,REC,YDS,AY,aDOT,AY/Snap,Cmp AY,Catch %,Drop %,AY,TAR,YDS,AVG,%,Drawn,On
Michael Thomas,NO,WR,16,185,149,1725,1488,8.1,1.6,1127,81.0,1.6,41.2,33.1,600,4.0,34.8,4,2
Julio Jones,ATL,WR,15,157,99,1394,1911,12.2,2.3,1039,63.1,3.2,36.0,24.1,359,3.6,25.8,3,2
Chris Godwin,TB,WR,14,121,86,1333,1272,10.5,1.3,729,71.1,0.8,20.3,20.0,631,7.3,47.3,1,0
Travis Kelce,KC,TE,16,136,97,1229,1195,8.9,1.2,801,71.9,4.4,25.8,24.3,464,4.8,37.8,2,3
DeVante Parker,MIA,WR,16,128,72,1202,1735,13.7,1.9,909,56.7,3.9,33.0,21.1,293,4.1,24.4,4,1
Keenan Allen,LAC,WR,16,149,104,1199,1520,10.1,1.6,825,69.3,4.7,30.8,26.0,374,3.6,31.2,3,1
Kenny Golladay,DET,WR,16,116,65,1190,1745,15.0,1.8,890,56.0,5.2,32.7,21.0,300,4.6,25.2,3,2
Amari Cooper,DAL,WR,16,119,79,1189,1536,12.8,1.8,935,65.8,5.0,28.2,20.7,254,3.2,21.4,2,2
D.J. Moore,CAR,WR,15,135,87,1175,1498,11.2,1.6,772,64.9,2.2,29.7,22.3,403,4.6,34.3,1,0
Jarvis Landry,CLE,WR,16,138,83,1174,1370,9.9,1.4,727,60.1,2.9,31.1,26.7,447,5.4,38.1,3,1
DeAndre Hopkins,HOU,WR,15,150,104,1165,1543,10.3,1.5,778,69.3,3.3,35.3,29.2,387,3.7,33.2,1,0
Cooper Kupp,LAR,WR,16,134,94,1161,940,7.0,1.0,611,70.1,3.7,20.5,22.0,550,5.9,47.4,2,1
Mike Evans,TB,WR,13,118,67,1157,1778,15.2,2.2,886,57.3,6.0,28.4,19.4,271,4.0,23.4,8,1
Allen Robinson,CHI,WR,16,154,98,1147,1680,10.9,1.6,853,63.6,2.6,38.5,27.1,294,3.0,25.6,6,1
Darren Waller,OAK,TE,16,117,90,1145,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Robert Woods,LAR,WR,15,139,90,1134,1076,7.9,1.1,538,65.7,2.9,23.5,22.5,615,6.8,54.2,1,0
Stefon Diggs,MIN,WR,15,94,63,1130,1385,14.9,1.8,826,67.7,4.3,41.5,21.3,313,5.0,27.7,2,2
Julian Edelman,NE,WR,16,153,100,1117,1410,9.2,1.4,771,64.9,7.1,32.1,26.3,346,3.5,31.0,5,2
Courtland Sutton,DEN,WR,16,125,72,1112,1436,11.7,1.5,748,58.5,4.9,43.0,25.7,370,5.1,33.3,8,2
Michael Gallup,DAL,WR,14,113,66,1107,1403,12.4,1.6,765,58.4,8.8,25.8,19.5,345,5.2,31.2,4,0
