,,,,Receiving,,,,,,,,,Big Receiving Games,,,Fumbles,
Name,Team,Pos,G,REC,YDS,YPC,YDS/G,TD,TAR,YPT,20+,40+,100+,150+,200+,TOT,LOST
Michael Thomas,NO,WR,16,149,1725,11.6,107.8,9,185,9.3,17,3,10,2,0,1,0
Julio Jones,ATL,WR,15,99,1394,14.1,92.9,6,157,8.9,21,3,6,2,0,1,0
Chris Godwin,TB,WR,14,86,1333,15.5,95.2,9,121,11.0,25,3,6,3,0,0,0
Travis Kelce,KC,TE,16,97,1229,12.7,76.8,5,136,9.0,11,1,2,0,0,1,1
DeVante Parker,MIA,WR,16,72,1202,16.7,75.1,9,128,9.4,21,7,4,1,0,0,0
Keenan Allen,LAC,WR,16,104,1199,11.5,74.9,6,149,8.0,15,1,2,1,0,0,0
Kenny Golladay,DET,WR,16,65,1190,18.3,74.4,11,116,10.3,22,6,5,1,0,1,1
Amari Cooper,DAL,WR,16,79,1189,15.1,74.3,8,119,10.0,17,6,4,1,1,0,0
D.J. Moore,CAR,WR,15,87,1175,13.5,78.3,4,135,8.7,13,4,4,0,0,2,1
Jarvis Landry,CLE,WR,16,83,1174,14.1,73.4,6,138,8.5,20,2,2,1,0,0,0
DeAndre Hopkins,HOU,WR,15,104,1165,11.2,77.7,7,150,7.8,16,1,5,0,0,0,0
Cooper Kupp,LAR,WR,16,94,1161,12.4,72.6,10,134,8.7,21,4,5,1,1,3,0
Mike Evans,TB,WR,13,67,1157,17.3,89.0,8,118,9.8,17,7,3,3,0,0,0
Allen Robinson,CHI,WR,16,98,1147,11.7,71.7,7,154,7.4,15,1,3,0,0,0,0
Darren Waller,OAK,TE,16,90,1145,12.7,71.6,3,117,9.8,14,2,5,0,0,1,1
Robert Woods,LAR,WR,15,90,1134,12.6,75.6,2,139,8.2,14,1,3,2,0,0,0
Stefon Diggs,MIN,WR,15,63,1130,17.9,75.3,6,94,12.0,20,8,5,1,0,4,3
Julian Edelman,NE,WR,16,100,1117,11.2,69.8,6,153,7.3,13,1,3,0,0,3,1
Courtland Sutton,DEN,WR,16,72,1112,15.4,69.5,6,125,8.9,18,6,2,0,0,2,0
Michael Gallup,DAL,WR,14,66,1107,16.8,79.1,6,113,9.8,18,5,4,1,0,0,0
John Brown,BUF,WR,15,72,1060,14.7,70.7,6,115,9.2,17,3,2,0,0,0,0
Tyler Lockett,SEA,WR,16,82,1057,12.9,66.1,8,110,9.6,15,3,4,2,0,1,0
George Kittle,SF,TE,14,85,1053,12.4,75.2,5,107,9.8,16,2,3,0,0,1,0
A.J. Brown,TEN,WR,16,52,1051,20.2,65.7,8,84,12.5,15,8,5,1,0,1,0
Tyler Boyd,CIN,WR,16,90,1046,11.6,65.4,5,148,7.1,12,3,4,0,0,2,2
Odell Beckham,CLE,WR,16,74,1035,14.0,64.7,4,133,7.8,16,3,2,1,0,1,1
DJ Chark,JAX,WR,15,73,1008,13.8,67.2,8,118,8.5,17,1,3,1,0,0,0
Christian McCaffrey,CAR,RB,16,116,1005,8.7,62.8,4,142,7.1,7,0,2,0,0,1,0
Mike Williams,LAC,WR,15,49,1001,20.4,66.7,2,89,11.2,17,8,2,0,0,0,0
Davante Adams,GB,WR,12,83,997,12.0,83.1,5,127,7.9,12,2,5,1,0,2,1
Austin Ekeler,LAC,RB,16,92,993,10.8,62.1,8,108,9.2,9,3,3,0,0,3,2
Terry McLaurin,WAS,WR,14,58,919,15.8,65.6,7,93,9.9,15,3,3,0,0,0,0
Zach Ertz,PHI,TE,15,88,916,10.4,61.1,6,135,6.8,12,0,1,0,0,1,1
DK Metcalf,SEA,WR,16,58,900,15.5,56.3,7,100,9.0,13,4,1,0,0,3,3
Emmanuel Sanders,SF/DEN,WR,17,66,869,13.2,51.1,5,97,9.0,11,3,3,1,0,0,0
Calvin Ridley,ATL,WR,13,63,866,13.7,66.6,7,93,9.3,12,0,2,0,0,0,0
Tyreek Hill,KC,WR,12,58,860,14.8,71.7,7,89,9.7,11,6,2,1,0,0,0
Mark Andrews,BAL,TE,15,64,852,13.3,56.8,10,98,8.7,16,1,2,0,0,2,1
Jamison Crowder,NYJ,WR,16,78,833,10.7,52.1,6,122,6.8,11,1,0,0,0,0,0
Randall Cobb,DAL,WR,15,55,828,15.1,55.2,3,83,10.0,14,2,2,0,0,2,1
Larry Fitzgerald,ARI,WR,16,75,804,10.7,50.3,4,109,7.4,10,4,2,0,0,1,1
Deebo Samuel,SF,WR,15,57,802,14.1,53.5,3,81,9.9,17,1,3,0,0,2,1
Austin Hooper,ATL,TE,13,75,787,10.5,60.5,6,97,8.1,8,0,2,0,0,0,0
Robby Anderson,NYJ,WR,16,52,779,15.0,48.7,5,96,8.1,13,2,3,0,0,1,0
Marvin Jones,DET,WR,13,62,779,12.6,59.9,9,91,8.6,12,1,2,0,0,0,0
Cole Beasley,BUF,WR,15,67,778,11.6,51.9,6,106,7.3,10,1,2,0,0,0,0
Chris Conley,JAX,WR,16,47,775,16.5,48.4,5,90,8.6,13,3,1,0,0,0,0
Darius Slayton,NYG,WR,14,48,740,15.4,52.9,8,84,8.8,12,3,2,1,0,0,0
James Washington,PIT,WR,15,44,735,16.7,49.0,3,80,9.2,13,4,1,0,0,1,1
Tyler Higbee,LAR,TE,15,69,734,10.6,48.9,3,89,8.2,11,0,4,0,0,0,0
Christian Kirk,ARI,WR,13,68,709,10.4,54.5,3,108,6.6,6,1,2,0,0,0,0
Jared Cook,NO,TE,14,43,705,16.4,50.4,9,65,10.8,15,2,0,0,0,0,0
Diontae Johnson,PIT,WR,16,59,680,11.5,42.5,5,92,7.4,7,2,0,0,0,5,2
Danny Amendola,DET,WR,15,62,678,10.9,45.2,1,97,7.0,6,2,3,0,0,0,0
Golden Tate,NYG,WR,11,49,676,13.8,61.5,6,85,8.0,10,3,1,0,0,1,1
Sammy Watkins,KC,WR,14,52,673,12.9,48.1,3,90,7.5,5,0,1,1,0,2,1
Will Fuller,HOU,WR,11,49,670,13.7,60.9,3,71,9.4,11,3,2,1,1,1,0
Dede Westbrook,JAX,WR,15,66,660,10.0,44.0,3,101,6.5,10,0,1,0,0,1,0
Anthony Miller,CHI,WR,16,52,656,12.6,41.0,2,85,7.7,11,0,2,0,0,1,1
Hunter Henry,LAC,TE,12,55,652,11.9,54.3,5,76,8.6,8,0,1,0,0,1,1
Tyrell Williams,OAK,WR,14,42,651,15.5,46.5,6,64,10.2,12,4,1,0,0,0,0
James White,NE,RB,15,72,645,9.0,43.0,5,95,6.8,9,1,0,0,0,1,1
Breshad Perriman,TB,WR,14,36,645,17.9,46.1,6,69,9.3,15,1,3,0,0,0,0
Curtis Samuel,CAR,WR,16,54,627,11.6,39.2,6,105,6.0,8,1,0,0,0,0,0
Zach Pascal,IND,WR,16,41,607,14.8,37.9,5,72,8.4,11,0,2,0,0,0,0
Dallas Goedert,PHI,TE,15,58,607,10.5,40.5,5,87,7.0,8,0,0,0,0,2,2
Hunter Renfrow,OAK,WR,13,49,605,12.3,46.5,4,71,8.5,7,2,2,0,0,1,0
Corey Davis,TEN,WR,15,43,601,14.0,40.1,2,69,8.7,10,0,0,0,0,1,0
Greg Olsen,CAR,TE,14,52,597,11.5,42.6,2,82,7.3,6,1,1,0,0,0,0
Marquise Brown,BAL,WR,14,46,584,12.7,41.7,7,71,8.2,8,4,1,0,0,0,0
Brandin Cooks,LAR,WR,14,42,583,13.9,41.6,2,72,8.1,8,1,1,0,0,0,0
Sterling Shepard,NYG,WR,10,57,576,10.1,57.6,3,83,6.9,8,0,2,0,0,0,0
Auden Tate,CIN,WR,12,40,575,14.4,47.9,1,80,7.2,8,0,0,0,0,1,1
Mike Gesicki,MIA,TE,16,51,570,11.2,35.6,5,89,6.4,7,0,0,0,0,1,1
Noah Fant,DEN,TE,16,40,562,14.1,35.1,3,65,8.6,10,3,2,0,0,1,1
Kenny Stills,HOU,WR,13,40,561,14.0,43.2,4,55,10.2,8,2,1,0,0,0,0
JuJu Smith-Schuster,PIT,WR,12,42,552,13.1,46.0,3,69,8.0,7,2,1,0,0,1,1
Mecole Hardman,KC,WR,16,26,538,20.7,33.6,6,41,13.1,9,4,0,0,0,2,2
Alvin Kamara,NO,RB,14,81,533,6.6,38.1,1,97,5.5,2,1,0,0,0,4,1
Alex Erickson,CIN,WR,16,43,529,12.3,33.1,0,78,6.8,5,2,1,0,0,4,2
Jason Witten,DAL,TE,16,63,529,8.4,33.1,4,83,6.4,2,0,0,0,0,1,1
Leonard Fournette,JAX,RB,15,76,522,6.9,34.8,0,100,5.2,3,0,0,0,0,1,1
Mohamed Sanu,ATL/NE,WR,15,59,520,8.8,34.7,2,89,5.8,3,0,0,0,0,0,0
Dalvin Cook,MIN,RB,14,53,519,9.8,37.1,0,63,8.2,7,0,0,0,0,4,2
Miles Sanders,PHI,RB,16,50,509,10.2,31.8,3,63,8.1,8,2,0,0,0,2,1
John Ross,CIN,WR,8,28,506,18.1,63.3,3,56,9.0,10,2,2,1,0,1,1
T.Y. Hilton,IND,WR,10,45,501,11.1,50.1,5,68,7.4,6,0,0,0,0,0,0
Alshon Jeffery,PHI,WR,10,43,490,11.4,49.0,4,73,6.7,6,0,1,0,0,0,0
Allen Lazard,GB,WR,16,35,477,13.6,29.8,3,52,9.2,6,1,1,0,0,0,0
Aaron Jones,GB,RB,16,49,474,9.7,29.6,3,68,7.0,6,2,1,1,0,3,2
Evan Engram,NYG,TE,8,44,467,10.6,58.4,3,68,6.9,4,1,2,0,0,0,0
Le'Veon Bell,NYJ,RB,15,66,461,7.0,30.7,1,78,5.9,2,0,0,0,0,1,1
O.J. Howard,TB,TE,14,34,459,13.5,32.8,1,53,8.7,8,0,0,0,0,1,1
Tarik Cohen,CHI,RB,16,79,456,5.8,28.5,3,104,4.4,2,0,0,0,0,3,0
Marquez Valdes-Scantling,GB,WR,16,26,452,17.4,28.3,2,56,8.1,7,5,1,0,0,0,0
Demarcus Robinson,KC,WR,16,32,449,14.0,28.1,4,55,8.2,7,2,1,1,0,0,0
Jack Doyle,IND,TE,16,43,448,10.4,28.0,4,72,6.2,4,0,0,0,0,1,0
Jimmy Graham,GB,TE,16,38,447,11.8,27.9,3,60,7.5,7,1,0,0,0,1,0
Russell Gage,ATL,WR,16,49,446,9.1,27.9,1,74,6.0,0,0,0,0,0,1,1
Jonnu Smith,TEN,TE,16,35,439,12.5,27.4,3,45,9.8,8,2,0,0,0,0,0
Saquon Barkley,NYG,RB,13,52,438,8.4,33.7,2,73,6.0,6,2,0,0,0,1,0
Tyler Eifert,CIN,TE,16,43,436,10.1,27.3,3,63,6.9,4,0,0,0,0,0,0
Demaryius Thomas,NYJ,WR,11,36,433,12.0,39.4,1,58,7.5,4,1,0,0,0,0,0
Preston Williams,MIA,WR,8,32,428,13.4,53.5,3,60,7.1,6,0,0,0,0,2,1
Josh Gordon,NE/SEA,WR,11,27,426,15.8,38.7,1,47,9.1,8,2,0,0,0,0,0
Ted Ginn,NO,WR,16,30,421,14.0,26.3,2,56,7.5,7,2,1,0,0,0,0
Ezekiel Elliott,DAL,RB,16,54,420,7.8,26.3,2,71,5.9,3,0,0,0,0,3,2
Adam Thielen,MIN,WR,10,30,418,13.9,41.8,6,48,8.7,8,1,1,0,0,0,0
Jordan Akins,HOU,TE,16,36,418,11.6,26.1,2,55,7.6,5,1,0,0,0,0,0
Allen Hurns,MIA,WR,14,32,416,13.0,29.7,2,47,8.9,4,0,0,0,0,1,1
Devonta Freeman,ATL,RB,14,59,410,6.9,29.3,4,70,5.9,2,0,0,0,0,3,2
Duke Johnson,HOU,RB,16,44,410,9.3,25.6,3,62,6.6,1,0,0,0,0,1,1
Gerald Everett,LAR,TE,13,37,408,11.0,31.4,2,60,6.8,6,0,1,0,0,0,0
Phillip Dorsett,NE,WR,14,29,397,13.7,28.4,5,54,7.4,6,2,0,0,0,0,0
Dawson Knox,BUF,TE,15,28,388,13.9,25.9,2,50,7.8,7,1,0,0,0,0,0
Chris Thompson,WAS,RB,11,42,378,9.0,34.4,0,58,6.5,3,0,0,0,0,1,0
Eric Ebron,IND,TE,11,31,375,12.1,34.1,3,52,7.2,4,1,0,0,0,0,0
Adam Humphries,TEN,WR,12,37,374,10.1,31.2,2,47,8.0,4,0,0,0,0,1,0
David Johnson,ARI,RB,13,36,370,10.3,28.5,4,47,7.9,6,0,0,0,0,1,1
Kyle Rudolph,MIN,TE,16,39,367,9.4,22.9,6,48,7.6,3,0,0,0,0,0,0
T.J. Hockenson,DET,TE,12,32,367,11.5,30.6,2,59,6.2,6,0,1,0,0,0,0
Kelvin Harmon,WAS,WR,16,30,365,12.2,22.8,0,44,8.3,8,0,0,0,0,0,0
Blake Jarwin,DAL,TE,16,31,365,11.8,22.8,3,41,8.9,8,1,0,0,0,1,0
Nelson Agholor,PHI,WR,11,39,363,9.3,33.0,3,69,5.3,5,1,1,0,0,2,1
Keelan Cole,JAX,WR,16,24,361,15.0,22.6,3,35,10.3,5,2,0,0,0,0,0
Jakobi Meyers,NE,WR,15,26,359,13.8,23.9,0,41,8.8,9,0,0,0,0,0,0
Damiere Byrd,ARI,WR,11,32,359,11.2,32.6,1,46,7.8,3,2,0,0,0,1,1
Kendrick Bourne,SF,WR,16,30,358,11.9,22.4,5,44,8.1,4,0,0,0,0,0,0
Taylor Gabriel,CHI,WR,9,29,353,12.2,39.2,4,48,7.4,4,1,0,0,0,0,0
