,,,,Fantasy,Passing,,,,,Rushing,,,Receiving,,,,Fumbles,
Name,Team,Pos,G,Pts,COMP,ATT,YDS,TD,INT,ATT,YDS,TD,REC,TAR,YDS,TD,TOT,LOST
Michael Thomas,NO,WR,16,225.6,0,0,0,0,0,1,-9,0,149,185,1725,9,1,0
Julio Jones,ATL,WR,15,175.1,0,0,0,0,0,2,-3,0,99,157,1394,6,1,0
Chris Godwin,TB,WR,14,188.1,0,0,0,0,0,1,8,0,86,121,1333,9,0,0
Travis Kelce,KC,TE,16,159.3,0,0,0,0,0,1,4,1,97,136,1229,5,1,1
DeVante Parker,MIA,WR,16,174.2,0,0,0,0,0,0,0,0,72,128,1202,9,0,0
Keenan Allen,LAC,WR,16,157.5,0,0,0,0,0,3,16,0,104,149,1199,6,0,0
Kenny Golladay,DET,WR,16,185.0,0,0,0,0,0,0,0,0,65,116,1190,11,1,1
Amari Cooper,DAL,WR,16,167.5,0,0,0,0,0,1,6,0,79,119,1189,8,0,0
D.J. Moore,CAR,WR,15,145.5,0,0,0,0,0,6,40,0,87,135,1175,4,2,1
Jarvis Landry,CLE,WR,16,154.4,0,0,0,0,0,1,10,0,83,138,1174,6,0,0
DeAndre Hopkins,HOU,WR,15,164.6,1,2,6,1,1,2,18,0,104,150,1165,7,0,0
Cooper Kupp,LAR,WR,16,176.5,0,1,0,0,0,2,4,0,94,134,1161,10,3,0
Mike Evans,TB,WR,13,163.7,0,0,0,0,0,0,0,0,67,118,1157,8,0,0
Allen Robinson,CHI,WR,16,156.9,0,0,0,0,0,1,2,0,98,154,1147,7,0,0
Darren Waller,OAK,TE,16,133.0,0,0,0,0,0,2,5,0,90,117,1145,3,1,1
Robert Woods,LAR,WR,15,142.9,0,0,0,0,0,17,115,1,90,139,1134,2,0,0
Stefon Diggs,MIN,WR,15,155.1,0,1,0,0,0,5,61,0,63,94,1130,6,4,3
Julian Edelman,NE,WR,16,156.8,2,2,47,1,0,8,27,0,100,153,1117,6,3,1
Courtland Sutton,DEN,WR,16,150.8,1,1,38,0,0,3,17,0,72,125,1112,6,2,0
Michael Gallup,DAL,WR,14,146.7,0,0,0,0,0,0,0,0,66,113,1107,6,0,0
John Brown,BUF,WR,15,148.1,1,1,28,1,0,2,7,0,72,115,1060,6,0,0
Tyler Lockett,SEA,WR,16,153.2,0,0,0,0,0,4,-5,0,82,110,1057,8,1,0
George Kittle,SF,TE,14,137.5,0,0,0,0,0,5,22,0,85,107,1053,5,1,0
A.J. Brown,TEN,WR,16,165.1,0,0,0,0,0,3,60,1,52,84,1051,8,1,0
Tyler Boyd,CIN,WR,16,136.9,0,0,0,0,0,4,23,0,90,148,1046,5,2,2
Odell Beckham,CLE,WR,16,129.5,1,2,20,0,0,3,10,0,74,133,1035,4,1,1
DJ Chark,JAX,WR,15,150.8,0,0,0,0,0,2,20,0,73,118,1008,8,0,0
Christian McCaffrey,CAR,RB,16,353.2,0,2,0,0,0,287,1387,15,116,142,1005,4,1,0
Mike Williams,LAC,WR,15,112.3,0,0,0,0,0,1,2,0,49,89,1001,2,0,0
Davante Adams,GB,WR,12,129.7,0,0,0,0,0,0,0,0,83,127,997,5,2,1
Austin Ekeler,LAC,RB,16,221.0,0,0,0,0,0,132,557,3,92,108,993,8,3,2
Terry McLaurin,WAS,WR,14,133.9,0,0,0,0,0,0,0,0,58,93,919,7,0,0
Zach Ertz,PHI,TE,15,127.6,0,0,0,0,0,0,0,0,88,135,916,6,1,1
DK Metcalf,SEA,WR,16,133.1,0,0,0,0,0,2,11,0,58,100,900,7,3,3
Emmanuel Sanders,SF/DEN,WR,17,122.7,1,1,35,1,0,0,0,0,66,97,869,5,0,0
Calvin Ridley,ATL,WR,13,132.0,0,0,0,0,0,2,34,0,63,93,866,7,0,0
Tyreek Hill,KC,WR,12,130.3,0,0,0,0,0,8,23,0,58,89,860,7,0,0
Mark Andrews,BAL,TE,15,145.2,0,0,0,0,0,0,0,0,64,98,852,10,2,1
Jamison Crowder,NYJ,WR,16,119.7,0,0,0,0,0,1,4,0,78,122,833,6,0,0
Randall Cobb,DAL,WR,15,101.9,0,1,0,0,0,3,11,0,55,83,828,3,2,1
Larry Fitzgerald,ARI,WR,16,104.4,0,0,0,0,0,0,0,0,75,109,804,4,1,1
Deebo Samuel,SF,WR,15,132.1,0,0,0,0,0,14,159,3,57,81,802,3,2,1
Austin Hooper,ATL,TE,13,114.7,0,0,0,0,0,0,0,0,75,97,787,6,0,0
Robby Anderson,NYJ,WR,16,108.3,0,0,0,0,0,1,4,0,52,96,779,5,1,0
Marvin Jones,DET,WR,13,131.9,0,0,0,0,0,2,0,0,62,91,779,9,0,0
Cole Beasley,BUF,WR,15,113.8,0,0,0,0,0,0,0,0,67,106,778,6,0,0
Chris Conley,JAX,WR,16,107.5,0,0,0,0,0,0,0,0,47,90,775,5,0,0
Darius Slayton,NYG,WR,14,122.0,0,0,0,0,0,0,0,0,48,84,740,8,0,0
James Washington,PIT,WR,15,91.5,0,0,0,0,0,0,0,0,44,80,735,3,1,1
Tyler Higbee,LAR,TE,15,91.4,0,0,0,0,0,0,0,0,69,89,734,3,0,0
Christian Kirk,ARI,WR,13,98.2,0,0,0,0,0,10,93,0,68,108,709,3,0,0
Jared Cook,NO,TE,14,124.5,0,0,0,0,0,0,0,0,43,65,705,9,0,0
Diontae Johnson,PIT,WR,16,102.1,0,0,0,0,0,4,41,0,59,92,680,5,5,2
Danny Amendola,DET,WR,15,78.8,1,1,19,1,0,0,0,0,62,97,678,1,0,0
Golden Tate,NYG,WR,11,105.2,0,0,0,0,0,1,16,0,49,85,676,6,1,1
Sammy Watkins,KC,WR,14,86.5,0,0,0,0,0,2,12,0,52,90,673,3,2,1
Will Fuller,HOU,WR,11,85.0,0,0,0,0,0,0,0,0,49,71,670,3,1,0
Dede Westbrook,JAX,WR,15,86.7,0,0,0,0,0,5,27,0,66,101,660,3,1,0
Anthony Miller,CHI,WR,16,77.5,0,0,0,0,0,1,-1,0,52,85,656,2,1,1
Hunter Henry,LAC,TE,12,95.2,0,0,0,0,0,0,0,0,55,76,652,5,1,1
Tyrell Williams,OAK,WR,14,101.1,0,0,0,0,0,0,0,0,42,64,651,6,0,0
James White,NE,RB,15,128.6,1,1,35,0,0,67,263,1,72,95,645,5,1,1
Breshad Perriman,TB,WR,14,102.1,0,0,0,0,0,2,16,0,36,69,645,6,0,0
Curtis Samuel,CAR,WR,16,117.7,0,0,0,0,0,19,130,1,54,105,627,6,0,0
Zach Pascal,IND,WR,16,92.3,0,1,0,0,0,2,16,0,41,72,607,5,0,0
Dallas Goedert,PHI,TE,15,90.7,0,0,0,0,0,0,0,0,58,87,607,5,2,2
Hunter Renfrow,OAK,WR,13,84.5,0,0,0,0,0,0,0,0,49,71,605,4,1,0
Corey Davis,TEN,WR,15,72.1,0,0,0,0,0,0,0,0,43,69,601,2,1,0
Greg Olsen,CAR,TE,14,71.7,0,0,0,0,0,0,0,0,52,82,597,2,0,0
Marquise Brown,BAL,WR,14,100.4,0,0,0,0,0,0,0,0,46,71,584,7,0,0
Brandin Cooks,LAR,WR,14,75.5,0,0,0,0,0,6,52,0,42,72,583,2,0,0
Sterling Shepard,NYG,WR,10,82.8,0,0,0,0,0,6,72,0,57,83,576,3,0,0
Auden Tate,CIN,WR,12,63.5,0,0,0,0,0,0,0,0,40,80,575,1,1,1
Mike Gesicki,MIA,TE,16,87.0,0,0,0,0,0,0,0,0,51,89,570,5,1,1
Noah Fant,DEN,TE,16,73.0,0,0,0,0,0,3,-12,0,40,65,562,3,1,1
Kenny Stills,HOU,WR,13,80.1,0,0,0,0,0,0,0,0,40,55,561,4,0,0
JuJu Smith-Schuster,PIT,WR,12,73.2,0,0,0,0,0,0,0,0,42,69,552,3,1,1
Mecole Hardman,KC,WR,16,91.5,0,0,0,0,0,4,17,0,26,41,538,6,2,2
Alvin Kamara,NO,RB,14,169.7,1,1,13,0,0,171,797,5,81,97,533,1,4,1
Alex Erickson,CIN,WR,16,57.5,1,1,26,0,0,5,33,0,43,78,529,0,4,2
Jason Witten,DAL,TE,16,76.9,0,0,0,0,0,0,0,0,63,83,529,4,1,1
Leonard Fournette,JAX,RB,15,185.4,0,0,0,0,0,265,1152,3,76,100,522,0,1,1
Mohamed Sanu,ATL/NE,WR,15,65.1,0,0,0,0,0,3,11,0,59,89,520,2,0,0
Dalvin Cook,MIN,RB,14,243.4,0,0,0,0,0,250,1135,13,53,63,519,0,4,2
Miles Sanders,PHI,RB,16,168.7,0,0,0,0,0,179,818,3,50,63,509,3,2,1
John Ross,CIN,WR,8,69.0,0,0,0,0,0,3,4,0,28,56,506,3,1,1
T.Y. Hilton,IND,WR,10,80.1,0,0,0,0,0,0,0,0,45,68,501,5,0,0
Alshon Jeffery,PHI,WR,10,79.2,0,0,0,0,0,1,2,1,43,73,490,4,0,0
Allen Lazard,GB,WR,16,67.8,0,0,0,0,0,1,21,0,35,52,477,3,0,0
Aaron Jones,GB,RB,16,269.8,0,0,0,0,0,236,1084,16,49,68,474,3,3,2
Evan Engram,NYG,TE,8,65.4,0,0,0,0,0,3,7,0,44,68,467,3,0,0
Le'Veon Bell,NYJ,RB,15,149.0,0,0,0,0,0,245,789,3,66,78,461,1,1,1
O.J. Howard,TB,TE,14,51.9,0,0,0,0,0,0,0,0,34,53,459,1,1,1
Tarik Cohen,CHI,RB,16,84.9,0,0,0,0,0,64,213,0,79,104,456,3,3,0
Marquez Valdes-Scantling,GB,WR,16,58.1,0,0,0,0,0,2,9,0,26,56,452,2,0,0
Demarcus Robinson,KC,WR,16,68.9,0,0,0,0,0,0,0,0,32,55,449,4,0,0
Jack Doyle,IND,TE,16,68.8,0,0,0,0,0,0,0,0,43,72,448,4,1,0
Jimmy Graham,GB,TE,16,62.7,0,0,0,0,0,0,0,0,38,60,447,3,1,0
Russell Gage,ATL,WR,16,51.8,0,0,0,0,0,4,12,0,49,74,446,1,1,1
Jonnu Smith,TEN,TE,16,69.7,0,0,0,0,0,4,78,0,35,45,439,3,0,0
Saquon Barkley,NYG,RB,13,192.1,0,0,0,0,0,217,1003,6,52,73,438,2,1,0
Tyler Eifert,CIN,TE,16,61.6,0,0,0,0,0,0,0,0,43,63,436,3,0,0
Demaryius Thomas,NYJ,WR,11,49.3,0,0,0,0,0,0,0,0,36,58,433,1,0,0
Preston Williams,MIA,WR,8,60.8,0,0,0,0,0,0,0,0,32,60,428,3,2,1
Josh Gordon,NE/SEA,WR,11,48.7,0,1,0,0,1,1,1,0,27,47,426,1,0,0
Ted Ginn,NO,WR,16,55.9,0,0,0,0,0,3,18,0,30,56,421,2,0,0
Ezekiel Elliott,DAL,RB,16,261.7,0,0,0,0,0,301,1357,12,54,71,420,2,3,2
Adam Thielen,MIN,WR,10,84.4,0,0,0,0,0,4,6,1,30,48,418,6,0,0
Jordan Akins,HOU,TE,16,53.8,0,0,0,0,0,0,0,0,36,55,418,2,0,0
Allen Hurns,MIA,WR,14,53.6,0,0,0,0,0,0,0,0,32,47,416,2,1,1
Devonta Freeman,ATL,RB,14,142.6,0,0,0,0,0,184,656,2,59,70,410,4,3,2
Duke Johnson,HOU,RB,16,112.0,0,0,0,0,0,83,410,2,44,62,410,3,1,1
Gerald Everett,LAR,TE,13,52.8,0,0,0,0,0,1,0,0,37,60,408,2,0,0
Phillip Dorsett,NE,WR,14,71.8,0,0,0,0,0,3,21,0,29,54,397,5,0,0
Dawson Knox,BUF,TE,15,51.7,0,0,0,0,0,1,9,0,28,50,388,2,0,0
Chris Thompson,WAS,RB,11,51.6,0,0,0,0,0,37,138,0,42,58,378,0,1,0
Eric Ebron,IND,TE,11,55.5,0,0,0,0,0,0,0,0,31,52,375,3,0,0
Adam Humphries,TEN,WR,12,49.5,0,0,0,0,0,1,1,0,37,47,374,2,1,0
David Johnson,ARI,RB,13,107.5,0,0,0,0,0,94,345,2,36,47,370,4,1,1
Kyle Rudolph,MIN,TE,16,72.7,0,0,0,0,0,0,0,0,39,48,367,6,0,0
T.J. Hockenson,DET,TE,12,48.7,0,0,0,0,0,0,0,0,32,59,367,2,0,0
Kelvin Harmon,WAS,WR,16,37.1,1,1,11,0,0,0,0,0,30,44,365,0,0,0
Blake Jarwin,DAL,TE,16,54.5,0,0,0,0,0,0,0,0,31,41,365,3,1,0
Nelson Agholor,PHI,WR,11,55.0,0,0,0,0,0,2,7,0,39,69,363,3,2,1
Keelan Cole,JAX,WR,16,54.7,0,0,0,0,0,1,6,0,24,35,361,3,0,0
Jakobi Meyers,NE,WR,15,35.9,0,0,0,0,0,0,0,0,26,41,359,0,0,0
Damiere Byrd,ARI,WR,11,41.9,0,0,0,0,0,0,0,0,32,46,359,1,1,1
