,,,,Receiving,,,,Red Zone Targets,,,
Name,Team,Pos,G,REC,YDS,TD,TAR,In20,In10,In5,%Tm
Michael Thomas,NO,WR,16,149,1725,9,185,26,9,5,30.23
Julio Jones,ATL,WR,15,99,1394,6,157,17,8,4,20.48
Chris Godwin,TB,WR,14,86,1333,9,121,14,10,5,20.29
Travis Kelce,KC,TE,16,97,1229,5,136,17,11,2,26.98
DeVante Parker,MIA,WR,16,72,1202,9,128,16,3,1,21.92
Keenan Allen,LAC,WR,16,104,1199,6,149,20,9,3,25.00
Kenny Golladay,DET,WR,16,65,1190,11,116,16,13,5,25.00
Amari Cooper,DAL,WR,16,79,1189,8,119,9,3,1,15.25
D.J. Moore,CAR,WR,15,87,1175,4,135,12,2,2,18.75
Jarvis Landry,CLE,WR,16,83,1174,6,138,21,11,6,29.17
DeAndre Hopkins,HOU,WR,15,104,1165,7,150,13,5,4,20.97
Cooper Kupp,LAR,WR,16,94,1161,10,134,21,10,1,30.43
Mike Evans,TB,WR,13,67,1157,8,118,17,9,7,24.64
Allen Robinson,CHI,WR,16,98,1147,7,154,20,11,3,29.85
Darren Waller,OAK,TE,16,90,1145,3,117,11,4,2,17.19
Robert Woods,LAR,WR,15,90,1134,2,139,9,3,1,13.04
Stefon Diggs,MIN,WR,15,63,1130,6,94,5,2,0,10.42
Julian Edelman,NE,WR,16,100,1117,6,153,22,9,5,23.40
Courtland Sutton,DEN,WR,16,72,1112,6,125,20,9,3,28.17
Michael Gallup,DAL,WR,14,66,1107,6,113,8,2,1,13.56
John Brown,BUF,WR,15,72,1060,6,115,10,3,0,20.41
Tyler Lockett,SEA,WR,16,82,1057,8,110,23,7,2,28.05
George Kittle,SF,TE,14,85,1053,5,107,17,9,2,22.97
A.J. Brown,TEN,WR,16,52,1051,8,84,8,2,1,16.67
Tyler Boyd,CIN,WR,16,90,1046,5,148,11,4,4,14.67
Odell Beckham,CLE,WR,16,74,1035,4,133,14,5,5,19.44
DJ Chark,JAX,WR,15,73,1008,8,118,15,6,2,21.43
Christian McCaffrey,CAR,RB,16,116,1005,4,142,14,6,3,21.88
