,,,,Rushing,,,,Red Zone Rush Att,,,,Red Zone Rush TD,,
Name,Team,Pos,G,ATT,YDS,AVG,TD,In20,In10,In5,%Tm,In20,In10,In5
James White,NE,RB,1,5,22,4.4,0,1,0,0,11.11,0,0,0
Matt Breida,MIA,RB,1,5,22,4.4,0,2,0,0,28.57,0,0,0
Chris Carson,SEA,RB,1,6,21,3.5,0,0,0,0,0.00,0,0,0
Jamaal Williams,GB,RB,1,7,21,3.0,0,2,1,1,33.33,0,0,0
Gardner Minshew,JAX,QB,1,5,19,3.8,0,0,0,0,0.00,0,0,0
Allen Lazard,GB,WR,1,1,19,19.0,0,0,0,0,0.00,0,0,0
Cordarrelle Patterson,CHI,WR,1,4,19,4.8,0,1,1,0,25.00,0,0,0
Corey Clement,PHI,RB,1,6,19,3.2,0,0,0,0,0.00,0,0,0
Ryan Fitzpatrick,MIA,QB,1,5,18,3.6,0,2,1,0,28.57,0,0,0
Tevin Coleman,SF,RB,1,4,18,4.5,0,0,0,0,0.00,0,0,0
Dwayne Haskins,WAS,QB,1,7,17,2.4,0,4,2,2,25.00,0,0,0
Gus Edwards,BAL,RB,1,4,17,4.3,0,0,0,0,0.00,0,0,0
Alvin Kamara,NO,RB,1,12,16,1.3,1,4,3,2,30.77,1,1,0
Jared Goff,LAR,QB,1,4,15,3.8,0,0,0,0,0.00,0,0,0
Ryan Tannehill,TEN,QB,1,3,14,4.7,0,0,0,0,0.00,0,0,0
Robert Woods,LAR,WR,1,1,14,14.0,0,0,0,0,0.00,0,0,0
Le'Veon Bell,NYJ,RB,1,6,14,2.3,0,0,0,0,0.00,0,0,0
Duke Johnson,HOU,RB,1,5,14,2.8,0,0,0,0,0.00,0,0,0
AJ Dillon,GB,RB,1,2,14,7.0,0,0,0,0,0.00,0,0,0
Kerryon Johnson,DET,RB,1,7,14,2.0,0,0,0,0,0.00,0,0,0
Taysom Hill,NO,QB,1,3,13,4.3,0,1,1,0,7.69,0,0,0
David Moore,SEA,WR,1,1,12,12.0,0,1,0,0,33.33,0,0,0
Brian Hill,ATL,RB,1,3,12,4.0,0,0,0,0,0.00,0,0,0
Zack Moss,BUF,RB,1,9,11,1.2,0,8,4,3,72.73,0,0,0
Henry Ruggs,LV,WR,1,2,11,5.5,0,0,0,0,0.00,0,0,0
Laviska Shenault,JAX,WR,1,2,10,5.0,0,0,0,0,0.00,0,0,0
Tony Pollard,DAL,RB,1,2,10,5.0,0,1,0,0,16.67,0,0,0
Tom Brady,TB,QB,1,3,9,3.0,1,1,1,1,20.00,1,1,1
Ben Roethlisberger,PIT,QB,1,3,9,3.0,0,0,0,0,0.00,0,0,0
Jimmy Garoppolo,SF,QB,1,1,9,9.0,0,0,0,0,0.00,0,0,0
