,,,,Rushing,,,Rush Location,,,,,,,,,After Contact,,
Name,Team,Pos,G,ATT,YDS,TD,In%,In,Out%,Out,Stuffed,BT,BT%,POS%,TD%,YDS,AVG,%
Clyde Edwards-Helaire,KC,RB,1,25,138,1,68.8,11,31.3,5,7,7,28.0,72.0,0.0,92,3.7,66.7
Derrick Henry,TEN,RB,1,31,116,0,87.5,7,12.5,1,4,7,22.6,87.1,0.0,74,2.4,63.8
Benny Snell,PIT,RB,1,19,113,0,75.0,3,25.0,1,3,4,21.1,84.2,0.0,60,3.2,53.1
Christian McCaffrey,CAR,RB,1,23,97,2,75.0,9,25.0,3,3,4,17.4,87.0,0.1,51,2.2,52.6
Ezekiel Elliott,DAL,RB,1,22,96,1,72.7,8,27.3,3,3,4,18.2,86.4,0.0,50,2.3,52.1
Adrian Peterson,DET,RB,1,14,93,0,83.3,5,16.7,1,2,1,7.1,85.7,0.0,39,2.8,41.9
Josh Jacobs,LV,RB,1,25,93,3,60.0,6,40.0,4,4,8,32.0,84.0,0.1,67,2.7,72.0
Kyler Murray,ARI,QB,1,13,91,1,57.1,4,42.9,3,4,2,15.4,69.2,0.1,12,0.9,13.2
Austin Ekeler,LAC,RB,1,19,84,0,66.7,8,33.3,4,2,1,5.3,89.5,0.0,36,1.9,42.9
Malcolm Brown,LAR,RB,1,18,79,2,60.0,3,40.0,2,1,2,11.1,94.4,0.1,33,1.8,41.8
Melvin Gordon,DEN,RB,1,15,78,1,80.0,4,20.0,1,4,5,33.3,73.3,0.1,63,4.2,80.8
David Johnson,HOU,RB,1,11,77,1,100.0,7,0.0,0,0,1,9.1,100.0,0.1,35,3.2,45.5
Cam Newton,NE,QB,1,15,75,2,55.6,5,44.4,4,3,0,0.0,80.0,0.1,22,1.5,29.3
Kareem Hunt,CLE,RB,1,13,72,0,66.7,2,33.3,1,1,3,23.1,92.3,0.0,44,3.4,61.1
Joe Mixon,CIN,RB,1,19,69,0,61.5,8,38.5,5,4,1,5.3,78.9,0.0,26,1.4,37.7
Ronald Jones,TB,RB,1,17,66,0,85.7,6,14.3,1,3,1,5.9,82.4,0.0,28,1.6,42.4
Aaron Jones,GB,RB,1,16,66,1,44.4,4,55.6,5,2,4,25.0,87.5,0.1,33,2.1,50.0
David Montgomery,CHI,RB,1,13,64,0,100.0,4,0.0,0,1,1,7.7,92.3,0.0,34,2.6,53.1
James Robinson,JAX,RB,1,16,62,0,100.0,5,0.0,0,4,2,12.5,75.0,0.0,41,2.6,66.1
Joshua Kelley,LAC,RB,1,12,60,1,100.0,5,0.0,0,3,2,16.7,75.0,0.1,21,1.8,35.0
Nick Chubb,CLE,RB,1,10,60,0,0.0,0,0.0,0,3,1,10.0,70.0,0.0,45,4.5,75.0
Kenyan Drake,ARI,RB,1,16,60,1,83.3,5,16.7,1,2,4,25.0,87.5,0.1,29,1.8,48.3
Josh Allen,BUF,QB,1,14,57,1,55.6,5,44.4,4,5,3,21.4,64.3,0.1,65,4.6,114.0
Todd Gurley,ATL,RB,1,14,56,1,70.0,7,30.0,3,2,0,0.0,85.7,0.1,23,1.6,41.1
Raheem Mostert,SF,RB,1,15,56,0,33.3,2,66.7,4,3,2,13.3,80.0,0.0,14,0.9,25.0
Dalvin Cook,MIN,RB,1,12,50,2,60.0,3,40.0,2,1,3,25.0,91.7,0.2,26,2.2,52.0
Alexander Mattison,MIN,RB,1,6,50,0,50.0,1,50.0,1,1,2,33.3,83.3,0.0,19,3.2,38.0
Latavius Murray,NO,RB,1,15,48,0,100.0,9,0.0,0,2,2,13.3,86.7,0.0,33,2.2,68.8
Joe Burrow,CIN,QB,1,8,46,1,66.7,4,33.3,2,1,0,0.0,87.5,0.1,13,1.6,28.3
Lamar Jackson,BAL,QB,1,7,45,0,0.0,0,100.0,4,2,2,28.6,71.4,0.0,16,2.3,35.6
Tarik Cohen,CHI,RB,1,7,41,0,50.0,1,50.0,1,0,0,0.0,100.0,0.0,14,2.0,34.1
Myles Gaskin,MIA,RB,1,9,40,0,100.0,8,0.0,0,2,1,11.1,77.8,0.0,32,3.6,80.0
Cam Akers,LAR,RB,1,14,39,0,83.3,5,16.7,1,2,4,28.6,85.7,0.0,22,1.6,56.4
Tyler Ervin,GB,RB,1,3,38,0,0.0,0,100.0,3,0,0,0.0,100.0,0.0,7,2.3,18.4
Sony Michel,NE,RB,1,10,37,1,100.0,4,0.0,0,0,0,0.0,100.0,0.1,20,2.0,54.1
Antonio Gibson,WAS,RB,1,9,36,0,57.1,4,42.9,3,2,1,11.1,77.8,0.0,14,1.6,38.9
Boston Scott,PHI,RB,1,9,35,0,57.1,4,42.9,3,2,2,22.2,77.8,0.0,27,3.0,77.1
Kirk Cousins,MIN,QB,1,4,34,0,0.0,0,100.0,1,0,0,0.0,100.0,0.0,3,0.8,8.8
Rex Burkhead,NE,RB,1,7,32,0,83.3,5,16.7,1,2,0,0.0,71.4,0.0,9,1.3,28.1
Dak Prescott,DAL,QB,1,3,30,0,100.0,1,0.0,0,0,1,33.3,100.0,0.0,12,4.0,40.0
Devin Singletary,BUF,RB,1,9,30,0,100.0,8,0.0,0,3,2,22.2,66.7,0.0,26,2.9,86.7
Russell Wilson,SEA,QB,1,3,29,0,66.7,2,33.3,1,1,0,0.0,66.7,0.0,1,0.3,3.4
Mark Ingram,BAL,RB,1,10,29,0,100.0,4,0.0,0,2,0,0.0,80.0,0.0,16,1.6,55.2
Peyton Barber,WAS,RB,1,17,29,2,86.7,13,13.3,2,5,0,0.0,70.6,0.1,13,0.8,44.8
Devontae Booker,LV,RB,1,4,29,0,0.0,0,100.0,1,0,1,25.0,100.0,0.0,9,2.3,31.0
J.J. Taylor,NE,RB,1,4,28,0,100.0,3,0.0,0,0,0,0.0,100.0,0.0,15,3.8,53.6
Nyheim Hines,IND,RB,1,7,28,1,71.4,5,28.6,2,1,1,14.3,85.7,0.1,18,2.6,64.3
Deshaun Watson,HOU,QB,1,6,27,1,20.0,1,80.0,4,1,2,33.3,83.3,0.2,11,1.8,40.7
Chase Edmonds,ARI,RB,1,6,26,0,50.0,2,50.0,2,1,1,16.7,83.3,0.0,4,0.7,15.4
Marlon Mack,IND,RB,1,4,26,0,100.0,2,0.0,0,1,0,0.0,75.0,0.0,8,2.0,30.8
Mitchell Trubisky,CHI,QB,1,3,26,0,66.7,2,33.3,1,1,1,33.3,66.7,0.0,27,9.0,103.8
Teddy Bridgewater,CAR,QB,1,4,26,0,66.7,2,33.3,1,0,1,25.0,100.0,0.0,21,5.3,80.8
Frank Gore,NYJ,RB,1,6,24,0,100.0,4,0.0,0,0,0,0.0,100.0,0.0,14,2.3,58.3
