,,,,Rushing,,,Rush Location,,,,,,,,,After Contact,,
Phillip Lindsay,DEN,RB,1,7,24,0,100.0,3,0.0,0,1,0,0.0,85.7,0.0,11,1.6,45.8
Jerick McKinnon,SF,RB,1,3,24,0,50.0,1,50.0,1,0,1,33.3,100.0,0.0,7,2.3,29.2
Matthew Stafford,DET,QB,1,5,23,0,66.7,2,33.3,1,0,0,0.0,100.0,0.0,3,0.6,13.0
Julian Edelman,NE,WR,1,1,23,0,0.0,0,100.0,1,0,0,0.0,100.0,0.0,0,0.0,0.0
Carlos Hyde,SEA,RB,1,7,23,1,75.0,3,25.0,1,0,1,14.3,100.0,0.1,14,2.0,60.9
Darrel Williams,KC,RB,1,7,23,0,66.7,4,33.3,2,0,0,0.0,100.0,0.0,9,1.3,39.1
Daniel Jones,NYG,QB,1,4,22,0,33.3,1,66.7,2,1,1,25.0,75.0,0.0,11,2.8,50.0
J.K. Dobbins,BAL,RB,1,7,22,2,33.3,1,66.7,2,2,0,0.0,71.4,0.3,7,1.0,31.8
Jonathan Taylor,IND,RB,1,9,22,0,83.3,5,16.7,1,3,0,0.0,66.7,0.0,6,0.7,27.3
James White,NE,RB,1,5,22,0,40.0,2,60.0,3,0,1,20.0,100.0,0.0,17,3.4,77.3
Matt Breida,MIA,RB,1,5,22,0,100.0,2,0.0,0,1,0,0.0,80.0,0.0,10,2.0,45.5
Jamaal Williams,GB,RB,1,7,21,0,75.0,3,25.0,1,0,0,0.0,100.0,0.0,11,1.6,52.4
Chris Carson,SEA,RB,1,6,21,0,100.0,3,0.0,0,1,1,16.7,83.3,0.0,17,2.8,81.0
Allen Lazard,GB,WR,1,1,19,0,0.0,0,100.0,1,0,0,0.0,100.0,0.0,3,3.0,15.8
Gardner Minshew,JAX,QB,1,5,19,0,25.0,1,75.0,3,1,0,0.0,80.0,0.0,5,1.0,26.3
Cordarrelle Patterson,CHI,WR,1,4,19,0,0.0,0,100.0,3,1,0,0.0,75.0,0.0,11,2.8,57.9
Corey Clement,PHI,RB,1,6,19,0,100.0,5,0.0,0,0,0,0.0,100.0,0.0,10,1.7,52.6
Tevin Coleman,SF,RB,1,4,18,0,100.0,1,0.0,0,1,1,25.0,75.0,0.0,6,1.5,33.3
Ryan Fitzpatrick,MIA,QB,1,5,18,0,80.0,4,20.0,1,1,0,0.0,80.0,0.0,7,1.4,38.9
Gus Edwards,BAL,RB,1,4,17,0,100.0,3,0.0,0,1,0,0.0,75.0,0.0,15,3.8,88.2
Dwayne Haskins,WAS,QB,1,7,17,0,42.9,3,57.1,4,4,0,0.0,42.9,0.0,0,0.0,0.0
Alvin Kamara,NO,RB,1,12,16,1,33.3,2,66.7,4,4,2,16.7,66.7,0.1,15,1.3,93.8
Jared Goff,LAR,QB,1,4,15,0,25.0,1,75.0,3,1,0,0.0,75.0,0.0,0,0.0,0.0
Duke Johnson,HOU,RB,1,5,14,0,50.0,2,50.0,2,0,0,0.0,100.0,0.0,9,1.8,64.3
Ryan Tannehill,TEN,QB,1,3,14,0,100.0,2,0.0,0,1,0,0.0,66.7,0.0,3,1.0,21.4
Robert Woods,LAR,WR,1,1,14,0,0.0,0,100.0,1,0,0,0.0,100.0,0.0,5,5.0,35.7
Le'Veon Bell,NYJ,RB,1,6,14,0,100.0,3,0.0,0,2,0,0.0,66.7,0.0,13,2.2,92.9
AJ Dillon,GB,RB,1,2,14,0,0.0,0,100.0,1,0,1,50.0,100.0,0.0,5,2.5,35.7
Kerryon Johnson,DET,RB,1,7,14,0,100.0,1,0.0,0,2,0,0.0,71.4,0.0,7,1.0,50.0
Taysom Hill,NO,QB,1,3,13,0,0.0,0,100.0,3,1,0,0.0,66.7,0.0,2,0.7,15.4
Brian Hill,ATL,RB,1,3,12,0,50.0,1,50.0,1,1,0,0.0,66.7,0.0,3,1.0,25.0
David Moore,SEA,WR,1,1,12,0,0.0,0,100.0,1,0,2,200.0,100.0,0.0,8,8.0,66.7
Henry Ruggs,LV,WR,1,2,11,0,0.0,0,100.0,2,0,0,0.0,100.0,0.0,3,1.5,27.3
Zack Moss,BUF,RB,1,9,11,0,100.0,3,0.0,0,4,3,33.3,55.6,0.0,17,1.9,154.5
Laviska Shenault,JAX,WR,1,2,10,0,0.0,0,0.0,0,0,0,0.0,100.0,0.0,5,2.5,50.0
Tony Pollard,DAL,RB,1,2,10,0,100.0,1,0.0,0,0,0,0.0,100.0,0.0,7,3.5,70.0
Parris Campbell,IND,WR,1,1,9,0,0.0,0,100.0,1,0,0,0.0,100.0,0.0,0,0.0,0.0
Deonte Harris,NO,WR,1,1,9,0,0.0,0,100.0,1,0,1,100.0,100.0,0.0,13,13.0,144.4
Jimmy Garoppolo,SF,QB,1,1,9,0,0.0,0,0.0,0,0,0,0.0,100.0,0.0,1,1.0,11.1
Tom Brady,TB,QB,1,3,9,1,100.0,3,0.0,0,0,1,33.3,100.0,0.3,10,3.3,111.1
Ben Roethlisberger,PIT,QB,1,3,9,0,100.0,2,0.0,0,2,0,0.0,33.3,0.0,11,3.7,122.2
James Conner,PIT,RB,1,6,9,0,33.3,1,66.7,2,1,1,16.7,83.3,0.0,10,1.7,111.1
George Kittle,SF,TE,1,1,9,0,0.0,0,100.0,1,0,0,0.0,100.0,0.0,10,10.0,111.1
D'Andre Swift,DET,RB,1,3,8,1,0.0,0,0.0,0,0,0,0.0,100.0,0.3,4,1.3,50.0
Josh Adams,NYJ,RB,1,2,8,1,100.0,2,0.0,0,0,0,0.0,100.0,0.5,1,0.5,12.5
Chase Claypool,PIT,WR,1,1,8,0,0.0,0,100.0,1,0,0,0.0,100.0,0.0,0,0.0,0.0
Jordan Howard,MIA,RB,1,8,7,1,100.0,4,0.0,0,2,0,0.0,75.0,0.1,9,1.1,128.6
Tyrod Taylor,LAC,QB,1,6,7,0,50.0,3,50.0,3,3,0,0.0,50.0,0.0,8,1.3,114.3
Giovani Bernard,CIN,RB,1,1,7,0,100.0,1,0.0,0,0,0,0.0,100.0,0.0,5,5.0,71.4
Kyle Juszczyk,SF,FB,1,1,7,0,100.0,1,0.0,0,0,0,0.0,100.0,0.0,6,6.0,85.7
Darrell Henderson,LAR,RB,1,3,6,0,66.7,2,33.3,1,1,0,0.0,66.7,0.0,3,1.0,50.0
Scotty Miller,TB,WR,1,1,6,0,0.0,0,100.0,1,0,0,0.0,100.0,0.0,2,2.0,33.3
Sam Darnold,NYJ,QB,1,1,6,0,0.0,0,0.0,0,0,0,0.0,100.0,0.0,0,0.0,0.0
Saquon Barkley,NYG,RB,1,15,6,0,45.5,5,54.5,6,8,1,6.7,46.7,0.0,17,1.1,283.3
Drew Lock,DEN,QB,1,3,5,0,50.0,1,50.0,1,1,0,0.0,66.7,0.0,2,0.7,40.0
Curtis Samuel,CAR,WR,1,1,5,0,0.0,0,100.0,1,0,1,100.0,100.0,0.0,5,5.0,100.0
Leonard Fournette,TB,RB,1,5,5,0,33.3,1,66.7,2,3,1,20.0,40.0,0.0,7,1.4,140.0
D'Ernest Johnson,CLE,RB,1,1,5,0,0.0,0,0.0,0,0,1,100.0,100.0,0.0,3,3.0,60.0
Ito Smith,ATL,RB,1,1,4,0,0.0,0,0.0,0,0,0,0.0,100.0,0.0,3,3.0,75.0
Justin Jackson,LAC,RB,1,2,4,0,0.0,0,100.0,1,0,0,0.0,100.0,0.0,1,0.5,25.0
Philip Rivers,IND,QB,1,1,3,0,100.0,1,0.0,0,0,0,0.0,100.0,0.0,0,0.0,0.0
Baker Mayfield,CLE,QB,1,2,3,0,100.0,1,0.0,0,1,1,50.0,50.0,0.0,9,4.5,300.0
Chris Streveler,ARI,QB,1,1,3,0,100.0,1,0.0,0,0,0,0.0,100.0,0.0,1,1.0,33.3
Sammy Watkins,KC,WR,1,1,3,0,0.0,0,100.0,1,0,0,0.0,100.0,0.0,2,2.0,66.7
Carson Wentz,PHI,QB,1,1,2,0,100.0,1,0.0,0,0,0,0.0,100.0,0.0,0,0.0,0.0
Sharrod Neasman,ATL,S,1,1,2,0,100.0,1,0.0,0,0,0,0.0,100.0,0.0,0,0.0,0.0
Aaron Rodgers,GB,QB,1,1,2,0,100.0,1,0.0,0,0,0,0.0,100.0,0.0,2,2.0,100.0
Anthony Sherman,KC,FB,1,1,2,0,100.0,1,0.0,0,0,0,0.0,100.0,0.0,2,2.0,100.0
Jaylen Samuels,PIT,RB,1,1,2,0,0.0,0,0.0,0,0,0,0.0,100.0,0.0,2,2.0,100.0
Jason Huntley,PHI,RB,1,1,1,0,0.0,0,100.0,1,0,1,100.0,100.0,0.0,6,6.0,600.0
Alex Armah,CAR,FB,1,2,1,0,100.0,2,0.0,0,1,0,0.0,50.0,0.0,1,0.5,100.0
Dion Lewis,NYG,RB,1,1,1,0,100.0,1,0.0,0,0,1,100.0,100.0,0.0,5,5.0,500.0
Drew Brees,NO,QB,1,2,0,0,50.0,1,50.0,1,1,0,0.0,50.0,0.0,1,0.5,0.0
Royce Freeman,DEN,RB,1,1,0,0,100.0,1,0.0,0,1,0,0.0,0.0,0.0,2,2.0,0.0
Calvin Ridley,ATL,WR,1,1,-1,0,0.0,0,100.0,1,1,0,0.0,0.0,0.0,0,0.0,0.0
Travis Homer,SEA,RB,1,3,-1,0,33.3,1,66.7,2,2,0,0.0,33.3,0.0,3,1.0,-300.0
Matt Ryan,ATL,QB,1,1,-1,0,0.0,0,0.0,0,1,0,0.0,0.0,0.0,0,0.0,0.0
Robert Griffin,BAL,QB,1,1,-1,0,100.0,1,0.0,0,1,0,0.0,0.0,0.0,0,0.0,0.0
Patrick Ricard,BAL,FB,1,1,-1,0,100.0,1,0.0,0,1,0,0.0,0.0,0.0,0,0.0,0.0
Allen Robinson,CHI,WR,1,1,-1,0,0.0,0,100.0,1,1,0,0.0,0.0,0.0,0,0.0,0.0
J.D. McKissic,WAS,RB,1,3,-2,0,0.0,0,100.0,1,2,0,0.0,33.3,0.0,1,0.3,-50.0
Tim Boyle,GB,QB,1,2,-2,0,100.0,2,0.0,0,2,0,0.0,0.0,0.0,0,0.0,0.0
Jamie Gillan,CLE,P,1,1,-2,0,0.0,0,100.0,1,1,0,0.0,0.0,0.0,1,1.0,-50.0
Ty Montgomery,NO,RB,1,1,-4,0,100.0,1,0.0,0,1,0,0.0,0.0,0.0,0,0.0,0.0
