,,,,Rushing,,,,,,,Big Rushing Games,,,Fumbles,
Name,Team,Pos,G,ATT,YDS,AVG,YDS/G,TD,20+,40+,100+,150+,200+,TOT,LOST
Cordarrelle Patterson,CHI,WR,1,4,19,4.8,19.0,0,0,0,0,0,0,0,0
Corey Clement,PHI,RB,1,6,19,3.2,19.0,0,0,0,0,0,0,0,0
Tevin Coleman,SF,RB,1,4,18,4.5,18.0,0,0,0,0,0,0,0,0
Ryan Fitzpatrick,MIA,QB,1,5,18,3.6,18.0,0,0,0,0,0,0,1,0
Gus Edwards,BAL,RB,1,4,17,4.3,17.0,0,0,0,0,0,0,0,0
Dwayne Haskins,WAS,QB,1,7,17,2.4,17.0,0,0,0,0,0,0,1,0
Alvin Kamara,NO,RB,1,12,16,1.3,16.0,1,0,0,0,0,0,0,0
Jared Goff,LAR,QB,1,4,15,3.8,15.0,0,0,0,0,0,0,0,0
Duke Johnson,HOU,RB,1,5,14,2.8,14.0,0,0,0,0,0,0,0,0
Ryan Tannehill,TEN,QB,1,3,14,4.7,14.0,0,0,0,0,0,0,0,0
Robert Woods,LAR,WR,1,1,14,14.0,14.0,0,0,0,0,0,0,0,0
Le'Veon Bell,NYJ,RB,1,6,14,2.3,14.0,0,0,0,0,0,0,0,0
AJ Dillon,GB,RB,1,2,14,7.0,14.0,0,0,0,0,0,0,0,0
Kerryon Johnson,DET,RB,1,7,14,2.0,14.0,0,0,0,0,0,0,0,0
Taysom Hill,NO,QB,1,3,13,4.3,13.0,0,0,0,0,0,0,0,0
Brian Hill,ATL,RB,1,3,12,4.0,12.0,0,0,0,0,0,0,0,0
David Moore,SEA,WR,1,1,12,12.0,12.0,0,0,0,0,0,0,0,0
Henry Ruggs,LV,WR,1,2,11,5.5,11.0,0,0,0,0,0,0,0,0
Zack Moss,BUF,RB,1,9,11,1.2,11.0,0,0,0,0,0,0,0,0
Laviska Shenault,JAX,WR,1,2,10,5.0,10.0,0,0,0,0,0,0,0,0
Tony Pollard,DAL,RB,1,2,10,5.0,10.0,0,0,0,0,0,0,0,0
Parris Campbell,IND,WR,1,1,9,9.0,9.0,0,0,0,0,0,0,0,0
Deonte Harris,NO,WR,1,1,9,9.0,9.0,0,0,0,0,0,0,0,0
Jimmy Garoppolo,SF,QB,1,1,9,9.0,9.0,0,0,0,0,0,0,0,0
Tom Brady,TB,QB,1,3,9,3.0,9.0,1,0,0,0,0,0,1,0
Ben Roethlisberger,PIT,QB,1,3,9,3.0,9.0,0,0,0,0,0,0,1,0
James Conner,PIT,RB,1,6,9,1.5,9.0,0,0,0,0,0,0,0,0
George Kittle,SF,TE,1,1,9,9.0,9.0,0,0,0,0,0,0,0,0
D'Andre Swift,DET,RB,1,3,8,2.7,8.0,1,0,0,0,0,0,0,0
Josh Adams,NYJ,RB,1,2,8,4.0,8.0,1,0,0,0,0,0,0,0
Chase Claypool,PIT,WR,1,1,8,8.0,8.0,0,0,0,0,0,0,0,0
Jordan Howard,MIA,RB,1,8,7,0.9,7.0,1,0,0,0,0,0,0,0
Tyrod Taylor,LAC,QB,1,6,7,1.2,7.0,0,0,0,0,0,0,0,0
Giovani Bernard,CIN,RB,1,1,7,7.0,7.0,0,0,0,0,0,0,0,0
Kyle Juszczyk,SF,FB,1,1,7,7.0,7.0,0,0,0,0,0,0,0,0
Darrell Henderson,LAR,RB,1,3,6,2.0,6.0,0,0,0,0,0,0,0,0
Scotty Miller,TB,WR,1,1,6,6.0,6.0,0,0,0,0,0,0,0,0
Sam Darnold,NYJ,QB,1,1,6,6.0,6.0,0,0,0,0,0,0,0,0
Saquon Barkley,NYG,RB,1,15,6,0.4,6.0,0,0,0,0,0,0,0,0
Drew Lock,DEN,QB,1,3,5,1.7,5.0,0,0,0,0,0,0,2,0
Curtis Samuel,CAR,WR,1,1,5,5.0,5.0,0,0,0,0,0,0,0,0
Leonard Fournette,TB,RB,1,5,5,1.0,5.0,0,0,0,0,0,0,0,0
D'Ernest Johnson,CLE,RB,1,1,5,5.0,5.0,0,0,0,0,0,0,0,0
Ito Smith,ATL,RB,1,1,4,4.0,4.0,0,0,0,0,0,0,0,0
Justin Jackson,LAC,RB,1,2,4,2.0,4.0,0,0,0,0,0,0,0,0
Philip Rivers,IND,QB,1,1,3,3.0,3.0,0,0,0,0,0,0,0,0
Baker Mayfield,CLE,QB,1,2,3,1.5,3.0,0,0,0,0,0,0,0,0
Chris Streveler,ARI,QB,1,1,3,3.0,3.0,0,0,0,0,0,0,0,0
