,,,,Fantasy,Passing,,,,,Rushing,,,Receiving,,,,Fumbles,
Name,Team,Pos,G,Pts,COMP,ATT,YDS,TD,INT,ATT,YDS,TD,REC,TAR,YDS,TD,TOT,LOST
Dak Prescott,DAL,QB,1,42.3,41,58,502,4,1,2,12,0,0,0,0,0,1,1
Tom Brady,TB,QB,1,38.2,30,46,369,5,1,3,-3,0,0,0,0,0,0,0
Russell Wilson,SEA,QB,1,26.5,24,34,360,2,1,4,5,0,0,0,0,0,0,0
Gardner Minshew,JAX,QB,1,26.5,27,40,351,2,1,2,9,0,0,0,0,0,0,0
Aaron Rodgers,GB,QB,1,32.9,27,33,327,4,0,1,5,0,0,0,0,0,0,0
Ryan Fitzpatrick,MIA,QB,1,26.5,29,45,315,0,2,6,47,1,0,0,0,0,0,0
Dwayne Haskins,WAS,QB,1,22.0,32,45,314,0,0,3,3,1,0,0,0,0,0,0
Derek Carr,LV,QB,1,25.6,32,44,311,2,0,4,20,0,0,0,0,0,1,1
Joe Burrow,CIN,QB,1,20.1,25,36,300,1,1,4,11,0,0,0,0,0,0,0
Deshaun Watson,HOU,QB,1,23.9,20,33,300,2,0,5,9,0,0,0,0,0,2,0
Justin Herbert,LAC,QB,1,27.9,20,25,290,3,1,5,14,0,0,0,0,0,0,0
Josh Allen,BUF,QB,1,28.3,24,34,288,2,0,3,-1,1,0,0,0,0,0,0
Matt Ryan,ATL,QB,1,15.3,28,39,285,0,0,2,10,0,0,0,0,0,0,0
Teddy Bridgewater,CAR,QB,1,31.0,26,37,276,2,1,6,32,1,0,0,0,0,0,0
Kirk Cousins,MIN,QB,1,17.5,16,22,260,1,0,4,5,0,0,0,0,0,0,0
Nick Foles,CHI,QB,1,16.4,26,42,249,1,1,2,-1,0,0,0,0,0,0,0
Drew Brees,NO,QB,1,20.0,19,25,246,2,1,3,-3,0,0,0,0,0,0,0
Brett Rypien,DEN,QB,1,19.6,19,31,242,2,3,5,-5,0,0,0,0,0,0,0
Patrick Mahomes,KC,QB,1,22.6,19,29,236,2,0,8,28,0,0,0,0,0,0,0
Sam Darnold,NYJ,QB,1,25.9,23,42,230,0,0,6,84,1,0,0,0,0,0,0
Matthew Stafford,DET,QB,1,24.4,17,31,206,3,1,3,21,0,0,0,0,0,0,0
Nick Mullens,SF,QB,1,14.0,18,26,200,1,2,0,0,0,0,0,0,0,1,1
Jared Goff,LAR,QB,1,13.7,25,32,200,1,0,3,-3,0,0,0,0,0,0,0
Carson Wentz,PHI,QB,1,23.4,18,28,193,1,1,7,37,1,0,0,0,0,1,0
Lamar Jackson,BAL,QB,1,29.0,14,21,193,2,1,7,53,1,0,0,0,0,0,0
Daniel Jones,NYG,QB,1,14.0,23,36,190,0,1,6,45,0,0,0,0,0,1,0
Philip Rivers,IND,QB,1,13.1,16,29,190,1,0,3,-4,0,0,0,0,0,0,0
Baker Mayfield,CLE,QB,1,16.9,19,30,165,2,0,3,6,0,0,0,0,0,0,0
C.J. Beathard,SF,QB,1,6.9,14,19,138,0,0,0,0,0,0,0,0,0,0,0
Kyler Murray,ARI,QB,1,26.5,24,31,133,3,0,6,78,0,0,0,0,0,1,1
Brian Hoyer,NE,QB,1,7.3,15,24,130,0,1,1,8,0,0,0,0,0,1,1
Jarrett Stidham,NE,QB,1,7.3,5,13,60,1,2,2,3,0,0,0,0,0,0,0
Jarvis Landry,CLE,WR,1,10.7,1,1,37,1,0,0,0,0,5,6,48,0,0,0
Joe Flacco,NYJ,QB,1,0.8,2,2,16,0,0,0,0,0,0,0,0,0,0,0
Sam Koch,BAL,P,1,0.8,1,1,15,0,0,0,0,0,0,0,0,0,0,0
Robert Griffin,BAL,QB,1,0.3,0,1,0,0,1,3,3,0,0,0,0,0,0,0
