,,,,Passing,,,,,,Red Zone Passes,,
Name,Team,Pos,G,QBR,COMP,ATT,YDS,TD,INT,In20,In10,In5
Dak Prescott,DAL,QB,1,112.9,41,58,502,4,1,7,4,3
Tom Brady,TB,QB,1,117.0,30,46,369,5,1,8,7,2
Russell Wilson,SEA,QB,1,112.4,24,34,360,2,1,8,6,1
Gardner Minshew,JAX,QB,1,101.1,27,40,351,2,1,7,3,3
Aaron Rodgers,GB,QB,1,152.0,27,33,327,4,0,5,3,1
Ryan Fitzpatrick,MIA,QB,1,66.4,29,45,315,0,2,4,1,0
Dwayne Haskins,WAS,QB,1,90.4,32,45,314,0,0,1,0,0
Derek Carr,LV,QB,1,107.3,32,44,311,2,0,10,4,2
Deshaun Watson,HOU,QB,1,110.7,20,33,300,2,0,6,5,1
Joe Burrow,CIN,QB,1,92.4,25,36,300,1,1,5,3,1
Justin Herbert,LAC,QB,1,140.4,20,25,290,3,1,1,0,0
Josh Allen,BUF,QB,1,115.8,24,34,288,2,0,5,0,0
Matt Ryan,ATL,QB,1,92.4,28,39,285,0,0,4,1,1
Teddy Bridgewater,CAR,QB,1,98.5,26,37,276,2,1,6,4,3
Kirk Cousins,MIN,QB,1,127.1,16,22,260,1,0,3,1,0
Nick Foles,CHI,QB,1,76.4,26,42,249,1,1,3,1,0
Drew Brees,NO,QB,1,116.4,19,25,246,2,1,4,2,2
Brett Rypien,DEN,QB,1,66.9,19,31,242,2,3,5,1,0
Patrick Mahomes,KC,QB,1,113.6,19,29,236,2,0,6,5,1
Sam Darnold,NYJ,QB,1,70.5,23,42,230,0,0,5,1,0
Matthew Stafford,DET,QB,1,94.3,17,31,206,3,1,7,2,1
Nick Mullens,SF,QB,1,72.6,18,26,200,1,2,3,2,1
Jared Goff,LAR,QB,1,103.6,25,32,200,1,0,3,0,0
Lamar Jackson,BAL,QB,1,107.8,14,21,193,2,1,0,0,0
Carson Wentz,PHI,QB,1,81.4,18,28,193,1,1,2,0,0
Daniel Jones,NYG,QB,1,65.7,23,36,190,0,1,7,2,0
Philip Rivers,IND,QB,1,86.9,16,29,190,1,0,6,2,2
Baker Mayfield,CLE,QB,1,100.0,19,30,165,2,0,4,2,2
C.J. Beathard,SF,QB,1,93.8,14,19,138,0,0,3,2,2
Kyler Murray,ARI,QB,1,116.7,24,31,133,3,0,7,3,3
Brian Hoyer,NE,QB,1,59.4,15,24,130,0,1,1,1,0
Jarrett Stidham,NE,QB,1,14.9,5,13,60,1,2,2,2,2
Jarvis Landry,CLE,WR,1,572.9,1,1,37,1,0,0,0,0
Joe Flacco,NYJ,QB,1,118.8,2,2,16,0,0,0,0,0
Robert Griffin,BAL,QB,1,-414.6,0,1,0,0,1,0,0,0
