,,,,Passing,,,,,,,,,,Rushing,,
Name,Team,Pos,G,QBR,COMP,ATT,COMP%,YDS,YPA,TD,INT,SCK,FUM,ATT,YDS,TD
Dak Prescott,DAL,QB,1,112.9,41,58,0.0,502,8.0,4,1,3,1,2,12,0
Tom Brady,TB,QB,1,117.0,30,46,0.0,369,8.0,5,1,0,0,3,-3,0
Russell Wilson,SEA,QB,1,112.4,24,34,0.0,360,10.0,2,1,2,0,4,5,0
Gardner Minshew,JAX,QB,1,101.1,27,40,0.0,351,8.0,2,1,3,0,2,9,0
Aaron Rodgers,GB,QB,1,152.0,27,33,0.0,327,9.0,4,0,1,0,1,5,0
Ryan Fitzpatrick,MIA,QB,1,66.4,29,45,0.0,315,7.0,0,2,1,0,6,47,1
Dwayne Haskins,WAS,QB,1,90.4,32,45,0.0,314,6.0,0,0,3,0,3,3,1
Derek Carr,LV,QB,1,107.3,32,44,0.0,311,7.0,2,0,2,1,4,20,0
Joe Burrow,CIN,QB,1,92.4,25,36,0.0,300,8.0,1,1,1,0,4,11,0
Deshaun Watson,HOU,QB,1,110.7,20,33,0.0,300,9.0,2,0,3,2,5,9,0
Justin Herbert,LAC,QB,1,140.4,20,25,0.0,290,11.0,3,1,2,0,5,14,0
Josh Allen,BUF,QB,1,115.8,24,34,0.0,288,8.0,2,0,1,0,3,-1,1
Matt Ryan,ATL,QB,1,92.4,28,39,0.0,285,7.0,0,0,4,0,2,10,0
Teddy Bridgewater,CAR,QB,1,98.5,26,37,0.0,276,7.0,2,1,0,0,6,32,1
Kirk Cousins,MIN,QB,1,127.1,16,22,0.0,260,11.0,1,0,3,0,4,5,0
Nick Foles,CHI,QB,1,76.4,26,42,0.0,249,5.0,1,1,1,0,2,-1,0
Drew Brees,NO,QB,1,116.4,19,25,0.0,246,9.0,2,1,2,0,3,-3,0
Brett Rypien,DEN,QB,1,66.9,19,31,0.0,242,7.0,2,3,0,0,5,-5,0
Patrick Mahomes,KC,QB,1,113.6,19,29,0.0,236,8.0,2,0,1,0,8,28,0
Sam Darnold,NYJ,QB,1,70.5,23,42,0.0,230,5.0,0,0,6,0,6,84,1
Matthew Stafford,DET,QB,1,94.3,17,31,0.0,206,6.0,3,1,3,0,3,21,0
Nick Mullens,SF,QB,1,72.6,18,26,0.0,200,7.0,1,2,4,1,0,0,0
Jared Goff,LAR,QB,1,103.6,25,32,0.0,200,6.0,1,0,2,0,3,-3,0
Carson Wentz,PHI,QB,1,81.4,18,28,0.0,193,6.0,1,1,3,1,7,37,1
Lamar Jackson,BAL,QB,1,107.8,14,21,0.0,193,9.0,2,1,1,0,7,53,1
Daniel Jones,NYG,QB,1,65.7,23,36,0.0,190,5.0,0,1,5,1,6,45,0
Philip Rivers,IND,QB,1,86.9,16,29,0.0,190,6.0,1,0,1,0,3,-4,0
Baker Mayfield,CLE,QB,1,100.0,19,30,0.0,165,5.0,2,0,2,0,3,6,0
C.J. Beathard,SF,QB,1,93.8,14,19,0.0,138,7.0,0,0,1,0,0,0,0
Kyler Murray,ARI,QB,1,116.7,24,31,0.0,133,4.0,3,0,1,1,6,78,0
Brian Hoyer,NE,QB,1,59.4,15,24,0.0,130,5.0,0,1,2,1,1,8,0
Jarrett Stidham,NE,QB,1,14.9,5,13,0.0,60,4.0,1,2,0,0,2,3,0
Jarvis Landry,CLE,WR,1,572.9,1,1,100.0,37,37.0,1,0,0,0,0,0,0
Joe Flacco,NYJ,QB,1,118.8,2,2,100.0,16,8.0,0,0,0,0,0,0,0
Sam Koch,BAL,P,1,147.9,1,1,100.0,15,15.0,0,0,0,0,0,0,0
Robert Griffin,BAL,QB,1,-414.6,0,1,0.0,0,0.0,0,1,0,0,3,3,0
