,,,,Receiving,,,Air Yards (AY) / Depth of Target ,,,,,,Team %,,After Catch,,,PASS Int(PI),
Name,Team,Pos,G,TAR,REC,YDS,AY,aDOT,AY/Snap,Cmp AY,Catch %,Drop %,AY,TAR,YDS,AVG,%,Drawn,On
Dontrelle Inman,SD,WR,16,97,58,810,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Jordan Matthews,PHI,WR,14,117,73,804,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Delanie Walker,TEN,TE,15,102,65,800,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Steve Smith,BAL,WR,14,101,70,799,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Dez Bryant,DAL,WR,13,96,50,796,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Brandon Marshall,NYJ,WR,15,128,59,788,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Ted Ginn,CAR,WR,16,95,54,752,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
DeVante Parker,MIA,WR,15,87,56,744,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Dennis Pitta,BAL,TE,16,121,86,729,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Kenny Stills,MIA,WR,16,81,42,726,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Eric Ebron,DET,TE,13,85,61,711,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Martellus Bennett,NE,TE,16,73,55,701,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Jordan Reed,WAS,TE,12,89,66,686,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Sterling Shepard,NYG,WR,16,105,65,683,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Chris Hogan,NE,WR,15,58,38,680,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Travis Benjamin,SD,WR,14,75,47,677,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Jason Witten,DAL,TE,16,95,69,673,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Jeremy Kerley,SF,WR,16,115,64,667,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Cameron Brate,TB,TE,15,81,57,660,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Mohamed Sanu,ATL,WR,15,81,59,653,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Will Fuller,HOU,WR,14,92,47,635,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Coby Fleener,NO,TE,16,81,50,631,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Adam Humphries,TB,WR,15,83,55,622,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Le'Veon Bell,PIT,RB,12,94,75,616,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Robert Woods,BUF,WR,13,76,51,613,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Gary Barnidge,CLE,TE,16,82,55,612,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Randall Cobb,GB,WR,13,84,60,610,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Tyler Boyd,CIN,WR,16,81,54,603,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Tyler Lockett,SEA,WR,15,66,41,597,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Eli Rogers,PIT,WR,13,66,48,594,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Terrance Williams,DAL,WR,16,61,44,594,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Tyreek Hill,KC,WR,16,83,61,593,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Robby Anderson,NYJ,WR,16,78,42,587,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Victor Cruz,NYG,WR,15,72,39,586,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Anquan Boldin,DET,WR,16,95,67,584,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Jack Doyle,IND,TE,16,75,59,584,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Vernon Davis,WAS,TE,16,59,44,583,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
