,,,,Fantasy,Passing,,,,,Rushing,,,Receiving,,,,Fumbles,
Name,Team,Pos,G,Pts,COMP,ATT,YDS,TD,INT,ATT,YDS,TD,REC,TAR,YDS,TD,TOT,LOST
T.Y. Hilton,IND,WR,16,180.8,0,0,0,0,0,0,0,0,91,155,1448,6,0,0
Julio Jones,ATL,WR,14,176.9,0,0,0,0,0,0,0,0,83,129,1409,6,0,0
Odell Beckham,NYG,WR,16,197.6,0,0,0,0,0,1,9,0,101,169,1367,10,3,1
Mike Evans,TB,WR,16,204.1,0,0,0,0,0,0,0,0,96,173,1321,12,0,0
Antonio Brown,PIT,WR,15,201.3,0,0,0,0,0,3,9,0,106,154,1284,12,0,0
Jordy Nelson,GB,WR,16,209.7,0,0,0,0,0,0,0,0,97,152,1257,14,1,1
Brandin Cooks,NO,WR,16,168.3,0,0,0,0,0,6,30,0,78,117,1173,8,1,0
Amari Cooper,OAK,WR,16,145.3,0,0,0,0,0,1,0,0,83,132,1153,5,2,0
Michael Thomas,NO,WR,15,167.7,0,0,0,0,0,0,0,0,92,121,1137,9,2,2
Jarvis Landry,MIA,WR,16,139.3,0,1,0,0,0,5,17,0,94,131,1136,4,2,2
Doug Baldwin,SEA,WR,16,159.8,1,1,15,1,0,3,2,0,94,125,1128,7,1,0
Travis Kelce,KC,TE,16,136.0,0,0,0,0,0,1,-5,0,85,117,1125,4,0,0
Julian Edelman,NE,WR,16,134.3,0,0,0,0,0,12,57,0,98,159,1106,3,3,2
Demaryius Thomas,DEN,WR,16,138.3,0,0,0,0,0,0,0,0,90,144,1083,5,2,2
Golden Tate,DET,WR,16,132.1,0,0,0,0,0,10,4,0,91,135,1077,4,2,1
Greg Olsen,CAR,TE,16,125.3,0,0,0,0,0,0,0,0,80,129,1073,3,0,0
Tyrell Williams,SD,WR,16,147.9,0,0,0,0,0,0,0,0,69,119,1059,7,0,0
Pierre Garcon,WAS,WR,16,122.1,0,0,0,0,0,0,0,0,79,114,1041,3,0,0
Emmanuel Sanders,DEN,WR,16,133.6,0,0,0,0,0,1,4,0,79,137,1032,5,1,0
Larry Fitzgerald,ARI,WR,16,138.8,0,1,0,0,0,2,5,0,107,150,1023,6,2,1
Mike Wallace,BAL,WR,16,128.8,0,0,0,0,0,5,31,0,72,117,1017,4,1,0
Terrelle Pryor,CLE,WR,16,134.9,5,9,41,0,0,8,21,1,77,140,1007,4,1,0
DeSean Jackson,WAS,WR,15,124.5,0,0,0,0,0,0,0,0,56,100,1005,4,0,0
Michael Crabtree,OAK,WR,16,148.3,0,0,0,0,0,0,0,0,89,145,1003,8,2,0
Kenny Britt,LAR,WR,15,130.2,0,0,0,0,0,0,0,0,68,111,1002,5,2,1
Davante Adams,GB,WR,16,171.7,0,0,0,0,0,0,0,0,75,121,997,12,2,1
Adam Thielen,MIN,WR,16,128.2,0,0,0,0,0,2,15,0,69,92,967,5,2,1
A.J. Green,CIN,WR,10,120.4,0,0,0,0,0,0,0,0,66,100,964,4,0,0
DeAndre Hopkins,HOU,WR,16,119.4,0,0,0,0,0,0,0,0,78,151,954,4,0,0
Rishard Matthews,TEN,WR,16,148.5,0,0,0,0,0,0,0,0,65,108,945,9,1,1
Kelvin Benjamin,CAR,WR,16,136.1,0,0,0,0,0,0,0,0,63,118,941,7,1,1
Marvin Jones,DET,WR,15,117.3,0,0,0,0,0,1,3,0,55,103,930,4,0,0
Jimmy Graham,SEA,TE,16,128.3,0,0,0,0,0,1,0,0,65,95,923,6,2,2
Stefon Diggs,MIN,WR,13,109.3,0,0,0,0,0,3,10,0,84,112,903,3,0,0
Willie Snead,NO,WR,15,120.0,1,1,50,1,0,0,0,0,72,104,895,4,2,0
Cameron Meredith,CHI,WR,14,117.5,1,1,2,1,0,1,6,0,66,97,888,4,3,2
Allen Robinson,JAX,WR,16,124.3,0,0,0,0,0,0,0,0,73,151,883,6,1,0
David Johnson,ARI,RB,16,331.8,0,0,0,0,0,293,1239,16,80,120,879,4,5,3
Brandon LaFell,CIN,WR,16,122.0,0,0,0,0,0,1,-2,0,64,107,862,6,0,0
Quincy Enunwa,NYJ,WR,16,110.9,0,0,0,0,0,1,12,0,58,105,857,4,0,0
Marqise Lee,JAX,WR,16,111.6,1,1,20,1,0,6,35,0,63,105,851,3,1,1
Jamison Crowder,WAS,WR,16,126.5,0,0,0,0,0,2,-2,0,67,99,847,7,2,1
Kyle Rudolph,MIN,TE,16,126.0,0,0,0,0,0,0,0,0,83,132,840,7,0,0
Cole Beasley,DAL,WR,16,114.0,0,1,0,0,0,1,7,0,75,98,833,5,0,0
Alshon Jeffery,CHI,WR,12,94.1,0,0,0,0,0,0,0,0,52,94,821,2,0,0
Zach Ertz,PHI,TE,14,105.6,0,0,0,0,0,0,0,0,78,106,816,4,0,0
Dontrelle Inman,SD,WR,16,105.0,0,0,0,0,0,0,0,0,58,97,810,4,0,0
Jordan Matthews,PHI,WR,14,98.4,0,0,0,0,0,0,0,0,73,117,804,3,1,0
Delanie Walker,TEN,TE,15,123.1,0,0,0,0,0,2,11,0,65,102,800,7,1,0
Steve Smith,BAL,WR,14,109.9,0,0,0,0,0,0,0,0,70,101,799,5,0,0
Dez Bryant,DAL,WR,13,132.1,1,1,10,1,0,0,0,0,50,96,796,8,1,1
Brandon Marshall,NYJ,WR,15,96.8,0,0,0,0,0,0,0,0,59,128,788,3,0,0
Ted Ginn,CAR,WR,16,109.0,0,0,0,0,0,14,98,0,54,95,752,4,3,2
DeVante Parker,MIA,WR,15,98.4,0,0,0,0,0,0,0,0,56,87,744,4,0,0
Dennis Pitta,BAL,TE,16,84.9,0,0,0,0,0,0,0,0,86,121,729,2,1,1
Kenny Stills,MIA,WR,16,126.6,0,0,0,0,0,0,0,0,42,81,726,9,0,0
Eric Ebron,DET,TE,13,83.2,0,0,0,0,0,1,1,1,61,85,711,1,0,0
Martellus Bennett,NE,TE,16,113.1,0,0,0,0,0,2,10,0,55,73,701,7,0,0
Jordan Reed,WAS,TE,12,104.6,0,0,0,0,0,0,0,0,66,89,686,6,1,1
Sterling Shepard,NYG,WR,16,119.4,0,0,0,0,0,3,31,0,65,105,683,8,0,0
Chris Hogan,NE,WR,15,92.9,0,0,0,0,0,3,9,0,38,58,680,4,1,1
Travis Benjamin,SD,WR,14,91.4,0,1,0,0,0,2,-3,0,47,75,677,4,5,3
Jason Witten,DAL,TE,16,85.3,0,0,0,0,0,0,0,0,69,95,673,3,1,1
Jeremy Kerley,SF,WR,16,84.7,0,0,0,0,0,0,0,0,64,115,667,3,4,1
Cameron Brate,TB,TE,15,114.0,0,0,0,0,0,0,0,0,57,81,660,8,1,0
Mohamed Sanu,ATL,WR,15,89.8,0,0,0,0,0,1,5,0,59,81,653,4,1,1
Will Fuller,HOU,WR,14,75.2,0,0,0,0,0,1,-3,0,47,92,635,2,2,0
Coby Fleener,NO,TE,16,87.3,0,0,0,0,0,1,2,1,50,81,631,3,2,0
Adam Humphries,TB,WR,15,76.0,0,0,0,0,0,5,18,0,55,83,622,2,3,0
Le'Veon Bell,PIT,RB,12,242.4,0,1,0,0,0,261,1268,7,75,94,616,2,4,1
Robert Woods,BUF,WR,13,67.9,0,0,0,0,0,1,6,0,51,76,613,1,0,0
Gary Barnidge,CLE,TE,16,73.2,0,0,0,0,0,0,0,0,55,82,612,2,0,0
Randall Cobb,GB,WR,13,88.3,0,0,0,0,0,10,33,0,60,84,610,4,1,0
Tyler Boyd,CIN,WR,16,72.1,0,0,0,0,0,4,58,0,54,81,603,1,1,1
Tyler Lockett,SEA,WR,15,83.1,0,0,0,0,0,6,114,1,41,66,597,1,0,0
Eli Rogers,PIT,WR,13,78.0,0,0,0,0,0,1,6,0,48,66,594,3,2,0
Terrance Williams,DAL,WR,16,83.4,0,0,0,0,0,0,0,0,44,61,594,4,1,1
Tyreek Hill,KC,WR,16,140.0,0,0,0,0,0,24,267,3,61,83,593,6,4,1
Robby Anderson,NYJ,WR,16,74.9,0,0,0,0,0,3,42,0,42,78,587,2,1,1
Victor Cruz,NYG,WR,15,64.6,0,0,0,0,0,0,0,0,39,72,586,1,1,1
Anquan Boldin,DET,WR,16,106.4,0,0,0,0,0,0,0,0,67,95,584,8,0,0
Jack Doyle,IND,TE,16,88.4,0,0,0,0,0,0,0,0,59,75,584,5,1,1
Vernon Davis,WAS,TE,16,70.3,0,0,0,0,0,0,0,0,44,59,583,2,0,0
Taylor Gabriel,ATL,WR,13,105.0,0,0,0,0,0,4,51,1,35,50,579,6,0,0
J.J. Nelson,ARI,WR,15,107.1,0,0,0,0,0,4,83,1,34,74,568,6,1,1
Brian Quick,LAR,WR,16,74.4,0,0,0,0,0,0,0,0,41,77,564,3,0,0
C.J. Fiedorowicz,HOU,TE,15,79.9,0,0,0,0,0,0,0,0,54,89,559,4,1,0
Charles Clay,BUF,TE,15,79.2,0,0,0,0,0,0,0,0,57,87,552,4,0,0
James White,NE,RB,16,101.7,0,0,0,0,0,39,166,0,60,86,551,5,0,0
Antonio Gates,SD,TE,14,96.8,0,0,0,0,0,0,0,0,53,93,548,7,1,1
Rob Gronkowski,NE,TE,8,72.0,0,0,0,0,0,0,0,0,25,38,540,3,0,0
Jeremy Maclin,KC,WR,12,65.5,0,1,0,0,0,1,-1,0,44,76,536,2,0,0
Chris Conley,KC,WR,16,53.0,0,0,0,0,0,0,0,0,44,69,530,0,1,0
Phillip Dorsett,IND,WR,15,65.8,0,0,0,0,0,2,10,0,33,59,528,2,1,0
Tajae Sharpe,TEN,WR,16,64.3,0,0,0,0,0,1,1,0,41,83,522,2,0,0
John Brown,ARI,WR,15,64.7,0,0,0,0,0,1,10,0,39,72,517,2,1,0
Duke Johnson,CLE,RB,16,93.2,0,1,0,0,0,73,358,1,53,74,514,0,2,1
Jermaine Kearse,SEA,WR,16,57.0,0,0,0,0,0,0,0,0,41,89,510,1,0,0
Tavon Austin,LAR,WR,15,90.8,0,0,0,0,0,28,159,1,58,106,509,3,5,1
Lance Kendricks,LAR,TE,16,61.9,0,0,0,0,0,0,0,0,50,87,499,2,1,1
Breshad Perriman,BAL,WR,16,68.1,0,0,0,0,0,1,2,0,33,66,499,3,0,0
Michael Floyd,ARI/NE,WR,15,78.8,0,0,0,0,0,0,0,0,37,76,488,5,0,0
Zach Miller,CHI,TE,10,72.6,0,0,0,0,0,0,0,0,47,64,486,4,0,0
Hunter Henry,SD,TE,15,95.8,0,0,0,0,0,0,0,0,36,53,478,8,1,1
Allen Hurns,JAX,WR,11,65.7,0,0,0,0,0,0,0,0,35,76,477,3,1,0
Devonta Freeman,ATL,RB,16,232.1,0,0,0,0,0,227,1079,11,54,65,462,2,1,1
Cordarrelle Patterson,MIN,WR,16,61.6,0,0,0,0,0,7,43,0,52,70,453,2,2,0
Spencer Ware,KC,RB,14,166.8,0,0,0,0,0,214,921,3,33,42,447,2,4,3
Ryan Griffin,HOU,TE,16,56.2,0,0,0,0,0,0,0,0,50,74,442,2,1,1
Sammie Coates,PIT,WR,14,56.9,0,0,0,0,0,4,14,0,21,49,435,2,0,0
Marquise Goodwin,BUF,WR,15,61.1,0,0,0,0,0,0,0,0,29,68,431,3,0,0
Sammy Watkins,BUF,WR,8,55.0,0,0,0,0,0,0,0,0,28,52,430,2,0,0
Darren Sproles,PHI,RB,15,110.5,0,0,0,0,0,94,438,2,52,71,427,2,1,0
Tevin Coleman,ATL,RB,13,160.1,0,0,0,0,0,118,520,8,31,40,421,3,1,0
Melvin Gordon,SD,RB,13,213.6,0,0,0,0,0,254,997,10,41,57,419,2,2,2
Kendall Wright,TEN,WR,11,61.1,0,0,0,0,0,1,15,0,29,43,416,3,0,0
Corey Coleman,CLE,WR,10,60.3,0,0,0,0,0,2,10,0,33,73,413,3,0,0
Quinton Patton,SF,WR,14,40.8,0,0,0,0,0,0,0,0,37,63,408,0,1,0
Dwayne Allen,IND,TE,14,76.6,0,0,0,0,0,0,0,0,35,52,406,6,1,0
Malcolm Mitchell,NE,WR,14,64.1,0,0,0,0,0,0,0,0,32,48,401,4,0,0
Seth Roberts,OAK,WR,16,69.7,0,0,0,0,0,0,0,0,38,77,397,5,0,0
Will Tye,NYG,TE,16,45.5,0,0,0,0,0,0,0,0,48,70,395,1,0,0
Tyler Eifert,CIN,TE,8,69.4,0,0,0,0,0,0,0,0,29,47,394,5,0,0
Dorial Green-Beckham,PHI,WR,15,51.2,0,0,0,0,0,0,0,0,36,74,392,2,0,0
Vance McDonald,SF,TE,11,63.1,0,0,0,0,0,0,0,0,24,45,391,4,0,0
Jermaine Gresham,ARI,TE,16,51.1,0,0,0,0,0,0,0,0,37,61,391,2,1,0
Bilal Powell,NYJ,RB,16,141.0,0,0,0,0,0,131,722,3,58,75,388,2,1,1
DeMarco Murray,TEN,RB,16,242.9,1,2,10,1,0,293,1287,9,53,67,377,3,3,1
Jared Cook,GB,TE,10,43.7,0,0,0,0,0,0,0,0,30,51,377,1,1,1
Theo Riddick,DET,RB,10,108.8,0,0,0,0,0,92,357,1,53,67,371,5,0,0
Devin Funchess,CAR,WR,15,61.1,0,0,0,0,0,0,0,0,23,58,371,4,0,0
Eddie Royal,CHI,WR,9,48.9,0,0,0,0,0,0,0,0,33,43,369,2,2,0
Nelson Agholor,PHI,WR,15,49.9,0,0,0,0,0,5,14,0,36,69,365,2,1,0
Ezekiel Elliott,DAL,RB,15,295.4,0,0,0,0,0,322,1631,15,32,40,363,1,5,1
Clive Walford,OAK,TE,15,53.9,0,0,0,0,0,0,0,0,33,52,359,3,0,0
LeSean McCoy,BUF,RB,15,246.3,0,0,0,0,0,234,1267,13,50,57,356,1,3,0
Garrett Celek,SF,TE,16,53.0,0,0,0,0,0,0,0,0,29,50,350,3,2,1
Chris Thompson,WAS,RB,16,100.5,0,0,0,0,0,68,356,3,49,62,349,2,2,1
Ty Montgomery,GB,RB,15,98.5,0,0,0,0,0,77,457,3,44,56,348,0,2,1
Russell Shepard,TB,WR,14,47.0,0,0,0,0,0,1,9,0,23,40,341,2,0,0
Jesse James,PIT,TE,16,51.8,0,0,0,0,0,0,0,0,39,60,338,3,0,0
Giovani Bernard,CIN,RB,10,85.3,0,0,0,0,0,91,337,2,39,51,336,1,1,1
Kamar Aiken,BAL,WR,16,38.8,0,0,0,0,0,0,0,0,29,50,328,1,0,0
Trey Burton,PHI,TE,15,38.7,0,0,0,0,0,0,0,0,37,60,327,1,0,0
Todd Gurley,LAR,RB,16,157.2,0,0,0,0,0,278,885,6,43,58,327,0,2,1
Andrew Hawkins,CLE,WR,16,50.4,0,0,0,0,0,2,0,0,33,54,324,3,0,0
Aldrick Robinson,ATL,WR,16,44.3,0,0,0,0,0,0,0,0,20,32,323,2,0,0
