,,,,Receiving,,,,Red Zone Targets,,,
Name,Team,Pos,G,REC,YDS,TD,TAR,In20,In10,In5,%Tm
Trevor Davis,GB,WR,11,3,24,1,7,2,1,0,1.75
DeAndre Smelter,SF,WR,2,1,23,0,1,0,0,0,0.00
Luke Stocker,TB,TE,12,5,23,0,8,0,0,0,0.00
Denard Robinson,JAX,RB,13,3,22,0,5,1,0,0,1.37
Matthew Lengel,NE,TE,6,2,22,1,3,1,0,0,1.28
Mike James,TB,RB,4,4,22,0,4,0,0,0,0.00
Griff Whalen,SD,WR,8,2,22,0,4,1,1,1,1.09
Knile Davis,KC,RB,9,3,21,0,5,1,0,0,1.19
Blake Bortles,JAX,QB,16,1,20,1,1,1,0,0,1.37
Brandon Wilds,NYJ,RB,4,2,20,0,2,0,0,0,0.00
Keith Smith,DAL,FB,16,3,20,0,3,0,0,0,0.00
Devin Street,IND,WR,5,1,20,0,6,0,0,0,0.00
Devin Smith,NYJ,WR,4,1,20,0,3,1,0,0,1.39
Shane Wynn,JAX,WR,5,1,19,0,3,0,0,0,0.00
Clay Harbor,DET,TE,12,3,19,0,3,0,0,0,0.00
Tyler Ervin,HOU,RB,12,3,18,0,5,1,1,0,1.33
Cole Wick,DET,TE,6,2,18,0,3,0,0,0,0.00
James Develin,NE,FB,16,3,18,0,6,2,1,1,2.56
Darren McFadden,DAL,RB,3,3,17,0,5,0,0,0,0.00
Connor Hamlett,CLE,TE,3,1,17,1,1,1,0,0,1.75
Brenton Bersin,CAR,WR,10,2,17,0,6,2,0,0,2.94
J.D. McKissic,SEA,RB,1,2,16,0,2,0,0,0,0.00
Damiere Byrd,CAR,WR,1,1,16,0,1,0,0,0,0.00
Justin Forsett,DET,RB,2,2,15,0,3,0,0,0,0.00
Javorius Allen,BAL,RB,8,3,15,0,4,1,0,0,1.47
Brandon Bolden,NE,RB,14,2,15,0,4,0,0,0,0.00
Laquon Treadwell,MIN,WR,9,1,15,0,3,1,0,0,1.32
Ross Travis,KC,TE,6,3,15,0,6,2,1,1,2.38
Logan Paulsen,CHI,TE,16,3,15,0,10,1,0,0,1.35
Russell Wilson,SEA,QB,16,2,14,1,2,1,0,0,1.32
Jamaal Charles,KC,RB,3,2,14,0,3,1,1,1,1.19
Jalston Fowler,TEN,FB,16,1,14,0,2,1,0,0,1.43
Gerald Christian,BUF,TE,3,1,14,0,2,0,0,0,0.00
Dwayne Harris,NYG,WR,16,1,13,1,1,1,0,0,1.54
Ryan Hewitt,CIN,TE,16,2,13,0,3,0,0,0,0.00
Henry Krieger-Coble,DEN,TE,2,1,13,0,1,0,0,0,0.00
Je'Ron Hamm,SF,TE,5,2,13,0,4,1,0,0,1.96
Orleans Darkwa,NYG,RB,10,2,12,0,4,0,0,0,0.00
Jake Fisher,CIN,TE,15,1,12,0,1,0,0,0,0.00
Alfred Morris,DAL,RB,14,3,11,0,6,0,0,0,0.00
Cameron Artis-Payne,CAR,RB,3,1,11,0,1,0,0,0,0.00
Christine Michael,GB,RB,6,2,11,0,3,0,0,0,0.00
Terron Ward,ATL,RB,5,1,11,0,2,1,0,0,1.06
Daniel Lasco,NO,RB,7,2,11,0,4,0,0,0,0.00
Bralon Addison,CHI,WR,2,1,11,0,1,0,0,0,0.00
Jeremy Butler,SD,WR,4,2,11,0,2,1,0,0,1.09
Alex Ellis,JAX,TE,6,3,11,0,4,0,0,0,0.00
Anthony Sherman,KC,FB,16,4,11,0,6,1,0,0,1.19
Byron Marshall,PHI,RB,3,3,10,0,5,3,1,0,3.33
Chris Manhertz,CAR,TE,4,1,10,0,1,0,0,0,0.00
Lorenzo Taliaferro,BAL,FB,3,3,10,0,3,0,0,0,0.00
Derek Carrier,WAS,TE,8,2,10,0,2,0,0,0,0.00
Tony Washington,JAX,WR,2,1,9,0,1,0,0,0,0.00
Adrian Peterson,MIN,RB,3,3,8,0,6,0,0,0,0.00
Jared Abbrederis,GB,WR,5,1,8,0,2,0,0,0,0.00
Matthew Mulligan,DET,TE,8,1,8,0,1,0,0,0,0.00
Rashad Ross,WAS,WR,5,1,8,0,1,0,0,0,0.00
Carson Wentz,PHI,QB,16,1,7,0,1,0,0,0,0.00
C.J. Spiller,NYJ,RB,4,1,7,0,4,0,0,0,0.00
MyCole Pruitt,MIN,TE,2,1,7,0,1,0,0,0,0.00
Kerwynn Williams,ARI,RB,10,1,6,0,2,1,0,0,1.23
Isaiah Pead,MIA,RB,3,1,6,0,1,0,0,0,0.00
Percy Harvin,BUF,WR,2,2,6,0,4,0,0,0,0.00
Jay Prosch,HOU,FB,15,1,6,0,1,0,0,0,0.00
MyCole Pruitt,CHI,TE,2,1,6,0,1,0,0,0,0.00
Paul McRoberts,LAR,WR,2,1,6,0,1,0,0,0,0.00
Sam Bradford,MIN,QB,15,1,5,0,1,0,0,0,0.00
Terrell Watson,PHI,RB,1,1,5,0,1,0,0,0,0.00
Troymaine Pope,SEA,RB,3,1,5,0,2,0,0,0,0.00
Roosevelt Nix,PIT,FB,10,2,5,0,2,0,0,0,0.00
Knile Davis,GB,RB,2,2,4,0,2,0,0,0,0.00
George Farmer,SEA,RB,2,1,4,0,3,1,0,0,1.32
David Morgan,MIN,TE,12,1,4,0,1,0,0,0,0.00
Chase Reynolds,LAR,RB,16,1,4,0,1,0,0,0,0.00
Rod Smith,DAL,RB,7,1,4,0,1,0,0,0,0.00
Randall Telfer,CLE,TE,14,2,4,0,7,1,1,1,1.75
Alex Smith,KC,QB,15,1,3,0,1,0,0,0,0.00
Jimmy Garoppolo,NE,QB,6,1,3,0,1,0,0,0,0.00
Paul Lasike,CHI,FB,10,1,3,0,1,1,1,0,1.35
Jordan Payton,CLE,WR,4,1,3,0,3,0,0,0,0.00
Joe Webb,CAR,WR,14,1,3,0,3,2,0,0,2.94
Marcus Murphy,NO,RB,3,1,3,0,1,1,0,0,0.93
Matt Barkley,CHI,QB,7,1,2,1,1,1,1,1,1.35
D.J. Foster,NE,RB,3,1,2,0,2,0,0,0,0.00
Marcus Mariota,TEN,QB,15,0,0,0,1,0,0,0,0.00
Chris Johnson,ARI,RB,4,0,0,0,1,0,0,0,0.00
Jonathan Williams,BUF,RB,11,1,0,0,2,0,0,0,0.00
Andre Williams,SD,RB,1,0,0,0,2,0,0,0,0.00
Juwan Thompson,DEN,RB,8,0,0,0,1,0,0,0,0.00
Michael Campanaro,BAL,WR,3,0,0,0,1,0,0,0,0.00
Jordan Todman,IND,RB,16,0,0,0,1,0,0,0,0.00
Don Jackson,GB,RB,3,0,0,0,1,0,0,0,0.00
Zach Line,MIN,FB,15,0,0,0,3,3,3,2,3.95
Cedric Peerman,CIN,RB,6,0,0,0,1,0,0,0,0.00
Bronson Hill,JAX,RB,3,0,0,0,1,0,0,0,0.00
Matthew Slater,NE,WR,13,0,0,0,1,0,0,0,0.00
Will Tukuafu,SEA,FB,7,0,0,0,1,1,1,1,1.32
Jakeem Grant,MIA,WR,16,0,0,0,1,0,0,0,0.00
Isaac Fruechte,MIN,WR,1,0,0,0,1,0,0,0,0.00
Braedon Bowman,NYJ,TE,3,0,0,0,1,0,0,0,0.00
Kellen Davis,NYJ,TE,8,0,0,0,1,0,0,0,0.00
Kasen Williams,SEA,WR,1,0,0,0,1,0,0,0,0.00
Geremy Davis,SD,WR,3,0,0,0,2,1,1,1,1.09
Isaiah Burse,SD,WR,9,0,0,0,4,1,0,0,1.09
Dezmin Lewis,BUF,WR,1,0,0,0,1,0,0,0,0.00
Daniel Braverman,CHI,WR,3,0,0,0,2,0,0,0,0.00
Hakeem Valles,ARI,TE,11,0,0,0,2,1,1,1,1.23
Troy Niklas,ARI,TE,3,1,0,0,2,0,0,0,0.00
Kalif Raymond,DEN,WR,4,0,0,0,2,0,0,0,0.00
Michael Burton,DET,FB,15,0,0,0,1,0,0,0,0.00
Khari Lee,DET,TE,8,0,0,0,1,0,0,0,0.00
James O'Shaughnessy,KC,TE,16,2,-1,0,3,0,0,0,0.00
Mack Brown,WAS,RB,9,1,-2,0,1,0,0,0,0.00
Joique Bell,DET,RB,3,1,-2,0,1,0,0,0,0.00
Brock Osweiler,HOU,QB,15,1,-14,0,1,1,1,1,1.33
Blaine Gabbert,SF,QB,6,1,-16,0,1,0,0,0,0.00
