,,,,Receiving,,,,Red Zone Targets,,,
Name,Team,Pos,G,REC,YDS,TD,TAR,In20,In10,In5,%Tm
James White,NE,RB,16,60,551,5,86,9,4,1,11.54
Antonio Gates,SD,TE,14,53,548,7,93,22,7,5,23.91
Rob Gronkowski,NE,TE,8,25,540,3,38,6,4,2,7.69
Jeremy Maclin,KC,WR,12,44,536,2,76,11,1,0,13.10
Chris Conley,KC,WR,16,44,530,0,69,14,4,1,16.67
Phillip Dorsett,IND,WR,15,33,528,2,59,7,4,2,10.00
Tajae Sharpe,TEN,WR,16,41,522,2,83,5,2,0,7.14
John Brown,ARI,WR,15,39,517,2,72,6,3,1,7.41
Duke Johnson,CLE,RB,16,53,514,0,74,7,3,2,12.28
Jermaine Kearse,SEA,WR,16,41,510,1,89,15,10,5,19.74
Tavon Austin,LAR,WR,15,58,509,3,106,10,3,0,18.18
Breshad Perriman,BAL,WR,16,33,499,3,66,4,0,0,5.88
Lance Kendricks,LAR,TE,16,50,499,2,87,6,4,2,10.91
Zach Miller,CHI,TE,10,47,486,4,64,8,5,2,10.81
Hunter Henry,SD,TE,15,36,478,8,53,17,8,3,18.48
Allen Hurns,JAX,WR,11,35,477,3,76,13,3,2,17.81
Devonta Freeman,ATL,RB,16,54,462,2,65,17,7,2,18.09
Cordarrelle Patterson,MIN,WR,16,52,453,2,70,8,3,1,10.53
Spencer Ware,KC,RB,14,33,447,2,42,3,2,2,3.57
Michael Floyd,ARI,WR,13,33,446,4,70,13,7,4,16.05
Ryan Griffin,HOU,TE,16,50,442,2,74,8,3,1,10.67
Sammie Coates,PIT,WR,14,21,435,2,49,5,2,2,7.25
Marquise Goodwin,BUF,WR,15,29,431,3,68,4,2,0,7.55
Sammy Watkins,BUF,WR,8,28,430,2,52,4,1,0,7.55
Darren Sproles,PHI,RB,15,52,427,2,71,13,2,1,14.44
Tevin Coleman,ATL,RB,13,31,421,3,40,12,4,1,12.77
Melvin Gordon,SD,RB,13,41,419,2,57,8,2,2,8.70
Kendall Wright,TEN,WR,11,29,416,3,43,3,2,1,4.29
Corey Coleman,CLE,WR,10,33,413,3,73,4,1,0,7.02
Quinton Patton,SF,WR,14,37,408,0,63,4,3,0,7.84
Dwayne Allen,IND,TE,14,35,406,6,52,9,5,3,12.86
Malcolm Mitchell,NE,WR,14,32,401,4,48,12,4,2,15.38
Seth Roberts,OAK,WR,16,38,397,5,77,21,9,4,23.33
Will Tye,NYG,TE,16,48,395,1,70,7,3,1,10.77
Tyler Eifert,CIN,TE,8,29,394,5,47,11,6,5,16.42
Dorial Green-Beckham,PHI,WR,15,36,392,2,74,12,2,2,13.33
Vance McDonald,SF,TE,11,24,391,4,45,6,2,0,11.76
Jermaine Gresham,ARI,TE,16,37,391,2,61,7,3,2,8.64
Bilal Powell,NYJ,RB,16,58,388,2,75,12,3,2,16.67
DeMarco Murray,TEN,RB,16,53,377,3,67,18,7,3,25.71
Jared Cook,GB,TE,10,30,377,1,51,10,2,0,8.77
Theo Riddick,DET,RB,10,53,371,5,67,15,6,3,17.44
Devin Funchess,CAR,WR,15,23,371,4,58,14,3,0,20.59
Eddie Royal,CHI,WR,9,33,369,2,43,6,2,1,8.11
Nelson Agholor,PHI,WR,15,36,365,2,69,14,3,0,15.56
Ezekiel Elliott,DAL,RB,15,32,363,1,40,3,2,1,5.00
Clive Walford,OAK,TE,15,33,359,3,52,9,6,4,10.00
LeSean McCoy,BUF,RB,15,50,356,1,57,7,3,0,13.21
Garrett Celek,SF,TE,16,29,350,3,50,5,2,1,9.80
Chris Thompson,WAS,RB,16,49,349,2,62,8,2,2,9.88
Ty Montgomery,GB,RB,15,44,348,0,56,12,4,3,10.53
Russell Shepard,TB,WR,14,23,341,2,40,7,3,1,9.86
Jesse James,PIT,TE,16,39,338,3,60,13,8,1,18.84
Giovani Bernard,CIN,RB,10,39,336,1,51,6,2,0,8.96
Kamar Aiken,BAL,WR,16,29,328,1,50,4,2,2,5.88
Todd Gurley,LAR,RB,16,43,327,0,58,10,0,0,18.18
Trey Burton,PHI,TE,15,37,327,1,60,8,3,2,8.89
Andrew Hawkins,CLE,WR,16,33,324,3,54,11,5,3,19.30
Aldrick Robinson,ATL,WR,16,20,323,2,32,3,1,1,3.19
Mark Ingram,NO,RB,16,46,319,4,58,12,5,5,11.11
Isaiah Crowell,CLE,RB,16,40,319,0,53,6,3,0,10.53
T.J. Yeldon,JAX,RB,15,50,312,1,68,8,2,0,10.96
Donte Moncrief,IND,WR,9,30,307,7,56,10,6,5,14.29
Ladarius Green,PIT,TE,6,18,304,1,34,6,1,1,8.70
Jordan Howard,CHI,RB,15,29,298,1,50,8,2,0,10.81
Erik Swoope,IND,TE,16,15,297,1,22,1,0,0,1.43
Paul Richardson,SEA,WR,15,21,288,1,36,4,3,2,5.26
Josh Bellamy,CHI,WR,16,19,282,1,38,3,2,0,4.05
Travaris Cadet,NO,RB,15,40,281,4,54,10,8,3,9.26
Julius Thomas,JAX,TE,9,30,281,4,51,7,4,1,9.59
Brandon Coleman,NO,WR,16,26,281,3,38,9,6,1,8.33
Albert Wilson,KC,WR,16,31,279,2,51,7,4,2,8.33
Frank Gore,IND,RB,16,38,277,4,47,6,4,2,8.57
Corey Brown,CAR,WR,16,27,276,1,53,8,3,1,11.76
Chester Rogers,IND,WR,14,19,273,0,34,5,4,3,7.14
Austin Hooper,ATL,TE,14,19,271,3,27,5,3,2,5.32
Richard Rodgers,GB,TE,16,30,271,2,47,6,3,2,5.26
Torrey Smith,SF,WR,12,20,267,3,49,5,4,1,9.80
Kyle Juszczyk,BAL,FB,16,37,266,0,49,6,3,2,8.82
Devontae Booker,DEN,RB,16,31,265,1,45,6,1,0,8.22
Latavius Murray,OAK,RB,14,33,264,0,43,5,2,0,5.56
Levine Toilolo,ATL,TE,16,13,264,2,19,1,0,0,1.06
Matt Forte,NYJ,RB,14,30,263,1,43,4,1,1,5.56
Matt Asiata,MIN,RB,16,32,263,0,38,3,1,0,3.95
Shaun Draughn,SF,RB,16,29,263,2,39,4,1,0,7.84
Dion Sims,MIA,TE,14,26,256,4,35,7,5,3,13.21
Jerick McKinnon,MIN,RB,15,43,255,2,53,6,2,1,7.89
Damien Williams,MIA,RB,15,23,249,3,32,7,3,1,13.21
Deonte Thompson,CHI,WR,16,22,249,2,36,6,5,1,8.11
Danny Amendola,NE,WR,12,23,243,4,29,8,3,1,10.26
Virgil Green,DEN,TE,12,22,237,1,37,4,3,2,5.48
