,,,,Receiving,,,,,,,,,Big Receiving Games,,,Fumbles,
Name,Team,Pos,G,REC,YDS,YPC,YDS/G,TD,TAR,YPT,20+,40+,100+,150+,200+,TOT,LOST
T.Y. Hilton,IND,WR,16,91,1448,15.9,90.5,6,155,9.3,28,2,6,2,0,0,0
Julio Jones,ATL,WR,14,83,1409,17.0,100.6,6,129,10.9,27,5,7,2,1,0,0
Odell Beckham,NYG,WR,16,101,1367,13.5,85.4,10,169,8.1,20,6,4,2,1,3,1
Mike Evans,TB,WR,16,96,1321,13.8,82.6,12,173,7.6,15,1,4,1,0,0,0
Antonio Brown,PIT,WR,15,106,1284,12.1,85.6,12,154,8.3,22,3,4,1,0,0,0
Jordy Nelson,GB,WR,16,97,1257,13.0,78.6,14,152,8.3,19,4,5,1,0,1,1
Brandin Cooks,NO,WR,16,78,1173,15.0,73.3,8,117,10.0,15,6,3,2,0,1,0
Amari Cooper,OAK,WR,16,83,1153,13.9,72.1,5,132,8.7,21,2,4,1,0,2,0
Michael Thomas,NO,WR,15,92,1137,12.4,75.8,9,121,9.4,18,1,3,1,0,2,2
Jarvis Landry,MIA,WR,16,94,1136,12.1,71.0,4,131,8.7,16,3,4,0,0,2,2
Doug Baldwin,SEA,WR,16,94,1128,12.0,70.5,7,125,9.0,16,5,3,2,0,1,0
Travis Kelce,KC,TE,16,85,1125,13.2,70.3,4,117,9.6,15,3,6,1,0,0,0
Julian Edelman,NE,WR,16,98,1106,11.3,69.1,3,159,7.0,11,1,2,1,0,3,2
Demaryius Thomas,DEN,WR,16,90,1083,12.0,67.7,5,144,7.5,10,3,2,0,0,2,2
Golden Tate,DET,WR,16,91,1077,11.8,67.3,4,135,8.0,13,4,3,1,0,2,1
Greg Olsen,CAR,TE,16,80,1073,13.4,67.1,3,129,8.3,14,1,2,1,0,0,0
Tyrell Williams,SD,WR,16,69,1059,15.3,66.2,7,119,8.9,20,6,3,0,0,0,0
Pierre Garcon,WAS,WR,16,79,1041,13.2,65.1,3,114,9.1,15,3,1,0,0,0,0
Emmanuel Sanders,DEN,WR,16,79,1032,13.1,64.5,5,137,7.5,12,2,3,1,0,1,0
Larry Fitzgerald,ARI,WR,16,107,1023,9.6,63.9,6,150,6.8,8,0,1,0,0,2,1
Mike Wallace,BAL,WR,16,72,1017,14.1,63.6,4,117,8.7,10,5,2,0,0,1,0
Terrelle Pryor,CLE,WR,16,77,1007,13.1,62.9,4,140,7.2,11,4,3,0,0,1,0
DeSean Jackson,WAS,WR,15,56,1005,17.9,67.0,4,100,10.1,19,5,5,0,0,0,0
Michael Crabtree,OAK,WR,16,89,1003,11.3,62.7,8,145,6.9,10,3,3,0,0,2,0
Kenny Britt,LAR,WR,15,68,1002,14.7,66.8,5,111,9.0,15,4,2,0,0,2,1
Davante Adams,GB,WR,16,75,997,13.3,62.3,12,121,8.2,17,4,4,1,0,2,1
Adam Thielen,MIN,WR,16,69,967,14.0,60.4,5,92,10.5,16,2,3,1,1,2,1
A.J. Green,CIN,WR,10,66,964,14.6,96.4,4,100,9.6,15,6,4,3,0,0,0
DeAndre Hopkins,HOU,WR,16,78,954,12.2,59.6,4,151,6.3,10,2,2,0,0,0,0
Rishard Matthews,TEN,WR,16,65,945,14.5,59.1,9,108,8.8,16,4,3,0,0,1,1
Kelvin Benjamin,CAR,WR,16,63,941,14.9,58.8,7,118,8.0,10,3,1,0,0,1,1
Marvin Jones,DET,WR,15,55,930,16.9,62.0,4,103,9.0,16,4,2,1,1,0,0
Jimmy Graham,SEA,TE,16,65,923,14.2,57.7,6,95,9.7,10,2,3,0,0,2,2
Stefon Diggs,MIN,WR,13,84,903,10.8,69.5,3,112,8.1,10,3,3,2,0,0,0
Willie Snead,NO,WR,15,72,895,12.4,59.7,4,104,8.6,12,2,1,1,0,2,0
Cameron Meredith,CHI,WR,14,66,888,13.5,63.4,4,97,9.2,13,1,4,0,0,3,2
Allen Robinson,JAX,WR,16,73,883,12.1,55.2,6,151,5.8,11,1,2,0,0,1,0
David Johnson,ARI,RB,16,80,879,11.0,54.9,4,120,7.3,13,1,1,0,0,5,3
Brandon LaFell,CIN,WR,16,64,862,13.5,53.9,6,107,8.1,11,4,1,0,0,0,0
Quincy Enunwa,NYJ,WR,16,58,857,14.8,53.6,4,105,8.2,14,4,1,0,0,0,0
Marqise Lee,JAX,WR,16,63,851,13.5,53.2,3,105,8.1,13,1,2,0,0,1,1
Jamison Crowder,WAS,WR,16,67,847,12.6,52.9,7,99,8.6,11,3,3,0,0,2,1
Kyle Rudolph,MIN,TE,16,83,840,10.1,52.5,7,132,6.4,11,1,1,0,0,0,0
Cole Beasley,DAL,WR,16,75,833,11.1,52.1,5,98,8.5,6,1,0,0,0,0,0
Alshon Jeffery,CHI,WR,12,52,821,15.8,68.4,2,94,8.7,12,2,1,0,0,0,0
Zach Ertz,PHI,TE,14,78,816,10.5,58.3,4,106,7.7,9,0,2,0,0,0,0
Dontrelle Inman,SD,WR,16,58,810,14.0,50.6,4,97,8.4,10,2,2,0,0,0,0
Jordan Matthews,PHI,WR,14,73,804,11.0,57.4,3,117,6.9,13,1,1,0,0,1,0
Delanie Walker,TEN,TE,15,65,800,12.3,53.3,7,102,7.8,13,2,1,0,0,1,0
Steve Smith,BAL,WR,14,70,799,11.4,57.1,5,101,7.9,12,2,1,0,0,0,0
Dez Bryant,DAL,WR,13,50,796,15.9,61.2,8,96,8.3,10,3,3,0,0,1,1
Brandon Marshall,NYJ,WR,15,59,788,13.4,52.5,3,128,6.2,10,1,2,0,0,0,0
Ted Ginn,CAR,WR,16,54,752,13.9,47.0,4,95,7.9,9,4,1,0,0,3,2
DeVante Parker,MIA,WR,15,56,744,13.3,49.6,4,87,8.6,9,4,2,0,0,0,0
Dennis Pitta,BAL,TE,16,86,729,8.5,45.6,2,121,6.0,4,0,1,0,0,1,1
Kenny Stills,MIA,WR,16,42,726,17.3,45.4,9,81,9.0,10,4,1,0,0,0,0
Eric Ebron,DET,TE,13,61,711,11.7,54.7,1,85,8.4,9,1,0,0,0,0,0
Martellus Bennett,NE,TE,16,55,701,12.7,43.8,7,73,9.6,10,1,3,0,0,0,0
Jordan Reed,WAS,TE,12,66,686,10.4,57.2,6,89,7.7,9,0,0,0,0,1,1
Sterling Shepard,NYG,WR,16,65,683,10.5,42.7,8,105,6.5,6,0,1,0,0,0,0
Chris Hogan,NE,WR,15,38,680,17.9,45.3,4,58,11.7,11,4,2,0,0,1,1
Travis Benjamin,SD,WR,14,47,677,14.4,48.4,4,75,9.0,10,6,2,0,0,5,3
Jason Witten,DAL,TE,16,69,673,9.8,42.1,3,95,7.1,7,0,1,0,0,1,1
Jeremy Kerley,SF,WR,16,64,667,10.4,41.7,3,115,5.8,8,0,1,0,0,4,1
Cameron Brate,TB,TE,15,57,660,11.6,44.0,8,81,8.1,5,0,0,0,0,1,0
Mohamed Sanu,ATL,WR,15,59,653,11.1,43.5,4,81,8.1,6,1,0,0,0,1,1
Will Fuller,HOU,WR,14,47,635,13.5,45.4,2,92,6.9,11,1,2,0,0,2,0
Coby Fleener,NO,TE,16,50,631,12.6,39.4,3,81,7.8,12,1,1,0,0,2,0
Adam Humphries,TB,WR,15,55,622,11.3,41.5,2,83,7.5,7,2,1,0,0,3,0
Le'Veon Bell,PIT,RB,12,75,616,8.2,51.3,2,94,6.6,4,0,0,0,0,4,1
Robert Woods,BUF,WR,13,51,613,12.0,47.2,1,76,8.1,10,0,1,1,0,0,0
Gary Barnidge,CLE,TE,16,55,612,11.1,38.3,2,82,7.5,7,1,0,0,0,0,0
Randall Cobb,GB,WR,13,60,610,10.2,46.9,4,84,7.3,7,1,1,0,0,1,0
Tyler Boyd,CIN,WR,16,54,603,11.2,37.7,1,81,7.4,9,0,0,0,0,1,1
Tyler Lockett,SEA,WR,15,41,597,14.6,39.8,1,66,9.0,9,3,1,0,0,0,0
Eli Rogers,PIT,WR,13,48,594,12.4,45.7,3,66,9.0,11,0,1,0,0,2,0
Terrance Williams,DAL,WR,16,44,594,13.5,37.1,4,61,9.7,6,2,0,0,0,1,1
Tyreek Hill,KC,WR,16,61,593,9.7,37.1,6,83,7.1,8,2,0,0,0,4,1
Robby Anderson,NYJ,WR,16,42,587,14.0,36.7,2,78,7.5,10,4,0,0,0,1,1
Victor Cruz,NYG,WR,15,39,586,15.0,39.1,1,72,8.1,10,3,0,0,0,1,1
Anquan Boldin,DET,WR,16,67,584,8.7,36.5,8,95,6.1,5,0,0,0,0,0,0
Jack Doyle,IND,TE,16,59,584,9.9,36.5,5,75,7.8,5,0,0,0,0,1,1
Vernon Davis,WAS,TE,16,44,583,13.3,36.4,2,59,9.9,11,1,0,0,0,0,0
Taylor Gabriel,ATL,WR,13,35,579,16.5,44.5,6,50,11.6,8,3,0,0,0,0,0
J.J. Nelson,ARI,WR,15,34,568,16.7,37.9,6,74,7.7,9,4,1,0,0,1,1
Brian Quick,LAR,WR,16,41,564,13.8,35.3,3,77,7.3,7,3,0,0,0,0,0
C.J. Fiedorowicz,HOU,TE,15,54,559,10.4,37.3,4,89,6.3,5,0,0,0,0,1,0
Charles Clay,BUF,TE,15,57,552,9.7,36.8,4,87,6.3,4,1,0,0,0,0,0
James White,NE,RB,16,60,551,9.2,34.4,5,86,6.4,5,1,0,0,0,0,0
Antonio Gates,SD,TE,14,53,548,10.3,39.1,7,93,5.9,5,0,0,0,0,1,1
Rob Gronkowski,NE,TE,8,25,540,21.6,67.5,3,38,14.2,12,1,3,1,0,0,0
Jeremy Maclin,KC,WR,12,44,536,12.2,44.7,2,76,7.1,6,1,0,0,0,0,0
Chris Conley,KC,WR,16,44,530,12.0,33.1,0,69,7.7,4,0,0,0,0,1,0
Phillip Dorsett,IND,WR,15,33,528,16.0,35.2,2,59,8.9,8,4,0,0,0,1,0
Tajae Sharpe,TEN,WR,16,41,522,12.7,32.6,2,83,6.3,7,0,0,0,0,0,0
John Brown,ARI,WR,15,39,517,13.3,34.5,2,72,7.2,5,0,1,0,0,1,0
Duke Johnson,CLE,RB,16,53,514,9.7,32.1,0,74,6.9,8,0,0,0,0,2,1
Jermaine Kearse,SEA,WR,16,41,510,12.4,31.9,1,89,5.7,7,0,0,0,0,0,0
Tavon Austin,LAR,WR,15,58,509,8.8,33.9,3,106,4.8,6,1,0,0,0,5,1
Lance Kendricks,LAR,TE,16,50,499,10.0,31.2,2,87,5.7,7,1,0,0,0,1,1
Breshad Perriman,BAL,WR,16,33,499,15.1,31.2,3,66,7.6,8,3,0,0,0,0,0
Michael Floyd,ARI/NE,WR,15,37,488,13.2,32.5,5,76,6.4,4,0,2,0,0,0,0
Zach Miller,CHI,TE,10,47,486,10.3,48.6,4,64,7.6,5,0,0,0,0,0,0
Hunter Henry,SD,TE,15,36,478,13.3,31.9,8,53,9.0,7,1,0,0,0,1,1
Allen Hurns,JAX,WR,11,35,477,13.6,43.4,3,76,6.3,9,1,0,0,0,1,0
Devonta Freeman,ATL,RB,16,54,462,8.6,28.9,2,65,7.1,3,0,0,0,0,1,1
Cordarrelle Patterson,MIN,WR,16,52,453,8.7,28.3,2,70,6.5,4,0,0,0,0,2,0
Spencer Ware,KC,RB,14,33,447,13.5,31.9,2,42,10.6,8,2,1,0,0,4,3
Ryan Griffin,HOU,TE,16,50,442,8.8,27.6,2,74,6.0,4,1,0,0,0,1,1
Sammie Coates,PIT,WR,14,21,435,20.7,31.1,2,49,8.9,7,6,1,0,0,0,0
Marquise Goodwin,BUF,WR,15,29,431,14.9,28.7,3,68,6.3,3,2,1,0,0,0,0
Sammy Watkins,BUF,WR,8,28,430,15.4,53.8,2,52,8.3,4,2,1,1,0,0,0
Darren Sproles,PHI,RB,15,52,427,8.2,28.5,2,71,6.0,2,2,1,0,0,1,0
Tevin Coleman,ATL,RB,13,31,421,13.6,32.4,3,40,10.5,8,3,1,0,0,1,0
Melvin Gordon,SD,RB,13,41,419,10.2,32.2,2,57,7.4,4,0,0,0,0,2,2
Kendall Wright,TEN,WR,11,29,416,14.3,37.8,3,43,9.7,6,2,1,0,0,0,0
Corey Coleman,CLE,WR,10,33,413,12.5,41.3,3,73,5.7,4,2,1,0,0,0,0
Quinton Patton,SF,WR,14,37,408,11.0,29.1,0,63,6.5,4,1,1,0,0,1,0
Dwayne Allen,IND,TE,14,35,406,11.6,29.0,6,52,7.8,4,0,0,0,0,1,0
Malcolm Mitchell,NE,WR,14,32,401,12.5,28.6,4,48,8.4,6,1,0,0,0,0,0
Seth Roberts,OAK,WR,16,38,397,10.4,24.8,5,77,5.2,5,1,0,0,0,0,0
Will Tye,NYG,TE,16,48,395,8.2,24.7,1,70,5.6,3,0,0,0,0,0,0
Tyler Eifert,CIN,TE,8,29,394,13.6,49.3,5,47,8.4,6,1,1,0,0,0,0
Dorial Green-Beckham,PHI,WR,15,36,392,10.9,26.1,2,74,5.3,5,0,0,0,0,0,0
Vance McDonald,SF,TE,11,24,391,16.3,35.5,4,45,8.7,6,2,0,0,0,0,0
Jermaine Gresham,ARI,TE,16,37,391,10.6,24.4,2,61,6.4,4,0,0,0,0,1,0
Bilal Powell,NYJ,RB,16,58,388,6.7,24.3,2,75,5.2,1,0,0,0,0,1,1
DeMarco Murray,TEN,RB,16,53,377,7.1,23.6,3,67,5.6,2,0,0,0,0,3,1
Jared Cook,GB,TE,10,30,377,12.6,37.7,1,51,7.4,6,1,1,0,0,1,1
Theo Riddick,DET,RB,10,53,371,7.0,37.1,5,67,5.5,2,0,0,0,0,0,0
Devin Funchess,CAR,WR,15,23,371,16.1,24.7,4,58,6.4,8,1,0,0,0,0,0
Eddie Royal,CHI,WR,9,33,369,11.2,41.0,2,43,8.6,3,1,1,0,0,2,0
Nelson Agholor,PHI,WR,15,36,365,10.1,24.3,2,69,5.3,3,1,0,0,0,1,0
Ezekiel Elliott,DAL,RB,15,32,363,11.3,24.2,1,40,9.1,3,1,0,0,0,5,1
Clive Walford,OAK,TE,15,33,359,10.9,23.9,3,52,6.9,3,0,0,0,0,0,0
LeSean McCoy,BUF,RB,15,50,356,7.1,23.7,1,57,6.2,2,1,0,0,0,3,0
Garrett Celek,SF,TE,16,29,350,12.1,21.9,3,50,7.0,4,0,0,0,0,2,1
Chris Thompson,WAS,RB,16,49,349,7.1,21.8,2,62,5.6,2,0,0,0,0,2,1
Ty Montgomery,GB,RB,15,44,348,7.9,23.2,0,56,6.2,1,0,0,0,0,2,1
Russell Shepard,TB,WR,14,23,341,14.8,24.4,2,40,8.5,5,0,0,0,0,0,0
Jesse James,PIT,TE,16,39,338,8.7,21.1,3,60,5.6,2,0,0,0,0,0,0
Giovani Bernard,CIN,RB,10,39,336,8.6,33.6,1,51,6.6,3,0,1,0,0,1,1
Kamar Aiken,BAL,WR,16,29,328,11.3,20.5,1,50,6.6,3,0,0,0,0,0,0
Trey Burton,PHI,TE,15,37,327,8.8,21.8,1,60,5.5,1,0,0,0,0,0,0
Todd Gurley,LAR,RB,16,43,327,7.6,20.4,0,58,5.6,5,0,0,0,0,2,1
Andrew Hawkins,CLE,WR,16,33,324,9.8,20.3,3,54,6.0,5,0,0,0,0,0,0
Aldrick Robinson,ATL,WR,16,20,323,16.2,20.2,2,32,10.1,6,1,1,0,0,0,0
Mark Ingram,NO,RB,16,46,319,6.9,19.9,4,58,5.5,4,0,0,0,0,2,2
Isaiah Crowell,CLE,RB,16,40,319,8.0,19.9,0,53,6.0,2,1,0,0,0,2,2
T.J. Yeldon,JAX,RB,15,50,312,6.2,20.8,1,68,4.6,0,0,0,0,0,2,1
Donte Moncrief,IND,WR,9,30,307,10.2,34.1,7,56,5.5,3,0,0,0,0,0,0
Ladarius Green,PIT,TE,6,18,304,16.9,50.7,1,34,8.9,7,0,1,0,0,0,0
Jordan Howard,CHI,RB,15,29,298,10.3,19.9,1,50,6.0,4,0,0,0,0,2,1
Erik Swoope,IND,TE,16,15,297,19.8,18.6,1,22,13.5,6,1,0,0,0,0,0
Paul Richardson,SEA,WR,15,21,288,13.7,19.2,1,36,8.0,3,0,0,0,0,0,0
Josh Bellamy,CHI,WR,16,19,282,14.8,17.6,1,38,7.4,6,0,0,0,0,0,0
Travaris Cadet,NO,RB,15,40,281,7.0,18.7,4,54,5.2,2,0,0,0,0,0,0
Brandon Coleman,NO,WR,16,26,281,10.8,17.6,3,38,7.4,2,0,0,0,0,0,0
Julius Thomas,JAX,TE,9,30,281,9.4,31.2,4,51,5.5,3,0,0,0,0,0,0
Albert Wilson,KC,WR,16,31,279,9.0,17.4,2,51,5.5,4,1,0,0,0,0,0
Frank Gore,IND,RB,16,38,277,7.3,17.3,4,47,5.9,1,1,0,0,0,2,1
Corey Brown,CAR,WR,16,27,276,10.2,17.3,1,53,5.2,1,0,0,0,0,1,1
Chester Rogers,IND,WR,14,19,273,14.4,19.5,0,34,8.0,6,0,0,0,0,2,0
Austin Hooper,ATL,TE,14,19,271,14.3,19.4,3,27,10.0,4,2,0,0,0,0,0
Richard Rodgers,GB,TE,16,30,271,9.0,16.9,2,47,5.8,2,0,0,0,0,0,0
Torrey Smith,SF,WR,12,20,267,13.4,22.3,3,49,5.4,4,1,0,0,0,0,0
Kyle Juszczyk,BAL,FB,16,37,266,7.2,16.6,0,49,5.4,1,1,0,0,0,0,0
