,,,,Pass Defense Stats,,,,,,,,,,
Name,Team,Pos,G,DEF SNAPS,Depth Chart,QB Rating Against,Comp,Att,Comp %,Yards,TD,INT,PassDef,INT Drops
Fabian Moreau,WAS,CB,1,31,#2 RCB,0.0,0,4,0.0,0,0,1,0,1
Marlon Humphrey,BAL,CB,1,69,#1 LCB,0.0,1,5,20.0,6,0,1,1,0
Michael Ojemudia,DEN,CB,1,64,#1 LCB,0.0,2,7,28.6,16,0,1,1,0
CJ Henderson,JAX,CB,1,62,#1 LCB,22.2,5,12,41.7,58,0,1,2,0
J.C. Jackson,NE,CB,1,45,#2 LCB,22.9,2,4,50.0,18,0,1,1,0
Jimmy Moreland,WAS,CB,1,68,#2 LCB,27.5,2,5,40.0,38,0,1,0,0
Kyle Fuller,CHI,CB,1,78,#1 RCB,28.2,4,9,44.4,62,0,1,0,0
Stephon Gilmore,NE,CB,1,59,#3 RCB,38.0,5,9,55.6,63,0,1,0,0
Josh Bynes,CIN,LB,1,53,#1 SLB,39.6,0,3,0.0,0,0,0,0,0
Malcolm Jenkins,NO,S,1,70,#1 SS,39.6,0,4,0.0,0,0,0,1,0
Rodney McLeod,PHI,S,1,70,#1 FS,39.6,0,3,0.0,0,0,0,1,0
Patrick Peterson,ARI,CB,1,61,#1 LCB,39.6,0,3,0.0,0,0,0,1,0
Jonathan Jones,NE,CB,1,46,#1 RCB,39.6,1,4,25.0,8,0,0,0,0
Darryl Roberts,DET,CB,1,28,#2 LCB,39.6,0,3,0.0,0,0,0,1,0
Cory Littleton,LV,LB,1,67,#1 WLB,39.6,1,4,25.0,10,0,0,0,0
Tre Herndon,JAX,CB,1,73,#1 RCB,39.6,1,5,20.0,12,0,0,1,0
Marshon Lattimore,NO,CB,1,70,#1 RCB,39.6,0,3,0.0,0,0,0,1,0
Matt Milano,BUF,LB,1,21,#1 WLB,39.6,2,4,50.0,34,0,1,0,0
Justin Reid,HOU,S,1,69,#1 FS,39.6,1,4,25.0,2,0,0,1,0
Jordan Hicks,ARI,LB,1,62,#1 LILB,41.7,1,4,25.0,14,0,0,1,0
Johnathan Joseph,TEN,CB,1,44,#1 RCB,42.4,1,3,33.3,5,0,0,0,0
Jordan Lucas,FA,S,1,,#4 SS,42.4,1,3,33.3,9,0,0,0,0
Marcus Peters,BAL,CB,1,71,#1 RCB,42.4,2,6,33.3,15,0,0,2,0
Joejuan Williams,NE,S,1,27,#2 FS,42.4,1,3,33.3,9,0,0,1,0
Chris Jackson,TEN,S,1,35,#2 RCB,42.4,1,3,33.3,7,0,0,0,0
Jessie Bates,CIN,S,1,73,#1 FS,42.4,1,3,33.3,7,0,0,2,0
Troy Apke,WAS,S,1,68,#1 FS,42.9,1,5,20.0,19,0,0,0,0
B.J. Goodson,CLE,LB,1,49,#1 MLB,45.1,1,3,33.3,11,0,0,0,0
Byron Murphy,ARI,CB,1,60,#1 RCB,45.8,1,4,25.0,18,0,0,2,0
Micah Kiser,LAR,LB,1,72,#1 LILB,47.9,2,5,40.0,12,0,0,1,0
Bobby Wagner,SEA,LB,1,79,#1 MLB,47.9,2,5,40.0,14,0,0,2,0
Buster Skrine,CHI,CB,1,56,#2 RCB,50.9,3,7,42.9,22,0,0,1,0
Trayvon Mullen,LV,CB,1,63,#1 RCB,52.1,1,3,33.3,16,0,0,1,0
Devin White,TB,LB,1,68,#1 LILB,56.3,3,6,50.0,17,0,0,1,0
