,,,,Defensive Stats,,,,,,,,,
Name,Team,Pos,G,DEF SNAPS,SOLO,AST,TOT TCKL,SACK,FUM Forced,FUM Rec,INT,TD,PASS DEF
Darius Leonard,IND,LB,15,955,111.0,52,163,7.0,4,2,2,0,8
Blake Martinez,GB,LB,16,1052,91.0,53,144,5.0,0,0,0,0,3
Leighton Vander Esch,DAL,LB,16,784,102.0,38,140,0.0,0,0,2,0,7
Bobby Wagner,SEA,LB,15,927,84.0,54,138,1.0,2,1,1,1,11
Anthony Hitchens,KC,LB,15,945,81.0,54,135,0.0,1,0,0,0,0
Telvin Smith,JAX,LB,16,1018,100.0,34,134,1.0,1,1,2,1,2
Mason Foster,WAS,LB,16,1014,81.0,50,131,1.0,0,2,2,0,4
Luke Kuechly,CAR,LB,16,926,93.0,37,130,2.0,2,1,1,0,6
Tahir Whitehead,OAK,LB,16,971,89.0,37,126,0.0,1,0,1,0,5
Kiko Alonso,MIA,LB,15,1005,79.0,46,125,0.0,3,1,3,0,6
Cory Littleton,LAR,LB,16,965,90.0,35,125,4.0,0,0,3,1,13
Fred Warner,SF,LB,16,1061,85.0,39,124,0.0,1,1,0,0,6
Tremaine Edmunds,BUF,LB,15,927,80.0,41,121,2.0,2,0,2,0,12
Roquan Smith,CHI,LB,16,935,89.0,32,121,5.0,0,0,1,0,5
Jaylon Smith,DAL,LB,16,976,82.0,39,121,4.0,2,2,0,1,4
Antoine Bethea,ARI,S,16,1043,100.0,21,121,3.0,1,0,0,0,4
Lavonte David,TB,LB,14,922,94.0,26,120,3.5,1,2,0,0,2
Avery Williamson,NYJ,LB,16,1115,80.0,40,120,3.0,2,1,1,0,6
John Johnson,LAR,S,16,965,82.0,37,119,0.0,1,0,4,0,11
Jamal Adams,NYJ,S,16,1120,86.0,29,115,3.5,3,1,1,0,12
Todd Davis,DEN,LB,16,842,80.0,34,114,0.5,0,0,1,1,7
Wesley Woodyard,TEN,LB,14,712,69.0,44,113,4.5,0,1,0,0,2
Jessie Bates,CIN,S,16,1114,73.0,38,111,0.0,0,0,3,1,7
Demario Davis,NO,LB,16,877,74.0,36,110,5.0,2,1,0,0,4
Shawn Williams,CIN,S,16,995,81.0,29,110,1.0,1,0,5,1,9
Eric Kendricks,MIN,LB,14,875,63.0,45,108,1.0,1,1,2,0,7
Myles Jack,JAX,LB,16,1023,75.0,32,107,2.5,1,1,1,1,1
Zach Cunningham,HOU,LB,14,752,73.0,34,107,0.0,2,1,1,1,5
Raekwon McMillan,MIA,LB,16,830,69.0,36,105,0.0,2,1,0,0,1
Anthony Walker,IND,LB,15,694,69.0,36,105,1.0,0,1,1,0,4
Derwin James,LAC,S,16,1026,75.0,30,105,3.5,0,0,3,0,13
Benardrick McKinney,HOU,LB,16,920,63.0,42,105,1.5,1,0,1,0,7
C.J. Mosley,BAL,LB,15,876,70.0,35,105,0.5,0,0,1,0,5
Jamie Collins,CLE,LB,16,1068,73.0,31,104,4.0,1,1,1,0,4
Joe Schobert,CLE,LB,13,897,57.0,46,103,3.0,2,2,1,0,6
Danny Trevathan,CHI,LB,16,992,76.0,26,102,2.0,1,1,2,0,6
Budda Baker,ARI,S,14,938,78.0,24,102,2.0,1,2,0,1,1
Jarrad Davis,DET,LB,16,976,73.0,27,100,6.0,1,1,0,0,5
Jordan Poyer,BUF,S,16,1010,73.0,27,100,2.0,1,1,4,0,6
Nigel Bradham,PHI,LB,15,920,67.0,30,97,2.0,0,1,0,0,4
Malcolm Jenkins,PHI,S,16,1038,79.0,18,97,1.0,3,1,1,0,8
Jayon Brown,TEN,LB,16,855,64.0,33,97,6.0,2,1,1,1,6
Justin Simmons,DEN,S,16,1077,71.0,26,97,0.0,0,0,3,0,4
Jatavis Brown,LAC,LB,15,636,61.0,36,97,1.0,1,0,0,0,5
Zach Brown,WAS,LB,16,702,69.0,27,96,1.0,2,0,0,0,1
Landon Collins,NYG,S,12,803,67.0,29,96,0.0,1,0,0,0,4
Adrian Phillips,LAC,S,16,683,65.0,29,94,0.0,1,0,1,0,9
De'Vondre Campbell,ATL,LB,16,898,63.0,31,94,1.5,0,0,0,0,0
Alec Ogletree,NYG,LB,13,884,58.0,35,93,1.0,0,0,5,2,8
Ha Ha Clinton-Dix,WAS/GB,S,16,1017,80.0,13,93,1.0,2,1,3,0,6
Kyle Van Noy,NE,LB,16,945,55.0,37,92,3.5,1,2,1,1,2
Jordan Hicks,PHI,LB,12,705,61.0,30,91,3.0,0,1,0,0,5
Foyesade Oluokun,ATL,LB,16,529,56.0,35,91,0.0,1,0,0,0,1
Kevin Byard,TEN,S,16,1043,62.0,28,90,2.0,0,0,4,0,8
Clayton Geathers,IND,S,12,714,61.0,28,89,0.0,1,0,0,0,3
Vonn Bell,NO,S,16,752,63.0,26,89,1.0,1,1,0,0,3
Tyrann Mathieu,HOU,S,16,1044,70.0,19,89,3.0,0,1,2,0,8
Justin Reid,HOU,S,16,906,70.0,18,88,0.0,1,2,3,1,10
Kareem Jackson,HOU,S,16,984,70.0,17,87,1.0,2,1,2,0,17
T.J. McDonald,MIA,S,14,953,63.0,23,86,0.0,0,1,3,0,5
Reggie Ragland,KC,LB,16,581,46.0,40,86,0.5,0,0,1,0,1
Damarious Randall,CLE,S,15,1081,72.0,13,85,0.0,0,1,4,0,9
Jeff Heath,DAL,S,16,998,63.0,22,85,0.0,1,0,1,0,5
Harrison Smith,MIN,S,16,1024,67.0,17,84,3.0,1,2,3,0,6
Patrick Chung,NE,S,15,887,52.0,32,84,0.5,0,1,1,0,3
Nick Vigil,CIN,LB,11,673,62.0,22,84,0.0,0,1,0,0,3
Kendall Fuller,KC,CB,15,1078,64.0,18,82,0.0,1,0,2,0,12
Devin McCourty,NE,S,16,1004,59.0,23,82,0.0,1,2,1,1,4
Damontae Kazee,ATL,S,16,992,60.0,22,82,0.0,1,0,7,0,10
Damon Harrison,DET/NYG,DT,17,606,52.0,29,81,3.5,2,1,0,0,1
Sean Davis,PIT,S,15,978,59.0,21,80,0.0,0,0,1,0,7
Shaq Thompson,CAR,LB,14,597,51.0,29,80,3.5,1,0,0,0,1
Minkah Fitzpatrick,MIA,S,16,946,51.0,29,80,0.0,0,0,2,1,9
Haason Reddick,ARI,LB,16,785,53.0,27,80,4.0,1,0,0,0,5
Jabrill Peppers,CLE,S,16,765,52.0,27,79,1.0,0,2,1,0,5
Jerome Baker,MIA,LB,16,677,57.0,22,79,3.0,0,0,1,1,3
Tre Boston,ARI,S,14,882,66.0,13,79,0.0,1,1,3,0,9
Pierre Desir,IND,CB,16,903,60.0,19,79,0.0,2,1,1,0,8
Thomas Davis,CAR,LB,12,650,46.0,33,79,0.0,0,2,0,0,6
Bradley McDougald,SEA,S,16,876,66.0,12,78,0.0,3,1,3,0,9
Lamarcus Joyner,LAR,S,15,911,58.0,20,78,1.0,0,1,1,0,3
Quandre Diggs,DET,S,16,948,64.0,14,78,0.0,0,0,3,1,8
Terrell Edmunds,PIT,S,16,964,55.0,23,78,1.0,0,1,1,0,4
