,,,,Fantasy,Defensive Stats,,,,,,,
Name,Team,Pos,G,Pts,SOLO,AST,TOT TCKL,SACK,FUM Forced,FUM Rec,INT,TD
Darius Leonard,IND,LB,15,193.0,111.0,52,163,7.0,4,2,2,0
Blake Martinez,GB,LB,16,154.0,91.0,53,144,5.0,0,0,0,0
Leighton Vander Esch,DAL,LB,16,144.0,102.0,38,140,0.0,0,0,2,0
Bobby Wagner,SEA,LB,15,154.0,84.0,54,138,1.0,2,1,1,1
Anthony Hitchens,KC,LB,15,137.0,81.0,54,135,0.0,1,0,0,0
Telvin Smith,JAX,LB,16,150.0,100.0,34,134,1.0,1,1,2,1
Mason Foster,WAS,LB,16,141.0,81.0,50,131,1.0,0,2,2,0
Luke Kuechly,CAR,LB,16,142.0,93.0,37,130,2.0,2,1,1,0
Tahir Whitehead,OAK,LB,16,130.0,89.0,37,126,0.0,1,0,1,0
Kiko Alonso,MIA,LB,15,139.0,79.0,46,125,0.0,3,1,3,0
Cory Littleton,LAR,LB,16,145.0,90.0,35,125,4.0,0,0,3,1
Fred Warner,SF,LB,16,128.0,85.0,39,124,0.0,1,1,0,0
Tremaine Edmunds,BUF,LB,15,133.0,80.0,41,121,2.0,2,0,2,0
Roquan Smith,CHI,LB,16,133.0,89.0,32,121,5.0,0,0,1,0
Jaylon Smith,DAL,LB,16,143.0,82.0,39,121,4.0,2,2,0,1
Antoine Bethea,ARI,S,16,129.0,100.0,21,121,3.0,1,0,0,0
Lavonte David,TB,LB,14,133.0,94.0,26,120,3.5,1,2,0,0
Avery Williamson,NYJ,LB,16,134.0,80.0,40,120,3.0,2,1,1,0
John Johnson,LAR,S,16,129.0,82.0,37,119,0.0,1,0,4,0
Jamal Adams,NYJ,S,16,132.0,86.0,29,115,3.5,3,1,1,0
Todd Davis,DEN,LB,16,123.0,80.0,34,114,0.5,0,0,1,1
Wesley Woodyard,TEN,LB,14,124.0,69.0,44,113,4.5,0,1,0,0
Jessie Bates,CIN,S,16,123.0,73.0,38,111,0.0,0,0,3,1
Demario Davis,NO,LB,16,126.0,74.0,36,110,5.0,2,1,0,0
Shawn Williams,CIN,S,16,130.0,81.0,29,110,1.0,1,0,5,1
Eric Kendricks,MIN,LB,14,118.0,63.0,45,108,1.0,1,1,2,0
Myles Jack,JAX,LB,16,124.0,75.0,32,107,2.5,1,1,1,1
Zach Cunningham,HOU,LB,14,121.0,73.0,34,107,0.0,2,1,1,1
Raekwon McMillan,MIA,LB,16,111.0,69.0,36,105,0.0,2,1,0,0
Anthony Walker,IND,LB,15,111.0,69.0,36,105,1.0,0,1,1,0
Derwin James,LAC,S,16,118.0,75.0,30,105,3.5,0,0,3,0
Benardrick McKinney,HOU,LB,16,112.0,63.0,42,105,1.5,1,0,1,0
C.J. Mosley,BAL,LB,15,108.0,70.0,35,105,0.5,0,0,1,0
Jamie Collins,CLE,LB,16,118.0,73.0,31,104,4.0,1,1,1,0
Joe Schobert,CLE,LB,13,119.0,57.0,46,103,3.0,2,2,1,0
Danny Trevathan,CHI,LB,16,114.0,76.0,26,102,2.0,1,1,2,0
Budda Baker,ARI,S,14,118.0,78.0,24,102,2.0,1,2,0,1
Jarrad Davis,DET,LB,16,116.0,73.0,27,100,6.0,1,1,0,0
Jordan Poyer,BUF,S,16,116.0,73.0,27,100,2.0,1,1,4,0
Nigel Bradham,PHI,LB,15,103.0,67.0,30,97,2.0,0,1,0,0
Malcolm Jenkins,PHI,S,16,109.0,79.0,18,97,1.0,3,1,1,0
Jayon Brown,TEN,LB,16,123.0,64.0,33,97,6.0,2,1,1,1
Justin Simmons,DEN,S,16,103.0,71.0,26,97,0.0,0,0,3,0
Jatavis Brown,LAC,LB,15,101.0,61.0,36,97,1.0,1,0,0,0
Zach Brown,WAS,LB,16,102.0,69.0,27,96,1.0,2,0,0,0
Landon Collins,NYG,S,12,98.0,67.0,29,96,0.0,1,0,0,0
Adrian Phillips,LAC,S,16,98.0,65.0,29,94,0.0,1,0,1,0
De'Vondre Campbell,ATL,LB,16,97.0,63.0,31,94,1.5,0,0,0,0
Alec Ogletree,NYG,LB,13,117.0,58.0,35,93,1.0,0,0,5,2
Ha Ha Clinton-Dix,WAS/GB,S,16,107.0,80.0,13,93,1.0,2,1,3,0
Kyle Van Noy,NE,LB,16,113.0,55.0,37,92,3.5,1,2,1,1
Jordan Hicks,PHI,LB,12,99.0,61.0,30,91,3.0,0,1,0,0
Foyesade Oluokun,ATL,LB,16,93.0,56.0,35,91,0.0,1,0,0,0
Kevin Byard,TEN,S,16,102.0,62.0,28,90,2.0,0,0,4,0
Clayton Geathers,IND,S,12,91.0,61.0,28,89,0.0,1,0,0,0
Vonn Bell,NO,S,16,95.0,63.0,26,89,1.0,1,1,0,0
Tyrann Mathieu,HOU,S,16,101.0,70.0,19,89,3.0,0,1,2,0
Justin Reid,HOU,S,16,106.0,70.0,18,88,0.0,1,2,3,1
Kareem Jackson,HOU,S,16,99.0,70.0,17,87,1.0,2,1,2,0
T.J. McDonald,MIA,S,14,94.0,63.0,23,86,0.0,0,1,3,0
Reggie Ragland,KC,LB,16,89.0,46.0,40,86,0.5,0,0,1,0
Damarious Randall,CLE,S,15,95.0,72.0,13,85,0.0,0,1,4,0
Jeff Heath,DAL,S,16,89.0,63.0,22,85,0.0,1,0,1,0
Harrison Smith,MIN,S,16,102.0,67.0,17,84,3.0,1,2,3,0
Patrick Chung,NE,S,15,89.0,52.0,32,84,0.5,0,1,1,0
Nick Vigil,CIN,LB,11,86.0,62.0,22,84,0.0,0,1,0,0
Kendall Fuller,KC,CB,15,88.0,64.0,18,82,0.0,1,0,2,0
Devin McCourty,NE,S,16,96.0,59.0,23,82,0.0,1,2,1,1
Damontae Kazee,ATL,S,16,98.0,60.0,22,82,0.0,1,0,7,0
Damon Harrison,DET/NYG,DT,17,94.0,52.0,29,81,3.5,2,1,0,0
Sean Davis,PIT,S,15,82.0,59.0,21,80,0.0,0,0,1,0
Shaq Thompson,CAR,LB,14,89.0,51.0,29,80,3.5,1,0,0,0
Minkah Fitzpatrick,MIA,S,16,90.0,51.0,29,80,0.0,0,0,2,1
Haason Reddick,ARI,LB,16,90.0,53.0,27,80,4.0,1,0,0,0
Jabrill Peppers,CLE,S,16,87.0,52.0,27,79,1.0,0,2,1,0
Jerome Baker,MIA,LB,16,93.0,57.0,22,79,3.0,0,0,1,1
Tre Boston,ARI,S,14,89.0,66.0,13,79,0.0,1,1,3,0
Pierre Desir,IND,CB,16,87.0,60.0,19,79,0.0,2,1,1,0
Thomas Davis,CAR,LB,12,83.0,46.0,33,79,0.0,0,2,0,0
Bradley McDougald,SEA,S,16,92.0,66.0,12,78,0.0,3,1,3,0
Lamarcus Joyner,LAR,S,15,84.0,58.0,20,78,1.0,0,1,1,0
Quandre Diggs,DET,S,16,90.0,64.0,14,78,0.0,0,0,3,1
Terrell Edmunds,PIT,S,16,84.0,55.0,23,78,1.0,0,1,1,0
Matt Milano,BUF,LB,13,92.0,52.0,26,78,1.0,0,3,3,0
Kenny Moore,IND,CB,15,88.0,63.0,14,77,1.5,1,0,3,0
Ron Parker,KC,S,15,89.0,64.0,13,77,1.0,0,0,2,1
Vince Williams,PIT,LB,14,93.0,50.0,26,76,4.5,0,0,1,1
Logan Ryan,TEN,S,14,84.0,54.0,22,76,4.0,0,0,0,0
Jordan Whitehead,TB,S,15,76.0,61.0,15,76,0.0,0,0,0,0
Jahleel Addae,LAC,S,16,81.0,52.0,23,75,1.0,0,1,1,0
Josh Bynes,ARI,LB,11,87.0,52.0,23,75,2.0,0,1,0,1
Mike Adams,CAR,S,16,81.0,47.0,28,75,0.0,0,0,3,0
Curtis Riley,NYG,S,16,89.0,63.0,12,75,0.0,0,0,4,1
Eli Apple,NYG/NO,CB,15,85.0,62.0,13,75,0.0,1,2,2,0
Darron Lee,NYJ,LB,12,86.0,43.0,31,74,0.0,0,0,3,1
Glover Quin,DET,S,16,76.0,58.0,16,74,1.0,0,0,0,0
Lorenzo Alexander,BUF,LB,16,97.0,55.0,19,74,6.5,2,1,2,0
Tony Jefferson,BAL,S,14,82.0,53.0,21,74,1.0,1,1,1,0
Donte Jackson,CAR,CB,16,86.0,63.0,11,74,1.0,1,0,4,0
TJ Carrie,CLE,CB,16,84.0,58.0,16,74,1.0,2,1,1,0
Brian Poole,ATL,CB,16,90.0,53.0,21,74,3.0,0,2,3,0
Adoree' Jackson,TEN,CB,16,77.0,67.0,6,73,0.0,0,0,2,0
Jon Bostic,PIT,LB,16,78.0,46.0,27,73,2.5,0,0,0,0
Adrian Amos,CHI,S,16,81.0,59.0,14,73,1.0,0,1,2,0
Danielle Hunter,MIN,DE,16,109.0,51.0,21,72,14.5,0,1,0,1
Reshad Jones,MIA,S,14,84.0,57.0,15,72,0.0,0,0,3,1
Calais Campbell,JAX,DE,16,97.0,53.0,19,72,10.5,1,1,0,0
Eric Reid,CAR,S,13,75.0,50.0,21,71,1.0,0,0,1,0
Chidobe Awuzie,DAL,CB,15,75.0,57.0,14,71,0.0,1,0,1,0
A.J. Klein,NO,LB,16,80.0,42.0,28,70,2.0,0,2,1,0
Janoris Jenkins,NYG,CB,16,76.0,59.0,11,70,0.0,1,0,2,0
Jason McCourty,NE,CB,16,74.0,54.0,16,70,0.0,1,0,1,0
James Bradberry,CAR,CB,16,76.0,58.0,12,70,1.0,1,0,1,0
Christian Jones,DET,LB,16,73.0,48.0,21,69,1.0,1,0,0,0
Malcolm Butler,TEN,CB,16,85.0,60.0,9,69,1.0,1,0,3,1
Darqueze Dennard,CIN,CB,13,74.0,54.0,14,68,0.0,2,1,0,0
Steven Nelson,KC,CB,16,76.0,58.0,10,68,0.0,0,0,4,0
Eric Weddle,BAL,S,16,70.0,54.0,14,68,1.0,0,0,0,0
T.J. Watt,PIT,LB,16,106.0,50.0,18,68,13.0,6,0,0,0
Marquel Lee,OAK,LB,16,68.0,36.0,32,68,0.0,0,0,0,0
Tre Flowers,SEA,CB,15,75.0,55.0,12,67,0.0,3,1,0,0
Byron Jones,DAL,CB,16,67.0,56.0,11,67,0.0,0,0,0,0
DeForest Buckner,SF,DT,16,93.0,44.0,23,67,12.0,0,1,0,0
Prince Amukamara,CHI,CB,15,82.0,57.0,9,66,0.0,2,0,3,1
Desmond Trufant,ATL,CB,16,68.0,55.0,11,66,1.0,0,0,0,0
Jaire Alexander,GB,CB,13,69.0,61.0,5,66,0.5,0,0,1,0
Elijah Lee,SF,LB,16,69.0,54.0,11,65,1.0,1,0,0,0
Elandon Roberts,NE,LB,16,67.0,31.0,34,65,1.0,0,0,0,0
Jalen Ramsey,JAX,CB,16,71.0,62.0,3,65,0.0,0,0,3,0
DeMarcus Lawrence,DAL,DE,16,93.0,42.0,22,64,10.5,2,1,1,0
Josh Norman,WAS,CB,16,78.0,40.0,24,64,0.0,3,1,3,0
Joe Haden,PIT,CB,15,69.0,51.0,12,63,0.0,1,0,2,0
Jurrell Casey,TEN,DE,15,82.0,36.0,26,62,7.0,2,1,0,0
Desmond King,LAC,CB,16,78.0,47.0,15,62,0.0,1,1,3,1
Shaquill Griffin,SEA,CB,16,66.0,55.0,7,62,0.0,0,0,2,0
Jordan Evans,CIN,LB,14,66.0,40.0,21,61,1.5,0,0,1,0
Jonathan Allen,WAS,DT,16,77.0,35.0,26,61,8.0,0,0,0,0
J.J. Watt,HOU,DE,16,107.0,47.0,14,61,16.0,7,0,0,0
Bobby McCain,MIA,S,14,67.0,50.0,11,61,2.0,0,0,1,0
B.J. Goodson,NYG,LB,15,68.0,44.0,17,61,0.5,0,1,2,0
Adarius Taylor,TB,LB,15,66.0,41.0,19,60,1.0,1,0,1,0
Darian Stewart,DEN,S,14,68.0,46.0,14,60,1.0,0,1,2,0
Mark Barron,LAR,LB,12,64.0,43.0,17,60,1.0,1,0,0,0
Duke Riley,ATL,LB,16,60.0,37.0,23,60,0.0,0,0,0,0
Bradley Chubb,DEN,LB,16,90.0,41.0,19,60,12.0,2,1,0,0
Dalvin Tomlinson,NYG,DT,16,59.0,28.0,31,59,0.0,0,0,0,0
Alex Anzalone,NO,LB,16,71.0,45.0,14,59,2.0,3,0,1,0
Patrick Onwuasor,BAL,LB,16,76.0,37.0,22,59,5.5,2,0,1,0
Marcus Williams,NO,S,16,69.0,49.0,10,59,1.0,1,1,2,0
Marshon Lattimore,NO,CB,16,77.0,49.0,10,59,0.0,4,3,2,0
Michael Thomas,NYG,S,16,67.0,41.0,18,59,1.0,1,0,2,0
B.W. Webb,NYG,CB,16,65.0,52.0,7,59,1.0,1,0,1,0
Lawrence Guy,NE,DT,16,63.0,25.0,34,59,1.0,1,0,0,0
Ndamukong Suh,LAR,DE,16,72.0,36.0,23,59,4.5,0,2,0,0
Aaron Donald,LAR,DE,16,112.0,41.0,18,59,20.5,4,2,0,0
Jason Pierre-Paul,TB,LB,16,87.0,48.0,10,58,12.5,1,1,0,0
Linval Joseph,MIN,DT,15,70.0,36.0,22,58,1.0,1,1,0,1
Johnathan Joseph,HOU,CB,14,68.0,49.0,9,58,0.0,0,0,2,1
Marcus Gilchrist,OAK,S,16,64.0,40.0,18,58,0.0,0,0,3,0
Micah Hyde,BUF,S,15,64.0,41.0,17,58,0.0,0,1,2,0
Kenny Vaccaro,TEN,S,13,64.0,41.0,17,58,2.0,0,0,1,0
Buster Skrine,NYJ,CB,14,63.0,52.0,6,58,0.5,1,1,0,0
Rasul Douglas,PHI,CB,16,64.0,48.0,10,58,0.0,0,0,3,0
Fabian Moreau,WAS,CB,16,66.0,37.0,21,58,0.0,3,0,1,0
Josey Jewell,DEN,LB,16,58.0,38.0,20,58,0.0,0,0,0,0
Hardy Nickerson,CIN,LB,16,59.0,38.0,19,57,0.0,1,0,0,0
Tedric Thompson,SEA,S,14,61.0,41.0,16,57,0.0,1,0,1,0
Mike Hilton,PIT,CB,15,65.0,44.0,13,57,1.0,0,2,1,0
Morris Claiborne,NYJ,CB,15,67.0,44.0,13,57,0.0,0,0,2,1
Trey Flowers,NE,DE,15,78.0,32.0,25,57,7.5,3,0,0,0
Jonathan Jones,NE,CB,16,67.0,44.0,12,56,1.5,1,0,3,0
Briean Boddy-Calhoun,CLE,CB,16,58.0,44.0,12,56,0.0,1,0,0,0
Rashaan Melvin,OAK,CB,14,58.0,52.0,4,56,0.0,0,0,1,0
Corey Graham,PHI,S,13,60.0,43.0,13,56,0.0,0,1,1,0
Xavier Woods,DAL,S,14,62.0,39.0,17,56,0.0,1,0,2,0
Daron Payne,WAS,DT,16,70.0,35.0,21,56,5.0,1,1,0,0
Josh Jones,GB,S,13,57.0,40.0,15,55,1.0,0,0,0,0
Anthony Barr,MIN,LB,13,63.0,39.0,16,55,3.0,1,0,0,0
Kyle Fuller,CHI,CB,16,69.0,45.0,10,55,0.0,0,0,7,0
Gerald Hodges,ARI,LB,16,55.0,44.0,11,55,0.0,0,0,0,0
Akiem Hicks,CHI,DE,16,76.0,41.0,14,55,7.5,3,0,0,0
Justin Coleman,SEA,CB,16,70.0,41.0,14,55,0.5,1,2,1,1
Eric Murray,KC,S,15,57.0,43.0,12,55,0.0,0,0,1,0
Kenny Clark,GB,DT,13,73.0,36.0,19,55,6.0,1,2,0,0
Dee Ford,KC,DE,16,95.0,42.0,13,55,13.0,7,0,0,0
Bene' Benwikere,OAK/ARI,CB,15,59.0,41.0,13,54,0.5,1,0,1,0
Tashaun Gipson,JAX,S,16,56.0,44.0,10,54,0.0,0,0,1,0
A.J. Bouye,JAX,CB,13,56.0,46.0,8,54,0.0,0,0,1,0
Tramon Williams,GB,CB,16,56.0,40.0,14,54,0.0,0,1,0,0
Michael Brockers,LAR,DE,16,56.0,33.0,21,54,1.0,0,0,0,0
Patrick Peterson,ARI,CB,16,62.0,45.0,9,54,1.0,0,1,2,0
Tre'Davious White,BUF,CB,16,58.0,44.0,10,54,0.0,0,0,2,0
Denzel Ward,CLE,CB,13,65.0,41.0,12,53,0.0,1,2,3,0
Ben Gedeon,MIN,LB,15,53.0,29.0,24,53,0.0,0,0,0,0
Rashaan Evans,TEN,LB,15,53.0,33.0,20,53,0.0,0,0,0,0
D.J. Swearinger,WAS,S,15,71.0,42.0,11,53,1.0,3,1,4,0
Nevin Lawson,DET,CB,15,55.0,43.0,10,53,1.0,0,0,0,0
Preston Smith,WAS,LB,16,71.0,30.0,23,53,4.0,0,1,1,1
Deion Jones,ATL,LB,6,67.0,34.0,19,53,1.0,1,0,2,1
P.J. Williams,NO,CB,15,67.0,44.0,9,53,1.0,2,0,1,1
Grady Jarrett,ATL,DT,14,70.0,27.0,25,52,6.0,3,0,0,0
Larry Ogunjobi,CLE,DT,16,65.0,33.0,19,52,5.5,1,0,0,0
