,,,,Pass Defense Stats,,,,,,,,,,
Name,Team,Pos,G,DEF SNAPS,Depth Chart,QB Rating Against,Comp,Att,Comp %,Yards,TD,INT,PassDef,INT Drops
Hardy Nickerson,CIN,LB,16,538,#1 SLB,143.7,22,27,81.5,259,3,0,1,0
Corn Elder,CAR,CB,13,61,#3 LCB,143.8,3,5,60.0,63,2,0,0,0
Tanner Vallejo,CLE,LB,13,145,#2 LILB,147.2,6,6,100.0,59,1,0,0,0
Brooks Reed,ATL,LB,16,457,#,147.9,3,3,100.0,30,1,0,0,0
Doug Middleton,NYJ,S,7,232,#,149.3,2,3,66.7,48,1,0,2,1
DeShawn Shead,DET,S,12,248,#,149.7,14,19,73.7,233,2,0,0,0
Chris Milton,IND,CB,15,55,#3 LCB,150.0,3,4,75.0,44,2,0,0,0
Tyvis Powell,SF,S,7,104,#,150.7,5,6,83.3,64,1,0,0,1
Kentrell Brice,GB,S,14,647,#,151.8,21,28,75.0,346,3,0,2,0
Clayton Fejedelem,CIN,S,16,170,#2 SS,152.4,5,7,71.4,86,1,0,1,0
Danny Johnson,WAS,CB,14,67,#3 LCB,152.7,11,13,84.6,145,2,0,0,0
Rashard Robinson,NYJ,CB,10,83,#,155.8,9,9,100.0,126,1,0,0,0
Sean Chandler,NYG,S,16,142,#,156.3,6,8,75.0,113,1,0,1,0
Josh Hawkins,PHI,CB,1,0,#,156.3,3,3,100.0,36,1,0,0,0
Oren Burks,GB,LB,14,122,#2 RILB,157.6,5,6,83.3,74,1,0,0,0
Natrell Jamerson,HOU,S,10,78,#,158.3,4,5,80.0,111,1,0,0,1
Adrian Colbert,SF,S,7,320,#3 FS,158.3,6,7,85.7,97,3,0,1,0
