,,,,Fantasy,Passing,,,,,Rushing,,,Receiving,,,,Fumbles,
Name,Team,Pos,G,Pts,COMP,ATT,YDS,TD,INT,ATT,YDS,TD,REC,TAR,YDS,TD,TOT,LOST
Antonio Brown,PIT,WR,14,207.3,0,0,0,0,0,0,0,0,101,163,1533,9,4,0
Julio Jones,ATL,WR,16,163.9,0,0,0,0,0,1,15,0,88,148,1444,3,0,0
Keenan Allen,LAC,WR,16,176.2,0,0,0,0,0,2,9,0,102,159,1393,6,1,0
DeAndre Hopkins,HOU,WR,15,215.8,0,0,0,0,0,0,0,0,96,174,1378,13,1,1
Adam Thielen,MIN,WR,16,152.7,0,0,0,0,0,1,11,0,91,142,1276,4,3,2
Michael Thomas,NO,WR,16,154.5,0,0,0,0,0,0,0,0,104,149,1245,5,0,0
Tyreek Hill,KC,WR,15,166.2,0,1,0,0,1,17,59,0,75,105,1183,7,2,0
Larry Fitzgerald,ARI,WR,16,152.7,1,1,21,0,0,0,0,0,109,161,1156,6,1,1
Marvin Jones,DET,WR,16,164.1,0,0,0,0,0,0,0,0,61,107,1101,9,0,0
Rob Gronkowski,NE,TE,14,156.4,0,0,0,0,0,0,0,0,69,105,1084,8,1,0
Brandin Cooks,NE,WR,16,154.2,0,0,0,0,0,9,40,0,65,114,1082,7,0,0
A.J. Green,CIN,WR,16,155.8,0,0,0,0,0,0,0,0,75,142,1078,8,2,2
Travis Kelce,KC,TE,15,152.5,0,1,0,0,1,2,7,0,83,122,1038,8,0,0
Golden Tate,DET,WR,16,132.5,0,0,0,0,0,5,22,0,92,120,1003,5,1,1
Mike Evans,TB,WR,15,130.1,0,0,0,0,0,0,0,0,71,136,1001,5,1,0
Doug Baldwin,SEA,WR,16,146.3,0,0,0,0,0,2,-8,0,75,116,991,8,0,0
Jarvis Landry,MIA,WR,16,152.0,0,1,0,0,0,1,-7,0,112,161,987,9,4,2
T.Y. Hilton,IND,WR,16,120.6,0,0,0,0,0,0,0,0,57,109,966,4,2,1
Marquise Goodwin,SF,WR,16,112.6,0,0,0,0,0,4,44,0,56,105,962,2,0,0
Demaryius Thomas,DEN,WR,16,124.9,0,0,0,0,0,0,0,0,83,140,949,5,1,1
Robby Anderson,NYJ,WR,16,137.0,0,0,0,0,0,3,9,0,63,114,941,7,0,0
JuJu Smith-Schuster,PIT,WR,14,133.7,0,0,0,0,0,0,0,0,58,79,917,7,0,0
Davante Adams,GB,WR,14,148.5,0,0,0,0,0,0,0,0,74,117,885,10,0,0
Cooper Kupp,LAR,WR,15,116.9,0,1,0,0,0,0,0,0,62,94,869,5,1,1
Stefon Diggs,MIN,WR,14,134.2,0,0,0,0,0,8,13,0,64,95,849,8,0,0
Kenny Stills,MIA,WR,16,120.7,0,0,0,0,0,0,0,0,58,105,847,6,4,2
Devin Funchess,CAR,WR,16,132.0,0,0,0,0,0,0,0,0,63,111,840,8,0,0
Dez Bryant,DAL,WR,16,119.4,0,0,0,0,0,1,-4,0,69,132,838,6,1,1
Alvin Kamara,NO,RB,16,233.4,0,0,0,0,0,120,728,8,81,100,826,5,1,1
Zach Ertz,PHI,TE,14,130.4,0,0,0,0,0,0,0,0,74,110,824,8,1,1
Jermaine Kearse,NYJ,WR,16,111.0,0,0,0,0,0,0,0,0,65,102,810,5,1,0
Delanie Walker,TEN,TE,16,104.5,0,0,0,0,0,2,-2,1,74,111,807,3,2,2
Rishard Matthews,TEN,WR,14,103.2,0,0,0,0,0,1,-3,0,53,87,795,4,0,0
Alshon Jeffery,PHI,WR,16,132.9,0,0,0,0,0,0,0,0,57,120,789,9,0,0
Jamison Crowder,WAS,WR,15,100.3,0,0,0,0,0,7,34,0,66,103,789,3,6,3
Todd Gurley,LAR,RB,15,323.3,0,0,0,0,0,279,1305,13,64,87,788,6,5,2
Ted Ginn,NO,WR,15,106.6,0,0,0,0,0,10,39,0,53,70,787,4,2,0
Robert Woods,LAR,WR,12,109.3,0,0,0,0,0,2,12,0,56,85,781,5,1,1
Nelson Agholor,PHI,WR,16,125.5,0,0,0,0,0,1,7,0,62,95,768,8,0,0
Mike Wallace,BAL,WR,15,99.2,0,0,0,0,0,1,4,0,52,92,748,4,0,0
Keelan Cole,JAX,WR,16,92.8,0,0,0,0,0,0,0,0,42,83,748,3,2,1
Sterling Shepard,NYG,WR,11,85.5,0,0,0,0,0,4,4,0,59,84,731,2,1,0
Tyrell Williams,LAC,WR,16,96.8,0,0,0,0,0,0,0,0,43,69,728,4,1,1
Evan Engram,NYG,TE,15,109.6,0,0,0,0,0,1,14,0,64,115,722,6,0,0
Mohamed Sanu,ATL,WR,15,107.9,1,1,51,1,0,4,10,0,67,96,703,5,0,0
Paul Richardson,SEA,WR,16,106.3,0,0,0,0,0,0,0,0,44,80,703,6,0,0
Marqise Lee,JAX,WR,14,89.9,0,1,0,0,0,1,17,0,56,96,702,3,1,0
Duke Johnson,CLE,RB,16,146.1,0,0,0,0,0,82,348,4,74,93,693,3,4,2
Kelvin Benjamin,CAR/BUF,WR,14,87.2,0,0,0,0,0,0,0,0,48,78,692,3,0,0
Jack Doyle,IND,TE,15,93.0,0,0,0,0,0,0,0,0,80,108,690,4,2,2
Jared Cook,OAK,TE,16,80.8,0,0,0,0,0,0,0,0,54,86,688,2,1,1
Amari Cooper,OAK,WR,14,110.4,0,0,0,0,0,1,4,0,48,96,680,7,1,0
DeVante Parker,MIA,WR,13,73.0,0,0,0,0,0,0,0,0,57,96,670,1,1,0
DeSean Jackson,TB,WR,14,88.6,0,0,0,0,0,3,38,0,50,90,668,3,0,0
Danny Amendola,NE,WR,15,77.9,0,0,0,0,0,0,0,0,61,86,659,2,2,0
Le'Veon Bell,PIT,RB,15,260.6,0,0,0,0,0,321,1291,9,85,106,655,2,3,2
Randall Cobb,GB,WR,15,91.5,1,1,10,0,0,9,17,0,66,92,653,4,1,0
Christian McCaffrey,CAR,RB,16,150.6,0,0,0,0,0,117,435,2,80,113,651,5,2,1
Vernon Davis,WAS,TE,16,82.8,0,0,0,0,0,0,0,0,43,69,648,3,2,2
Adam Humphries,TB,WR,16,69.7,0,0,0,0,0,1,6,0,61,83,631,1,1,1
Michael Crabtree,OAK,WR,14,109.8,0,0,0,0,0,0,0,0,58,101,618,8,1,0
Kendall Wright,CHI,WR,16,67.4,0,0,0,0,0,0,0,0,59,91,614,1,0,0
Martavis Bryant,PIT,WR,15,80.5,0,0,0,0,0,6,22,0,50,84,603,3,0,0
Sammy Watkins,LAR,WR,15,107.3,0,0,0,0,0,0,0,0,39,70,593,8,0,0
Cameron Brate,TB,TE,16,95.1,0,0,0,0,0,0,0,0,48,77,591,6,1,0
Hunter Henry,LAC,TE,14,81.9,0,0,0,0,0,0,0,0,45,62,579,4,0,0
Eric Ebron,DET,TE,16,81.4,0,0,0,0,0,0,0,0,53,86,574,4,1,1
Ryan Grant,WAS,WR,16,81.3,0,0,0,0,0,0,0,0,45,65,573,4,0,0
Terrance Williams,DAL,WR,16,58.3,0,0,0,0,0,2,15,0,53,78,568,0,0,0
Travis Benjamin,LAC,WR,16,90.3,0,0,0,0,0,13,96,0,34,65,567,4,2,0
Eric Decker,TEN,WR,16,62.3,0,1,0,0,0,0,0,0,54,83,563,1,0,0
Jason Witten,DAL,TE,16,86.0,0,0,0,0,0,0,0,0,63,87,560,5,1,1
Charles Clay,BUF,TE,13,67.8,0,0,0,0,0,0,0,0,49,74,558,2,1,0
Deonte Thompson,CHI/BUF,WR,16,67.0,0,0,0,0,0,2,-5,0,38,69,555,2,1,0
Emmanuel Sanders,DEN,WR,12,67.5,0,0,0,0,0,0,0,0,47,92,555,2,0,0
Tyler Lockett,SEA,WR,16,73.3,0,0,0,0,0,10,58,0,45,71,555,2,0,0
Albert Wilson,KC,WR,13,74.0,0,0,0,0,0,3,6,0,42,62,554,3,0,0
Brandon LaFell,CIN,WR,16,72.8,0,0,0,0,0,0,0,0,52,89,548,3,1,0
Kyle Rudolph,MIN,TE,16,101.2,0,0,0,0,0,0,0,0,57,81,532,8,0,0
