,,,,Receiving,,,,Red Zone Targets,,,
Name,Team,Pos,G,REC,YDS,TD,TAR,In20,In10,In5,%Tm
Antonio Brown,PIT,WR,14,101,1533,9,163,21,10,4,23.08
Julio Jones,ATL,WR,16,88,1444,3,148,19,11,5,26.39
Keenan Allen,LAC,WR,16,102,1393,6,159,24,15,7,33.80
DeAndre Hopkins,HOU,WR,15,96,1378,13,174,19,10,6,29.23
Adam Thielen,MIN,WR,16,91,1276,4,142,16,7,4,26.67
Michael Thomas,NO,WR,16,104,1245,5,149,16,9,6,20.51
Tyreek Hill,KC,WR,15,75,1183,7,105,4,1,1,5.33
Larry Fitzgerald,ARI,WR,16,109,1156,6,161,20,6,3,27.78
Marvin Jones,DET,WR,16,61,1101,9,107,15,8,5,20.00
Rob Gronkowski,NE,TE,14,69,1084,8,105,21,9,9,23.60
Brandin Cooks,NE,WR,16,65,1082,7,114,12,6,4,13.48
A.J. Green,CIN,WR,16,75,1078,8,142,16,8,1,29.63
Travis Kelce,KC,TE,15,83,1038,8,122,20,3,1,26.67
Golden Tate,DET,WR,16,92,1003,5,120,7,2,2,9.33
Mike Evans,TB,WR,15,71,1001,5,136,18,9,4,26.09
Doug Baldwin,SEA,WR,16,75,991,8,116,8,5,2,11.27
Jarvis Landry,MIA,WR,16,112,987,9,161,23,14,6,32.39
T.Y. Hilton,IND,WR,16,57,966,4,109,10,3,2,25.64
Marquise Goodwin,SF,WR,16,56,962,2,105,15,9,3,17.05
Demaryius Thomas,DEN,WR,16,83,949,5,140,17,8,1,25.00
Robby Anderson,NYJ,WR,16,63,941,7,114,10,5,1,20.41
JuJu Smith-Schuster,PIT,WR,14,58,917,7,79,15,6,2,16.48
Davante Adams,GB,WR,14,74,885,10,117,23,6,3,34.33
Cooper Kupp,LAR,WR,15,62,869,5,94,23,7,1,28.05
Stefon Diggs,MIN,WR,14,64,849,8,95,14,7,3,23.33
Kenny Stills,MIA,WR,16,58,847,6,105,10,1,1,14.08
Devin Funchess,CAR,WR,16,63,840,8,111,16,5,1,27.59
Dez Bryant,DAL,WR,16,69,838,6,132,20,10,5,33.33
Alvin Kamara,NO,RB,16,81,826,5,100,16,2,0,20.51
Zach Ertz,PHI,TE,14,74,824,8,110,17,7,5,21.79
Jermaine Kearse,NYJ,WR,16,65,810,5,102,8,3,2,16.33
Delanie Walker,TEN,TE,16,74,807,3,111,11,7,4,25.00
